,6098.HK,ZTO,300750 C2,1919 HK,586.HK,267.HK,2338 HK,656.HK,3898.HK,601919 C1,3319.HK,2128.HK,002352 C2,144.HK,1882.HK,JOBS,600031 C1,257.HK,390 HK,2869.HK,2588.HK,601668 C1,300124 C2,300014 C2,2357.HK,152.HK,3311.HK,300274 C2,1199.HK,177 HK,1157 HK,753 HK,576.HK,3808.HK,600406 C1,694.HK,552.HK,2208 HK,000338 C2,601816 C1,1055 HK,601100 C1,601390 C1,600893 C1,601989 C1,1995.HK,600760 C1,002050 C2,603899 C1,601877 C1,CASH,000768 C2,000786 C2,000157 C2,002791 C2,601669 C1,600029 C1,002074 C2,601021 C1,601618 C1,601111 C1,000425 C2,600089 C1,600885 C1,600018 C1,300207 C2,600009 C1,600115 C1,601117 C1,002202 C2,002120 C2,002690 C2,002013 C2,603638 C1,601727 C1,600038 C1,002372 C2,600233 C1,600516 C1,600875 C1,600066 C1,600522 C1,631.HK,603338 C1,600170 C1,600372 C1,601636 C1,300070 C2,002081 C2,000738 C2,601598 C1,002212 C2,688006 C1,300751 C2,600153 C1,600879 C1,603613 C1,603218 C1,600862 C1,002430 C2,002266,600150,601615,603185,600039 C1,603185 C1,600039,601615 C1,600862,DIDI,1995 HK,600879,688006,603613,002266 C2,600150 C1,n/a,1157.HK,601766 C1,000009 C2,3898 HK,SUM
07/09/2021,9.4,7.75,7.27,4.54,4.43,4.25,2.78,2.43,2.32,1.94,1.76,1.74,1.58,1.46,1.46,1.44,1.42,1.41,1.35,1.28,1.27,1.26,1.26,1.24,1.1,1.06,0.98,0.98,0.97,0.97,0.93,0.93,0.89,0.88,0.86,0.84,0.79,0.79,0.75,0.74,0.74,0.73,0.69,0.69,0.62,0.6,0.56,0.55,0.49,0.44,0.44,0.43,0.41,0.4,0.39,0.37,0.35,0.35,0.35,0.34,0.33,0.32,0.32,0.31,0.3,0.3,0.3,0.29,0.27,0.26,0.25,0.24,0.23,0.23,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/12/2021,9.03,7.54,7.7,4.63,4.36,4.12,2.71,2.38,2.36,1.94,1.71,1.65,1.61,1.47,1.42,1.44,1.36,1.36,1.33,1.25,1.17,1.24,1.3,1.42,1.1,1.03,0.95,1.09,0.98,0.96,0.91,0.9,0.89,0.84,0.9,0.83,0.76,0.81,0.74,0.75,0.71,0.74,0.69,0.78,0.61,0.56,0.66,0.58,0.5,0.47,0.59,0.45,0.42,0.39,0.37,0.37,0.34,0.38,0.35,0.34,0.33,0.32,0.32,0.33,0.3,0.37,0.3,0.3,0.27,0.26,0.28,0.22,0.24,0.23,0.21,0.2,0.19,0.2,0.2,0.19,0.19,0.19,0.18,0.19,0.16,0.16,0.15,0.15,0.14,0.15,0.15,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.11,0.1,0.1,0.11,0.11,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
07/13/2021,9.03,7.54,7.7,4.63,4.36,4.12,2.71,2.38,2.36,1.94,1.71,1.65,1.61,1.47,1.42,1.44,1.36,1.36,1.33,1.25,1.17,1.24,1.3,1.42,1.1,1.03,0.95,1.09,0.98,0.96,0.91,0.9,0.89,0.84,0.9,0.83,0.76,0.81,0.74,0.75,0.71,0.74,0.69,0.78,0.61,0.56,0.66,0.58,0.5,0.47,0.59,0.45,0.42,0.39,0.37,0.37,0.34,0.38,0.35,0.34,0.33,0.32,0.32,0.33,0.3,0.37,0.3,0.3,0.27,0.26,0.28,0.22,0.24,0.23,0.21,0.2,0.19,0.2,0.2,0.19,0.19,0.19,0.18,0.19,0.16,0.16,0.15,0.15,0.14,0.15,0.15,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.11,0.1,0.1,0.11,0.11,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
07/14/2021,9.06,7.79,7.57,4.15,4.33,4.1,2.79,2.4,2.32,1.81,1.69,1.67,1.61,1.49,1.45,1.45,1.39,1.36,1.34,1.22,1.18,1.25,1.32,1.42,1.12,1.04,0.94,1.1,0.98,0.97,0.93,0.9,0.9,0.87,0.92,0.83,0.76,0.82,0.75,0.75,0.72,0.75,0.69,0.77,0.61,0.56,0.68,0.58,0.49,0.46,0.58,0.45,0.44,0.4,0.37,0.38,0.35,0.4,0.36,0.35,0.33,0.33,0.33,0.35,0.3,0.35,0.3,0.3,0.28,0.27,0.3,0.23,0.23,0.24,0.21,0.2,0.19,0.2,0.21,0.19,0.19,0.2,0.19,0.19,0.16,0.16,0.14,0.15,0.15,0.15,0.15,0.14,0.13,0.13,0.13,0.13,0.12,0.14,0.12,0.11,0.11,0.1,0.11,0.11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/15/2021,9.06,7.62,8.06,4.1,4.34,4.06,2.83,2.4,2.41,1.85,1.68,1.67,1.56,1.49,1.49,1.44,1.38,1.34,1.33,1.22,1.2,1.23,1.33,1.54,1.1,1.02,0.95,1.09,0.96,0.96,0.91,0.89,0.89,0.9,0.94,0.81,0.76,0.81,0.76,0.74,0.71,0.77,0.69,0.78,0.6,0.55,0.72,0.58,0.51,0.49,-0.01,0.45,0.43,0.39,0.36,0.38,0.34,0.45,0.36,0.36,0.32,0.32,0.33,0.37,0.31,0.35,0.3,0.29,0.27,0.29,0.34,0.23,0.24,0.24,0.21,0.19,0.19,0.2,0.21,0.19,0.18,0.2,0.19,0.19,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.13,0.13,0.13,0.13,0.13,0.14,0.12,0.11,0.11,0.1,0.11,0.0,0.0,0.22,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/16/2021,8.84,7.75,7.97,4.17,4.39,4.08,2.85,2.44,2.44,1.91,1.67,1.67,1.57,1.48,1.48,1.44,1.39,1.35,1.34,1.17,1.18,1.25,1.23,1.5,1.1,1.02,0.98,1.09,0.95,0.94,0.89,0.89,0.89,0.89,0.94,0.79,0.76,0.83,0.76,0.74,0.7,0.75,0.69,0.77,0.6,0.55,0.73,0.56,0.51,0.48,-0.01,0.44,0.44,0.39,0.39,0.38,0.35,0.48,0.36,0.36,0.32,0.32,0.36,0.36,0.32,0.34,0.3,0.29,0.27,0.3,0.33,0.22,0.24,0.24,0.21,0.19,0.2,0.2,0.21,0.2,0.18,0.2,0.19,0.19,0.15,0.15,0.16,0.15,0.15,0.16,0.15,0.16,0.14,0.13,0.13,0.12,0.13,0.14,0.0,0.12,0.11,0.1,0.0,0.0,0.0,0.23,0.1,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03999999999998
07/19/2021,8.82,7.76,7.79,3.76,4.21,3.96,2.69,2.39,2.4,1.66,1.61,1.63,1.59,1.54,1.43,1.46,1.34,1.34,1.33,1.09,1.16,1.23,1.21,1.51,1.05,1.01,0.92,1.2,0.98,0.93,0.86,0.88,0.9,0.87,0.96,0.82,0.76,0.78,0.74,0.74,0.7,0.82,0.69,0.72,0.6,0.0,0.67,0.54,0.51,0.47,-0.01,0.43,0.44,0.38,0.41,0.38,0.34,0.48,0.33,0.35,0.31,0.31,0.37,0.33,0.32,0.35,0.29,0.29,0.28,0.29,0.29,0.23,0.23,0.24,0.21,0.19,0.2,0.2,0.21,0.2,0.18,0.2,0.18,0.18,0.15,0.15,0.16,0.14,0.14,0.15,0.15,0.16,0.13,0.13,0.13,0.0,0.13,0.14,0.0,0.15,0.11,0.1,0.12,0.0,0.13,0.2,0.0,0.0,0.11,1.89,0.6,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/20/2021,8.82,7.76,7.79,3.76,4.21,3.96,2.69,2.39,2.4,1.66,1.61,1.63,1.59,1.54,1.43,1.46,1.34,1.34,1.33,1.09,1.16,1.23,1.21,1.51,1.05,1.01,0.92,1.2,0.98,0.93,0.86,0.88,0.9,0.87,0.96,0.82,0.76,0.78,0.74,0.74,0.7,0.82,0.69,0.72,0.6,0.0,0.67,0.54,0.51,0.47,-0.01,0.43,0.44,0.38,0.41,0.38,0.34,0.48,0.33,0.35,0.31,0.31,0.37,0.33,0.32,0.35,0.29,0.29,0.28,0.29,0.29,0.23,0.23,0.24,0.21,0.19,0.2,0.2,0.21,0.2,0.18,0.2,0.18,0.18,0.15,0.15,0.16,0.14,0.14,0.15,0.15,0.16,0.13,0.13,0.13,0.0,0.13,0.14,0.0,0.15,0.11,0.1,0.12,0.0,0.13,0.2,0.0,0.0,0.11,1.89,0.6,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/21/2021,8.82,7.8,7.3,3.85,4.17,4.0,2.68,2.47,2.57,1.66,1.66,1.59,1.6,1.53,1.44,1.47,1.32,1.36,1.33,1.11,1.17,1.23,1.16,1.45,1.12,1.02,0.95,1.16,0.99,0.92,0.85,0.9,0.9,0.86,0.93,0.84,0.75,0.79,0.75,0.74,0.71,0.81,0.69,0.79,0.6,0.0,0.7,0.52,0.5,0.46,-0.02,0.47,0.42,0.37,0.41,0.39,0.35,0.46,0.33,0.36,0.32,0.31,0.39,0.32,0.31,0.34,0.29,0.3,0.28,0.3,0.28,0.22,0.24,0.23,0.21,0.2,0.2,0.2,0.22,0.2,0.18,0.2,0.19,0.18,0.15,0.16,0.16,0.14,0.14,0.16,0.15,0.15,0.0,0.13,0.13,0.13,0.12,0.13,0.0,0.14,0.12,0.1,0.12,0.0,0.13,0.2,0.0,0.0,0.12,1.84,0.6,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97999999999998
07/22/2021,8.82,7.68,7.25,3.92,4.15,3.99,2.71,2.44,2.61,1.72,1.69,1.52,1.56,1.5,1.49,1.49,1.34,1.34,1.33,1.1,1.16,1.24,1.21,1.44,1.12,1.01,0.94,1.18,0.97,0.92,0.85,0.91,0.9,0.85,0.94,0.83,0.77,0.79,0.76,0.75,0.73,0.87,0.69,0.81,0.6,0.0,0.68,0.52,0.5,0.46,-0.02,0.49,0.42,0.37,0.4,0.39,0.36,0.46,0.35,0.36,0.33,0.31,0.39,0.32,0.32,0.34,0.3,0.3,0.29,0.3,0.29,0.22,0.24,0.24,0.21,0.2,0.21,0.2,0.21,0.2,0.18,0.2,0.19,0.18,0.15,0.16,0.17,0.14,0.14,0.16,0.15,0.15,0.0,0.14,0.13,0.13,0.0,0.13,0.12,0.14,0.12,0.1,0.12,0.0,0.13,0.2,0.0,0.0,0.0,1.72,0.59,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
