,DAPXX,Bank Of New York Cash Reserve,Goldman Finl Sq Trsry Ins,FTIXX,Cash,Dow Jones Internet Composite Index Swap,SUM
07/09/2021,66.21,58.05,0.01,0.0,-0.33,-23.94,100.0
07/12/2021,66.21,58.05,0.01,0.0,-0.33,-23.94,100.0
07/13/2021,66.21,58.05,0.01,0.0,-0.33,-23.94,100.0
07/14/2021,66.21,58.05,0.01,0.0,-0.33,-23.94,100.0
07/15/2021,66.21,58.05,0.01,0.0,-0.33,-23.94,100.0
07/16/2021,66.21,58.05,0.01,0.0,-0.33,-23.94,100.0
07/19/2021,66.21,58.05,0.01,0.0,-0.33,-23.94,100.0
07/20/2021,66.21,58.05,0.01,0.0,-0.33,-23.94,100.0
07/21/2021,66.21,58.05,0.01,0.0,-0.33,-23.94,100.0
07/22/2021,66.21,58.05,0.01,0.0,-0.33,-23.94,100.0
07/23/2021,66.21,58.05,0.01,0.0,-0.33,-23.94,100.0
07/26/2021,66.21,58.05,0.01,0.0,-0.33,-23.94,100.0
07/27/2021,66.21,58.05,0.01,0.0,-0.33,-23.94,100.0
