,EXR,PSA,AMH,MAA,INVH,CPT,AVB,UDR,EQR,ELS,ESS,SUI,HST,CUBE,LSI,AIRC,ACC,PK,RHP,NSA,APLE,PEB,SHO,RLJ,XHR,SVC,DRH,IRT,NXRT,AIV,CSR,INN,CLDT,HT,Us Dollars,United States Treasury Bills,Hersha Hospitality Trust,FHLBDN 0 09/10/13,n/a,WRE,SUM
07/09/2021,5.28,5.17,5.09,5.09,5.08,5.08,5.04,5.03,4.97,4.96,4.95,4.94,4.86,4.66,4.14,3.76,3.25,2.37,2.09,1.73,1.58,1.54,1.32,1.23,1.05,1.03,1.01,0.93,0.62,0.51,0.5,0.49,0.3,0.19,0.09,0.06,0.0,0.0,0.0,0.0,99.99
07/12/2021,5.32,5.2,5.17,5.24,5.23,5.2,5.13,5.12,5.04,5.06,5.05,5.06,4.64,4.68,4.2,3.78,3.25,2.2,2.01,1.74,1.5,1.42,1.24,1.12,0.99,0.97,0.93,0.93,0.62,0.51,0.51,0.46,0.28,0.0,0.06,0.0,0.18,0.0,0.0,0.0,100.04
07/13/2021,5.32,5.2,5.17,5.24,5.23,5.2,5.13,5.12,5.04,5.06,5.05,5.06,4.64,4.68,4.2,3.78,3.25,2.2,2.01,1.74,1.5,1.42,1.24,1.12,0.99,0.97,0.93,0.93,0.62,0.51,0.51,0.46,0.28,0.0,0.06,0.0,0.18,0.0,0.0,0.0,100.04
07/14/2021,5.32,5.17,5.18,5.22,5.19,5.18,5.11,5.1,5.02,5.03,5.03,5.03,4.68,4.68,4.2,3.75,3.25,2.23,2.05,1.74,1.5,1.45,1.25,1.14,1.0,0.99,0.95,0.93,0.62,0.52,0.51,0.47,0.29,0.0,0.05,0.0,0.18,0.0,0.0,0.0,100.01
07/15/2021,5.32,5.16,5.15,5.23,5.17,5.17,5.13,5.09,5.02,5.01,5.05,5.0,4.64,4.68,4.18,3.75,3.26,2.22,2.11,1.75,1.5,1.45,1.24,1.14,1.01,0.99,0.95,0.94,0.63,0.52,0.52,0.47,0.29,0.0,0.12,0.0,0.18,0.0,0.0,0.0,100.04000000000002
07/16/2021,5.32,5.19,5.19,5.26,5.2,5.21,5.16,5.13,5.03,5.03,5.08,5.03,4.57,4.67,4.17,3.75,3.27,2.15,2.08,1.75,1.47,1.43,1.21,1.14,0.99,0.96,0.93,0.94,0.63,0.51,0.52,0.46,0.29,0.0,0.12,0.0,0.18,0.0,0.0,0.0,100.02000000000002
07/19/2021,5.28,5.17,5.19,5.28,5.16,5.22,5.17,5.15,5.09,5.04,5.11,5.06,4.45,4.65,4.15,3.83,3.3,2.12,2.08,1.75,1.48,1.44,1.21,1.14,0.99,0.94,0.94,0.96,0.65,0.51,0.53,0.46,0.29,0.0,0.04,0.0,0.18,0.0,0.0,0.0,100.01000000000002
07/20/2021,5.26,5.18,5.2,5.31,5.17,5.26,5.19,5.2,5.12,5.1,5.13,5.09,4.35,4.66,4.17,3.85,3.32,2.07,2.06,1.75,1.44,1.4,1.17,1.1,0.96,0.92,0.91,0.96,0.64,0.5,0.54,0.45,0.28,0.0,0.12,0.0,0.17,0.0,0.0,0.0,100.0
07/21/2021,5.26,5.18,5.2,5.31,5.17,5.26,5.19,5.2,5.12,5.1,5.13,5.09,4.35,4.66,4.17,3.85,3.32,2.07,2.06,1.75,1.44,1.4,1.17,1.1,0.96,0.92,0.91,0.96,0.64,0.5,0.54,0.45,0.28,0.0,0.12,0.0,0.17,0.0,0.0,0.0,100.0
07/22/2021,5.26,5.18,5.2,5.31,5.17,5.26,5.19,5.2,5.12,5.1,5.13,5.09,4.35,4.66,4.17,3.85,3.32,2.07,2.06,1.75,1.44,1.4,1.17,1.1,0.96,0.92,0.91,0.96,0.64,0.5,0.54,0.45,0.28,0.0,0.12,0.0,0.17,0.0,0.0,0.0,100.0
07/23/2021,5.19,5.13,5.21,5.34,5.19,5.33,5.24,5.26,5.16,5.17,5.15,5.16,4.28,4.59,4.12,3.83,3.31,2.08,2.01,1.74,1.43,1.4,1.18,1.1,0.95,0.89,0.89,0.97,0.65,0.49,0.55,0.45,0.27,0.0,0.15,0.0,0.17,0.0,0.0,0.0,100.03
07/26/2021,5.15,5.09,5.14,5.31,5.14,5.31,5.15,5.29,5.11,5.18,5.11,5.15,4.32,4.59,4.14,3.84,3.27,2.09,2.13,1.78,1.46,1.43,1.2,1.13,0.98,0.91,0.91,0.96,0.64,0.47,0.56,0.47,0.28,0.0,0.15,0.0,0.17,0.0,0.0,0.0,100.01
07/27/2021,5.17,5.11,5.18,5.32,5.17,5.3,5.15,5.29,5.11,5.18,5.12,5.13,4.24,4.64,4.19,3.84,3.26,2.08,2.05,2.0,1.43,1.39,1.17,1.12,0.95,0.88,0.87,0.96,0.65,0.47,0.56,0.45,0.27,0.0,0.15,0.0,0.16,0.0,0.0,0.0,100.01
07/28/2021,5.17,5.11,5.18,5.32,5.17,5.3,5.15,5.29,5.11,5.18,5.12,5.13,4.24,4.64,4.19,3.84,3.26,2.08,2.05,2.0,1.43,1.39,1.17,1.12,0.95,0.88,0.87,0.96,0.65,0.47,0.56,0.45,0.27,0.0,0.15,0.0,0.16,0.0,0.0,0.0,100.01
07/29/2021,5.14,5.1,5.15,5.29,5.13,5.26,5.13,5.3,5.09,5.17,5.1,5.15,4.34,4.61,4.16,3.81,3.25,2.12,2.03,1.99,1.45,1.42,1.2,1.13,0.97,0.89,0.89,0.96,0.65,0.48,0.56,0.46,0.28,0.0,0.16,0.0,0.17,0.0,0.0,0.0,99.99
