,NESN.SW,ASML.AS,ROG.SW,MC.PA,NOVN.SW,7203.T,AZN.L,ULVR.L,1299.HK,SAP.DE,NOVO B.CO,CBA.AX,6758.T,SIE.DE,HSBA.L,SAN.PA,DGE.L,TTE.PA,OR.PA,BHP.AX,ALV.DE,6861.T,GSK.L,CSL.AX,RIO.L,SU.PA,BP.L,9984.T,BATS.L,RDSA.AS,AI.PA,AIR.PA,ENEL.MI,DAI.DE,RYDBF,IBE.MC,WBC.AX,ADS.DE,BAS.DE,DTE.DE,6098.T,BNP.PA,388.HK,DPW.DE,7974.T,8306.T,SAN.MC,KER.PA,NAB.AX,RITN.,8035.T,RKT.L,BHP.L,4063.T,ANZ.AX,ABBN.SW,ZURN.SW,BAYN.DE,DG.PA,6501.T,UBSG.SW,4502.T,AAL.L,6594.T,ABI.BR,7267.T,REL.L,LONN.SW,EL.PA,7741.T,IFX.DE,INGA.AS,DSV.CO,PRU.L,ADYEN.AS,6367.T,WES.AX,CS.PA,9433.T,SAF.PA,SIKA.SW,BN.PA,6954.T,6981.T,RMS.PA,8316.T,LLOY.L,VOD.L,VOW3.DE,NG.L,ISP.MI,PRX.AS,RI.PA,PHIA.AS,9983.T,GIVN.SW,INVE B.ST,GLEN.L,BBVA.MC,MQG.AX,VWS.CO,STLA.MI,BARC.L,D05.SI,ATCO A.ST,CRH.L,CPG.L,ITX.MC,MUV2.DE,ERIC B.ST,NDA SE.ST,3382.T,LSEG.L,4568.T,8031.T,VNA.DE,EXPN.L,EUR,6702.T,9434.T,8001.T,SGO.PA,AHT.L,VOLV B.ST,6273.T,RIO.AX,8411.T,WOW.AX,PGHN.SW,8058.T,ALC.SW,BMW.DE,9432.T,CLNX.MC,DB1.DE,DSY.PA,4503.T,DSM.AS,2413.T,FERG.L,AMS.MC,TCL.AX,FMG.AX,4661.T,O39.SI,4452.T,6902.T,HOLN.SW,HEIA.AS,ENI.MI,FLTR.L,ASSA B.ST,CAP.PA,AD.AS,GMAB.CO,GEBN.SW,ORSTED.CO,SAND.ST,EVO.ST,LR.PA,HEXA B.ST,4911.T,8766.T,NOKIA.HE,MRK.DE,STM.PA,GMG.AX,DBK.DE,RACE.MI,4543.T,4519.T,6752.T,NESTE.HE,5108.T,4901.T,ML.PA,WKL.AS,SREN.SW,KNEBV.HE,EOAN.DE,GLE.PA,BA.L,TEF.MC,BT.A.L,U11.SI,RWE.DE,TEP.PA,669.HK,VIV.PA,6503.T,UCG.MI,ENGI.PA,CSGN.SW,TSCO.L,8801.T,9020.T,G.MI,SSE.L,6301.T,LGEN.L,DSYA.,AKZA.AS,7733.T,LOGN.SW,ORA.PA,FRE.DE,SOON.SW,AV.L,MT.AS,2914.T,SAMPO.HE,688185.SS,ZAL.DE,7751.T,KRZ.IR,6326.T,9022.T,DWNI.DE,WLN.PA,DHER.DE,SEB A.ST,UPM.HE,ATCOB.ST,COLO B.CO,8591.T,7309.T,GBP,JPY,CFR.SW,SE,EQNR.OL,8750.T,AUD,2502.T,6869.T,STMN.SW,n/a,KBC.BR,DNB.OL,ASM.AS,SUM
07/09/2021,1.77,1.42,1.32,1.06,1.0,0.92,0.78,0.77,0.74,0.73,0.72,0.64,0.63,0.59,0.58,0.57,0.55,0.55,0.54,0.53,0.51,0.49,0.49,0.47,0.45,0.43,0.43,0.42,0.42,0.41,0.41,0.38,0.38,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.21
07/12/2021,1.81,1.4,1.35,1.04,1.01,0.93,0.77,0.77,0.73,0.76,0.74,0.65,0.63,0.59,0.57,0.57,0.55,0.54,0.54,0.54,0.5,0.5,0.49,0.47,0.45,0.42,0.43,0.42,0.41,0.41,0.41,0.38,0.38,0.36,0.36,0.35,0.35,0.35,0.36,0.35,0.34,0.33,0.36,0.34,0.32,0.32,0.31,0.31,0.32,0.31,0.31,0.31,0.31,0.29,0.29,0.3,0.29,0.29,0.28,0.28,0.27,0.26,0.25,0.26,0.26,0.26,0.26,0.27,0.26,0.25,0.25,0.24,0.25,0.24,0.24,0.25,0.25,0.24,0.25,0.23,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.23,0.22,0.22,0.22,0.21,0.21,0.22,0.21,0.21,0.2,0.2,0.2,0.19,0.2,0.19,0.2,0.19,0.18,0.19,0.18,0.19,0.18,0.17,0.17,0.18,0.18,0.18,0.18,0.18,0.19,0.19,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.18,0.17,0.18,0.17,0.16,0.17,0.16,0.16,0.0,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.16,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.15,0.15,0.13,0.12,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.0,0.12,0.0,0.0,0.0,0.12,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.0,0.11,0.11,0.11,0.0,0.16,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.24
07/13/2021,1.81,1.4,1.35,1.04,1.01,0.93,0.77,0.77,0.73,0.76,0.74,0.65,0.63,0.59,0.57,0.57,0.55,0.54,0.54,0.54,0.5,0.5,0.49,0.47,0.45,0.42,0.43,0.42,0.41,0.41,0.41,0.38,0.38,0.36,0.36,0.35,0.35,0.35,0.36,0.35,0.34,0.33,0.36,0.34,0.32,0.32,0.31,0.31,0.32,0.31,0.31,0.31,0.31,0.29,0.29,0.3,0.29,0.29,0.28,0.28,0.27,0.26,0.25,0.26,0.26,0.26,0.26,0.27,0.26,0.25,0.25,0.24,0.25,0.24,0.24,0.25,0.25,0.24,0.25,0.23,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.23,0.22,0.22,0.22,0.21,0.21,0.22,0.21,0.21,0.2,0.2,0.2,0.19,0.2,0.19,0.2,0.19,0.18,0.19,0.18,0.19,0.18,0.17,0.17,0.18,0.18,0.18,0.18,0.18,0.19,0.19,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.18,0.17,0.18,0.17,0.16,0.17,0.16,0.16,0.0,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.16,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.15,0.15,0.13,0.12,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.0,0.12,0.0,0.0,0.0,0.12,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.0,0.11,0.11,0.11,0.0,0.16,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.24
07/14/2021,1.79,1.43,1.33,1.08,1.02,0.92,0.77,0.77,0.73,0.76,0.74,0.64,0.62,0.59,0.57,0.58,0.55,0.55,0.55,0.54,0.51,0.49,0.49,0.46,0.47,0.43,0.43,0.41,0.41,0.41,0.41,0.39,0.38,0.37,0.36,0.35,0.34,0.35,0.37,0.35,0.33,0.33,0.36,0.34,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.33,0.28,0.29,0.31,0.3,0.29,0.28,0.28,0.27,0.26,0.26,0.25,0.26,0.25,0.26,0.27,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.25,0.25,0.24,0.24,0.23,0.22,0.23,0.23,0.22,0.23,0.22,0.23,0.23,0.22,0.22,0.22,0.21,0.21,0.22,0.21,0.22,0.2,0.2,0.19,0.2,0.2,0.19,0.21,0.19,0.19,0.19,0.19,0.19,0.18,0.17,0.17,0.17,0.17,0.18,0.18,0.18,0.19,0.19,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.0,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.14,0.15,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.15,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.14,0.13,0.14,0.14,0.13,0.12,0.12,0.0,0.0,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.0,0.11,0.11,0.11,0.0,0.11,0.16,0.12,0.12,0.11,0.0,0.0,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.400000000000006
07/15/2021,1.79,1.43,1.33,1.08,1.02,0.92,0.77,0.77,0.73,0.76,0.74,0.64,0.62,0.59,0.57,0.58,0.55,0.55,0.55,0.54,0.51,0.49,0.49,0.46,0.47,0.43,0.43,0.41,0.41,0.41,0.41,0.39,0.38,0.37,0.36,0.35,0.34,0.35,0.37,0.35,0.33,0.33,0.36,0.34,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.33,0.28,0.29,0.31,0.3,0.29,0.28,0.28,0.27,0.26,0.26,0.25,0.26,0.25,0.26,0.27,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.25,0.25,0.24,0.24,0.23,0.22,0.23,0.23,0.22,0.23,0.22,0.23,0.23,0.22,0.22,0.22,0.21,0.21,0.22,0.21,0.22,0.2,0.2,0.19,0.2,0.2,0.19,0.21,0.19,0.19,0.19,0.19,0.19,0.18,0.17,0.17,0.17,0.17,0.18,0.18,0.18,0.19,0.19,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.0,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.14,0.15,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.15,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.14,0.13,0.14,0.14,0.13,0.12,0.12,0.0,0.0,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.0,0.11,0.11,0.11,0.0,0.11,0.16,0.12,0.12,0.11,0.0,0.0,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.400000000000006
07/16/2021,1.78,1.45,1.33,1.08,1.01,0.93,0.78,0.77,0.74,0.77,0.73,0.63,0.65,0.59,0.57,0.58,0.55,0.54,0.55,0.54,0.5,0.5,0.49,0.46,0.46,0.43,0.42,0.42,0.41,0.4,0.41,0.38,0.38,0.36,0.36,0.35,0.34,0.35,0.36,0.35,0.34,0.33,0.36,0.33,0.32,0.33,0.31,0.32,0.32,0.31,0.31,0.31,0.32,0.29,0.29,0.3,0.29,0.29,0.28,0.29,0.27,0.26,0.26,0.26,0.26,0.26,0.27,0.27,0.26,0.25,0.25,0.24,0.25,0.24,0.25,0.24,0.24,0.24,0.25,0.23,0.24,0.22,0.24,0.23,0.23,0.22,0.22,0.22,0.23,0.23,0.22,0.22,0.22,0.21,0.21,0.22,0.22,0.21,0.2,0.19,0.19,0.19,0.2,0.2,0.21,0.19,0.18,0.18,0.19,0.19,0.18,0.17,0.17,0.18,0.18,0.18,0.19,0.18,0.18,0.19,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.0,0.16,0.16,0.15,0.16,0.14,0.15,0.15,0.14,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.16,0.16,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.15,0.16,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.13,0.12,0.12,0.0,0.0,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.0,0.11,0.11,0.17,0.12,0.12,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.42
07/19/2021,1.78,1.47,1.34,1.07,1.0,0.93,0.75,0.77,0.74,0.76,0.74,0.64,0.65,0.58,0.57,0.58,0.56,0.53,0.55,0.56,0.51,0.5,0.48,0.46,0.47,0.43,0.41,0.42,0.42,0.39,0.41,0.38,0.38,0.37,0.35,0.34,0.34,0.35,0.36,0.35,0.34,0.33,0.37,0.34,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.33,0.28,0.29,0.3,0.29,0.29,0.27,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.27,0.26,0.26,0.25,0.25,0.24,0.25,0.24,0.25,0.25,0.24,0.25,0.25,0.22,0.24,0.22,0.23,0.23,0.23,0.22,0.23,0.21,0.23,0.22,0.22,0.23,0.22,0.21,0.21,0.22,0.22,0.22,0.2,0.19,0.18,0.19,0.2,0.19,0.21,0.19,0.18,0.17,0.19,0.19,0.18,0.17,0.17,0.17,0.18,0.18,0.19,0.18,0.18,0.19,0.17,0.17,0.17,0.17,0.17,0.18,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.0,0.16,0.16,0.15,0.16,0.14,0.15,0.16,0.14,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.16,0.16,0.15,0.14,0.14,0.13,0.14,0.13,0.14,0.15,0.14,0.15,0.15,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.13,0.13,0.12,0.13,0.13,0.14,0.14,0.14,0.13,0.12,0.12,0.0,0.0,0.0,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.11,0.11,0.11,0.0,0.11,0.17,0.12,0.12,0.0,0.0,0.11,0.0,0.0,0.11,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.33000000000001
07/20/2021,1.78,1.47,1.34,1.07,1.0,0.93,0.75,0.77,0.74,0.76,0.74,0.64,0.65,0.58,0.57,0.58,0.56,0.53,0.55,0.56,0.51,0.5,0.48,0.46,0.47,0.43,0.41,0.42,0.42,0.39,0.41,0.38,0.38,0.37,0.35,0.34,0.34,0.35,0.36,0.35,0.34,0.33,0.37,0.34,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.33,0.28,0.29,0.3,0.29,0.29,0.27,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.27,0.26,0.26,0.25,0.25,0.24,0.25,0.24,0.25,0.25,0.24,0.25,0.25,0.22,0.24,0.22,0.23,0.23,0.23,0.22,0.23,0.21,0.23,0.22,0.22,0.23,0.22,0.21,0.21,0.22,0.22,0.22,0.2,0.19,0.18,0.19,0.2,0.19,0.21,0.19,0.18,0.17,0.19,0.19,0.18,0.17,0.17,0.17,0.18,0.18,0.19,0.18,0.18,0.19,0.17,0.17,0.17,0.17,0.17,0.18,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.0,0.16,0.16,0.15,0.16,0.14,0.15,0.16,0.14,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.16,0.16,0.15,0.14,0.14,0.13,0.14,0.13,0.14,0.15,0.14,0.15,0.15,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.13,0.13,0.12,0.13,0.13,0.14,0.14,0.14,0.13,0.12,0.12,0.0,0.0,0.0,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.11,0.11,0.11,0.0,0.11,0.17,0.12,0.12,0.0,0.0,0.11,0.0,0.0,0.11,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.33000000000001
07/21/2021,1.8,1.44,1.36,1.06,1.01,0.94,0.75,0.78,0.74,0.77,0.75,0.64,0.63,0.58,0.56,0.58,0.56,0.53,0.55,0.56,0.5,0.5,0.49,0.46,0.45,0.42,0.41,0.42,0.42,0.39,0.41,0.38,0.38,0.36,0.35,0.35,0.34,0.35,0.36,0.36,0.34,0.33,0.38,0.34,0.32,0.32,0.31,0.32,0.31,0.31,0.31,0.32,0.32,0.29,0.29,0.3,0.3,0.29,0.28,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.27,0.26,0.25,0.24,0.24,0.24,0.25,0.24,0.25,0.25,0.25,0.24,0.25,0.23,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.22,0.23,0.21,0.23,0.23,0.21,0.2,0.22,0.22,0.21,0.2,0.2,0.18,0.19,0.2,0.2,0.21,0.19,0.18,0.18,0.19,0.17,0.18,0.17,0.17,0.17,0.18,0.18,0.19,0.0,0.18,0.19,0.17,0.17,0.17,0.17,0.17,0.18,0.17,0.18,0.18,0.17,0.17,0.16,0.17,0.16,0.16,0.0,0.16,0.16,0.15,0.16,0.14,0.15,0.16,0.14,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.15,0.16,0.16,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.15,0.16,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.13,0.13,0.12,0.13,0.13,0.14,0.14,0.14,0.14,0.11,0.12,0.11,0.11,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.18,0.12,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.37000000000001
07/22/2021,1.83,1.44,1.37,1.06,1.01,0.95,0.75,0.79,0.73,0.76,0.77,0.64,0.64,0.57,0.55,0.59,0.55,0.52,0.56,0.55,0.49,0.5,0.49,0.48,0.45,0.42,0.39,0.42,0.41,0.38,0.41,0.36,0.37,0.36,0.34,0.35,0.34,0.35,0.35,0.35,0.35,0.32,0.39,0.34,0.32,0.33,0.3,0.32,0.31,0.31,0.31,0.32,0.31,0.29,0.29,0.3,0.29,0.29,0.27,0.28,0.27,0.27,0.25,0.26,0.25,0.26,0.27,0.27,0.25,0.25,0.24,0.23,0.25,0.24,0.25,0.26,0.25,0.24,0.26,0.22,0.24,0.23,0.23,0.23,0.23,0.22,0.21,0.21,0.22,0.23,0.21,0.23,0.23,0.21,0.2,0.23,0.22,0.2,0.2,0.2,0.18,0.18,0.19,0.2,0.22,0.19,0.17,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.18,0.19,0.19,0.17,0.18,0.19,0.18,0.17,0.17,0.16,0.17,0.18,0.17,0.18,0.18,0.18,0.17,0.16,0.17,0.16,0.16,0.0,0.16,0.17,0.15,0.16,0.14,0.14,0.16,0.14,0.15,0.15,0.14,0.15,0.15,0.14,0.14,0.16,0.16,0.16,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.15,0.15,0.13,0.13,0.14,0.12,0.13,0.12,0.13,0.13,0.13,0.12,0.13,0.13,0.14,0.13,0.14,0.14,0.0,0.12,0.0,0.0,0.0,0.11,0.12,0.12,0.12,0.12,0.0,0.12,0.12,0.12,0.0,0.0,0.11,0.11,0.0,0.0,0.17,0.12,0.12,0.0,0.0,0.11,0.0,0.0,0.0,0.12,0.12,0.0,0.12,0.12,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.260000000000005
