,AAPL,MSFT,AMZN,FB,GOOG,GOOGL,NVDA,TSLA,JPM,V,JNJ,HD,DIS,ADBE,MA,UNH,PYPL,BAC,PG,BRK.B,PEP,KO,NEE,CSCO,TXN,INTC,CRM,XOM,VZ,NFLX,NKE,CMCSA,AXP,BLK,TMO,MMM,RTX,HON,LLY,MRK,C,ACN,CVX,MS,INTU,IBM,ABBV,LIN,T,LOW,AMGN,AMAT,AMT,BMY,MCD,PFE,COST,ABT,ZTS,TGT,ADP,UPS,MMC,JCI,ORCL,GILD,CAT,PLD,NOW,EQIX,UNP,LRCX,AVGO,QCOM,ECL,CL,XYL,COP,A,CI,DHR,SBUX,WST,ISRG,SPGI,CCI,EW,EXPD,DE,GE,TT,LHX,AMD,KMB,INFO,CSX,ES,TFC,CVS,PEG,SQ,ADSK,GS,IDXX,MET,ANTM,NSC,K,BKNG,SCHW,CME,XTSLA,ILMN,SLB,APTV,EXC,MU,SRE,BK,PNC,MELI,CB,WAT,MCO,HLT,ED,VRTX,TJX,HCA,TWLO,BIIB,FIS,MDT,GWW,ZM,PEAK,ROP,TROW,RF,CBRE,PRU,MDLZ,FDX,TRV,PPG,HBAN,DXCM,WDAY,MRNA,BBY,ANSS,SNAP,PODD,ADM,WY,FISV,NTRS,ITW,DOCU,VFC,AMCR,CERN,WELL,CMI,MSI,STT,RMD,OKTA,HUM,AIG,NEM,APD,CLX,MTD,KSU,SNPS,SHW,HRL,HES,BDX,IFF,TMUS,DD,UBER,LULU,GIS,TRMB,PINS,HPE,TWTR,CDNS,USB,MRVL,ROKU,EBAY,CRWD,KR,NXPI,PSX,ALLY,EQR,SPG,IPG,FAST,KEYS,DGX,KDP,CARR,CHRW,REGN,ATVI,HOLX,EXAS,SPLK,HPQ,CMG,HUBS,ALGN,GE.,FTV,TDY,MPC,RHI,XLNX,ADI,BLL,HII,SNOW,IEX,ETR,DOW,LDOS,VTR,HAS,CZR,MDB,BG,MTN,OXY,SIVB,ON,MOS,NET,BKR,LNG,OKE,ETSY,MKC,ICE,STE,DFS,BXP,SYF,n/a,TAP,VLO,HAL,VMW,EOG,DISCK,PLUG,DRI,IQV,MGM,ZBRA,HWM,BF.B,J,ZI,MAR,PTC,BWA,PNR,ODFL,ROST,RNG,BILL,STX,CNC,LH,BKI,CTVA,VIAC,DOV,ARE,CBOE,LUMN,LII,SWKS,CPRT,ABNB,COUP,SUM
07/09/2021,5.97,5.23,3.98,2.03,1.98,1.85,1.45,1.32,1.21,1.09,1.03,1.0,0.91,0.9,0.87,0.86,0.85,0.84,0.81,0.79,0.73,0.73,0.72,0.71,0.69,0.65,0.65,0.62,0.58,0.57,0.57,0.56,0.53,0.53,0.52,0.52,0.52,0.51,0.5,0.5,0.5,0.5,0.49,0.48,0.47,0.47,0.47,0.46,0.45,0.43,0.43,0.43,0.42,0.42,0.42,0.4,0.4,0.39,0.39,0.38,0.38,0.36,0.35,0.35,0.34,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.82
07/12/2021,6.05,5.26,4.06,2.0,1.98,1.84,1.4,1.31,1.2,1.08,1.04,1.01,0.91,0.92,0.86,0.86,0.86,0.81,0.82,0.78,0.74,0.73,0.72,0.72,0.68,0.65,0.65,0.62,0.58,0.56,0.57,0.57,0.52,0.52,0.52,0.53,0.52,0.51,0.51,0.51,0.49,0.51,0.49,0.47,0.47,0.48,0.48,0.47,0.44,0.43,0.43,0.41,0.43,0.42,0.42,0.4,0.41,0.39,0.39,0.38,0.38,0.37,0.35,0.35,0.35,0.33,0.32,0.32,0.32,0.33,0.31,0.32,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.28,0.28,0.28,0.28,0.26,0.26,0.27,0.27,0.25,0.26,0.25,0.24,0.26,0.25,0.24,0.24,0.23,0.24,0.24,0.25,0.22,0.23,0.21,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.23,0.21,0.21,0.2,0.2,0.2,0.2,0.21,0.21,0.21,0.22,0.21,0.21,0.2,0.2,0.22,0.2,0.2,0.2,0.18,0.19,0.19,0.18,0.17,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.15,0.16,0.14,0.15,0.16,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.0,0.13,0.0,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.0,0.0,0.13,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.85000000000001
07/13/2021,6.05,5.26,4.06,2.0,1.98,1.84,1.4,1.31,1.2,1.08,1.04,1.01,0.91,0.92,0.86,0.86,0.86,0.81,0.82,0.78,0.74,0.73,0.72,0.72,0.68,0.65,0.65,0.62,0.58,0.56,0.57,0.57,0.52,0.52,0.52,0.53,0.52,0.51,0.51,0.51,0.49,0.51,0.49,0.47,0.47,0.48,0.48,0.47,0.44,0.43,0.43,0.41,0.43,0.42,0.42,0.4,0.41,0.39,0.39,0.38,0.38,0.37,0.35,0.35,0.35,0.33,0.32,0.32,0.32,0.33,0.31,0.32,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.28,0.28,0.28,0.28,0.26,0.26,0.27,0.27,0.25,0.26,0.25,0.24,0.26,0.25,0.24,0.24,0.23,0.24,0.24,0.25,0.22,0.23,0.21,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.23,0.21,0.21,0.2,0.2,0.2,0.2,0.21,0.21,0.21,0.22,0.21,0.21,0.2,0.2,0.22,0.2,0.2,0.2,0.18,0.19,0.19,0.18,0.17,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.15,0.16,0.14,0.15,0.16,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.0,0.13,0.0,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.0,0.0,0.13,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.85000000000001
07/14/2021,6.07,5.21,4.0,2.0,1.97,1.82,1.4,1.3,1.22,1.08,1.03,1.01,0.92,0.91,0.86,0.86,0.87,0.83,0.81,0.79,0.73,0.73,0.71,0.72,0.68,0.65,0.64,0.62,0.57,0.56,0.57,0.56,0.53,0.53,0.52,0.53,0.52,0.52,0.5,0.5,0.5,0.5,0.49,0.48,0.47,0.48,0.47,0.47,0.44,0.43,0.43,0.42,0.42,0.42,0.42,0.4,0.41,0.39,0.39,0.38,0.38,0.37,0.35,0.35,0.36,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.29,0.28,0.28,0.28,0.28,0.28,0.26,0.26,0.27,0.26,0.25,0.25,0.25,0.25,0.25,0.26,0.24,0.24,0.23,0.24,0.24,0.25,0.23,0.23,0.22,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.21,0.2,0.2,0.2,0.18,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.16,0.17,0.16,0.16,0.17,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.13,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.0,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.0,0.12,0.13,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.80999999999999
07/15/2021,6.07,5.21,4.0,2.0,1.97,1.82,1.4,1.3,1.22,1.08,1.03,1.01,0.92,0.91,0.86,0.86,0.87,0.83,0.81,0.79,0.73,0.73,0.71,0.72,0.68,0.65,0.64,0.62,0.57,0.56,0.57,0.56,0.53,0.53,0.52,0.53,0.52,0.52,0.5,0.5,0.5,0.5,0.49,0.48,0.47,0.48,0.47,0.47,0.44,0.43,0.43,0.42,0.42,0.42,0.42,0.4,0.41,0.39,0.39,0.38,0.38,0.37,0.35,0.35,0.36,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.29,0.28,0.28,0.28,0.28,0.28,0.26,0.26,0.27,0.26,0.25,0.25,0.25,0.25,0.25,0.26,0.24,0.24,0.23,0.24,0.24,0.25,0.23,0.23,0.22,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.21,0.2,0.2,0.2,0.18,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.16,0.17,0.16,0.16,0.17,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.13,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.0,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.0,0.12,0.13,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.80999999999999
07/16/2021,6.09,5.27,3.96,2.01,1.99,1.85,1.41,1.33,1.22,1.1,1.03,0.99,0.96,0.91,0.89,0.87,0.87,0.83,0.81,0.79,0.75,0.74,0.71,0.71,0.69,0.66,0.63,0.62,0.57,0.57,0.57,0.56,0.54,0.53,0.51,0.53,0.52,0.52,0.5,0.5,0.5,0.51,0.49,0.5,0.47,0.47,0.48,0.46,0.44,0.43,0.43,0.42,0.42,0.42,0.42,0.4,0.4,0.38,0.39,0.39,0.38,0.36,0.34,0.35,0.35,0.33,0.33,0.32,0.32,0.32,0.31,0.32,0.32,0.31,0.32,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.29,0.28,0.27,0.28,0.28,0.27,0.27,0.25,0.27,0.27,0.25,0.25,0.24,0.24,0.25,0.25,0.24,0.23,0.23,0.24,0.25,0.24,0.23,0.24,0.22,0.22,0.22,0.23,0.22,0.22,0.22,0.21,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.18,0.19,0.19,0.18,0.18,0.17,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.16,0.15,0.14,0.16,0.16,0.16,0.16,0.17,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.13,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.13,0.14,0.14,0.14,0.0,0.0,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.0,0.0,0.13,0.0,0.12,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.93999999999998
07/19/2021,6.23,5.28,3.92,1.97,2.0,1.85,1.33,1.29,1.23,1.13,1.03,1.01,0.96,0.92,0.9,0.88,0.86,0.81,0.83,0.79,0.76,0.76,0.73,0.72,0.68,0.65,0.62,0.6,0.58,0.57,0.57,0.56,0.54,0.52,0.52,0.54,0.52,0.54,0.49,0.5,0.5,0.51,0.48,0.5,0.47,0.47,0.48,0.47,0.44,0.43,0.44,0.41,0.43,0.42,0.42,0.41,0.41,0.38,0.4,0.39,0.39,0.37,0.34,0.36,0.35,0.33,0.32,0.33,0.32,0.33,0.31,0.32,0.32,0.31,0.32,0.31,0.3,0.29,0.3,0.3,0.3,0.3,0.29,0.28,0.28,0.28,0.28,0.27,0.26,0.25,0.27,0.27,0.24,0.26,0.25,0.25,0.26,0.26,0.24,0.24,0.23,0.24,0.24,0.24,0.23,0.23,0.22,0.23,0.22,0.22,0.22,0.23,0.21,0.2,0.22,0.23,0.21,0.21,0.2,0.21,0.2,0.21,0.22,0.21,0.2,0.22,0.21,0.21,0.21,0.19,0.19,0.2,0.19,0.2,0.17,0.2,0.19,0.18,0.18,0.17,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.16,0.18,0.16,0.16,0.14,0.14,0.16,0.16,0.16,0.16,0.17,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.16,0.16,0.15,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.15,0.13,0.14,0.14,0.14,0.0,0.0,0.0,0.13,0.14,0.13,0.0,0.13,0.13,0.14,0.13,0.0,0.12,0.13,0.0,0.0,0.12,0.0,0.0,0.13,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.08999999999999
07/20/2021,6.23,5.28,3.92,1.97,2.0,1.85,1.33,1.29,1.23,1.13,1.03,1.01,0.96,0.92,0.9,0.88,0.86,0.81,0.83,0.79,0.76,0.76,0.73,0.72,0.68,0.65,0.62,0.6,0.58,0.57,0.57,0.56,0.54,0.52,0.52,0.54,0.52,0.54,0.49,0.5,0.5,0.51,0.48,0.5,0.47,0.47,0.48,0.47,0.44,0.43,0.44,0.41,0.43,0.42,0.42,0.41,0.41,0.38,0.4,0.39,0.39,0.37,0.34,0.36,0.35,0.33,0.32,0.33,0.32,0.33,0.31,0.32,0.32,0.31,0.32,0.31,0.3,0.29,0.3,0.3,0.3,0.3,0.29,0.28,0.28,0.28,0.28,0.27,0.26,0.25,0.27,0.27,0.24,0.26,0.25,0.25,0.26,0.26,0.24,0.24,0.23,0.24,0.24,0.24,0.23,0.23,0.22,0.23,0.22,0.22,0.22,0.23,0.21,0.2,0.22,0.23,0.21,0.21,0.2,0.21,0.2,0.21,0.22,0.21,0.2,0.22,0.21,0.21,0.21,0.19,0.19,0.2,0.19,0.2,0.17,0.2,0.19,0.18,0.18,0.17,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.16,0.18,0.16,0.16,0.14,0.14,0.16,0.16,0.16,0.16,0.17,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.16,0.16,0.15,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.15,0.13,0.14,0.14,0.14,0.0,0.0,0.0,0.13,0.14,0.13,0.0,0.13,0.13,0.14,0.13,0.0,0.12,0.13,0.0,0.0,0.12,0.0,0.0,0.13,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.08999999999999
07/21/2021,6.18,5.31,3.88,1.97,2.02,1.86,1.28,1.29,1.21,1.14,1.03,1.01,0.94,0.92,0.9,0.88,0.86,0.79,0.84,0.79,0.77,0.76,0.75,0.72,0.67,0.64,0.63,0.59,0.58,0.56,0.57,0.56,0.53,0.52,0.52,0.53,0.51,0.53,0.5,0.5,0.49,0.51,0.47,0.49,0.47,0.47,0.48,0.47,0.45,0.44,0.44,0.4,0.43,0.42,0.42,0.42,0.41,0.38,0.4,0.39,0.39,0.37,0.35,0.36,0.36,0.33,0.32,0.33,0.32,0.33,0.31,0.31,0.31,0.31,0.32,0.32,0.31,0.28,0.3,0.3,0.31,0.3,0.3,0.28,0.28,0.29,0.28,0.27,0.26,0.25,0.27,0.27,0.24,0.26,0.25,0.25,0.27,0.26,0.24,0.24,0.23,0.24,0.24,0.25,0.23,0.23,0.22,0.23,0.22,0.22,0.22,0.23,0.22,0.2,0.21,0.23,0.21,0.21,0.21,0.2,0.2,0.22,0.22,0.21,0.2,0.22,0.22,0.21,0.21,0.19,0.19,0.2,0.2,0.2,0.17,0.2,0.2,0.18,0.17,0.17,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.16,0.2,0.16,0.16,0.14,0.15,0.16,0.16,0.17,0.16,0.17,0.14,0.14,0.15,0.14,0.16,0.15,0.15,0.16,0.16,0.14,0.16,0.15,0.15,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.14,0.14,0.15,0.14,0.13,0.14,0.15,0.13,0.0,0.12,0.12,0.13,0.13,0.12,0.12,0.13,0.13,0.14,0.13,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.04999999999998
07/22/2021,6.11,5.32,3.92,1.97,2.01,1.86,1.34,1.31,1.18,1.12,1.04,1.02,0.92,0.93,0.87,0.87,0.87,0.79,0.85,0.79,0.78,0.77,0.75,0.73,0.69,0.65,0.63,0.57,0.59,0.57,0.57,0.56,0.52,0.51,0.53,0.54,0.5,0.52,0.51,0.51,0.49,0.51,0.46,0.49,0.47,0.48,0.48,0.47,0.44,0.44,0.44,0.41,0.44,0.42,0.42,0.42,0.42,0.39,0.4,0.39,0.39,0.37,0.35,0.35,0.36,0.33,0.32,0.33,0.32,0.34,0.31,0.31,0.32,0.31,0.32,0.32,0.3,0.28,0.3,0.29,0.31,0.3,0.3,0.28,0.28,0.29,0.27,0.28,0.26,0.24,0.27,0.26,0.24,0.27,0.25,0.24,0.27,0.25,0.24,0.24,0.23,0.24,0.24,0.25,0.22,0.23,0.22,0.23,0.21,0.22,0.22,0.24,0.22,0.19,0.21,0.23,0.21,0.21,0.2,0.2,0.2,0.21,0.22,0.21,0.2,0.22,0.22,0.21,0.21,0.2,0.19,0.2,0.19,0.2,0.17,0.2,0.2,0.18,0.17,0.17,0.18,0.18,0.18,0.18,0.17,0.16,0.17,0.16,0.22,0.16,0.16,0.14,0.15,0.16,0.16,0.16,0.16,0.17,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.16,0.15,0.15,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.0,0.14,0.14,0.14,0.14,0.13,0.15,0.15,0.14,0.0,0.0,0.0,0.13,0.13,0.13,0.13,0.13,0.13,0.15,0.13,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.12,0.0,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.10999999999999
