,Russell 1000 Index Swap Societe Generale - Cash Offset,Russell 1000 Index Swap Goldman Sachs International - Cash Offset,Ftse Rafi Us 1000 Index Swap Societe Generale,Cash,AAPL,XOM,JPM,MSFT,T,WFC,BAC,BRK.B,VZ,C,CVX,JNJ,UNH,PFE,CMCSA,WMT,AMZN,PG,F,IBM,FB,INTC,CSCO,CVS,GOOG,GOOGL,HD,Ftse Rafi Us 1000 Index Swap Goldman Sachs International,GM,GE,PEP,MRK,DIS,KO,GS,PM,BA,COST,COF,ABBV,ANTM,MO,MDT,MS,UPS,GILD,TGT,BMY,WBA,COP,AMGN,USB,MPC,DUK,MMM,MCD,KR,LIN,PNC,SLB,VLO,MET,UNP,HON,ORCL,AXP,CAT,CI,LOW,MU,NEE,QCOM,BLK,LMT,DD,RTX,ACN,KMI,FDX,EXC,D,PSX,SO,MDLZ,OXY,CB,ABT,AIG,TXN,CHTR,AVGO,ALL,BK,TFC,V,MCK,CNC,TRV,LLY,PRU,AEP,SYF,HUM,AFL,DE,GD,KHC,HPQ,LUMN,SBUX,BIIB,FIS,TMO,ETN,JCI,NKE,NOC,TMUS,CARR,WMB,LYB,NUE,EOG,EMR,TJX,PGR,DFS,HCA,DOW,DHR,CME,IP,ADM,ED,SYY,WELL,WM,GIS,SPG,SRE,CL,TSN,CSX,HIG,KMB,NSC,CCI,STT,HPE,CRM,MA,AMT,PEG,ABC,NVDA,M,XEL,ADP,ITW,MMC,PPL,AMAT,PLD,FITB,CAH,PCAR,BDX,BKR,FE,ALLY,CMI,OKE,EIX,WDC,PYPL,BBY,FISV,NEM,ETR,ADBE,DTE,CFG,VTR,APD,SCHW,WRK,DG,LHX,PPG,TEL,TROW,HAL,DELL,ES,SYK,LNC,SUM
07/09/2021,93.45,9.97,6.09,3.45,2.17,1.78,1.75,1.69,1.53,1.51,1.36,1.19,1.18,1.14,1.13,1.04,1.01,0.93,0.87,0.87,0.81,0.81,0.79,0.79,0.79,0.79,0.7,0.69,0.69,0.67,0.66,0.66,0.65,0.62,0.59,0.57,0.57,0.54,0.53,0.53,0.48,0.47,0.46,0.45,0.44,0.44,0.42,0.42,0.41,0.41,0.39,0.38,0.38,0.38,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,182.13
07/12/2021,93.45,9.97,6.09,3.45,2.17,1.78,1.75,1.69,1.53,1.51,1.36,1.19,1.18,1.14,1.13,1.04,1.01,0.93,0.87,0.87,0.81,0.81,0.79,0.79,0.79,0.79,0.7,0.69,0.69,0.67,0.66,0.66,0.65,0.62,0.59,0.57,0.57,0.54,0.53,0.53,0.48,0.47,0.46,0.45,0.44,0.44,0.42,0.42,0.41,0.41,0.39,0.38,0.38,0.38,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,182.13
07/13/2021,93.45,9.97,6.09,3.45,2.17,1.78,1.75,1.69,1.53,1.51,1.36,1.19,1.18,1.14,1.13,1.04,1.01,0.93,0.87,0.87,0.81,0.81,0.79,0.79,0.79,0.79,0.7,0.69,0.69,0.67,0.66,0.66,0.65,0.62,0.59,0.57,0.57,0.54,0.53,0.53,0.48,0.47,0.46,0.45,0.44,0.44,0.42,0.42,0.41,0.41,0.39,0.38,0.38,0.38,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,182.13
07/14/2021,93.45,9.97,6.09,3.45,2.17,1.78,1.75,1.69,1.53,1.51,1.36,1.19,1.18,1.14,1.13,1.04,1.01,0.93,0.87,0.87,0.81,0.81,0.79,0.79,0.79,0.79,0.7,0.69,0.69,0.67,0.66,0.66,0.65,0.62,0.59,0.57,0.57,0.54,0.53,0.53,0.48,0.47,0.46,0.45,0.44,0.44,0.42,0.42,0.41,0.41,0.39,0.38,0.38,0.38,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,182.13
07/15/2021,93.45,9.97,6.09,3.45,2.17,1.78,1.75,1.69,1.53,1.51,1.36,1.19,1.18,1.14,1.13,1.04,1.01,0.93,0.87,0.87,0.81,0.81,0.79,0.79,0.79,0.79,0.7,0.69,0.69,0.67,0.66,0.66,0.65,0.62,0.59,0.57,0.57,0.54,0.53,0.53,0.48,0.47,0.46,0.45,0.44,0.44,0.42,0.42,0.41,0.41,0.39,0.38,0.38,0.38,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,182.13
07/16/2021,93.45,9.97,6.09,3.45,2.17,1.78,1.75,1.69,1.53,1.51,1.36,1.19,1.18,1.14,1.13,1.04,1.01,0.93,0.87,0.87,0.81,0.81,0.79,0.79,0.79,0.79,0.7,0.69,0.69,0.67,0.66,0.66,0.65,0.62,0.59,0.57,0.57,0.54,0.53,0.53,0.48,0.47,0.46,0.45,0.44,0.44,0.42,0.42,0.41,0.41,0.39,0.38,0.38,0.38,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,182.13
07/19/2021,93.45,9.97,6.09,3.45,2.17,1.78,1.75,1.69,1.53,1.51,1.36,1.19,1.18,1.14,1.13,1.04,1.01,0.93,0.87,0.87,0.81,0.81,0.79,0.79,0.79,0.79,0.7,0.69,0.69,0.67,0.66,0.66,0.65,0.62,0.59,0.57,0.57,0.54,0.53,0.53,0.48,0.47,0.46,0.45,0.44,0.44,0.42,0.42,0.41,0.41,0.39,0.38,0.38,0.38,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,182.13
07/20/2021,93.45,9.97,6.09,3.45,2.17,1.78,1.75,1.69,1.53,1.51,1.36,1.19,1.18,1.14,1.13,1.04,1.01,0.93,0.87,0.87,0.81,0.81,0.79,0.79,0.79,0.79,0.7,0.69,0.69,0.67,0.66,0.66,0.65,0.62,0.59,0.57,0.57,0.54,0.53,0.53,0.48,0.47,0.46,0.45,0.44,0.44,0.42,0.42,0.41,0.41,0.39,0.38,0.38,0.38,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,182.13
07/21/2021,93.45,9.97,6.09,3.45,2.17,1.78,1.75,1.69,1.53,1.51,1.36,1.19,1.18,1.14,1.13,1.04,1.01,0.93,0.87,0.87,0.81,0.81,0.79,0.79,0.79,0.79,0.7,0.69,0.69,0.67,0.66,0.66,0.65,0.62,0.59,0.57,0.57,0.54,0.53,0.53,0.48,0.47,0.46,0.45,0.44,0.44,0.42,0.42,0.41,0.41,0.39,0.38,0.38,0.38,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,182.13
07/22/2021,93.45,9.97,6.09,3.45,2.17,1.78,1.75,1.69,1.53,1.51,1.36,1.19,1.18,1.14,1.13,1.04,1.01,0.93,0.87,0.87,0.81,0.81,0.79,0.79,0.79,0.79,0.7,0.69,0.69,0.67,0.66,0.66,0.65,0.62,0.59,0.57,0.57,0.54,0.53,0.53,0.48,0.47,0.46,0.45,0.44,0.44,0.42,0.42,0.41,0.41,0.39,0.38,0.38,0.38,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,182.13
