,FXFXX,AAPL,PANW,BAC,TFC,KEY,NVDA,HON,ECL,ZBH,MDT,MA,VZ,BKNG,PEP,LOW,CHE,FRC,MCO,1299.HK,CCOI,FDS,GPK,FIS,PCRX,HUM,FMS,MANH,NKE,TJX,CAP.PA,MAN,EXPN.L,GDDY,CASY,EW,TREX,NDSN,GFL.TO,YUMC,SAP,SBMO.AS,CRL,PHG,UL,PGR,CHKP,CL,ORAN,RSG,PII,VVV,CP.TO,RELX,BAM,FAST,NSRGY,HDB,TOL,NSY.,TSM,TM,TEL2 B.ST,ODFL,FCN,XYL,ZIMVV,SUM
03/03/2022,4.68,2.61,2.54,2.25,2.2,2.17,2.15,2.14,2.05,2.0,1.97,1.95,1.93,1.85,1.84,1.78,1.75,1.74,1.71,1.69,1.69,1.65,1.64,1.61,1.61,1.58,1.58,1.58,1.58,1.57,1.55,1.55,1.54,1.52,1.52,1.51,1.5,1.48,1.41,1.39,1.31,1.24,1.2,1.13,1.11,1.09,1.08,1.05,1.04,1.03,1.02,1.02,1.01,1.0,1.0,1.0,0.99,0.97,0.93,0.92,0.9,0.9,0.89,0.86,0.71,0.55,0.0,100.01
03/11/2022,4.37,2.72,2.57,2.06,2.11,2.05,2.05,2.23,1.94,1.99,2.14,1.78,2.1,1.59,1.92,1.94,1.9,1.73,1.79,1.67,1.8,1.8,1.65,1.56,1.84,1.68,1.51,1.61,1.52,1.48,1.46,1.33,1.59,1.51,1.55,1.56,1.23,1.52,1.37,1.35,1.28,1.31,1.16,1.03,1.04,1.16,1.16,1.11,1.01,1.17,1.0,0.95,1.19,1.02,1.03,1.14,1.01,0.86,0.92,0.96,0.87,0.84,0.9,0.92,0.78,0.55,0.04,99.97999999999999
