,Euro/Us Dollar Forward - Ubs - Cash Offset,Cash,Euro/Us Dollar Forward - Goldman Sachs - Cash Offset,Euro/Us Dollar Forward - Goldman Sachs,Euro/Us Dollar Forward - Ubs,SUM
07/09/2021,110.42,100.0,89.79,-89.79,-110.42,100.0
07/12/2021,110.42,100.0,89.79,-89.79,-110.42,100.0
07/13/2021,110.42,100.0,89.79,-89.79,-110.42,100.0
07/14/2021,110.42,100.0,89.79,-89.79,-110.42,100.0
07/15/2021,110.42,100.0,89.79,-89.79,-110.42,100.0
07/16/2021,110.42,100.0,89.79,-89.79,-110.42,100.0
07/19/2021,110.42,100.0,89.79,-89.79,-110.42,100.0
07/20/2021,110.42,100.0,89.79,-89.79,-110.42,100.0
07/21/2021,110.42,100.0,89.79,-89.79,-110.42,100.0
07/22/2021,110.42,100.0,89.79,-89.79,-110.42,100.0
07/23/2021,110.42,100.0,89.79,-89.79,-110.42,100.0
07/26/2021,110.42,100.0,89.79,-89.79,-110.42,100.00000000000001
