,688202.SS,Cash,688202.SS.1,Euro Fx Curr Fut Sep21 - Cash Offset,Euro FX Sept21,SUM
07/09/2021,103.23,100.0,-103.23,0.0,0.0,100.0
07/12/2021,0.0,100.0,0.0,103.23,-103.23,100.0
07/13/2021,0.0,100.0,0.0,103.23,-103.23,100.0
07/14/2021,0.0,100.0,0.0,103.23,-103.23,100.0
07/15/2021,0.0,100.0,0.0,103.23,-103.23,100.0
07/16/2021,0.0,100.0,0.0,103.23,-103.23,100.0
07/19/2021,0.0,100.0,0.0,103.23,-103.23,100.0
07/20/2021,0.0,100.0,0.0,103.23,-103.23,100.0
07/21/2021,0.0,100.0,0.0,103.23,-103.23,100.0
07/22/2021,0.0,100.0,0.0,103.23,-103.23,100.0
07/23/2021,0.0,100.0,0.0,103.23,-103.23,100.00000000000001
