,NOKIA.HE,KNEBV.HE,NESTE.HE,SAMPO.HE,KESKOB.HE,FORTUM.HE,UPM.HE,STERV.HE,ELISA.HE,WRT1V.HE,MOCORP.HE,VALMT.HE,TYRES.HE,HUH1V.HE,ORNBV.HE,TIETO.HE,KCR.HE,OUT1V.HE,CGCBV.HE,METSB.HE,UPONOR.HE,KEMIRA.HE,KOJAMO.HE,NELES.HE,TOKMAN.HE,MUSTI.HE,SAA1V.HE,EUR,CAV1V.HE,YIT.HE,AKTIA.HE,FSC1V.HE,CTY1S.HE,FIA1S.HE,BAS1V.HE,QTCOM.HE,ROVIO.HE,XTSLA,OKDBV.HE,REG1V.HE,HARVIA.HE,KAMUX.HE,TNOM.HE,REMEDY.HE,ADMCM.HE,WFFUT,VGU1,EUR.1,USD,VGZ1,SUM
07/09/2021,12.47,11.17,10.72,9.3,4.66,4.33,4.24,4.06,3.52,3.3,3.28,2.68,2.52,2.21,2.2,1.47,1.34,1.17,1.13,1.02,0.98,0.97,0.93,0.85,0.84,0.83,0.81,0.69,0.66,0.62,0.55,0.5,0.49,0.47,0.47,0.46,0.42,0.41,0.37,0.36,0.12,0.11,0.11,0.1,0.09,0.05,0.0,0.0,0.0,0.0,100.05
07/12/2021,12.44,11.4,10.62,9.3,4.65,4.27,4.27,4.12,3.58,3.28,3.22,2.64,2.51,2.2,2.2,1.43,1.32,1.17,1.13,1.05,0.99,0.97,0.94,0.85,0.84,0.8,0.82,0.66,0.65,0.61,0.56,0.5,0.5,0.47,0.48,0.44,0.42,0.44,0.37,0.36,0.12,0.1,0.11,0.1,0.1,0.05,0.0,0.0,0.0,0.0,100.04999999999998
07/13/2021,12.44,11.4,10.62,9.3,4.65,4.27,4.27,4.12,3.58,3.28,3.22,2.64,2.51,2.2,2.2,1.43,1.32,1.17,1.13,1.05,0.99,0.97,0.94,0.85,0.84,0.8,0.82,0.66,0.65,0.61,0.56,0.5,0.5,0.47,0.48,0.44,0.42,0.44,0.37,0.36,0.12,0.1,0.11,0.1,0.1,0.05,0.0,0.0,0.0,0.0,100.04999999999998
07/14/2021,12.51,11.37,10.62,9.27,4.6,4.28,4.3,4.19,3.54,3.26,3.25,2.63,2.55,2.21,2.19,1.43,1.3,1.18,1.11,1.06,0.97,0.98,0.94,0.85,0.83,0.8,0.82,0.66,0.65,0.61,0.57,0.5,0.5,0.47,0.47,0.44,0.41,0.43,0.36,0.36,0.12,0.1,0.11,0.1,0.1,0.05,0.0,0.0,0.0,0.0,100.04999999999998
07/15/2021,12.51,11.37,10.62,9.27,4.6,4.28,4.3,4.19,3.54,3.26,3.25,2.63,2.55,2.21,2.19,1.43,1.3,1.18,1.11,1.06,0.97,0.98,0.94,0.85,0.83,0.8,0.82,0.66,0.65,0.61,0.57,0.5,0.5,0.47,0.47,0.44,0.41,0.43,0.36,0.36,0.12,0.1,0.11,0.1,0.1,0.05,0.0,0.0,0.0,0.0,100.04999999999998
07/16/2021,13.18,11.28,10.69,9.12,4.65,4.2,4.22,4.14,3.55,3.23,3.23,2.64,2.52,2.2,2.14,1.38,1.3,1.16,1.1,1.02,0.96,0.96,0.93,0.84,0.83,0.79,0.82,0.66,0.64,0.6,0.57,0.49,0.49,0.44,0.47,0.43,0.43,0.38,0.37,0.35,0.12,0.11,0.12,0.1,0.1,0.05,0.0,0.0,0.01,0.0,100.01
07/19/2021,12.92,11.15,10.79,9.22,4.73,4.19,4.2,4.07,3.6,3.24,3.19,2.72,2.51,2.19,2.12,1.41,1.33,1.17,1.11,1.04,0.97,0.96,0.93,0.86,0.84,0.81,0.83,0.65,0.64,0.61,0.57,0.49,0.49,0.44,0.45,0.44,0.42,0.38,0.37,0.34,0.13,0.11,0.11,0.09,0.1,0.05,0.0,0.0,0.0,0.0,99.98
07/20/2021,12.92,11.15,10.79,9.22,4.73,4.19,4.2,4.07,3.6,3.24,3.19,2.72,2.51,2.19,2.12,1.41,1.33,1.17,1.11,1.04,0.97,0.96,0.93,0.86,0.84,0.81,0.83,0.65,0.64,0.61,0.57,0.49,0.49,0.44,0.45,0.44,0.42,0.38,0.37,0.34,0.13,0.11,0.11,0.09,0.1,0.05,0.0,0.0,0.0,0.0,99.98
07/23/2021,13.04,11.41,10.59,9.16,4.79,4.12,4.21,4.05,3.66,3.12,3.01,2.69,2.47,2.21,2.06,1.49,1.3,1.13,1.09,1.04,0.95,0.98,0.94,0.85,0.84,0.79,0.82,0.85,0.63,0.59,0.57,0.47,0.49,0.41,0.46,0.44,0.42,0.54,0.37,0.34,0.13,0.11,0.11,0.09,0.1,0.07,0.0,0.0,0.0,0.0,100.0
07/27/2021,12.83,11.21,10.83,9.29,4.78,4.19,4.27,4.07,3.62,3.12,3.08,2.61,2.44,2.26,2.02,1.47,1.3,1.14,1.09,1.03,0.96,0.97,0.92,0.83,0.86,0.83,0.82,0.86,0.63,0.59,0.56,0.48,0.48,0.43,0.44,0.46,0.42,0.53,0.36,0.35,0.13,0.11,0.11,0.09,0.1,0.07,0.0,0.0,0.0,0.0,100.03999999999998
07/29/2021,12.8,10.97,11.08,9.17,4.85,4.15,4.27,4.15,3.56,3.11,3.11,2.53,2.42,2.29,2.0,1.47,1.35,1.19,1.13,1.04,0.98,0.98,0.91,0.8,0.89,0.86,0.81,0.85,0.62,0.59,0.57,0.46,0.47,0.44,0.44,0.45,0.42,0.52,0.36,0.35,0.13,0.11,0.11,0.09,0.09,0.07,0.0,0.0,0.0,0.0,100.01
07/30/2021,12.76,11.08,10.26,9.26,4.97,4.22,4.33,4.25,3.62,3.16,3.13,2.55,2.44,2.32,2.02,1.45,1.36,1.23,1.15,1.07,0.97,0.99,0.92,0.81,0.89,0.83,0.82,0.85,0.64,0.6,0.57,0.46,0.48,0.45,0.44,0.44,0.42,0.53,0.37,0.35,0.13,0.11,0.11,0.09,0.09,0.07,0.0,0.0,0.0,0.0,100.06
08/03/2021,13.42,10.99,10.16,9.17,4.99,4.16,4.31,4.18,3.59,3.13,3.06,2.49,2.49,2.34,2.04,1.46,1.26,1.27,1.07,1.02,1.0,0.99,0.92,0.79,0.82,0.82,0.84,0.83,0.64,0.58,0.58,0.46,0.48,0.45,0.45,0.5,0.42,0.56,0.37,0.36,0.13,0.11,0.11,0.09,0.09,0.07,0.0,0.0,0.0,0.0,100.06
