,PRGO,UNM,DXC,SEE,LEG,GPS,RL,NOV,BEN,AIZ,CRL,ROL,DVA,TAP,HII,HFC,FRT,PVH,HBI,PBCT,DISH,IPGP,NI,RHI,JNPR,COG,PNW,AOS,APA,HSIC,VNO,KIM,ALK,NWL,PNR,REG,NLSN,CMA,ALLE,IRM,IVZ,GL,UHS,CPB,RE,ZION,CF,NLOK,MRO,MHK,WU,LKQ,SNA,IPG,TXT,LNC,L,CBOE,WRB,MOS,FBHS,CNP,AAP,ATO,PHM,POOL,JKHY,LNT,BIO,WHR,HWM,LDOS,PKI,PWR,BF.B,DPZ,LW,PKG,SJM,NCLH,BWA,WRK,EVRG,HAS,HST,LYV,NRG,AVY,STX,CHRW,XRAY,TPR,FFIV,ANET,NTAP,JBHT,UDR,RJF,HRL,LB,IT,FMC,WAB,DRE,LUMN,AKAM,IEX,MAS,DVN,EXPD,K,INCY,NUE,TDY,KSU,GPC,CINF,WAT,MPWR,PFG,MAA,NDAQ,FANG,BXP,CMS,ABMD,EFX,EMN,J,GWW,BR,DGX,STE,CE,AAL,WYNN,ABC,OMC,EXR,MGM,VRSN,XYL,VTRS,NVR,UA,PEAK,HIG,WST,CAH,BKR,NWS,TER,TYL,ETR,PTC,GRMN,FE,HES,CAG,AEE,CFG,RSG,TRMB,DOV,HBAN,ULTA,AMCR,IP,ALB,TTWO,NTRS,UAL,COO,TSCO,ESS,CTLT,IR,CTXS,KEY,QRVO,UAA,CHD,ARE,HSY,DRI,MTB,CPRT,WDC,ODFL,PPL,HPE,CERN,RF,MLM,HOLX,MKC,LH,TSN,MXIM,CZR,SUM
07/09/2021,0.86,0.74,0.74,0.72,0.71,0.71,0.69,0.63,0.63,0.63,0.62,0.61,0.61,0.59,0.59,0.57,0.57,0.56,0.56,0.56,0.54,0.54,0.54,0.54,0.53,0.53,0.53,0.52,0.52,0.52,0.51,0.51,0.5,0.49,0.49,0.49,0.47,0.47,0.47,0.46,0.46,0.46,0.45,0.44,0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.39,0.39,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,71.03
07/12/2021,0.86,0.74,0.74,0.72,0.71,0.71,0.69,0.63,0.63,0.63,0.62,0.61,0.61,0.59,0.59,0.57,0.57,0.56,0.56,0.56,0.54,0.54,0.54,0.54,0.53,0.53,0.53,0.52,0.52,0.52,0.51,0.51,0.5,0.49,0.49,0.49,0.47,0.47,0.47,0.46,0.46,0.46,0.45,0.44,0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.39,0.39,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,71.03
07/13/2021,0.86,0.74,0.74,0.72,0.71,0.71,0.69,0.63,0.63,0.63,0.62,0.61,0.61,0.59,0.59,0.57,0.57,0.56,0.56,0.56,0.54,0.54,0.54,0.54,0.53,0.53,0.53,0.52,0.52,0.52,0.51,0.51,0.5,0.49,0.49,0.49,0.47,0.47,0.47,0.46,0.46,0.46,0.45,0.44,0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.39,0.39,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,71.03
07/14/2021,0.86,0.74,0.74,0.72,0.71,0.71,0.69,0.63,0.63,0.63,0.62,0.61,0.61,0.59,0.59,0.57,0.57,0.56,0.56,0.56,0.54,0.54,0.54,0.54,0.53,0.53,0.53,0.52,0.52,0.52,0.51,0.51,0.5,0.49,0.49,0.49,0.47,0.47,0.47,0.46,0.46,0.46,0.45,0.44,0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.39,0.39,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,71.03
07/15/2021,0.86,0.74,0.74,0.72,0.71,0.71,0.69,0.63,0.63,0.63,0.62,0.61,0.61,0.59,0.59,0.57,0.57,0.56,0.56,0.56,0.54,0.54,0.54,0.54,0.53,0.53,0.53,0.52,0.52,0.52,0.51,0.51,0.5,0.49,0.49,0.49,0.47,0.47,0.47,0.46,0.46,0.46,0.45,0.44,0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.39,0.39,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,71.03
07/16/2021,0.86,0.74,0.74,0.72,0.71,0.71,0.69,0.63,0.63,0.63,0.62,0.61,0.61,0.59,0.59,0.57,0.57,0.56,0.56,0.56,0.54,0.54,0.54,0.54,0.53,0.53,0.53,0.52,0.52,0.52,0.51,0.51,0.5,0.49,0.49,0.49,0.47,0.47,0.47,0.46,0.46,0.46,0.45,0.44,0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.39,0.39,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,71.03
07/19/2021,0.86,0.74,0.74,0.72,0.71,0.71,0.69,0.63,0.63,0.63,0.62,0.61,0.61,0.59,0.59,0.57,0.57,0.56,0.56,0.56,0.54,0.54,0.54,0.54,0.53,0.53,0.53,0.52,0.52,0.52,0.51,0.51,0.5,0.49,0.49,0.49,0.47,0.47,0.47,0.46,0.46,0.46,0.45,0.44,0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.39,0.39,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,71.03
07/20/2021,0.86,0.74,0.74,0.72,0.71,0.71,0.69,0.63,0.63,0.63,0.62,0.61,0.61,0.59,0.59,0.57,0.57,0.56,0.56,0.56,0.54,0.54,0.54,0.54,0.53,0.53,0.53,0.52,0.52,0.52,0.51,0.51,0.5,0.49,0.49,0.49,0.47,0.47,0.47,0.46,0.46,0.46,0.45,0.44,0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.39,0.39,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,71.03
07/21/2021,0.86,0.74,0.74,0.72,0.71,0.71,0.69,0.63,0.63,0.63,0.62,0.61,0.61,0.59,0.59,0.57,0.57,0.56,0.56,0.56,0.54,0.54,0.54,0.54,0.53,0.53,0.53,0.52,0.52,0.52,0.51,0.51,0.5,0.49,0.49,0.49,0.47,0.47,0.47,0.46,0.46,0.46,0.45,0.44,0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.39,0.39,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,71.03
07/22/2021,0.86,0.74,0.74,0.72,0.71,0.71,0.69,0.63,0.63,0.63,0.62,0.61,0.61,0.59,0.59,0.57,0.57,0.56,0.56,0.56,0.54,0.54,0.54,0.54,0.53,0.53,0.53,0.52,0.52,0.52,0.51,0.51,0.5,0.49,0.49,0.49,0.47,0.47,0.47,0.46,0.46,0.46,0.45,0.44,0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.39,0.39,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,71.03
