,ULVR.L,NOVO B.CO,RY.TO,CNHI.MI,AHT.L,ROG.SW,ATCO A.ST,DGE.L,ASML.AS,TD.TO,TEAM,LOGN.SW,PGHN.SW,NOVN.SW,MC.PA,OR.PA,4704.T,HM B.ST,388.HK,REL.L,BHP.AX,BNP.PA,KNEBV.HE,FERG.L,2371.T,RKT.L,VALE,WES.AX,CBA.AX,ACN,JD.L,HUSQ B.ST,9434.T,CSU.TO,SIKA.SW,INVE B.ST,6098.T,8306.T,7974.T,TEMN.SW,GMG.AX,NXT.L,DMP.AX,AZN,DPW.DE,GIB.A.TO,ICLR,AMP.MI,FBK.MI,KNIN.SW,KESKOB.HE,ALV.DE,GN.CO,NZYM B.CO,G1A.DE,Fidelity® Inv MM Fds Government I,WFG.TO,ZURN.SW,3769.T,JHX.AX,COL.AX,3092.T,DAI.DE,SGSN.SW,LULU,WKL.AS,4755.T,KINV B.ST,SU.PA,RAND.AS,8035.T,PNDORA.CO,9983.T,AMX,GEBN.SW,EPI A.ST,HWDN.L,DB1.DE,HLMA.L,PUB.PA,ATD.B.TO,GMAB.CO,ITRK.L,9433.T,NESTE.HE,SCHP.SW,DSV.CO,EDEN.PA,2127.T,NTES,M4B.,ADM.L,CHKP,DOL.TO,8697.T,COLO B.CO,4503.T,ERIC B.ST,4307.T,HEXA B.ST,ELUX B.ST,EXPN.L,XRO.AX,HL.L,FMG.AX,CSL.AX,2413.T,WSP.TO,PHIA.AS,PBR,CTC.A.TO,TLS.AX,RTO.L,KPN.AS,Swedish Krona,700.HK,NSY.,SGRO.L,SHL.AX,BHP,6869.T,TEL.OL,INFY,BNZL.L,Canadian Dollar,LUNE.ST,SWMA.ST,WPL.AX,FME.DE,PSN.L,2318.HK,1878.T,Swiss Franc,VIPS,British Pounds,FIGXX,SUM
07/09/2021,1.68,1.64,1.6,1.47,1.44,1.43,1.39,1.36,1.36,1.22,1.21,1.2,1.18,1.16,1.15,1.13,1.09,1.09,1.09,1.09,1.07,1.07,1.07,1.06,1.05,1.02,1.02,1.02,1.01,1.01,0.98,0.97,0.96,0.96,0.94,0.93,0.93,0.93,0.91,0.89,0.89,0.88,0.87,0.87,0.86,0.85,0.85,0.84,0.84,0.83,0.82,0.81,0.81,0.8,0.79,0.79,0.78,0.78,0.78,0.78,0.78,0.77,0.75,0.75,0.73,0.72,0.71,0.71,0.71,0.71,0.7,0.69,0.69,0.67,0.67,0.65,0.64,0.64,0.63,0.63,0.63,0.61,0.59,0.59,0.58,0.58,0.58,0.58,0.57,0.57,0.54,0.54,0.53,0.53,0.53,0.53,0.53,0.53,0.52,0.52,0.52,0.5,0.49,0.49,0.49,0.48,0.47,0.46,0.46,0.46,0.46,0.46,0.45,0.45,0.43,0.42,0.39,0.39,0.39,0.38,0.37,0.36,0.35,0.33,0.31,0.29,0.28,0.27,0.27,0.25,0.21,0.21,0.13,0.12,-0.23,0.0,99.99
10/01/2021,1.64,1.78,1.57,1.46,1.43,1.45,1.53,1.39,1.5,1.15,1.5,1.08,1.32,1.16,1.15,1.15,1.09,0.96,1.15,1.17,1.16,1.02,1.08,1.05,0.94,0.88,0.96,1.03,0.99,1.05,0.91,1.01,0.96,1.0,0.99,0.99,0.96,0.9,0.8,0.88,0.93,0.87,0.85,0.82,0.84,0.84,0.94,0.84,0.85,0.82,0.94,0.8,0.79,0.83,0.85,0.0,0.78,0.78,0.78,0.78,0.78,0.77,0.74,0.78,0.79,0.8,0.69,0.77,0.74,0.66,0.66,0.65,0.62,0.75,0.73,0.66,0.7,0.61,0.68,0.6,0.69,0.66,0.55,0.57,0.58,0.62,0.59,0.58,0.63,0.51,0.48,0.58,0.57,0.54,0.54,0.57,0.48,0.47,0.51,0.57,0.48,0.56,0.49,0.5,0.5,0.47,0.42,0.47,0.43,0.41,0.44,0.44,0.51,0.47,0.0,0.34,0.43,0.43,0.39,0.41,0.38,0.37,0.36,0.36,0.0,0.25,0.29,0.26,0.25,0.24,0.19,0.22,0.0,0.1,0.0,0.18,99.63
