,DPW.DE,ALV.DE,BAS.DE,DTE.DE,SIE.DE,SAP.DE,BAYN.DE,BMW.DE,E.ON SE,DAI.DE,VOW.,MUV2.DE,SHL.DE,CON.DE,HNR1.DE,EVK.DE,FRE.DE,DB1.DE,UN01.DE,IFX.DE,FME.DE,BNR.DE,RWE.DE,HEK.SW,TLX.DE,KBX.DE,1COV.DE,B4B.DE,HLAG.DE,Siltronic Ag Tend Common Stock,HEI.DE,MRK.DE,NDA.DE,SY1.DE,RHM.DE,BEI.DE,LXS.DE,RAA.DE,G1A.DE,BC8.DE,AFX.DE,DUE.DE,HHFA.DE,SOW.DE,FPE.,NEM.DE,ECV.DE,SZU.DE,GLJ.DE,HBH.DE,WCH.DE,GXI.DE,CE2.DE,KRN.DE,HBM.DE,PAT.DE,COK.DE,CMPUY,EUZ.DE,SBS.DE,JEN.DE,KGX.DE,n/a,ADS.DE,DWS.DE,VTWR.DE,HOT.DE,PSM.DE,FIE.DE,HLE.DE,GBF.DE,VAR1.DE,8TRA.DE,WAC.DE,ARL.DE,PUM.DE,NOEJ.DE,HAG.DE,AIXA.DE,SUM
07/09/2021,6.53,6.48,6.36,6.19,6.01,5.72,5.55,4.89,4.1,3.75,3.61,3.48,2.65,2.1,1.89,1.89,1.77,1.64,1.49,1.48,1.46,1.37,1.3,1.26,1.25,1.18,1.17,1.13,1.12,1.03,0.98,0.91,0.86,0.85,0.84,0.84,0.82,0.78,0.71,0.65,0.17,0.15,0.15,0.14,0.14,0.11,0.11,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.06,0.06,0.05,0.05,0.03,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
11/09/2021,5.74,6.05,5.61,5.9,5.92,5.7,5.06,3.16,0.0,5.83,3.75,3.71,2.52,0.0,2.37,1.61,1.52,1.75,0.0,1.16,0.0,1.09,1.68,1.55,1.03,0.96,0.95,0.88,2.0,0.0,1.41,1.02,0.16,0.73,0.6,0.76,0.54,0.0,0.94,0.16,0.13,0.06,0.1,0.13,0.0,0.11,0.1,0.11,0.02,0.09,0.78,0.1,0.07,0.0,0.07,0.07,0.07,0.06,0.04,0.0,0.03,0.13,4.79,1.9,1.21,1.02,1.01,0.81,0.66,0.64,0.62,0.52,0.4,0.11,0.06,0.06,0.05,0.04,0.03,100.02
11/10/2021,5.74,6.05,5.61,5.9,5.92,5.7,5.06,3.16,0.0,5.83,3.75,3.71,2.52,0.0,2.37,1.61,1.52,1.75,0.0,1.16,0.0,1.09,1.68,1.55,1.03,0.96,0.95,0.88,2.0,0.0,1.41,1.02,0.16,0.73,0.6,0.76,0.54,0.0,0.94,0.16,0.13,0.06,0.1,0.13,0.0,0.11,0.1,0.11,0.02,0.09,0.78,0.1,0.07,0.0,0.07,0.07,0.07,0.06,0.04,0.0,0.03,0.13,4.79,1.9,1.21,1.02,1.01,0.81,0.66,0.64,0.62,0.52,0.4,0.11,0.06,0.06,0.05,0.04,0.03,100.02
11/11/2021,5.75,6.05,5.62,5.83,5.95,5.71,5.1,3.14,0.0,5.82,3.55,3.74,2.52,0.0,2.39,1.62,1.51,1.75,0.0,1.16,0.0,1.08,1.66,1.48,1.02,0.97,0.95,0.88,2.09,0.0,1.42,1.06,0.17,0.73,0.59,0.76,0.56,0.0,0.97,0.16,0.13,0.06,0.1,0.13,0.0,0.11,0.1,0.11,0.02,0.09,0.79,0.1,0.07,0.0,0.07,0.07,0.07,0.06,0.04,0.0,0.03,0.14,4.79,1.88,1.22,1.03,1.04,0.81,0.66,0.64,0.62,0.54,0.4,0.11,0.06,0.06,0.05,0.04,0.03,100.03
11/12/2021,5.75,6.05,5.62,5.83,5.95,5.71,5.1,3.14,0.0,5.82,3.55,3.74,2.52,0.0,2.39,1.62,1.51,1.75,0.0,1.16,0.0,1.08,1.66,1.48,1.02,0.97,0.95,0.88,2.09,0.0,1.42,1.06,0.17,0.73,0.59,0.76,0.56,0.0,0.97,0.16,0.13,0.06,0.1,0.13,0.0,0.11,0.1,0.11,0.02,0.09,0.79,0.1,0.07,0.0,0.07,0.07,0.07,0.06,0.04,0.0,0.03,0.14,4.79,1.88,1.22,1.03,1.04,0.81,0.66,0.64,0.62,0.54,0.4,0.11,0.06,0.06,0.05,0.04,0.03,100.03
11/15/2021,5.72,6.1,5.6,5.86,5.98,5.64,5.22,3.16,0.0,5.87,3.55,3.67,2.49,0.0,2.35,1.6,1.46,1.76,0.0,1.12,0.0,1.09,1.69,1.49,1.01,0.99,0.96,0.89,2.07,0.0,1.42,1.05,0.17,0.75,0.6,0.76,0.55,0.0,0.98,0.16,0.13,0.06,0.1,0.13,0.0,0.1,0.1,0.11,0.02,0.1,0.8,0.09,0.07,0.0,0.07,0.07,0.07,0.07,0.04,0.0,0.03,0.14,4.84,1.81,1.2,1.04,1.04,0.81,0.65,0.63,0.61,0.55,0.4,0.11,0.06,0.06,0.05,0.03,0.03,100.0
11/16/2021,5.72,6.1,5.6,5.86,5.98,5.64,5.22,3.16,0.0,5.87,3.55,3.67,2.49,0.0,2.35,1.6,1.46,1.76,0.0,1.12,0.0,1.09,1.69,1.49,1.01,0.99,0.96,0.89,2.07,0.0,1.42,1.05,0.17,0.75,0.6,0.76,0.55,0.0,0.98,0.16,0.13,0.06,0.1,0.13,0.0,0.1,0.1,0.11,0.02,0.1,0.8,0.09,0.07,0.0,0.07,0.07,0.07,0.07,0.04,0.0,0.03,0.14,4.84,1.81,1.2,1.04,1.04,0.81,0.65,0.63,0.61,0.55,0.4,0.11,0.06,0.06,0.05,0.03,0.03,100.0
11/17/2021,5.72,6.1,5.6,5.86,5.98,5.64,5.22,3.16,0.0,5.87,3.55,3.67,2.49,0.0,2.35,1.6,1.46,1.76,0.0,1.12,0.0,1.09,1.69,1.49,1.01,0.99,0.96,0.89,2.07,0.0,1.42,1.05,0.17,0.75,0.6,0.76,0.55,0.0,0.98,0.16,0.13,0.06,0.1,0.13,0.0,0.1,0.1,0.11,0.02,0.1,0.8,0.09,0.07,0.0,0.07,0.07,0.07,0.07,0.04,0.0,0.03,0.14,4.84,1.81,1.2,1.04,1.04,0.81,0.65,0.63,0.61,0.55,0.4,0.11,0.06,0.06,0.05,0.03,0.03,100.0
11/18/2021,5.72,6.1,5.6,5.86,5.98,5.64,5.22,3.16,0.0,5.87,3.55,3.67,2.49,0.0,2.35,1.6,1.46,1.76,0.0,1.12,0.0,1.09,1.69,1.49,1.01,0.99,0.96,0.89,2.07,0.0,1.42,1.05,0.17,0.75,0.6,0.76,0.55,0.0,0.98,0.16,0.13,0.06,0.1,0.13,0.0,0.1,0.1,0.11,0.02,0.1,0.8,0.09,0.07,0.0,0.07,0.07,0.07,0.07,0.04,0.0,0.03,0.14,4.84,1.81,1.2,1.04,1.04,0.81,0.65,0.63,0.61,0.55,0.4,0.11,0.06,0.06,0.05,0.03,0.03,100.0
11/19/2021,5.78,6.09,5.65,5.84,6.22,5.54,5.08,3.2,0.0,5.91,3.51,3.61,2.52,0.0,2.32,1.59,1.43,1.75,0.0,1.16,0.0,1.08,1.7,1.49,0.99,0.94,0.97,0.88,2.02,0.0,1.42,1.09,0.17,0.76,0.6,0.77,0.57,0.0,0.97,0.15,0.13,0.06,0.1,0.13,0.0,0.11,0.1,0.1,0.02,0.1,0.81,0.1,0.08,0.0,0.07,0.07,0.07,0.07,0.04,0.0,0.03,0.14,4.77,1.82,1.2,1.04,1.05,0.82,0.67,0.66,0.59,0.53,0.42,0.1,0.06,0.06,0.05,0.03,0.03,100.0
