,ENB.TO,KMI,EPD,TRGP,TRP.TO,LNG,PAGP,PPL.TO,OKE,HESS MIDSTREAM LP   CLASS A COMMON STOCK,ETE,WMB,KEY.TO,MPLX,GEI.TO,ETRN,WES,DCP,MMP,ENLC,HEP,DREYFUS GOVERNMENT CASH MANAGEMENT 289,USD,CASH,ET,DTM,AM,HESM,CEQP,n/a,SUM
07/09/2021,9.01,8.93,8.67,8.38,6.72,6.28,4.65,4.64,4.61,4.6,4.56,4.48,4.37,4.14,4.07,4.06,2.79,1.51,1.34,1.0,0.51,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.36
07/12/2021,9.01,8.93,8.67,8.38,6.72,6.28,4.65,4.64,4.61,4.6,4.56,4.48,4.37,4.14,4.07,4.06,2.79,1.51,1.34,1.0,0.51,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.36
07/13/2021,9.01,8.93,8.67,8.38,6.72,6.28,4.65,4.64,4.61,4.6,4.56,4.48,4.37,4.14,4.07,4.06,2.79,1.51,1.34,1.0,0.51,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.36
07/14/2021,9.01,8.93,8.67,8.38,6.72,6.28,4.65,4.64,4.61,4.6,4.56,4.48,4.37,4.14,4.07,4.06,2.79,1.51,1.34,1.0,0.51,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.36
07/15/2021,9.01,8.93,8.67,8.38,6.72,6.28,4.65,4.64,4.61,4.6,4.56,4.48,4.37,4.14,4.07,4.06,2.79,1.51,1.34,1.0,0.51,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.36
07/16/2021,9.01,8.93,8.67,8.38,6.72,6.28,4.65,4.64,4.61,4.6,4.56,4.48,4.37,4.14,4.07,4.06,2.79,1.51,1.34,1.0,0.51,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.36
07/19/2021,9.01,8.93,8.67,8.38,6.72,6.28,4.65,4.64,4.61,4.6,4.56,4.48,4.37,4.14,4.07,4.06,2.79,1.51,1.34,1.0,0.51,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.36
07/20/2021,9.01,8.93,8.67,8.38,6.72,6.28,4.65,4.64,4.61,4.6,4.56,4.48,4.37,4.14,4.07,4.06,2.79,1.51,1.34,1.0,0.51,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.36
07/21/2021,9.01,8.93,8.67,8.38,6.72,6.28,4.65,4.64,4.61,4.6,4.56,4.48,4.37,4.14,4.07,4.06,2.79,1.51,1.34,1.0,0.51,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.36
07/22/2021,9.01,8.93,8.67,8.38,6.72,6.28,4.65,4.64,4.61,4.6,4.56,4.48,4.37,4.14,4.07,4.06,2.79,1.51,1.34,1.0,0.51,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.36
07/23/2021,9.01,8.93,8.67,8.38,6.72,6.28,4.65,4.64,4.61,4.6,4.56,4.48,4.37,4.14,4.07,4.06,2.79,1.51,1.34,1.0,0.51,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.36
07/26/2021,9.01,8.93,8.67,8.38,6.72,6.28,4.65,4.64,4.61,4.6,4.56,4.48,4.37,4.14,4.07,4.06,2.79,1.51,1.34,1.0,0.51,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.36
07/27/2021,9.01,8.93,8.67,8.38,6.72,6.28,4.65,4.64,4.61,4.6,4.56,4.48,4.37,4.14,4.07,4.06,2.79,1.51,1.34,1.0,0.51,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.36
07/28/2021,9.01,8.93,8.67,8.38,6.72,6.28,4.65,4.64,4.61,4.6,4.56,4.48,4.37,4.14,4.07,4.06,2.79,1.51,1.34,1.0,0.51,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.36
07/29/2021,9.01,8.93,8.67,8.38,6.72,6.28,4.65,4.64,4.61,4.6,4.56,4.48,4.37,4.14,4.07,4.06,2.79,1.51,1.34,1.0,0.51,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.36
07/30/2021,9.01,8.93,8.67,8.38,6.72,6.28,4.65,4.64,4.61,4.6,4.56,4.48,4.37,4.14,4.07,4.06,2.79,1.51,1.34,1.0,0.51,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.36
08/02/2021,9.01,8.93,8.67,8.38,6.72,6.28,4.65,4.64,4.61,4.6,4.56,4.48,4.37,4.14,4.07,4.06,2.79,1.51,1.34,1.0,0.51,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.36
08/03/2021,9.01,8.93,8.67,8.38,6.72,6.28,4.65,4.64,4.61,4.6,4.56,4.48,4.37,4.14,4.07,4.06,2.79,1.51,1.34,1.0,0.51,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.36
08/04/2021,9.01,8.93,8.67,8.38,6.72,6.28,4.65,4.64,4.61,4.6,4.56,4.48,4.37,4.14,4.07,4.06,2.79,1.51,1.34,1.0,0.51,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.36
08/05/2021,9.01,8.93,8.67,8.38,6.72,6.28,4.65,4.64,4.61,4.6,4.56,4.48,4.37,4.14,4.07,4.06,2.79,1.51,1.34,1.0,0.51,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.36
08/06/2021,9.01,8.93,8.67,8.38,6.72,6.28,4.65,4.64,4.61,4.6,4.56,4.48,4.37,4.14,4.07,4.06,2.79,1.51,1.34,1.0,0.51,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.36
07/19/2022,9.96,4.59,8.2,8.26,4.49,9.31,4.42,4.53,6.04,0.0,0.0,4.68,2.74,3.72,1.91,2.11,2.15,0.98,1.39,3.83,0.21,0.0,0.0,0.0,6.61,4.41,2.12,1.78,0.88,0.68,99.99999999999999
