,PG,KO,PEP,WMT,COST,PM,MDLZ,MO,EL,CL,KMB,STZ,SYY,GIS,WBA,MNST,ADM,KR,KHC,HSY,CLX,MKC,TSN,CHD,CAG,K,SJM,BF.B,HRL,LW,TAP,Campbell Soup Company,STATE STREET INSTITUTIONAL LIQ STATE STR,U.S. Dollar,CPB,State Street Instl Liquid Reserves Prem,4282.T,SINA,GVMXX,SSIXX,n/a,SUM
07/09/2021,15.75,9.89,9.75,9.09,4.77,4.56,4.46,4.28,4.1,3.84,2.52,2.15,2.13,2.02,1.89,1.86,1.84,1.57,1.42,1.42,1.25,1.21,1.19,1.16,0.95,0.89,0.78,0.75,0.75,0.65,0.54,0.51,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,15.84,9.92,9.78,9.05,4.86,4.54,4.5,4.25,4.02,3.85,2.52,2.12,2.1,2.01,1.85,1.84,1.83,1.59,1.42,1.42,1.25,1.2,1.18,1.17,0.96,0.89,0.78,0.75,0.74,0.64,0.55,0.51,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/13/2021,15.84,9.92,9.78,9.05,4.86,4.54,4.5,4.25,4.02,3.85,2.52,2.12,2.1,2.01,1.85,1.84,1.83,1.59,1.42,1.42,1.25,1.2,1.18,1.17,0.96,0.89,0.78,0.75,0.74,0.64,0.55,0.51,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/14/2021,15.74,9.92,9.69,9.04,4.89,4.55,4.48,4.31,4.05,3.83,2.5,2.11,2.14,2.0,1.87,1.83,1.85,1.59,1.42,1.42,1.24,1.19,1.19,1.17,0.95,0.89,0.79,0.74,0.73,0.65,0.55,0.51,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96999999999998
07/15/2021,15.8,9.95,9.72,9.05,4.85,4.53,4.48,4.33,4.09,3.86,2.5,2.11,2.12,1.99,1.88,1.86,1.85,1.6,1.42,1.43,1.23,1.19,1.18,1.17,0.95,0.88,0.79,0.74,0.73,0.64,0.55,0.51,0.15,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/16/2021,15.79,10.05,9.95,9.09,4.84,4.49,4.49,4.28,4.1,3.85,2.5,2.1,2.07,1.99,1.87,1.88,1.82,1.59,1.4,1.42,1.23,1.18,1.17,1.16,0.9,0.88,0.78,0.73,0.73,0.63,0.54,0.5,0.21,-0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/19/2021,15.83,10.18,9.97,9.04,4.84,4.51,4.51,4.28,4.12,3.85,2.5,2.07,2.02,1.98,1.8,1.88,1.79,1.6,1.39,1.43,1.23,1.18,1.15,1.15,0.91,0.88,0.79,0.72,0.73,0.63,0.52,0.5,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/20/2021,15.95,10.15,9.98,9.01,4.81,4.48,4.51,4.26,4.08,3.88,2.54,2.06,1.99,1.99,1.79,1.87,1.77,1.62,1.38,1.43,1.26,1.19,1.14,1.16,0.91,0.88,0.79,0.71,0.74,0.62,0.52,0.0,0.0,0.0,0.5,0.04,0.0,0.0,0.0,0.0,0.0,100.01
07/21/2021,15.95,10.15,9.98,9.01,4.81,4.48,4.51,4.26,4.08,3.88,2.54,2.06,1.99,1.99,1.79,1.87,1.77,1.62,1.38,1.43,1.26,1.19,1.14,1.16,0.91,0.88,0.79,0.71,0.74,0.62,0.52,0.5,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/22/2021,15.95,10.15,9.98,9.01,4.81,4.48,4.51,4.26,4.08,3.88,2.54,2.06,1.99,1.99,1.79,1.87,1.77,1.62,1.38,1.43,1.26,1.19,1.14,1.16,0.91,0.88,0.79,0.71,0.74,0.62,0.52,0.0,0.0,0.0,0.5,0.04,0.0,0.0,0.0,0.0,0.0,100.01
07/23/2021,15.91,10.08,10.02,9.06,4.9,4.31,4.54,4.26,4.09,3.81,2.53,2.07,2.02,1.99,1.8,1.89,1.77,1.67,1.39,1.44,1.24,1.19,1.15,1.16,0.92,0.88,0.79,0.72,0.73,0.61,0.52,0.5,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/26/2021,15.78,10.25,10.03,9.08,4.94,4.44,4.52,4.26,4.15,3.79,2.49,2.07,2.02,1.96,1.83,1.89,1.76,1.65,1.38,1.42,1.23,1.16,1.14,1.14,0.9,0.87,0.78,0.71,0.72,0.6,0.52,0.49,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/27/2021,15.82,10.22,10.04,9.04,4.95,4.44,4.54,4.26,4.18,3.81,2.48,2.05,2.02,1.96,1.81,1.93,1.75,1.63,1.38,1.42,1.24,1.15,1.14,1.15,0.89,0.86,0.77,0.71,0.72,0.6,0.51,0.0,0.0,0.0,0.49,0.05,0.0,0.0,0.0,0.0,0.0,100.01
07/28/2021,15.82,10.22,10.04,9.04,4.95,4.44,4.54,4.26,4.18,3.81,2.48,2.05,2.02,1.96,1.81,1.93,1.75,1.63,1.38,1.42,1.24,1.15,1.14,1.15,0.89,0.86,0.77,0.71,0.72,0.6,0.51,0.0,0.0,0.0,0.49,0.05,0.0,0.0,0.0,0.0,0.0,100.01
