,Cash,S&P 500 Index Swap Societe Generale - Cash Offset,S&P 500 Index Swap Goldman Sachs International - Cash Offset,S&P 500 Index Swap Citibank Na - Cash Offset,S&P 500 Index Swap Bnp Paribas - Cash Offset,S&P 500 Index Swap Bank Of America Na - Cash Offset,S&P 500 Index Swap Jp Morgan Securities - Cash Offset,S&P 500 Index Swap Ubs Ag - Cash Offset,B 0 11/04/21,B 0 08/12/21,B 0 03/24/22,S&P 500 Emini 09/17/21 (Esu1) - Cash Offset,B 0 08/05/21,B 0 12/02/21,B 0 07/01/21,B 0 07/15/21,B 0 07/29/21,B 0 09/23/21,B 0 09/30/21,B 0 10/14/21,XIB 0 10/07/21,B 0 10/21/21,United States Treasury Bills,B 0 12/23/21,B 0 12/30/21,B 0 04/21/22,S&P 500 Index Swap Morgan Stanley & Co. International Plc - Cash Offset,B 0 07/08/21,B 0 01/27/22,B 0 02/24/22,S&P 500 Index Swap Morgan Stanley & Co. International Plc,E-mini S&P 500 Future Sept 21,S&P 500 Index Swap Ubs Ag,S&P 500 Index Swap Jp Morgan Securities,S&P 500 Index Swap Bank Of America Na,S&P 500 Index Swap Bnp Paribas,S&P 500 Index Swap Citibank Na,S&P 500 Index Swap Goldman Sachs International,S&P 500 Index Swap Societe Generale,B 0 10/07/21,XIB 0 10/14/21,B 0 11/12/21,XIB 0 10/21/21,XIB 0 01/27/22,XIB 0 11/04/21,CMBR 0 09/16/21,B 0 09/02/21,SUM
07/09/2021,51.08,24.59,17.12,13.03,12.61,11.69,11.05,7.39,6.69,4.18,2.93,2.69,2.51,2.51,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,1.99,1.67,1.67,1.67,-1.99,-2.69,-7.39,-11.05,-11.69,-12.61,-13.03,-17.12,-24.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/14/2021,51.08,24.59,17.12,13.03,12.61,11.69,11.05,7.39,6.69,4.18,2.93,2.69,2.51,2.51,2.09,2.09,2.09,2.09,2.09,2.09,0.0,2.09,2.09,2.09,2.09,2.09,1.99,1.67,1.67,1.67,-1.99,-2.69,-7.39,-11.05,-11.69,-12.61,-13.03,-17.12,-24.59,2.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/15/2021,51.08,24.59,17.12,13.03,12.61,11.69,11.05,7.39,6.69,4.18,2.93,2.69,2.51,2.51,2.09,2.09,2.09,2.09,0.0,0.0,0.0,2.09,2.09,2.09,2.09,2.09,1.99,1.67,1.67,1.67,-1.99,-2.69,-7.39,-11.05,-11.69,-12.61,-13.03,-17.12,-24.59,2.09,2.09,2.09,0.0,0.0,0.0,0.0,0.0,99.99
07/16/2021,51.08,24.59,17.12,13.03,12.61,11.69,11.05,7.39,6.69,4.18,2.93,2.69,2.51,2.51,2.09,2.09,2.09,2.09,0.0,0.0,0.0,2.09,2.09,2.09,2.09,2.09,1.99,1.67,1.67,1.67,-1.99,-2.69,-7.39,-11.05,-11.69,-12.61,-13.03,-17.12,-24.59,2.09,2.09,2.09,0.0,0.0,0.0,0.0,0.0,99.99
07/21/2021,51.08,24.59,17.12,13.03,12.61,11.69,11.05,7.39,6.69,4.18,2.93,2.69,2.51,2.51,2.09,2.09,2.09,2.09,0.0,2.09,0.0,2.09,2.09,2.09,2.09,2.09,1.99,1.67,1.67,1.67,-1.99,-2.69,-7.39,-11.05,-11.69,-12.61,-13.03,-17.12,-24.59,2.09,0.0,2.09,0.0,0.0,0.0,0.0,0.0,99.99
07/22/2021,51.08,24.59,17.12,13.03,12.61,11.69,11.05,7.39,6.69,4.18,2.93,2.69,2.51,2.51,2.09,2.09,2.09,2.09,0.0,2.09,0.0,2.09,2.09,2.09,2.09,2.09,1.99,1.67,1.67,1.67,-1.99,-2.69,-7.39,-11.05,-11.69,-12.61,-13.03,-17.12,-24.59,2.09,0.0,2.09,0.0,0.0,0.0,0.0,0.0,99.99
07/23/2021,51.08,24.59,17.12,13.03,12.61,11.69,11.05,7.39,6.69,4.18,2.93,2.69,2.51,2.51,2.09,2.09,2.09,2.09,0.0,2.09,0.0,0.0,2.09,2.09,2.09,2.09,1.99,1.67,1.67,1.67,-1.99,-2.69,-7.39,-11.05,-11.69,-12.61,-13.03,-17.12,-24.59,2.09,0.0,2.09,2.09,0.0,0.0,0.0,0.0,99.99
07/26/2021,51.08,24.59,17.12,13.03,12.61,11.69,11.05,7.39,6.69,4.18,2.93,2.69,2.51,2.51,2.09,2.09,2.09,2.09,2.09,2.09,0.0,2.09,1.67,2.09,2.09,2.09,1.99,1.67,1.67,0.0,-1.99,-2.69,-7.39,-11.05,-11.69,-12.61,-13.03,-17.12,-24.59,2.09,0.0,2.09,0.0,0.0,0.0,0.0,0.0,99.99
07/27/2021,51.08,24.59,17.12,13.03,12.61,11.69,11.05,7.39,6.69,4.18,2.93,2.69,2.51,2.51,2.09,2.09,2.09,2.09,0.0,2.09,0.0,2.09,2.09,2.09,2.09,2.09,1.99,1.67,1.67,1.67,-1.99,-2.69,-7.39,-11.05,-11.69,-12.61,-13.03,-17.12,-24.59,2.09,0.0,2.09,0.0,0.0,0.0,0.0,0.0,99.99
07/28/2021,51.08,24.59,17.12,13.03,12.61,11.69,11.05,7.39,6.69,4.18,2.93,2.69,2.51,2.51,2.09,2.09,2.09,0.0,2.09,2.09,0.0,2.09,2.09,2.09,2.09,2.09,1.99,1.67,1.67,1.67,-1.99,-2.69,-7.39,-11.05,-11.69,-12.61,-13.03,-17.12,-24.59,2.09,0.0,2.09,0.0,0.0,0.0,0.0,0.0,99.99
07/29/2021,51.08,24.59,17.12,13.03,12.61,11.69,11.05,7.39,6.69,4.18,2.93,2.69,2.51,2.51,2.09,2.09,2.09,2.09,0.0,2.09,0.0,2.09,2.09,2.09,2.09,2.09,1.99,1.67,0.0,1.67,-1.99,-2.69,-7.39,-11.05,-11.69,-12.61,-13.03,-17.12,-24.59,2.09,0.0,2.09,0.0,1.67,0.0,0.0,0.0,99.99
07/30/2021,51.08,24.59,17.12,13.03,12.61,11.69,11.05,7.39,6.69,4.18,2.93,2.69,2.51,2.51,2.09,2.09,2.09,2.09,2.09,2.09,0.0,2.09,1.67,2.09,2.09,2.09,1.99,1.67,0.0,0.0,-1.99,-2.69,-7.39,-11.05,-11.69,-12.61,-13.03,-17.12,-24.59,2.09,0.0,2.09,0.0,1.67,0.0,0.0,0.0,99.99
08/02/2021,51.08,24.59,17.12,13.03,12.61,11.69,11.05,7.39,6.69,4.18,2.93,2.69,2.51,2.51,2.09,2.09,2.09,2.09,0.0,2.09,0.0,2.09,2.09,2.09,2.09,2.09,1.99,1.67,1.67,1.67,-1.99,-2.69,-7.39,-11.05,-11.69,-12.61,-13.03,-17.12,-24.59,2.09,0.0,2.09,0.0,0.0,0.0,0.0,0.0,99.99
08/03/2021,51.08,24.59,17.12,13.03,12.61,11.69,11.05,7.39,6.69,4.18,2.93,2.69,2.51,2.51,2.09,2.09,2.09,2.09,0.0,2.09,0.0,2.09,2.09,2.09,2.09,2.09,1.99,1.67,1.67,1.67,-1.99,-2.69,-7.39,-11.05,-11.69,-12.61,-13.03,-17.12,-24.59,2.09,0.0,2.09,0.0,0.0,0.0,0.0,0.0,99.99
08/04/2021,51.08,24.59,17.12,13.03,12.61,11.69,11.05,7.39,6.69,4.18,2.93,2.69,2.51,2.51,2.09,2.09,2.09,2.09,0.0,2.09,0.0,2.09,2.09,2.09,2.09,2.09,1.99,1.67,1.67,1.67,-1.99,-2.69,-7.39,-11.05,-11.69,-12.61,-13.03,-17.12,-24.59,2.09,0.0,2.09,0.0,0.0,0.0,0.0,0.0,99.99
08/05/2021,51.08,24.59,17.12,13.03,12.61,11.69,11.05,7.39,0.0,4.18,2.93,2.69,2.51,2.51,2.09,2.09,2.09,0.0,2.09,2.09,0.0,2.09,2.09,2.09,2.09,2.09,1.99,1.67,1.67,1.67,-1.99,-2.69,-7.39,-11.05,-11.69,-12.61,-13.03,-17.12,-24.59,2.09,0.0,2.09,0.0,0.0,6.69,0.0,0.0,99.99
08/06/2021,49.41,28.96,15.39,13.67,8.64,12.26,8.97,6.69,0.0,4.29,3.0,2.16,2.57,2.57,0.0,0.0,0.0,2.14,2.14,2.14,0.0,2.14,0.0,2.14,4.29,2.14,2.09,0.0,1.71,1.71,-2.09,-2.16,-6.69,-8.97,-12.26,-8.64,-13.67,-15.39,-28.96,2.14,0.0,2.14,0.0,0.0,6.86,4.29,2.14,99.96000000000001
