,POWERGRID.NS,FMX,1513.TW,868.HK,5110.SR,WALMEX.MX,1301.TW,2382.TW,ITC.NS,1044.HK,CHMF.ME,NVAA.,688.HK,992.HK,1109.HK,5347,FAB.,SLM.JO,2202.HK,4938.TW,267.HK,SCB-R.BK,SBK.JO,270.HK,VOD.JO,3231.TW,IRAO.ME,2881.TW,FSR.JO,CIMB.KL,2886.TW,1120.SR,2891.TW,MAYBANK.KL,6176.TW,2301.TW,SPP.JO,GVMXX,TCAP-R.BK,ETISALAT.,2890.TW,KIMBERA.MX,MARK.QA,NVA4.,ADIB.,5880.TW,CEZ.PR,5876.TW,6004.SR,AVI.JO,2887.TW,FEES.ME,1722.TW,548.HK,3328.HK,ENKAI.E.IS,1434.TW,2328.HK,CHAMBLFERT.NS,3988.HK,KOFUBL.MX,AGUAS-A.SN,123.HK,177.HK,1229.TW,GLO.PM,1339.HK,1288.HK,1080.SR,5434.TW,ENELCHILE.SN,939.HK,PETGAS.KL,3005.TW,BOLSAA.MX,2809.TW,UPRO.ME,2380.HK,RATCH/F.BK,1215.TW,9939.TW,F1P2.,3360.HK,8926.TW,3036.TW,QEWS.QA,2548.TW,MAXIS.KL,1052.HK,BCOLOMBIA.BC,EQU.JO,6030.HK,1883.HK,FIBRAPL14.MX,TCAP/F.BK,1398.HK,3618.HK,PSH-R.BK,SSIXX,n/a,MGNT.ME,SAHOL.E.IS,AQE.,2385.TW,2347.TW,813.HK,2324.TW,D7C.,4958.TW,HTO.AT,6274,1816.HK,8112.TW,3044.TW,3665.TW,6121,Q.MX,6282.TW,ZAIN.,2892.TW,1504.TW,1227.TW,3339.HK,6158.HK,TEL.PM,3383.HK,1359.HK,2880.TW,INDF.JK,2884.TW,ICBP.JK,Z25.SI,MEGACPO.MX,5522.TW,RATCH.F.BK,6214.TW,9917.TW,8341.TW,2845.TW,SUM
08/31/2021,3.32,3.26,3.22,3.07,3.06,2.95,2.71,2.65,2.61,2.61,2.58,2.57,2.55,2.5,2.48,2.33,2.32,2.31,2.21,2.13,2.1,1.9,1.85,1.71,1.67,1.49,1.48,1.42,1.42,1.4,1.4,1.29,1.27,1.26,1.23,1.07,1.06,0.91,0.73,0.71,0.71,0.69,0.69,0.64,0.63,0.6,0.57,0.55,0.54,0.53,0.53,0.53,0.51,0.47,0.46,0.44,0.43,0.43,0.4,0.38,0.38,0.37,0.36,0.36,0.35,0.32,0.32,0.3,0.3,0.29,0.28,0.28,0.25,0.24,0.24,0.24,0.24,0.23,0.22,0.22,0.21,0.21,0.21,0.18,0.18,0.17,0.16,0.16,0.15,0.15,0.14,0.13,0.11,0.11,0.08,0.07,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.81
09/01/2021,3.32,3.26,3.22,3.07,3.06,2.95,2.71,2.65,2.61,2.61,2.58,2.57,2.55,2.5,2.48,2.33,2.32,2.31,2.21,2.13,2.1,1.9,1.85,1.71,1.67,1.49,1.48,1.42,1.42,1.4,1.4,1.29,1.27,1.26,1.23,1.07,1.06,0.91,0.73,0.71,0.71,0.69,0.69,0.64,0.63,0.6,0.57,0.55,0.54,0.53,0.53,0.53,0.51,0.47,0.46,0.44,0.43,0.43,0.4,0.38,0.38,0.37,0.36,0.36,0.35,0.32,0.32,0.3,0.3,0.29,0.28,0.28,0.25,0.24,0.24,0.24,0.24,0.23,0.22,0.22,0.21,0.21,0.21,0.18,0.18,0.17,0.16,0.16,0.15,0.15,0.14,0.13,0.11,0.11,0.08,0.07,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.81
11/30/2021,0.0,0.0,0.0,0.0,2.44,3.14,0.0,1.09,0.0,1.78,0.0,3.13,2.87,0.0,1.84,0.0,3.18,2.62,1.91,1.96,2.63,0.0,0.0,2.06,1.54,1.95,1.59,0.0,0.0,0.0,0.6,0.0,0.53,0.0,1.51,1.9,1.02,0.28,0.0,1.39,0.59,0.7,0.68,0.74,0.0,0.48,0.85,0.53,0.0,0.87,0.49,0.32,0.0,0.32,1.14,0.68,0.0,0.0,0.0,1.31,0.0,0.41,0.55,0.35,0.77,0.38,0.0,1.3,0.0,0.63,0.0,0.99,0.26,0.53,0.25,0.21,0.23,1.04,0.0,0.47,0.55,0.21,0.43,0.17,0.0,0.18,0.34,0.0,0.0,0.0,0.16,0.53,0.19,0.0,0.0,1.17,0.19,0.0,0.03,-0.02,3.47,3.07,2.88,1.97,1.54,1.53,1.45,1.39,1.27,1.21,1.15,1.07,1.0,1.0,0.96,0.96,0.73,0.65,0.65,0.53,0.53,0.51,0.49,0.48,0.43,0.43,0.38,0.37,0.37,0.35,0.31,0.29,0.24,0.23,0.22,0.21,0.17,0.17,0.1,99.92
