,NEE,DUK,ENEL.MI,IBE.MC,SO,D,NG.L,EXC,AEP,SRE,XEL,PEG,AWK,WEC,ES,ORSTED.CO,EOAN.DE,RWE.DE,ED,ENGI.PA,SSE.L,EIX,DTE,PPL,AEE,FTS.TO,ETR,FE,3.HK,CMS,AES,VIE.PA,BIP,2.HK,EDP.LS,CNP,EVRG,LNT,ATO,SRG.MI,FORTUM.HE,EMA.TO,TRN.MI,NRG,NI,UU.L,SEV.PA,PNW,AQN.TO,9502.T,NTGY.MC,SVT.L,9503.T,REE.MC,APA.AX,ELE.MC,9532.T,9531.T,ORG.AX,ENG.MC,XTSLA,EDF.PA,CNA.L,AGL.AX,ENIA,ISA.BC,GBP,SRE.1,EUR,ENIC,DKK,AUD,SGAFT,JPY,SGAFT.1,DTM WI,MXN,CAD,HKD,IXSU1,IBN1,EUR.1,ENELCHILE.SN,VIEDS.PA,USD,IXSZ1,MARGIN_EUR,SUM
07/09/2021,9.75,5.08,4.8,4.4,4.34,4.04,3.26,2.92,2.83,2.66,2.4,2.03,1.93,1.9,1.85,1.78,1.76,1.67,1.66,1.62,1.47,1.45,1.45,1.44,1.39,1.39,1.37,1.36,1.16,1.15,1.15,1.12,1.09,1.07,1.01,0.96,0.94,0.94,0.84,0.82,0.8,0.77,0.7,0.66,0.65,0.64,0.64,0.63,0.6,0.59,0.58,0.57,0.53,0.53,0.53,0.52,0.51,0.48,0.41,0.36,0.36,0.36,0.28,0.25,0.18,0.18,0.16,0.13,0.11,0.09,0.02,0.02,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.13
09/24/2021,9.91,5.07,4.16,4.24,4.46,4.01,3.38,3.19,2.77,2.78,2.27,2.08,2.16,1.92,1.91,1.78,1.92,1.7,1.72,1.63,1.58,1.46,1.46,1.46,1.42,1.43,1.45,1.33,1.12,1.19,1.06,1.14,1.07,1.07,1.04,0.98,0.98,0.96,0.77,0.8,0.88,0.79,0.73,0.68,0.63,0.65,0.59,0.55,0.62,0.6,0.59,0.65,0.58,0.52,0.48,0.48,0.54,0.54,0.37,0.33,0.14,0.4,0.0,0.0,0.16,0.17,0.05,0.0,0.25,0.0,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.08,0.04,0.03,0.0,0.0,100.02
09/27/2021,9.84,5.05,4.28,4.24,4.44,4.0,3.32,3.24,2.75,2.75,2.26,2.05,2.15,1.9,1.89,1.83,1.94,1.71,1.72,1.64,1.58,1.46,1.47,1.47,1.43,1.42,1.38,1.33,1.12,1.17,1.05,1.18,1.1,1.09,1.07,0.98,0.97,0.96,0.77,0.8,0.9,0.79,0.73,0.7,0.62,0.64,0.59,0.55,0.63,0.59,0.59,0.64,0.56,0.52,0.5,0.48,0.53,0.53,0.39,0.33,0.07,0.42,0.0,0.0,0.17,0.17,0.05,0.0,0.25,0.0,0.02,0.02,0.02,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.08,0.04,0.09,0.0,0.0,100.03000000000002
09/28/2021,9.83,5.08,4.26,4.21,4.45,4.05,3.27,3.23,2.75,2.78,2.29,2.06,2.15,1.9,1.91,1.81,1.93,1.7,1.73,1.63,1.57,1.47,1.48,1.47,1.44,1.42,1.36,1.34,1.11,1.18,1.05,1.16,1.1,1.08,1.06,1.01,0.97,0.96,0.77,0.78,0.88,0.79,0.71,0.7,0.63,0.63,0.59,0.55,0.63,0.6,0.59,0.63,0.57,0.52,0.5,0.48,0.54,0.54,0.39,0.33,0.06,0.42,0.0,0.0,0.16,0.17,0.05,0.0,0.25,0.0,0.02,0.02,0.02,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.08,0.04,0.09,0.0,0.0,100.0
09/29/2021,9.83,5.08,4.26,4.21,4.45,4.05,3.27,3.23,2.75,2.78,2.29,2.06,2.15,1.9,1.91,1.81,1.93,1.7,1.73,1.63,1.57,1.47,1.48,1.47,1.44,1.42,1.36,1.34,1.11,1.18,1.05,1.16,1.1,1.08,1.06,1.01,0.97,0.96,0.77,0.78,0.88,0.79,0.71,0.7,0.63,0.63,0.59,0.55,0.63,0.6,0.59,0.63,0.57,0.52,0.5,0.48,0.54,0.54,0.39,0.33,0.06,0.42,0.0,0.0,0.16,0.17,0.05,0.0,0.25,0.0,0.02,0.02,0.02,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.08,0.04,0.09,0.0,0.0,100.0
09/30/2021,9.67,5.08,4.25,4.23,4.43,4.04,3.27,3.23,2.75,2.78,2.27,2.09,2.1,1.88,1.89,1.79,1.94,1.73,1.73,1.66,1.58,1.48,1.48,1.48,1.43,1.42,1.36,1.35,1.11,1.17,1.06,1.17,1.12,1.09,1.08,1.02,0.98,0.95,0.77,0.78,0.91,0.79,0.71,0.7,0.63,0.63,0.6,0.55,0.63,0.6,0.6,0.62,0.57,0.52,0.5,0.48,0.54,0.54,0.39,0.33,0.06,0.43,0.0,0.0,0.16,0.18,0.05,0.0,0.26,0.0,0.02,0.02,0.02,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.08,0.04,0.09,0.0,0.0,99.96
10/01/2021,9.63,5.12,4.23,4.19,4.46,4.06,3.23,3.24,2.79,2.71,2.27,2.1,2.1,1.9,1.91,1.79,1.95,1.71,1.75,1.67,1.55,1.49,1.48,1.49,1.44,1.43,1.37,1.36,1.13,1.17,1.06,1.14,1.13,1.1,1.08,1.02,0.98,0.96,0.78,0.79,0.92,0.79,0.71,0.69,0.64,0.62,0.61,0.55,0.62,0.61,0.61,0.61,0.57,0.57,0.5,0.49,0.54,0.54,0.42,0.36,0.07,0.44,0.0,0.0,0.16,0.2,0.06,0.0,0.28,0.0,0.02,0.02,0.02,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.09,0.03,0.0,0.0,0.0,100.14
10/22/2021,9.93,5.19,4.25,4.33,4.41,4.06,3.22,3.28,2.8,2.76,2.33,2.1,2.09,1.89,1.98,1.76,1.87,1.7,1.74,1.64,1.53,1.46,1.48,1.49,1.44,1.41,1.37,1.34,1.08,1.16,1.07,1.4,1.13,1.07,1.09,1.03,0.97,0.93,0.81,0.76,0.89,0.81,0.68,0.67,0.65,0.62,0.59,0.5,0.62,0.55,0.58,0.61,0.52,0.56,0.5,0.47,0.47,0.46,0.45,0.35,0.04,0.47,0.0,0.0,0.16,0.18,0.01,0.0,0.07,0.0,0.02,0.0,0.01,0.04,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.08,0.0,-0.01,0.0,0.0,99.98
10/25/2021,10.01,5.21,4.25,4.32,4.43,4.11,3.2,3.29,2.81,2.74,2.32,2.1,2.08,1.89,1.95,1.78,1.87,1.7,1.75,1.65,1.54,1.49,1.47,1.47,1.43,1.39,1.38,1.33,1.07,1.16,1.09,1.39,1.13,1.06,1.09,1.03,0.97,0.93,0.8,0.77,0.91,0.8,0.69,0.66,0.65,0.62,0.58,0.5,0.62,0.54,0.57,0.61,0.52,0.55,0.49,0.47,0.46,0.45,0.45,0.35,0.08,0.46,0.0,0.0,0.15,0.17,0.01,0.0,0.07,0.0,0.02,0.0,0.01,0.03,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.08,0.0,-0.04,0.0,0.0,99.99
10/26/2021,10.05,5.23,4.21,4.29,4.33,4.1,3.19,3.29,2.81,2.75,2.31,2.12,2.1,1.89,1.95,1.76,1.87,1.71,1.76,1.65,1.54,1.51,1.47,1.47,1.44,1.38,1.38,1.35,1.07,1.16,1.09,1.41,1.13,1.06,1.1,1.03,0.97,0.94,0.81,0.77,0.92,0.8,0.69,0.66,0.65,0.62,0.58,0.49,0.61,0.54,0.56,0.61,0.51,0.55,0.49,0.47,0.46,0.45,0.45,0.35,0.08,0.46,0.0,0.0,0.15,0.17,0.01,0.0,0.07,0.0,0.02,0.0,0.01,0.03,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.08,0.0,-0.04,0.0,0.0,99.96
