,B 0 08/03/21,B 0 07/27/21,TREASURY NOTE,TREASURY NOTE.1,TREASURY NOTE.2,B 0 07/15/21,B 0 09/02/21,TREASURY NOTE.3,TREASURY NOTE.4,TREASURY NOTE.5,B 0 07/08/21,TREASURY NOTE.6,TREASURY NOTE.7,BLK CSH FND TREASURY SL AGENCY,TREASURY NOTE.8,TREASURY NOTE.9,USD CASH,B 0 08/12/21,TREASURY NOTE.10,B 0 07/22/21,TREASURY NOTE.11,TREASURY NOTE.12,TREASURY NOTE.13,TREASURY NOTE.14,B 0 12/16/21,TREASURY NOTE.15,TREASURY NOTE.16,TREASURY NOTE.17,TREASURY NOTE.18,TREASURY NOTE.19,TREASURY NOTE.20,TREASURY NOTE.21,TREASURY NOTE.22,TREASURY NOTE.23,TREASURY NOTE.24,TREASURY NOTE.25,B 0 12/30/21,B 0 07/13/21,TREASURY NOTE.26,TREASURY NOTE.27,TREASURY NOTE.28,TREASURY NOTE.29,TREASURY NOTE.30,TREASURY NOTE.31,TREASURY NOTE.32,TREASURY BILL,TREASURY NOTE.33,TREASURY NOTE.34,T 2.125 05/15/22,B 0 09/28/21,B 0 10/28/21,B 0 08/31/21,T 1.875 04/30/22,CMB 0 11/09/21,T 2.5 01/15/22,B 0 08/26/21,T 2.25 04/15/22,B 0 09/16/21,T 1.75 05/31/22,T 2.125 06/30/22,B 0 09/07/21,B 0 09/23/21,T 2.875 10/15/21,T 2.125 08/15/21,T 2.5 02/15/22,T 2 08/31/21,T 1.875 01/31/22,T 1.875 05/31/22,T 1.875 03/31/22,T 2 10/31/21,T 1.75 02/28/22,T 2.75 08/15/21,n/a,T 1.75 06/30/22,T 1.75 05/15/22,T 1.125 08/31/21,XTSLA,T 1.75 11/30/21,B 0 08/17/21,ANSGR.IS,B 0 10/26/21,T 1.75 07/15/22,B 0 11/09/21,B 0 09/30/21,T 1.875 07/31/22,B 0 11/18/21,B 0 11/02/21,T 1.875 08/31/22,B 0 10/12/21,B 0 10/19/21,CMB 0 11/01/21,T 1.625 08/31/22,T 0.125 08/31/22,T 2 12/31/21,T 1.5 08/15/22,T 2 07/31/22,XIB 0 11/02/21,B 0 12.07.21,CMBR 0 12.16.21,T 2.125 05.15.22,T 1.75 07.15.22,B 0 11.09.21,T 1.875 04.30.22,T 2.5 01.15.22,T 2.25 04.15.22,T 1.75 05.31.22,T 1.875 07.31.22,T 2.125 06.30.22,T 1.875 08.31.22,B 0 11.18.21,B 0 10.28.21,T 2.5 02.15.22,T 1.625 08.31.22,T 2.875 10.15.21,T 1.875 01.31.22,B 0 10.26.21,CMB 0 11.01.21,T 1.875 05.31.22,B 0 12.09.21,T 0.125 08.31.22,T 1.875 03.31.22,T 2 10.31.21,T 1.75 02.28.22,T 1.75 06.30.22,T 1.75 05.15.22,B 0 11.02.21,T 2 12.31.21,T 1.5 08.15.22,T 2 07.31.22,B 0 10.19.21,B 0 12.16.21,T 1.875 09.30.22,B 0 12.21.21,B 0 11.30.21,T 1.375 10.15.22,CMB 0 12.15.21,XIB 0 12.14.21,B 0 12.28.21,T 0.125 09.30.22,B 0 12.23.21,T 1.875 10.31.22,T 1.75 09.30.22,B 0 11.26.21,B 0 12.30.21,T 0.125 10.31.22,B 0 05.19.22,CMB 0 12.31.21,B 0 12.14.21,XIB 0 12.28.21,B 0 01.18.22,T 2 10.31.22,SUM
07/09/2021,13.66,7.45,7.15,6.57,6.14,5.49,5.32,4.99,4.5,4.11,3.89,3.56,2.42,2.38,2.32,1.95,1.86,1.81,1.56,1.52,1.45,1.39,1.39,1.17,0.96,0.88,0.82,0.71,0.64,0.6,0.55,0.32,0.16,0.1,0.05,0.04,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/18/2021,0.0,0.0,0.0,0.0,0.0,0.0,5.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.73,6.93,6.92,6.81,6.17,5.86,5.8,4.79,4.68,4.49,4.46,3.79,3.47,3.15,3.06,2.39,1.82,1.81,1.39,1.23,1.04,0.92,0.89,0.85,0.82,0.63,0.6,0.55,0.33,0.31,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
10/04/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.73,0.0,6.93,0.0,6.18,0.0,5.8,0.0,4.68,0.0,4.47,3.8,0.0,0.0,1.52,0.0,1.75,0.0,1.4,1.23,1.04,0.16,0.89,0.0,-6.33,0.63,0.6,0.0,1.46,0.0,0.0,0.0,11.96,7.26,5.91,4.88,4.1,3.42,3.33,3.21,3.12,2.12,1.94,1.74,1.03,0.82,0.21,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
10/05/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.73,0.0,6.93,0.0,6.18,0.0,5.54,0.0,4.68,0.0,4.47,3.8,0.0,0.0,1.52,0.0,1.75,0.0,1.4,1.23,1.03,0.16,0.89,0.0,0.44,0.63,0.6,0.0,2.87,0.0,0.0,0.0,11.96,7.26,5.91,0.0,4.1,3.42,0.0,3.24,0.01,2.12,1.94,1.75,1.04,0.82,0.21,0.02,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
10/06/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.73,0.0,6.93,0.0,6.18,0.0,5.54,0.0,4.68,0.0,4.47,3.8,0.0,0.0,1.52,0.0,1.75,0.0,1.4,1.23,1.03,0.16,0.89,0.0,0.44,0.63,0.6,0.0,2.87,0.0,0.0,0.0,11.96,7.26,5.91,0.0,4.1,3.42,0.0,3.24,0.01,2.12,1.94,1.75,1.04,0.82,0.21,0.02,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
10/07/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.73,0.0,6.93,0.0,6.18,0.0,5.54,0.0,4.68,0.0,4.47,3.8,0.0,0.0,1.52,0.0,1.75,0.0,1.4,1.23,1.03,0.16,0.89,0.0,-0.01,0.63,0.6,0.0,3.33,0.0,0.0,0.0,11.96,7.26,5.91,0.0,4.1,3.42,3.33,3.24,0.01,2.12,1.94,1.75,1.04,0.82,0.21,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
10/15/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.21,0.0,0.0,0.0,19.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.43,10.1,8.73,7.26,6.29,6.18,5.54,4.68,4.47,4.1,3.8,3.24,2.7,2.62,1.75,1.75,1.48,1.4,1.31,1.29,1.23,1.08,1.04,1.03,0.97,0.89,0.63,0.6,0.52,0.29,0.21,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
10/18/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.21,0.0,0.0,0.0,19.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.43,10.1,8.73,7.26,6.29,6.18,5.54,4.68,4.47,4.1,3.8,3.24,2.7,2.62,1.75,1.75,1.48,1.4,1.31,1.29,1.23,1.08,1.04,1.03,0.97,0.89,0.63,0.6,0.52,0.29,0.21,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
11/16/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.45,0.0,8.74,7.27,0.0,6.12,5.0,4.63,4.47,3.58,3.8,2.42,2.7,0.0,1.75,1.75,0.0,1.4,0.0,0.0,1.23,0.35,0.97,1.03,0.0,0.89,0.63,0.6,0.0,0.01,0.21,0.02,0.0,10.1,3.39,3.27,2.28,1.68,1.62,1.59,1.45,1.37,1.31,0.97,0.91,0.73,0.36,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11/29/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.02,0.0,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.45,0.0,8.65,6.7,0.0,6.12,3.93,3.5,4.47,3.58,3.8,2.42,0.0,0.0,1.75,1.75,0.0,1.13,0.0,0.0,0.02,0.35,0.97,1.03,0.0,0.89,0.03,0.04,0.0,0.01,0.21,0.02,0.0,10.1,3.39,3.27,2.29,2.33,3.1,0.0,0.0,1.37,2.68,0.97,0.91,0.02,0.01,0.01,5.47,2.7,1.59,1.45,1.13,0.3,99.99000000000002
