,Cash,S&P Midcap 400 Index Swap Citibank Na - Cash Offset,S&P Midcap 400 Index Swap Bnp Paribas - Cash Offset,S&P Midcap 400 Index Swap Bank Of America Na - Cash Offset,S&P Midcap 400 Index Swap Societe Generale - Cash Offset,S&P Midcap 400 Index Swap Morgan Stanley & Co. International Plc - Cash Off,S&P Mid 400 09/17/21 (Fau1) - Cash Offset,E-mini S&P MidCap 400 Future Sept 21,S&P Midcap 400 Index Swap Morgan Stanley & Co. International Plc,S&P Midcap 400 Index Swap Societe Generale,S&P Midcap 400 Index Swap Bank Of America Na,S&P Midcap 400 Index Swap Bnp Paribas,S&P Midcap 400 Index Swap Citibank Na,SUM
07/09/2021,100.0,65.66,65.53,65.12,62.88,27.63,13.23,-13.23,-27.63,-62.88,-65.12,-65.53,-65.66,100.0
07/12/2021,100.0,65.66,65.53,65.12,62.88,27.63,13.23,-13.23,-27.63,-62.88,-65.12,-65.53,-65.66,100.0
07/13/2021,100.0,65.66,65.53,65.12,62.88,27.63,13.23,-13.23,-27.63,-62.88,-65.12,-65.53,-65.66,100.0
07/14/2021,100.0,65.66,65.53,65.12,62.88,27.63,13.23,-13.23,-27.63,-62.88,-65.12,-65.53,-65.66,100.0
07/15/2021,100.0,65.66,65.53,65.12,62.88,27.63,13.23,-13.23,-27.63,-62.88,-65.12,-65.53,-65.66,100.0
07/16/2021,100.0,65.66,65.53,65.12,62.88,27.63,13.23,-13.23,-27.63,-62.88,-65.12,-65.53,-65.66,100.0
07/19/2021,100.0,65.66,65.53,65.12,62.88,27.63,13.23,-13.23,-27.63,-62.88,-65.12,-65.53,-65.66,100.0
07/20/2021,100.0,65.66,65.53,65.12,62.88,27.63,13.23,-13.23,-27.63,-62.88,-65.12,-65.53,-65.66,100.0
07/21/2021,100.0,65.66,65.53,65.12,62.88,27.63,13.23,-13.23,-27.63,-62.88,-65.12,-65.53,-65.66,100.0
07/22/2021,100.0,65.66,65.53,65.12,62.88,27.63,13.23,-13.23,-27.63,-62.88,-65.12,-65.53,-65.66,100.0
07/23/2021,100.0,65.66,65.53,65.12,62.88,27.63,13.23,-13.23,-27.63,-62.88,-65.12,-65.53,-65.66,100.0
07/26/2021,100.0,65.66,65.53,65.12,62.88,27.63,13.23,-13.23,-27.63,-62.88,-65.12,-65.53,-65.66,100.0
07/27/2021,100.0,65.66,65.53,65.12,62.88,27.63,13.23,-13.23,-27.63,-62.88,-65.12,-65.53,-65.66,100.0
07/28/2021,100.0,65.66,65.53,65.12,62.88,27.63,13.23,-13.23,-27.63,-62.88,-65.12,-65.53,-65.66,100.0
07/29/2021,100.0,65.66,65.53,65.12,62.88,27.63,13.23,-13.23,-27.63,-62.88,-65.12,-65.53,-65.66,100.0
07/30/2021,100.0,65.66,65.53,65.12,62.88,27.63,13.23,-13.23,-27.63,-62.88,-65.12,-65.53,-65.66,100.0
08/02/2021,100.0,65.66,65.53,65.12,62.88,27.63,13.23,-13.23,-27.63,-62.88,-65.12,-65.53,-65.66,100.0
08/03/2021,100.0,65.66,65.53,65.12,62.88,27.63,13.23,-13.23,-27.63,-62.88,-65.12,-65.53,-65.66,100.0
08/04/2021,100.0,65.66,65.53,65.12,62.88,27.63,13.23,-13.23,-27.63,-62.88,-65.12,-65.53,-65.66,100.0
08/05/2021,100.0,65.66,65.53,65.12,62.88,27.63,13.23,-13.23,-27.63,-62.88,-65.12,-65.53,-65.66,100.0
