,2022-03-18 SPDRu00ae S&P 500u00ae ETF Trust C 3.88,2022-03-18 SPDRu00ae S&P 500u00ae ETF Trust P 370.01,US Dollar,2022-03-18 SPDRu00ae S&P 500u00ae ETF Trust P 272.64,2022-03-18 SPDRu00ae S&P 500u00ae ETF Trust C 425.70,SUM
07/09/2021,104.06,2.44,0.82,-0.63,-6.7,99.99
07/12/2021,104.59,2.32,0.82,-0.58,-7.16,99.99
07/13/2021,104.59,2.32,0.82,-0.58,-7.16,99.99
