,688208.SS,CM.TO,NESN.SW,L.TO,RY.TO,FTS.TO,6.HK,WN.TO,BCE.TO,EMA.TO,MRU.TO,3.HK,KNIN.SW,SCMN.SW,2.HK,GEBN.SW,H.TO,NA.TO,WCN.TO,BARN.SW,GIVN.SW,BlackRock Liquidity T-Fund Instl,T.TO,PGHN.SW,AI.PA,RMS.PA,SGSN.SW,JMT.LS,POW.TO,TD.TO,ORK.OL,WKL.AS,INVE B.ST,LISP.SW,O39.SI,EMSN.SW,BNS.TO,AD.AS,NOVN.SW,DTE.DE,DPW.DE,WES.AX,ABBN.SW,KESKOB.HE,LUND B.ST,SY1.DE,GWO.TO,SOF.BR,ASX.AX,OR.PA,688208.SS.1,IFC.TO,4901.T,LEG.DE,DOL.TO,U11.SI,BMO.TO,OTEX.TO,SPX.L,ROG.SW,LR.PA,SIKA.SW,TEL.OL,TLS.AX,SCHP.SW,WSP.TO,TRI.TO,HEXA B.ST,CBA.AX,IBE.MC,KRZ.IR,DSM.AS,8001.T,CP.TO,ESSITY B.ST,BEI.DE,SHL.AX,SLF.TO,NZYM B.CO,D05.SI,AKZA.AS,NOVO B.CO,SAN.PA,CPR.MI,CRDA.L,RI.PA,BXB.AX,KNEBV.HE,RCI/A.NE,ELISA.HE,033780.KS,MRK.DE,INDUC.ST,GBLB.BR,7203.T,TRN.MI,DWNI.DE,GIB.A.TO,ENB.TO,GSK.L,12.HK,HLMA.L,9434.T,CNR.TO,DSV.CO,COL.AX,YAR.OL,ICA.ST,NG.L,AQN.TO,ADM.L,2914.T,SRG.MI,TSCO.L,KER.PA,CARL B.CO,4151.T,BVI.PA,POLI.TA,1038.HK,DSY.PA,SAP.TO,9432.T,ATD/A.NE,ZURN.SW,2802.T,AHT.L,Z74.SI,AZN.L,NDA SE.ST,KINV B.ST,NIBE B.ST,CHR.CO,ULVR.L,ELE.MC,HOLN.SW,9433.T,FERG.L,WOW.AX,MC.PA,8058.T,SGO.PA,SCA B.ST,G.MI,66.HK,REC.MI,RKT.L,SOON.SW,SU.PA,EPI A.ST,TRP.TO,STMN.SW,1928.T,BNR.DE,FNV.TO,8725.T,9843.T,DB1.DE,017670.KS,4578.T,4502.T,INW.MI,VNA.DE,1113.HK,4503.T,AMUN.PA,BMW.DE,RCO.PA,11.HK,MQG.AX,6702.T,4684.T,ATCO A.ST,035720.KS,ASSA B.ST,FME.DE,CSU.TO,EXPN.L,COLO B.CO,ASML.AS,GJF.OL,LONN.SW,BN.PA,REL.L,FRE.DE,AFX.DE,6869.T,DGE.L,ML.PA,BATS.L,FORTUM.HE,CAP.PA,8306.T,SWMA.ST,SEB A.ST,4507.T,6502.T,SHB A.ST,TEP.PA,CSL.AX,FRGXX,MPFXX,CJPXX,EOAN.DE,TSTXX,RCI.B.TO,DASTF,ATD.B.TO,4543.T,CFR.SW,PST.MI,SUM
07/09/2021,0.54,0.43,0.42,0.4,0.39,0.39,0.39,0.39,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.56
08/31/2021,0.0,0.43,0.42,0.4,0.39,0.39,0.39,0.38,0.37,0.36,0.36,0.36,0.35,0.36,0.36,0.36,0.35,0.34,0.34,0.34,0.34,0.0,0.33,0.32,0.32,0.32,0.32,0.3,0.32,0.31,0.31,0.31,0.31,0.3,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.0,0.28,0.29,0.28,0.28,0.28,0.28,0.27,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.0,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.25,0.24,0.24,0.25,0.24,0.24,0.24,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.24,0.0,0.24,0.24,0.0,0.24,0.24,0.23,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.23,0.23,0.23,0.23,0.22,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.23,0.22,0.22,0.22,0.21,0.21,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.22,0.21,0.21,0.21,0.21,0.0,0.21,0.0,0.21,0.21,0.0,0.0,0.0,0.21,2.82,1.87,0.41,0.29,0.28,0.25,0.24,0.23,0.21,0.21,0.21,56.57
