,9988.HK,700.HK,3690.HK,NIO,JD,600519.SS,939.HK,NTES,2318.HK,BIDU,2020.HK,2269.HK,600036.SS,PDD,601919.SS,1398.HK,291.HK,M4B.,BY6.,601012.SS,601888.SS,601318.SS,600809.SS,600436.SS,2313.HK,2382.HK,3988.HK,002475.SZ,002594.SZ,3888.HK,000661.SZ,000568.SZ,YUMC,603288.SS,002714.SZ,000001.SZ,2333.HK,TCOM,600660.SS,175.HK,600276.SS,601166.SS,002311.SZ,000625.SZ,1548.HK,2319.HK,600031.SS,Cash,1109.HK,EDU,000596.SZ,1093.HK,268.HK,002304.SZ,002049.SZ,SNPMF,600000.SS,000338.SZ,000725.SZ,600030.SS,002142.SZ,CHL.,2688.HK,600196.SS,600887.SS,601398.SS,ZTO,960.HK,688.HK,002460.SZ,2007.HK,HCM,ZLAB,600703.SS,601377.SS,6690.HK,002050.SZ,VIPS,1288.HK,D7N.,1177.HK,857.HK,241.HK,002007.SZ,000002.SZ,600690.SS,992.HK,601328.SS,2601.HK,270.HK,601818.SS,384.HK,600111.SS,002493.SZ,600926.SS,601288.SS,586.HK,002230.SZ,TAL,AQE.,000876.SZ,2689.HK,600893.SS,601899.SS,2018.HK,600426.SS,600999.SS,2196.HK,000538.SZ,322.HK,HTHT,601788.SS,600588.SS,600919.SS,916.HK,600674.SS,000895.SZ,1918.HK,601009.SS,2328.HK,601901.SS,601607.SS,601229.SS,600048.SS,600104.SS,603799.SS,000783.SZ,000166.SZ,000157.SZ,600585.SS,601601.SS,002001.SZ,884.HK,ZTCOF,600352.SS,600837.SS,6881.HK,600016.SS,600019.SS,148.HK,GDS,601169.SS,1088.HK,601225.SS,000069.SZ,601211.SS,NOAH,2799.HK,600958.SS,867.HK,000963.SZ,1060.HK,144.HK,002736.SZ,1193.HK,3328.HK,688012.SS,002027.SZ,1171.HK,902.HK,600886.SS,600115.SS,601618.SS,1359.HK,TME,600688.SS,1776.HK,267.HK,002202.SZ,3323.HK,836.HK,601877.SS,IQ,6030.HK,600015.SS,152.HK,600028.SS,600741.SS,1099.HK,3898.HK,601006.SS,601988.SS,600383.SS,177.HK,002236.SZ,000423.SZ,601688.SS,1988.HK,2202.HK,656.HK,601336.SS,001979.SZ,151.HK,000050.SZ,600010.SS,1336.HK,600606.SS,1114.HK,696.HK,600208.SS,CHG.BK,2238.HK,002405.SZ,601699.SS,1813.HK,D7C.,601669.SS,000709.SZ,600705.SS,1313.HK,600068.SS,n/a,BABA,000776.SZ,SUM
07/09/2021,9.98,9.83,3.04,2.79,2.3,1.99,1.91,1.39,1.39,1.37,1.33,1.28,1.18,1.08,1.0,0.96,0.94,0.93,0.85,0.83,0.79,0.79,0.75,0.74,0.72,0.7,0.65,0.64,0.64,0.63,0.63,0.62,0.6,0.6,0.59,0.57,0.56,0.52,0.52,0.52,0.52,0.51,0.49,0.49,0.46,0.45,0.45,0.44,0.43,0.4,0.39,0.39,0.38,0.38,0.37,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.82
07/12/2021,9.52,9.45,2.7,2.66,2.24,1.98,1.87,1.37,1.39,1.28,1.35,1.22,1.13,1.02,1.09,1.01,0.9,0.91,0.85,0.93,0.75,0.78,0.81,0.76,0.68,0.7,0.69,0.69,0.72,0.59,0.65,0.61,0.64,0.56,0.6,0.56,0.6,0.5,0.55,0.55,0.48,0.52,0.48,0.56,0.5,0.45,0.42,0.59,0.45,0.34,0.4,0.37,0.37,0.38,0.45,0.36,0.37,0.36,0.38,0.35,0.33,0.33,0.35,0.3,0.32,0.32,0.32,0.32,0.34,0.4,0.31,0.31,0.29,0.34,0.31,0.3,0.31,0.28,0.29,0.33,0.27,0.27,0.25,0.27,0.27,0.26,0.28,0.27,0.26,0.26,0.25,0.26,0.35,0.26,0.25,0.26,0.24,0.25,0.21,0.23,0.23,0.26,0.24,0.23,0.21,0.26,0.22,0.2,0.2,0.22,0.21,0.21,0.2,0.2,0.21,0.21,0.19,0.19,0.2,0.21,0.2,0.19,0.19,0.19,0.2,0.23,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.18,0.16,0.18,0.18,0.17,0.16,0.18,0.17,0.16,0.17,0.17,0.16,0.17,0.17,0.15,0.15,0.16,0.17,0.16,0.16,0.15,0.0,0.14,0.16,0.14,0.16,0.16,0.16,0.16,0.13,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.13,0.13,0.15,0.15,0.14,0.14,0.14,0.15,0.13,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.14,0.0,0.12,0.12,0.0,0.12,0.15,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.79999999999998
07/13/2021,9.52,9.45,2.7,2.66,2.24,1.98,1.87,1.37,1.39,1.28,1.35,1.22,1.13,1.02,1.09,1.01,0.9,0.91,0.85,0.93,0.75,0.78,0.81,0.76,0.68,0.7,0.69,0.69,0.72,0.59,0.65,0.61,0.64,0.56,0.6,0.56,0.6,0.5,0.55,0.55,0.48,0.52,0.48,0.56,0.5,0.45,0.42,0.59,0.45,0.34,0.4,0.37,0.37,0.38,0.45,0.36,0.37,0.36,0.38,0.35,0.33,0.33,0.35,0.3,0.32,0.32,0.32,0.32,0.34,0.4,0.31,0.31,0.29,0.34,0.31,0.3,0.31,0.28,0.29,0.33,0.27,0.27,0.25,0.27,0.27,0.26,0.28,0.27,0.26,0.26,0.25,0.26,0.35,0.26,0.25,0.26,0.24,0.25,0.21,0.23,0.23,0.26,0.24,0.23,0.21,0.26,0.22,0.2,0.2,0.22,0.21,0.21,0.2,0.2,0.21,0.21,0.19,0.19,0.2,0.21,0.2,0.19,0.19,0.19,0.2,0.23,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.18,0.16,0.18,0.18,0.17,0.16,0.18,0.17,0.16,0.17,0.17,0.16,0.17,0.17,0.15,0.15,0.16,0.17,0.16,0.16,0.15,0.0,0.14,0.16,0.14,0.16,0.16,0.16,0.16,0.13,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.13,0.13,0.15,0.15,0.14,0.14,0.14,0.15,0.13,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.14,0.0,0.12,0.12,0.0,0.12,0.15,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.79999999999998
07/14/2021,9.38,9.58,2.8,2.64,2.31,1.96,1.84,1.4,1.37,1.31,1.43,1.28,1.11,1.04,1.01,1.0,0.9,0.91,0.83,0.94,0.74,0.77,0.76,0.74,0.7,0.7,0.68,0.68,0.71,0.59,0.65,0.6,0.63,0.54,0.59,0.55,0.64,0.5,0.55,0.53,0.49,0.51,0.47,0.57,0.5,0.45,0.43,0.61,0.44,0.36,0.38,0.37,0.38,0.36,0.45,0.35,0.37,0.36,0.38,0.35,0.32,0.33,0.35,0.3,0.32,0.31,0.33,0.32,0.33,0.42,0.31,0.31,0.3,0.33,0.31,0.31,0.31,0.29,0.29,0.36,0.26,0.27,0.25,0.27,0.27,0.26,0.28,0.27,0.25,0.25,0.25,0.26,0.39,0.26,0.25,0.26,0.24,0.23,0.22,0.23,0.23,0.26,0.24,0.24,0.21,0.26,0.22,0.2,0.19,0.22,0.2,0.21,0.2,0.2,0.2,0.21,0.19,0.19,0.19,0.2,0.2,0.18,0.18,0.19,0.2,0.24,0.19,0.19,0.18,0.18,0.18,0.19,0.18,0.17,0.18,0.18,0.16,0.18,0.18,0.17,0.17,0.17,0.17,0.15,0.17,0.17,0.16,0.17,0.17,0.15,0.15,0.15,0.17,0.16,0.16,0.15,0.0,0.15,0.16,0.14,0.16,0.16,0.16,0.16,0.13,0.16,0.15,0.15,0.16,0.15,0.15,0.14,0.13,0.13,0.14,0.15,0.14,0.13,0.13,0.15,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.15,0.15,0.0,0.12,0.12,0.0,0.12,0.15,0.13,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.80999999999996
07/15/2021,9.39,9.43,2.84,2.66,2.28,1.94,1.82,1.4,1.37,1.29,1.41,1.28,1.11,1.03,1.04,0.99,0.91,0.92,0.89,0.93,0.79,0.76,0.74,0.72,0.68,0.68,0.68,0.66,0.75,0.62,0.65,0.62,0.63,0.55,0.59,0.54,0.65,0.49,0.55,0.54,0.49,0.51,0.47,0.57,0.53,0.44,0.42,0.64,0.45,0.35,0.41,0.38,0.4,0.37,0.44,0.35,0.36,0.36,0.38,0.35,0.31,0.32,0.34,0.3,0.32,0.31,0.32,0.32,0.33,0.46,0.31,0.3,0.3,0.34,0.32,0.31,0.31,0.29,0.28,0.35,0.26,0.26,0.26,0.28,0.26,0.26,0.27,0.27,0.25,0.25,0.25,0.25,0.42,0.27,0.23,0.25,0.24,0.23,0.21,0.23,0.22,0.26,0.24,0.24,0.2,0.27,0.22,0.2,0.19,0.22,0.2,0.21,0.21,0.19,0.2,0.2,0.19,0.19,0.18,0.2,0.2,0.18,0.18,0.19,0.2,0.26,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.19,0.18,0.18,0.17,0.18,0.18,0.17,0.16,0.17,0.17,0.15,0.17,0.17,0.16,0.16,0.18,0.16,0.15,0.16,0.17,0.16,0.16,0.15,0.0,0.15,0.16,0.14,0.16,0.15,0.17,0.16,0.12,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.13,0.14,0.14,0.14,0.14,0.13,0.13,0.15,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.14,0.16,0.0,0.12,0.12,0.0,0.12,0.15,0.13,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.81
07/16/2021,9.63,9.66,2.89,2.55,2.35,1.93,1.8,1.42,1.36,1.3,1.4,1.22,1.09,1.02,1.06,0.97,0.92,0.91,0.88,0.9,0.78,0.75,0.8,0.71,0.68,0.66,0.67,0.62,0.74,0.62,0.63,0.61,0.62,0.57,0.59,0.54,0.65,0.49,0.54,0.56,0.48,0.5,0.47,0.55,0.52,0.44,0.43,0.7,0.44,0.36,0.4,0.38,0.38,0.36,0.41,0.35,0.36,0.36,0.38,0.34,0.31,0.32,0.35,0.3,0.32,0.3,0.33,0.32,0.33,0.46,0.31,0.3,0.29,0.32,0.31,0.32,0.3,0.3,0.28,0.33,0.26,0.26,0.26,0.28,0.26,0.28,0.26,0.24,0.25,0.25,0.25,0.26,0.42,0.27,0.23,0.25,0.24,0.23,0.22,0.23,0.22,0.25,0.24,0.23,0.2,0.26,0.22,0.2,0.19,0.22,0.2,0.2,0.21,0.2,0.2,0.21,0.19,0.18,0.18,0.2,0.19,0.18,0.18,0.19,0.19,0.25,0.19,0.18,0.18,0.18,0.18,0.19,0.18,0.2,0.17,0.18,0.16,0.17,0.17,0.18,0.17,0.17,0.17,0.15,0.17,0.17,0.16,0.17,0.19,0.15,0.15,0.16,0.17,0.16,0.16,0.14,0.0,0.15,0.16,0.14,0.16,0.15,0.17,0.16,0.13,0.16,0.15,0.15,0.16,0.14,0.15,0.15,0.13,0.13,0.14,0.14,0.14,0.13,0.13,0.15,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.14,0.17,0.0,0.12,0.12,0.0,0.11,0.14,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.85
07/19/2021,9.83,9.77,2.83,2.46,2.34,1.94,1.8,1.44,1.37,1.3,1.42,1.27,1.11,1.01,0.97,0.97,0.94,0.94,0.8,0.93,0.77,0.75,0.87,0.74,0.66,0.67,0.67,0.61,0.66,0.61,0.65,0.62,0.61,0.6,0.58,0.55,0.62,0.48,0.51,0.53,0.46,0.51,0.46,0.51,0.56,0.43,0.42,0.78,0.45,0.36,0.39,0.4,0.39,0.37,0.41,0.35,0.36,0.35,0.37,0.34,0.33,0.32,0.38,0.32,0.33,0.3,0.32,0.32,0.33,0.45,0.31,0.3,0.29,0.31,0.31,0.31,0.28,0.29,0.28,0.34,0.27,0.25,0.25,0.27,0.25,0.27,0.25,0.24,0.25,0.26,0.25,0.27,0.45,0.29,0.23,0.25,0.24,0.23,0.23,0.23,0.21,0.26,0.23,0.23,0.2,0.26,0.22,0.21,0.19,0.21,0.2,0.2,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.2,0.2,0.18,0.18,0.18,0.18,0.24,0.19,0.18,0.17,0.18,0.18,0.18,0.18,0.19,0.17,0.18,0.16,0.17,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.17,0.15,0.17,0.18,0.16,0.15,0.16,0.17,0.16,0.17,0.14,0.0,0.15,0.18,0.14,0.16,0.15,0.16,0.15,0.12,0.15,0.15,0.15,0.16,0.14,0.15,0.15,0.12,0.13,0.14,0.14,0.14,0.12,0.14,0.16,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.13,0.18,0.0,0.12,0.12,0.0,0.11,0.14,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0
07/20/2021,9.83,9.77,2.83,2.46,2.34,1.94,1.8,1.44,1.37,1.3,1.42,1.27,1.11,1.01,0.97,0.97,0.94,0.94,0.8,0.93,0.77,0.75,0.87,0.74,0.66,0.67,0.67,0.61,0.66,0.61,0.65,0.62,0.61,0.6,0.58,0.55,0.62,0.48,0.51,0.53,0.46,0.51,0.46,0.51,0.56,0.43,0.42,0.78,0.45,0.36,0.39,0.4,0.39,0.37,0.41,0.35,0.36,0.35,0.37,0.34,0.33,0.32,0.38,0.32,0.33,0.3,0.32,0.32,0.33,0.45,0.31,0.3,0.29,0.31,0.31,0.31,0.28,0.29,0.28,0.34,0.27,0.25,0.25,0.27,0.25,0.27,0.25,0.24,0.25,0.26,0.25,0.27,0.45,0.29,0.23,0.25,0.24,0.23,0.23,0.23,0.21,0.26,0.23,0.23,0.2,0.26,0.22,0.21,0.19,0.21,0.2,0.2,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.2,0.2,0.18,0.18,0.18,0.18,0.24,0.19,0.18,0.17,0.18,0.18,0.18,0.18,0.19,0.17,0.18,0.16,0.17,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.17,0.15,0.17,0.18,0.16,0.15,0.16,0.17,0.16,0.17,0.14,0.0,0.15,0.18,0.14,0.16,0.15,0.16,0.15,0.12,0.15,0.15,0.15,0.16,0.14,0.15,0.15,0.12,0.13,0.14,0.14,0.14,0.12,0.14,0.16,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.13,0.18,0.0,0.12,0.12,0.0,0.11,0.14,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0
07/21/2021,9.83,9.77,2.83,2.46,2.34,1.94,1.8,1.44,1.37,1.3,1.42,1.27,1.11,1.01,0.97,0.97,0.94,0.94,0.8,0.93,0.77,0.75,0.87,0.74,0.66,0.67,0.67,0.61,0.66,0.61,0.65,0.62,0.61,0.6,0.58,0.55,0.62,0.48,0.51,0.53,0.46,0.51,0.46,0.51,0.56,0.43,0.42,0.78,0.45,0.36,0.39,0.4,0.39,0.37,0.41,0.35,0.36,0.35,0.37,0.34,0.33,0.32,0.38,0.32,0.33,0.3,0.32,0.32,0.33,0.45,0.31,0.3,0.29,0.31,0.31,0.31,0.28,0.29,0.28,0.34,0.27,0.25,0.25,0.27,0.25,0.27,0.25,0.24,0.25,0.26,0.25,0.27,0.45,0.29,0.23,0.25,0.24,0.23,0.23,0.23,0.21,0.26,0.23,0.23,0.2,0.26,0.22,0.21,0.19,0.21,0.2,0.2,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.2,0.2,0.18,0.18,0.18,0.18,0.24,0.19,0.18,0.17,0.18,0.18,0.18,0.18,0.19,0.17,0.18,0.16,0.17,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.17,0.15,0.17,0.18,0.16,0.15,0.16,0.17,0.16,0.17,0.14,0.0,0.15,0.18,0.14,0.16,0.15,0.16,0.15,0.12,0.15,0.15,0.15,0.16,0.14,0.15,0.15,0.12,0.13,0.14,0.14,0.14,0.12,0.14,0.16,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.13,0.18,0.0,0.12,0.12,0.0,0.11,0.14,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0
07/22/2021,9.86,9.84,2.86,2.43,2.33,1.91,1.81,1.43,1.39,1.27,1.41,1.3,1.11,0.99,0.97,0.98,0.95,0.94,0.8,0.89,0.75,0.75,0.87,0.73,0.63,0.67,0.67,0.6,0.62,0.6,0.64,0.61,0.61,0.58,0.55,0.54,0.64,0.46,0.52,0.54,0.46,0.5,0.45,0.51,0.56,0.44,0.41,0.79,0.45,0.34,0.38,0.39,0.39,0.39,0.43,0.35,0.36,0.35,0.38,0.34,0.33,0.32,0.37,0.34,0.32,0.3,0.32,0.32,0.34,0.45,0.31,0.32,0.27,0.3,0.31,0.31,0.27,0.28,0.28,0.34,0.26,0.25,0.25,0.27,0.26,0.27,0.24,0.24,0.25,0.26,0.25,0.27,0.43,0.3,0.23,0.25,0.24,0.22,0.21,0.23,0.21,0.26,0.25,0.23,0.2,0.26,0.22,0.23,0.19,0.21,0.2,0.2,0.21,0.19,0.2,0.2,0.19,0.19,0.19,0.2,0.2,0.18,0.18,0.18,0.19,0.23,0.19,0.18,0.17,0.18,0.18,0.19,0.18,0.2,0.18,0.18,0.17,0.17,0.18,0.18,0.17,0.16,0.17,0.16,0.16,0.17,0.15,0.17,0.18,0.15,0.15,0.16,0.17,0.16,0.17,0.14,0.0,0.14,0.18,0.14,0.16,0.15,0.17,0.15,0.12,0.15,0.15,0.15,0.16,0.15,0.15,0.14,0.12,0.14,0.14,0.14,0.14,0.12,0.14,0.17,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.13,0.17,0.0,0.12,0.12,0.0,0.11,0.14,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.87
