,LIN,ULVR.L,ASML.AS,MC.PA,OR.PA,AD.AS,BAS.DE,DTE.DE,KNEBV.HE,SAN.PA,SIE.DE,SAP.DE,BAYN.DE,SU.PA,CRH.L,AI.PA,ACS.MC,BMW.DE,BN.PA,SA.SW,DSM.AS,AKZA.AS,KER.PA,DAI.DE,WKL.AS,ASM.AS,RMS.PA,RI.PA,SHL.DE,VALMT.HE,RACE.MI,UCB.BR,NELES.HE,CON.DE,HNR1.DE,EVK.DE,HLAG.DE,ML.PA,FRE.DE,PUB.PA,LR.PA,KRZ.IR,FME.DE,CIE.MC,STM.PA,IFX.DE,GL9.IR,GRF.MC,VPK.AS,HUH1V.HE,KCR.HE,HEK.SW,VIS.MC,KBX.DE,BESI.AS,BNR.DE,EXO.MI,CGCBV.HE,PSG.MC,SBMO.AS,UMI.BR,DSY.PA,CASH.MC,1COV.DE,KEMIRA.HE,RUI.PA,ANDR.VI,NK.PA,MELE.BR,AKE.PA,IMCD.AS,TEP.PA,MF.PA,CPR.MI,BAR.BR,SY1.DE,MRK.DE,BB.PA,BEI.DE,HEI.DE,REY.MI,BEKB.BR,CHG.BK,VCT.PA,MOCORP.HE,CHG.BK.1,GTT.PA,SK.PA,LXS.DE,CRBN.AS,G1A.DE,FSKRS.HE,REG1V.HE,RCO.PA,SOW.DE,DUE.DE,DIM.PA,CRL.MI,WCH.DE,IPS.PA,KRN.DE,BIM.PA,FAGR.BR,EUZ.DE,SOLB.BR,n/a,BBVA.MC,SAN.MC,PHIA.AS,HEIA.AS,MAP.MC,EL.PA,AGN.AS,HEIO.AS,LIGHT.AS,CNHI.MI,ADS.DE,MONC.MI,ACX.MC,FDR.MC,PRY.MI,WRT1V.HE,HOT.DE,BVI.PA,ETL.PA,PIRC.MI,SAF.PA,ARCAD.AS,EO.PA,WBD.MI,PIA.MI,DIA.MI,FR.PA,GVS.MI,APPS.MC,ATS.VI,NEX.PA,ELN.MI,DAL.MI,NOEJ.DE,PUM.DE,DAN.MI,AMG.AS,AIXA.DE,LSS.PA,ABI.BR,IVG.MI,SUM
07/09/2021,6.55,6.12,5.95,4.01,3.91,3.5,3.46,3.34,3.28,3.27,3.22,3.09,2.86,2.86,2.72,2.25,2.01,1.92,1.85,1.75,1.58,1.52,1.42,1.38,1.32,1.12,1.1,1.09,0.92,0.9,0.78,0.71,0.7,0.68,0.62,0.58,0.57,0.53,0.52,0.51,0.5,0.48,0.46,0.44,0.41,0.41,0.41,0.41,0.4,0.4,0.39,0.39,0.35,0.34,0.33,0.33,0.33,0.31,0.3,0.28,0.27,0.26,0.26,0.26,0.24,0.24,0.23,0.22,0.21,0.21,0.2,0.19,0.19,0.18,0.18,0.17,0.17,0.17,0.16,0.14,0.13,0.13,0.13,0.12,0.11,0.11,0.11,0.09,0.09,0.08,0.08,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.04,0.03,0.03,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
09/07/2021,6.78,5.54,7.15,3.71,4.0,3.83,3.19,3.17,3.19,3.13,3.29,3.12,2.53,3.17,2.72,2.2,2.03,1.64,1.81,0.0,1.72,1.45,1.26,1.23,1.46,1.3,1.08,1.03,1.01,0.87,0.8,0.74,0.68,0.59,0.64,0.57,0.55,0.52,0.49,0.51,0.51,0.48,0.42,0.39,0.49,0.45,0.43,0.38,0.35,0.43,0.4,0.36,0.34,0.35,0.37,0.35,0.32,0.33,0.28,0.34,0.28,0.31,0.24,0.25,0.25,0.21,0.23,0.2,0.23,0.21,0.24,0.2,0.2,0.19,0.15,0.17,0.21,0.15,0.15,0.14,0.15,0.13,0.0,0.11,0.11,0.0,0.1,0.08,0.09,0.08,0.09,0.08,0.07,0.05,0.06,0.07,0.07,0.05,0.04,0.04,0.03,0.03,0.02,0.02,1.71,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.08
09/08/2021,6.78,5.54,7.15,3.71,4.0,3.83,3.19,3.17,3.19,3.13,3.29,3.12,2.53,3.17,2.72,2.2,2.03,1.64,1.81,0.0,1.72,1.45,1.26,1.23,1.46,1.3,1.08,1.03,1.01,0.87,0.8,0.74,0.68,0.59,0.64,0.57,0.55,0.52,0.49,0.51,0.51,0.48,0.42,0.39,0.49,0.45,0.43,0.38,0.35,0.43,0.4,0.36,0.34,0.35,0.37,0.35,0.32,0.33,0.28,0.34,0.28,0.31,0.24,0.25,0.25,0.21,0.23,0.2,0.23,0.21,0.24,0.2,0.2,0.19,0.15,0.17,0.21,0.15,0.15,0.14,0.15,0.13,0.0,0.11,0.11,0.0,0.1,0.08,0.09,0.08,0.09,0.08,0.07,0.05,0.06,0.07,0.07,0.05,0.04,0.04,0.03,0.03,0.02,0.02,1.71,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.08
09/09/2021,6.78,5.54,7.15,3.71,4.0,3.83,3.19,3.17,3.19,3.13,3.29,3.12,2.53,3.17,2.72,2.2,2.03,1.64,1.81,0.0,1.72,1.45,1.26,1.23,1.46,1.3,1.08,1.03,1.01,0.87,0.8,0.74,0.68,0.59,0.64,0.57,0.55,0.52,0.49,0.51,0.51,0.48,0.42,0.39,0.49,0.45,0.43,0.38,0.35,0.43,0.4,0.36,0.34,0.35,0.37,0.35,0.32,0.33,0.28,0.34,0.28,0.31,0.24,0.25,0.25,0.21,0.23,0.2,0.23,0.21,0.24,0.2,0.2,0.19,0.15,0.17,0.21,0.15,0.15,0.14,0.15,0.13,0.0,0.11,0.11,0.0,0.1,0.08,0.09,0.08,0.09,0.08,0.07,0.05,0.06,0.07,0.07,0.05,0.04,0.04,0.03,0.03,0.02,0.02,1.71,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.08
09/10/2021,6.78,5.54,7.15,3.71,4.0,3.83,3.19,3.17,3.19,3.13,3.29,3.12,2.53,3.17,2.72,2.2,2.03,1.64,1.81,0.0,1.72,1.45,1.26,1.23,1.46,1.3,1.08,1.03,1.01,0.87,0.8,0.74,0.68,0.59,0.64,0.57,0.55,0.52,0.49,0.51,0.51,0.48,0.42,0.39,0.49,0.45,0.43,0.38,0.35,0.43,0.4,0.36,0.34,0.35,0.37,0.35,0.32,0.33,0.28,0.34,0.28,0.31,0.24,0.25,0.25,0.21,0.23,0.2,0.23,0.21,0.24,0.2,0.2,0.19,0.15,0.17,0.21,0.15,0.15,0.14,0.15,0.13,0.0,0.11,0.11,0.0,0.1,0.08,0.09,0.08,0.09,0.08,0.07,0.05,0.06,0.07,0.07,0.05,0.04,0.04,0.03,0.03,0.02,0.02,1.71,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.08
09/13/2021,6.76,5.62,7.19,3.81,4.01,3.87,3.21,3.21,3.14,3.03,3.26,3.1,2.49,3.12,2.67,2.19,2.04,1.63,1.76,0.0,1.74,1.41,1.3,1.21,1.47,1.35,1.12,1.05,0.99,0.85,0.82,0.71,0.66,0.57,0.65,0.57,0.57,0.52,0.49,0.52,0.51,0.49,0.42,0.38,0.49,0.44,0.43,0.38,0.36,0.42,0.4,0.35,0.34,0.35,0.37,0.35,0.31,0.33,0.27,0.34,0.28,0.31,0.24,0.26,0.25,0.21,0.23,0.2,0.23,0.22,0.24,0.2,0.19,0.19,0.15,0.17,0.2,0.15,0.16,0.13,0.15,0.12,0.0,0.11,0.11,0.0,0.1,0.08,0.09,0.08,0.09,0.08,0.06,0.05,0.06,0.07,0.07,0.05,0.04,0.03,0.03,0.03,0.02,0.02,1.72,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/14/2021,6.79,5.58,7.3,3.9,4.06,3.8,3.2,3.11,3.05,2.93,3.39,3.08,2.46,3.17,2.64,2.19,1.97,1.64,1.76,0.0,1.73,1.44,1.29,1.22,1.45,1.44,1.13,1.07,0.99,0.86,0.82,0.69,0.66,0.58,0.66,0.56,0.59,0.52,0.47,0.52,0.51,0.48,0.4,0.38,0.5,0.46,0.43,0.38,0.35,0.42,0.41,0.35,0.34,0.36,0.39,0.35,0.31,0.34,0.26,0.34,0.27,0.31,0.23,0.26,0.24,0.19,0.23,0.2,0.23,0.22,0.24,0.2,0.19,0.19,0.15,0.17,0.21,0.15,0.16,0.13,0.15,0.12,0.0,0.11,0.11,0.0,0.1,0.08,0.09,0.08,0.09,0.08,0.06,0.05,0.06,0.07,0.07,0.05,0.04,0.04,0.03,0.03,0.02,0.02,1.69,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/15/2021,6.79,5.58,7.3,3.9,4.06,3.8,3.2,3.11,3.05,2.93,3.39,3.08,2.46,3.17,2.64,2.19,1.97,1.64,1.76,0.0,1.73,1.44,1.29,1.22,1.45,1.44,1.13,1.07,0.99,0.86,0.82,0.69,0.66,0.58,0.66,0.56,0.59,0.52,0.47,0.52,0.51,0.48,0.4,0.38,0.5,0.46,0.43,0.38,0.35,0.42,0.41,0.35,0.34,0.36,0.39,0.35,0.31,0.34,0.26,0.34,0.27,0.31,0.23,0.26,0.24,0.19,0.23,0.2,0.23,0.22,0.24,0.2,0.19,0.19,0.15,0.17,0.21,0.15,0.16,0.13,0.15,0.12,0.0,0.11,0.11,0.0,0.1,0.08,0.09,0.08,0.09,0.08,0.06,0.05,0.06,0.07,0.07,0.05,0.04,0.04,0.03,0.03,0.02,0.02,1.69,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/16/2021,6.79,5.58,7.3,3.9,4.06,3.8,3.2,3.11,3.05,2.93,3.39,3.08,2.46,3.17,2.64,2.19,1.97,1.64,1.76,0.0,1.73,1.44,1.29,1.22,1.45,1.44,1.13,1.07,0.99,0.86,0.82,0.69,0.66,0.58,0.66,0.56,0.59,0.52,0.47,0.52,0.51,0.48,0.4,0.38,0.5,0.46,0.43,0.38,0.35,0.42,0.41,0.35,0.34,0.36,0.39,0.35,0.31,0.34,0.26,0.34,0.27,0.31,0.23,0.26,0.24,0.19,0.23,0.2,0.23,0.22,0.24,0.2,0.19,0.19,0.15,0.17,0.21,0.15,0.16,0.13,0.15,0.12,0.0,0.11,0.11,0.0,0.1,0.08,0.09,0.08,0.09,0.08,0.06,0.05,0.06,0.07,0.07,0.05,0.04,0.04,0.03,0.03,0.02,0.02,1.69,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/17/2021,6.82,5.62,7.31,3.85,4.04,3.8,3.25,3.13,3.02,2.91,3.39,3.06,2.46,3.17,2.68,2.18,2.04,1.69,1.76,0.0,1.72,1.44,1.25,1.26,1.45,1.43,1.11,1.07,0.96,0.84,0.81,0.68,0.65,0.59,0.66,0.56,0.59,0.52,0.47,0.52,0.51,0.48,0.4,0.39,0.49,0.45,0.43,0.38,0.35,0.42,0.4,0.35,0.34,0.36,0.38,0.35,0.32,0.34,0.26,0.34,0.27,0.3,0.23,0.26,0.24,0.19,0.23,0.2,0.23,0.22,0.24,0.2,0.2,0.19,0.15,0.17,0.2,0.15,0.16,0.13,0.15,0.12,0.0,0.11,0.11,0.0,0.1,0.08,0.09,0.07,0.09,0.08,0.06,0.05,0.06,0.07,0.07,0.05,0.04,0.03,0.03,0.03,0.02,0.02,1.7,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
