,Us Dollars,BRK.B,L,ENB.TO,DD,D,PFE,INGR,CTVA,ABX.TO,CSCO,AEM.TO,TRV,CERN,UL,EQC,CMCSA,JLL,Y,MDT,SBUX,KL.TO,GWRE,GHC,UNH,PAAS.TO,TJX,Viatris Inc,MWA,EXPD,VTRS,"Mueller Water Products, Inc. Class A",DGE$.L,n/a,EOG,VZ,MRK,SUM
07/09/2021,16.85,9.06,5.36,5.22,4.87,3.61,3.48,3.46,3.3,3.3,3.26,3.17,3.14,3.09,2.96,2.89,2.43,2.42,2.42,2.38,2.11,1.93,1.85,1.43,1.43,1.42,1.42,1.17,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02000000000002
07/12/2021,16.88,8.98,5.2,5.16,4.79,3.73,3.46,3.51,3.22,3.32,3.27,3.14,3.11,3.13,3.01,3.21,2.45,2.39,2.38,2.41,2.15,1.92,1.83,1.47,1.44,1.37,1.4,0.0,0.0,0.0,1.11,0.58,0.0,0.0,0.0,0.0,0.0,100.02
07/13/2021,16.88,8.98,5.2,5.16,4.79,3.73,3.46,3.51,3.22,3.32,3.27,3.14,3.11,3.13,3.01,3.21,2.45,2.39,2.38,2.41,2.15,1.92,1.83,1.47,1.44,1.37,1.4,0.0,0.0,0.0,1.11,0.58,0.0,0.0,0.0,0.0,0.0,100.02
07/14/2021,16.44,9.09,5.32,5.16,4.85,3.67,3.46,3.52,3.22,3.35,3.26,3.15,3.18,3.1,2.99,3.21,2.41,2.41,2.4,2.39,2.15,1.95,1.82,1.5,1.43,1.41,1.42,0.0,0.0,0.0,1.14,0.58,0.0,0.0,0.0,0.0,0.0,99.98
07/15/2021,16.44,9.08,5.36,5.15,4.91,3.67,3.48,3.41,3.25,3.31,3.23,3.1,3.2,3.11,3.01,3.24,2.42,2.42,2.4,2.4,2.17,1.97,1.81,1.49,1.45,1.38,1.41,0.0,0.0,0.0,1.13,0.59,0.0,0.0,0.0,0.0,0.0,99.99
07/16/2021,16.5,8.81,4.98,5.13,4.91,3.63,3.48,3.32,3.21,3.37,3.25,3.18,3.18,3.11,3.55,3.23,2.41,2.38,2.37,2.39,1.97,2.03,1.81,1.49,1.46,1.4,1.41,0.0,0.0,0.0,1.46,0.59,0.0,0.0,0.0,0.0,0.0,100.01
07/19/2021,16.43,8.81,5.0,5.03,4.93,3.71,3.51,3.34,3.15,3.38,3.26,3.22,3.23,3.1,3.53,3.26,2.41,2.4,2.39,2.35,1.95,2.08,1.77,1.45,1.46,1.41,1.41,0.0,0.0,0.0,1.45,0.58,0.0,0.0,0.0,0.0,0.0,100.0
07/20/2021,16.55,8.81,4.98,5.05,4.75,3.78,3.55,3.32,3.13,3.34,3.29,3.17,3.27,3.04,3.59,3.28,2.41,2.4,2.41,2.37,1.96,2.04,1.81,1.47,1.47,1.35,1.41,0.0,0.0,0.0,1.44,0.58,0.0,0.0,0.0,0.0,0.0,100.02
07/21/2021,16.55,8.81,4.98,5.05,4.75,3.78,3.55,3.32,3.13,3.34,3.29,3.17,3.27,3.04,3.59,3.28,2.41,2.4,2.41,2.37,1.96,2.04,1.81,1.47,1.47,1.35,1.41,0.0,0.0,0.0,1.44,0.58,0.0,0.0,0.0,0.0,0.0,100.02
07/22/2021,16.55,8.81,4.98,5.05,4.75,3.78,3.55,3.32,3.13,3.34,3.29,3.17,3.27,3.04,3.59,3.28,2.41,2.4,2.41,2.37,1.96,2.04,1.81,1.47,1.47,1.35,1.41,0.0,0.0,0.0,1.44,0.58,0.0,0.0,0.0,0.0,0.0,100.02
07/23/2021,16.85,8.8,4.86,4.97,4.62,3.78,3.6,3.34,3.12,3.35,3.31,3.2,3.22,3.06,3.62,3.32,2.42,2.36,2.37,2.35,1.94,2.03,1.86,1.46,1.46,1.33,1.38,0.0,0.0,0.0,1.45,0.57,0.0,0.0,0.0,0.0,0.0,100.0
07/26/2021,16.64,8.85,4.96,5.03,4.67,3.67,3.67,3.32,3.18,3.34,3.36,3.14,3.11,3.08,3.33,3.23,2.44,2.53,2.37,2.41,2.04,2.0,1.89,1.49,1.47,1.35,1.41,0.0,0.0,0.0,1.46,0.58,0.0,0.0,0.0,0.0,0.0,100.01999999999998
07/27/2021,16.58,8.84,4.94,5.02,4.63,3.7,3.68,3.33,3.16,3.31,3.39,3.11,3.1,3.08,3.41,3.21,2.45,2.56,2.36,2.43,2.08,1.99,1.89,1.48,1.47,1.34,1.43,0.0,0.0,0.0,1.46,0.58,0.0,0.0,0.0,0.0,0.0,100.01
07/28/2021,16.58,8.84,4.94,5.02,4.63,3.7,3.68,3.33,3.16,3.31,3.39,3.11,3.1,3.08,3.41,3.21,2.45,2.56,2.36,2.43,2.08,1.99,1.89,1.48,1.47,1.34,1.43,0.0,0.0,0.0,1.46,0.58,0.0,0.0,0.0,0.0,0.0,100.01
07/29/2021,16.56,8.83,4.97,5.02,4.65,3.68,3.68,3.35,3.17,3.33,3.4,3.16,3.11,3.07,3.32,3.19,2.46,2.62,2.35,2.41,2.08,1.98,1.87,1.46,1.45,1.35,1.44,0.0,0.0,0.0,1.45,0.58,0.0,0.0,0.0,0.0,0.0,99.99
