,HDFCBANK.NS,HDFC.NS,ICICIBANK.NS,SBILIFE.NS,KOTAKBANK.NS,BAJFINANCE.NS,AXISBANK.NS,SBIN.NS,BJFIN.NS,HDFCLIFE.NS,ICICIGI.NS,PEL.NS,SRTRANSFIN.NS,ICICIPRULI.NS,CHOLAFIN.NS,2424.T,HDFCAMC.NS,MUTHOOTFIN.NS,PFC.NS,RECLTD.NS,M&MFIN.NS,Cash,2424.T.1,India Rupee,India Capital Gains Tax,SUM
07/09/2021,18.17,13.71,13.51,4.64,4.59,4.56,4.55,4.55,4.39,4.38,4.05,3.28,3.23,2.84,2.37,2.31,1.91,1.9,1.69,1.61,1.1,-1.6,-1.74,0.0,0.0,100.0
07/12/2021,18.4,13.79,13.7,4.57,4.61,4.63,4.55,4.58,4.5,4.28,4.04,3.12,3.37,2.83,2.38,0.0,1.87,1.97,1.65,1.56,1.11,0.49,0.0,0.16,-2.14,100.02
07/13/2021,18.4,13.79,13.7,4.57,4.61,4.63,4.55,4.58,4.5,4.28,4.04,3.12,3.37,2.83,2.38,0.0,1.87,1.97,1.65,1.56,1.11,0.49,0.0,0.16,-2.14,100.02
07/14/2021,18.33,13.82,13.56,4.64,4.57,4.61,4.54,4.53,4.52,4.3,4.02,3.13,3.37,2.83,2.38,0.0,1.91,1.95,1.66,1.56,1.12,0.5,0.0,0.16,-1.99,100.02
07/15/2021,18.13,13.75,13.51,4.64,4.55,4.63,4.5,4.53,4.72,4.32,4.03,3.13,3.43,2.8,2.4,0.0,1.9,1.95,1.66,1.59,1.13,0.5,0.0,0.16,-1.96,100.0
07/16/2021,17.92,13.62,13.65,4.7,4.57,4.63,4.53,4.56,4.73,4.31,4.06,3.12,3.41,2.85,2.39,0.0,1.91,1.98,1.68,1.6,1.12,0.5,0.0,0.01,-1.84,100.01
07/19/2021,17.92,13.81,13.92,4.74,4.57,4.58,4.59,4.56,4.72,4.31,3.89,3.07,3.31,2.85,2.35,0.0,1.91,1.95,1.68,1.6,1.13,0.5,0.0,0.0,-1.98,99.98
07/20/2021,18.08,13.78,13.91,4.72,4.55,4.56,4.59,4.55,4.69,4.31,3.91,3.03,3.38,2.8,2.34,0.0,1.98,1.97,1.69,1.62,1.11,0.5,0.0,0.0,-2.08,99.98999999999998
07/21/2021,18.08,13.78,13.91,4.72,4.55,4.56,4.59,4.55,4.69,4.31,3.91,3.03,3.38,2.8,2.34,0.0,1.98,1.97,1.69,1.62,1.11,0.5,0.0,0.0,-2.08,99.98999999999998
07/22/2021,18.08,13.78,13.91,4.72,4.55,4.56,4.59,4.55,4.69,4.31,3.91,3.03,3.38,2.8,2.34,0.0,1.98,1.97,1.69,1.62,1.11,0.5,0.0,0.0,-2.08,99.98999999999998
07/23/2021,18.13,13.79,13.78,4.72,4.56,4.56,4.58,4.53,4.62,4.35,3.85,3.14,3.37,2.82,2.34,0.0,1.99,1.97,1.72,1.63,1.11,0.5,0.0,0.0,-2.05,100.01
07/26/2021,17.95,13.65,13.68,4.52,4.57,4.54,4.54,4.57,4.54,4.52,3.85,3.19,3.34,2.8,2.31,0.0,1.9,1.98,1.77,1.68,1.09,0.52,0.0,0.0,-1.51,100.0
07/27/2021,17.79,13.64,13.8,4.51,4.52,4.67,4.48,4.53,4.65,4.45,3.97,3.2,3.3,2.91,2.3,0.0,1.89,2.05,1.76,1.67,1.08,0.51,0.0,0.07,-1.73,100.02
07/28/2021,17.79,13.64,13.8,4.51,4.52,4.67,4.48,4.53,4.65,4.45,3.97,3.2,3.3,2.91,2.3,0.0,1.89,2.05,1.76,1.67,1.08,0.51,0.0,0.07,-1.73,100.02
07/29/2021,17.65,13.55,14.18,4.6,4.55,4.64,4.52,4.58,4.68,4.45,3.81,3.21,3.26,2.94,2.31,0.0,1.89,1.99,1.75,1.67,1.07,-0.15,0.0,0.65,-1.81,99.98999999999998
07/30/2021,17.58,13.47,14.21,4.72,4.6,4.64,4.53,4.53,4.8,4.44,3.74,3.22,3.23,2.95,2.28,0.0,1.87,1.98,1.75,1.65,1.02,-0.15,0.0,0.71,-1.77,100.0
08/02/2021,17.39,13.27,14.4,4.98,4.38,4.72,4.34,4.56,4.97,4.46,3.85,3.3,3.24,2.98,2.23,0.0,1.85,1.97,1.72,1.59,1.0,0.53,0.0,0.03,-1.75,100.01
08/03/2021,17.39,13.27,14.4,4.98,4.38,4.72,4.34,4.56,4.97,4.46,3.85,3.3,3.24,2.98,2.23,0.0,1.85,1.97,1.72,1.59,1.0,0.53,0.0,0.03,-1.75,100.01
08/04/2021,17.39,13.27,14.4,4.98,4.38,4.72,4.34,4.56,4.97,4.46,3.85,3.3,3.24,2.98,2.23,0.0,1.85,1.97,1.72,1.59,1.0,0.53,0.0,0.03,-1.75,100.01
08/05/2021,17.39,13.27,14.4,4.98,4.38,4.72,4.34,4.56,4.97,4.46,3.85,3.3,3.24,2.98,2.23,0.0,1.85,1.97,1.72,1.59,1.0,0.53,0.0,0.03,-1.75,100.01
