,B 0 08/12/21,NPH.NZ,NPH.NZ.1,SAR.AX,First American Treasury Obligs X,n/a,SUM
07/09/2021,79.32,20.7,-0.02,0.0,0.0,0.0,100.0
08/02/2021,77.59,0.0,0.0,21.99,0.42,0.0,100.0
08/03/2021,77.59,0.0,0.0,21.99,0.42,0.0,100.0
08/04/2021,77.59,0.0,0.0,21.99,0.42,0.0,100.0
08/05/2021,77.59,0.0,0.0,21.99,0.42,0.0,100.0
08/06/2021,77.31,0.0,0.0,22.27,0.42,0.0,100.0
08/09/2021,77.31,0.0,0.0,22.27,0.0,0.42,100.0
08/10/2021,77.31,0.0,0.0,22.27,0.0,0.42,100.0
