,IUSB,IVV,IDEV,IAGG,IEMG,IJH,IJR,XTSLA,USD,n/a,SUM
07/09/2021,50.77,20.89,12.89,8.92,4.5,1.32,0.61,0.42,0.0,0.0,100.32
07/12/2021,50.97,20.84,12.79,8.97,4.42,1.31,0.6,0.52,0.0,0.0,100.42
07/13/2021,50.97,20.84,12.79,8.97,4.42,1.31,0.6,0.52,0.0,0.0,100.42
07/14/2021,50.63,20.97,12.97,8.92,4.47,1.33,0.61,0.1,0.0,0.0,100.0
07/15/2021,50.63,20.97,12.97,8.92,4.47,1.33,0.61,0.1,0.0,0.0,100.0
07/16/2021,50.59,21.01,12.96,8.94,4.49,1.31,0.6,0.1,0.0,0.0,100.0
07/19/2021,50.76,20.94,12.85,8.95,4.51,1.3,0.59,0.1,0.0,0.0,100.0
07/20/2021,50.76,20.94,12.85,8.95,4.51,1.3,0.59,0.1,0.0,0.0,100.0
07/21/2021,50.91,20.85,12.78,8.99,4.49,1.29,0.59,0.11,0.0,0.0,100.01
07/22/2021,51.35,20.62,12.59,9.05,4.44,1.27,0.58,0.11,0.0,0.0,100.01
07/23/2021,51.08,20.83,12.65,9.02,4.43,1.3,0.59,0.1,0.0,0.0,100.0
07/27/2021,50.83,20.96,12.81,8.96,4.46,1.3,0.59,0.1,0.0,0.0,100.01
07/29/2021,50.66,21.19,12.89,8.95,4.31,1.31,0.6,0.1,0.0,0.0,100.01
07/30/2021,50.82,21.11,12.86,8.98,4.24,1.31,0.59,0.1,0.0,0.0,100.01
08/02/2021,50.62,21.12,12.97,8.93,4.34,1.32,0.6,0.1,0.0,0.0,100.0
08/03/2021,50.75,21.04,12.92,8.96,4.31,1.32,0.6,0.1,0.0,0.0,100.0
08/04/2021,50.75,21.04,12.92,8.96,4.31,1.32,0.6,0.1,0.0,0.0,100.0
08/05/2021,50.75,21.04,12.92,8.96,4.31,1.32,0.6,0.1,0.0,0.0,100.0
08/06/2021,50.56,21.08,13.0,8.94,4.34,1.32,0.6,0.1,0.0,0.0,99.94
08/09/2021,50.47,21.12,13.02,8.95,4.35,1.32,0.6,0.1,0.0,0.0,99.93
08/10/2021,50.4,21.21,13.01,8.95,4.33,1.33,0.61,0.15,0.0,0.0,99.99
08/11/2021,50.4,21.21,13.01,8.95,4.33,1.33,0.61,0.15,0.0,0.0,99.99
08/13/2021,50.3,21.24,13.05,8.96,4.35,1.33,0.61,0.16,0.0,0.0,100.0
08/16/2021,50.25,21.3,13.09,8.94,4.32,1.34,0.61,0.16,0.0,0.0,100.01
08/17/2021,50.28,21.29,13.12,8.93,4.29,1.33,0.6,0.16,0.0,0.0,100.0
08/18/2021,50.28,21.29,13.12,8.93,4.29,1.33,0.6,0.16,0.0,0.0,100.0
08/19/2021,50.32,21.35,13.06,8.92,4.26,1.33,0.6,0.16,0.0,0.0,100.0
08/20/2021,50.5,21.29,12.98,8.98,4.2,1.32,0.59,0.16,0.0,0.0,100.02
08/23/2021,50.76,21.18,12.86,9.01,4.15,1.3,0.59,0.16,0.0,0.0,100.01
08/24/2021,50.65,21.29,12.87,8.99,4.13,1.31,0.59,0.16,0.0,0.0,99.99
08/25/2021,50.65,21.29,12.87,8.99,4.13,1.31,0.59,0.16,0.0,0.0,99.99
08/26/2021,50.45,21.39,12.95,8.95,4.18,1.32,0.6,0.16,0.0,0.0,100.0
08/27/2021,50.33,21.4,12.99,8.93,4.26,1.33,0.6,0.16,0.0,0.0,100.0
08/30/2021,50.41,21.38,12.96,8.93,4.24,1.33,0.6,0.16,0.0,0.0,100.01
08/31/2021,50.26,21.45,13.01,8.89,4.28,1.35,0.61,0.16,0.0,0.0,100.01
09/01/2021,50.26,21.45,13.01,8.89,4.28,1.35,0.61,0.16,0.0,0.0,100.01
09/02/2021,50.23,21.51,13.0,8.88,4.28,1.34,0.61,0.16,0.0,0.0,100.01
09/03/2021,50.21,21.5,13.0,8.87,4.34,1.34,0.61,0.16,0.0,0.0,100.03000000000002
09/06/2021,50.01,21.49,13.13,8.84,4.35,1.34,0.61,0.16,0.0,0.0,99.93
09/07/2021,49.95,21.49,13.19,8.83,4.38,1.34,0.61,0.16,0.0,0.0,99.95
09/08/2021,49.95,21.49,13.19,8.83,4.38,1.34,0.61,0.16,0.0,0.0,99.95
09/09/2021,49.98,21.5,13.2,8.83,4.38,1.34,0.61,0.16,0.0,0.0,100.0
09/10/2021,49.94,21.47,13.21,8.82,4.41,1.32,0.6,0.16,0.0,0.0,99.93
09/13/2021,50.2,21.37,13.11,8.85,4.34,1.32,0.6,0.22,0.0,0.0,100.01
09/14/2021,50.27,21.26,13.13,8.87,4.35,1.31,0.59,0.22,0.0,0.0,100.0
09/15/2021,50.27,21.26,13.13,8.87,4.35,1.31,0.59,0.22,0.0,0.0,100.0
09/16/2021,50.22,21.27,13.18,8.85,4.36,1.32,0.6,0.21,0.0,0.0,100.01
09/17/2021,50.38,21.18,13.14,8.87,4.33,1.3,0.59,0.21,0.0,0.0,100.0
09/20/2021,50.27,21.32,13.16,8.85,4.29,1.32,0.59,0.22,0.0,0.0,100.02
09/21/2021,50.45,21.21,13.05,8.88,4.29,1.31,0.6,0.22,0.0,0.0,100.01
09/22/2021,50.45,21.21,13.05,8.88,4.29,1.31,0.6,0.22,0.0,0.0,100.01
09/23/2021,50.86,20.99,12.89,8.95,4.2,1.3,0.59,0.22,0.0,0.0,100.0
09/24/2021,50.79,20.95,12.99,8.94,4.23,1.3,0.59,0.22,0.0,0.0,100.01
09/27/2021,50.31,21.28,13.13,8.85,4.29,1.32,0.6,0.22,0.0,0.0,100.0
09/28/2021,50.33,21.29,13.05,8.86,4.25,1.32,0.6,0.22,0.0,0.0,99.92
09/29/2021,50.33,21.29,13.05,8.86,4.25,1.32,0.6,0.22,0.0,0.0,99.92
09/30/2021,50.3,21.25,13.06,8.87,4.28,1.33,0.61,0.22,0.0,0.0,99.92
10/01/2021,50.62,21.04,12.9,8.94,4.27,1.33,0.61,0.22,0.0,0.0,99.93
10/04/2021,50.75,21.04,12.92,8.96,4.31,1.32,0.6,0.1,0.0,0.0,100.0
10/05/2021,50.75,21.04,12.92,8.96,4.31,1.32,0.6,0.1,0.0,0.0,100.0
10/06/2021,50.75,21.04,12.92,8.96,4.31,1.32,0.6,0.1,0.0,0.0,100.0
10/07/2021,50.75,21.04,12.92,8.96,4.31,1.32,0.6,0.1,0.0,0.0,100.0
10/08/2021,50.75,21.04,12.92,8.96,4.31,1.32,0.6,0.1,0.0,0.0,100.0
10/11/2021,50.75,21.04,12.92,8.96,4.31,1.32,0.6,0.1,0.0,0.0,100.0
10/12/2021,50.75,21.04,12.92,8.96,4.31,1.32,0.6,0.1,0.0,0.0,100.0
10/13/2021,50.75,21.04,12.92,8.96,4.31,1.32,0.6,0.1,0.0,0.0,100.0
10/19/2021,50.36,21.35,13.02,8.88,4.32,1.35,0.62,0.1,-0.01,0.0,99.99
10/20/2021,50.16,21.47,13.1,8.85,4.37,1.35,0.61,0.1,-0.01,0.0,100.0
10/21/2021,50.13,21.55,13.06,8.84,4.36,1.35,0.62,0.1,-0.01,0.0,100.0
10/22/2021,49.94,21.67,13.12,8.81,4.4,1.35,0.62,0.1,-0.01,0.0,100.0
10/25/2021,49.81,21.82,13.11,8.81,4.37,1.37,0.62,0.1,-0.01,0.0,100.0
10/26/2021,49.83,21.77,13.16,8.81,4.35,1.37,0.62,0.1,-0.01,0.0,100.0
10/27/2021,49.83,21.77,13.16,8.81,4.35,1.37,0.62,0.1,-0.01,0.0,100.0
10/28/2021,49.79,21.84,13.13,8.79,4.37,1.37,0.62,0.1,-0.01,0.0,100.0
10/29/2021,49.83,21.85,13.13,8.79,4.34,1.36,0.62,0.1,-0.01,0.0,100.01
11/01/2021,49.8,21.9,13.16,8.78,4.3,1.36,0.62,0.1,-0.01,0.0,100.00999999999998
11/02/2021,50.96,21.04,12.72,8.96,4.32,1.31,0.58,0.1,0.01,0.0,100.0
11/03/2021,50.96,21.04,12.72,8.96,4.32,1.31,0.58,0.1,0.01,0.0,100.0
11/04/2021,50.74,21.04,12.81,8.94,4.35,1.34,0.6,0.1,0.09,0.0,100.01
