,BG,SJM,TSN,CAG,REYN,ADM,SPB,CVS,HLF,POST,CTVA,FLO,CASY,PPC,GIS,KR,PG,HRL,CPB,MDLZ,K,DAR,STZ,ACI,CHD,KMB,FRPT,GO,KDP,MNST,PM,BYND,CL,PEP,CLX,HSY,MKC,MCK,KHC,SAM,US Dollar,MISXX,Morgan Stanley Instl Lqudty Trs Instl,Interest/Overdraft,n/a,8174.T,688101.SS,688001.SS,WBA,INGR,USFD,SYY,PEP.,4I1.,TAP,KO,HAIN,SUM
07/09/2021,4.18,4.17,4.16,4.15,4.15,4.13,4.11,4.09,3.38,3.38,3.35,3.35,3.34,3.32,3.3,3.29,2.54,2.53,2.52,2.52,2.5,2.49,2.48,2.47,1.69,1.69,1.67,1.67,1.67,1.67,1.67,1.55,0.85,0.85,0.85,0.85,0.84,0.83,0.82,0.76,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999998
07/12/2021,4.15,4.23,4.17,4.16,4.09,4.17,4.04,4.08,3.36,3.39,3.28,3.32,3.39,3.31,3.28,3.34,2.55,2.49,2.51,2.53,2.51,2.49,2.44,2.58,1.71,1.69,1.66,1.69,1.66,1.65,1.68,1.49,0.85,0.84,0.84,0.85,0.83,0.83,0.82,0.8,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/13/2021,4.15,4.23,4.17,4.16,4.09,4.17,4.04,4.08,3.36,3.39,3.28,3.32,3.39,3.31,3.28,3.34,2.55,2.49,2.51,2.53,2.51,2.49,2.44,2.58,1.71,1.69,1.66,1.69,1.66,1.65,1.68,1.49,0.85,0.84,0.84,0.85,0.83,0.83,0.82,0.8,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/14/2021,4.15,4.23,4.18,4.16,4.09,4.17,4.04,4.08,3.36,3.4,3.28,3.33,3.4,3.32,3.28,3.35,2.55,2.5,2.52,2.54,2.51,2.49,2.45,2.58,1.71,1.69,1.66,1.7,1.66,1.66,1.68,1.49,0.85,0.85,0.84,0.85,0.83,0.83,0.82,0.8,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/15/2021,4.17,4.23,4.14,4.15,4.05,4.16,4.04,4.12,3.33,3.4,3.32,3.34,3.38,3.28,3.27,3.36,2.56,2.49,2.52,2.54,2.5,2.52,2.44,2.56,1.71,1.69,1.66,1.69,1.67,1.68,1.67,1.48,0.86,0.85,0.84,0.85,0.83,0.84,0.82,0.81,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.95
07/16/2021,4.16,4.26,4.14,3.97,4.04,4.16,3.99,4.16,3.32,3.35,3.3,3.34,3.39,3.29,3.3,3.38,2.59,2.52,2.5,2.58,2.51,2.51,2.46,2.55,1.72,1.71,1.69,1.7,1.69,1.71,1.68,1.47,0.86,0.88,0.85,0.86,0.83,0.84,0.82,0.78,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
07/19/2021,4.09,4.31,4.11,4.03,4.05,4.12,4.08,4.16,3.27,3.32,3.23,3.38,3.38,3.27,3.32,3.43,2.62,2.54,2.51,2.6,2.52,2.53,2.44,2.55,1.71,1.72,1.59,1.69,1.73,1.73,1.69,1.39,0.87,0.89,0.85,0.87,0.83,0.84,0.82,0.77,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/20/2021,4.09,4.31,4.11,4.03,4.05,4.12,4.08,4.16,3.27,3.32,3.23,3.38,3.38,3.27,3.32,3.43,2.62,2.54,2.51,2.6,2.52,2.53,2.44,2.55,1.71,1.72,1.59,1.69,1.73,1.73,1.69,1.39,0.87,0.89,0.85,0.87,0.83,0.84,0.82,0.77,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/21/2021,3.98,4.34,4.09,4.05,4.09,4.06,4.21,4.14,3.29,3.3,3.19,3.4,3.39,3.22,3.33,3.47,2.64,2.56,2.53,2.61,2.53,2.46,2.43,2.56,1.73,1.75,1.59,1.71,1.72,1.72,1.69,1.34,0.88,0.89,0.87,0.87,0.84,0.84,0.81,0.77,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/22/2021,3.99,4.37,4.07,4.12,4.08,4.01,4.05,4.09,3.25,3.25,3.12,3.41,3.36,3.13,3.37,3.63,2.64,2.57,2.56,2.6,2.56,2.41,2.41,2.65,1.74,1.76,1.59,1.73,1.71,1.71,1.67,1.35,0.87,0.89,0.88,0.87,0.85,0.83,0.82,0.79,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
