,LIN,DD,PPG,SHW,IP,LYB,DOW,NUE,APD,BLL,NEM,IFF,VMC,MLM,ECL,AMCR,FCX,EMN,AVY,STLD,CE,ALB,PKG,CCK,WRK,BERY,RPM,FMC,CF,MOS,OC,RS,ATR,SON,SEE,AXTA,MDU,SMG,Ssc Government Mm Gvmxx,HUN,RGLD,ASH,CLF,WLK,SCCO,AZEK,ARD,Us Dollar,7839989D1010,SUM
07/09/2021,6.3,5.22,5.2,3.97,3.92,3.81,3.74,3.43,3.42,3.23,3.19,2.98,2.94,2.93,2.88,2.72,2.64,2.33,2.09,2.03,1.97,1.92,1.91,1.8,1.75,1.7,1.67,1.63,1.57,1.31,1.29,1.22,1.17,1.14,1.1,1.09,0.99,0.89,0.88,0.76,0.74,0.68,0.61,0.45,0.41,0.35,0.04,0.0,0.0,100.01
10/04/2021,6.66,5.07,5.04,4.23,3.72,3.72,3.69,3.74,3.44,3.18,3.19,3.01,2.98,2.97,3.05,2.72,2.73,2.27,2.1,2.22,2.06,2.33,1.99,1.75,1.62,1.66,1.62,1.58,1.51,1.34,1.27,1.28,1.07,1.09,1.06,1.07,0.99,0.82,0.0,0.76,0.79,0.65,0.74,0.42,0.41,0.3,0.04,0.0,0.25,100.2
