,VNM.VN,VIC.VN,VHM.VN,MSN.VN,NVL.VN,HPG.VN,VCB.VN,1476.TW,7730.T,9910.TW,9938.TW,SSI.VN,PDR.VN,VRE.VN,097520.KQ,STB.VN,VCI.VN,090460.KQ,HSG.VN,060720.KQ,APH.VN,178320.KQ,BVH.VN,VJC.VN,192650.KS,SBT.VN,049070.KQ,090460.KQ.1,HNG.VN,POW.VN,KBC.VN,105630.KS,025320.KQ,JAKS.KL,179900.KQ,090460.KQ.2,090460.KQ.3,090460.KQ.4,090460.KQ.5,090460.KQ.6,090460.KQ.7,090460.KQ.8,097520.KS,TCH.VN,GEX.VN,n/a,FUEVFVND.VN,SUM
07/09/2021,7.61,7.45,7.33,6.51,6.31,5.39,5.3,4.43,4.35,4.27,4.1,3.64,2.88,2.57,2.23,1.96,1.82,1.76,1.54,1.46,1.37,1.34,1.34,1.3,1.19,1.16,1.14,1.06,1.05,1.02,1.01,0.97,0.95,0.71,0.67,0.61,0.37,0.3,0.01,0.0,0.0,-0.49,0.0,0.0,0.0,0.0,0.0,99.99
08/31/2021,7.69,7.59,7.37,6.4,6.47,5.34,5.4,4.48,4.33,4.38,4.22,3.48,2.82,2.63,0.0,1.91,1.65,1.81,1.53,1.49,1.42,1.38,1.33,1.32,1.13,1.16,1.12,0.0,0.95,1.03,0.99,1.02,0.94,0.73,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.28,0.62,0.36,0.28,0.01,99.76000000000002
