,AAPL,MSFT,AMZN,FB,GOOGL,GOOG,JPM,NVDA,V,JNJ,PG,PYPL,UNH,MA,BAC,HD,DIS,XOM,KO,ADBE,PEP,CMCSA,NKE,NFLX,ACN,PFE,CVX,CSCO,INTC,USD,CRM,ABT,WFC,TMO,ABBV,WMT,VZ,LLY,MRK,T,COST,HON,UPS,UNP,MDT,TXN,C,QCOM,BMY,RTX,BLK,BA,LOW,MS,AMT,GS,SBUX,AMGN,ORCL,CAT,GE,MMM,SCHW,AXP,TGT,INTU,IBM,AMAT,SPGI,MDLZ,DE,ISRG,CVS,DUK,AMD,SQ,GM,NOW,LMT,PLD,FIS,ADP,CCI,CHTR,ANTM,SYK,SO,ZTS,BKNG,PNC,CL,COP,EQIX,USB,D,GILD,TFC,TJX,MU,LRCX,CB,FDX,MMC,CI,COF,ITW,ICE,TMUS,FISV,F,SHW,APD,BDX,WM,ETN,ILMN,MCO,NOC,EW,EMR,GPN,PGR,AON,ADSK,KMB,EXC,AEP,TWLO,BSX,ADI,HUM,ECL,NEM,SRE,FCX,REGN,HCA,APTV,EA,JCI,LULU,GD,DG,IDXX,MSCI,XEL,DOW,TT,MET,DOCU,BIIB,TWTR,VRTX,A,TROW,GIS,ALGN,EBAY,SLB,DLR,AIG,CMG,KLAC,BK,CNC,PRU,ADM,TRV,ALL,PEG,PSX,SNPS,BAX,IFF,MPC,CMI,ES,AFL,WDAY,RMD,FRC,MTD,HPQ,MAR,SWK,ROK,STT,CBRE,AJG,EQR,KEYS,ED,ZBRA,VFC,XLNX,WBA,SIVB,PANW,YUM,HLT,FTNT,AZO,HSY,VRSK,MSI,KHC,WMB,AVB,AMP,SYF,MCK,NUE,GE.,KR,BLL,GRMN,FITB,LUV,HUBS,ALB,ETSY,EIX,n/a,AVGO,DHR,MRNA,CSX,UBER,MRVL,SBAC,INFO,NXPI,CARR,SYY,CDNS,IQV,WY,LHX,ROST,RSG,CTSH,CTVA,ZM,DD,OTIS,DFS,SUM
07/09/2021,6.23,5.85,4.76,2.36,2.12,2.06,1.55,1.38,1.36,1.31,1.29,1.15,1.14,1.11,1.02,1.02,0.94,0.82,0.81,0.8,0.8,0.78,0.77,0.7,0.65,0.65,0.64,0.63,0.63,0.63,0.62,0.61,0.61,0.6,0.6,0.6,0.59,0.59,0.59,0.53,0.53,0.51,0.51,0.5,0.5,0.49,0.47,0.45,0.44,0.44,0.43,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.4,0.39,0.38,0.38,0.37,0.37,0.36,0.36,0.35,0.35,0.34,0.34,0.33,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.31
07/12/2021,6.32,5.87,4.86,2.32,2.11,2.06,1.53,1.34,1.35,1.32,1.3,1.17,1.15,1.09,0.99,1.03,0.94,0.81,0.82,0.81,0.81,0.8,0.78,0.69,0.66,0.65,0.63,0.63,0.63,0.65,0.61,0.62,0.59,0.61,0.61,0.6,0.59,0.6,0.59,0.51,0.54,0.51,0.52,0.49,0.51,0.49,0.47,0.44,0.44,0.44,0.42,0.43,0.41,0.41,0.42,0.4,0.41,0.42,0.42,0.39,0.38,0.39,0.36,0.37,0.37,0.36,0.35,0.34,0.34,0.34,0.33,0.33,0.32,0.32,0.31,0.31,0.3,0.31,0.32,0.31,0.3,0.29,0.29,0.29,0.28,0.27,0.27,0.28,0.27,0.26,0.27,0.25,0.25,0.25,0.26,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.24,0.22,0.22,0.22,0.21,0.22,0.21,0.22,0.2,0.2,0.2,0.21,0.19,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.16,0.16,0.17,0.17,0.16,0.16,0.17,0.15,0.15,0.15,0.15,0.14,0.15,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.15,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.0,0.0,0.0,0.1,0.1,0.11,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.43
07/13/2021,6.32,5.87,4.86,2.32,2.11,2.06,1.53,1.34,1.35,1.32,1.3,1.17,1.15,1.09,0.99,1.03,0.94,0.81,0.82,0.81,0.81,0.8,0.78,0.69,0.66,0.65,0.63,0.63,0.63,0.65,0.61,0.62,0.59,0.61,0.61,0.6,0.59,0.6,0.59,0.51,0.54,0.51,0.52,0.49,0.51,0.49,0.47,0.44,0.44,0.44,0.42,0.43,0.41,0.41,0.42,0.4,0.41,0.42,0.42,0.39,0.38,0.39,0.36,0.37,0.37,0.36,0.35,0.34,0.34,0.34,0.33,0.33,0.32,0.32,0.31,0.31,0.3,0.31,0.32,0.31,0.3,0.29,0.29,0.29,0.28,0.27,0.27,0.28,0.27,0.26,0.27,0.25,0.25,0.25,0.26,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.24,0.22,0.22,0.22,0.21,0.22,0.21,0.22,0.2,0.2,0.2,0.21,0.19,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.16,0.16,0.17,0.17,0.16,0.16,0.17,0.15,0.15,0.15,0.15,0.14,0.15,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.15,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.0,0.0,0.0,0.1,0.1,0.11,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.43
07/14/2021,6.33,5.82,4.79,2.33,2.1,2.04,1.57,1.33,1.35,1.32,1.29,1.17,1.14,1.09,1.01,1.03,0.95,0.81,0.82,0.8,0.8,0.78,0.77,0.69,0.66,0.65,0.63,0.63,0.63,0.64,0.6,0.61,0.61,0.6,0.61,0.6,0.59,0.59,0.58,0.51,0.54,0.52,0.52,0.49,0.51,0.49,0.47,0.44,0.44,0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.41,0.42,0.4,0.38,0.39,0.37,0.37,0.37,0.36,0.35,0.34,0.33,0.34,0.33,0.33,0.32,0.32,0.31,0.31,0.31,0.31,0.32,0.31,0.3,0.29,0.29,0.29,0.28,0.27,0.27,0.28,0.27,0.27,0.27,0.26,0.25,0.26,0.25,0.25,0.25,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.17,0.17,0.16,0.16,0.17,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.14,0.15,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.1,0.11,0.11,0.1,0.11,0.11,0.11,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.38
07/15/2021,6.28,5.79,4.78,2.34,2.12,2.05,1.58,1.36,1.34,1.31,1.29,1.18,1.15,1.1,1.02,1.02,0.99,0.81,0.82,0.79,0.8,0.79,0.77,0.69,0.66,0.65,0.63,0.62,0.64,0.64,0.6,0.61,0.61,0.59,0.61,0.59,0.59,0.59,0.58,0.51,0.53,0.52,0.51,0.49,0.5,0.49,0.48,0.45,0.44,0.43,0.44,0.42,0.42,0.43,0.42,0.42,0.41,0.41,0.42,0.4,0.38,0.38,0.37,0.38,0.37,0.36,0.35,0.35,0.33,0.34,0.33,0.33,0.32,0.32,0.3,0.32,0.31,0.31,0.31,0.31,0.3,0.29,0.29,0.28,0.28,0.27,0.27,0.28,0.27,0.27,0.27,0.25,0.25,0.26,0.25,0.25,0.25,0.24,0.25,0.25,0.25,0.24,0.24,0.24,0.25,0.24,0.22,0.22,0.22,0.22,0.23,0.21,0.21,0.2,0.2,0.21,0.2,0.19,0.19,0.2,0.18,0.19,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.14,0.15,0.14,0.14,0.15,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.1,0.11,0.11,0.0,0.11,0.11,0.11,0.1,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.11,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.40999999999998
07/16/2021,6.35,5.89,4.74,2.34,2.13,2.07,1.57,1.35,1.37,1.31,1.29,1.18,1.16,1.12,1.01,1.01,0.99,0.81,0.83,0.8,0.82,0.78,0.77,0.69,0.66,0.65,0.63,0.63,0.64,0.64,0.6,0.61,0.6,0.59,0.61,0.6,0.59,0.59,0.58,0.51,0.53,0.52,0.51,0.49,0.5,0.49,0.47,0.44,0.44,0.43,0.43,0.41,0.41,0.43,0.42,0.42,0.42,0.41,0.42,0.39,0.38,0.38,0.38,0.38,0.37,0.36,0.35,0.35,0.33,0.34,0.33,0.33,0.32,0.32,0.3,0.31,0.31,0.31,0.31,0.31,0.3,0.29,0.29,0.28,0.29,0.27,0.27,0.28,0.27,0.27,0.27,0.25,0.25,0.26,0.25,0.25,0.25,0.24,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.22,0.22,0.22,0.22,0.23,0.21,0.21,0.2,0.2,0.21,0.2,0.18,0.19,0.19,0.19,0.19,0.17,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.13,0.15,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.1,0.11,0.11,0.11,0.1,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.51999999999998
07/19/2021,6.49,5.9,4.69,2.29,2.13,2.07,1.57,1.26,1.41,1.31,1.31,1.16,1.16,1.14,0.98,1.03,0.99,0.79,0.85,0.81,0.83,0.79,0.78,0.7,0.67,0.66,0.62,0.63,0.63,0.66,0.59,0.6,0.62,0.6,0.61,0.6,0.59,0.58,0.58,0.51,0.54,0.54,0.51,0.49,0.5,0.48,0.47,0.44,0.44,0.43,0.42,0.4,0.42,0.43,0.43,0.41,0.42,0.42,0.42,0.39,0.37,0.39,0.37,0.38,0.37,0.36,0.35,0.34,0.33,0.35,0.33,0.33,0.32,0.33,0.29,0.31,0.3,0.31,0.31,0.31,0.31,0.29,0.29,0.28,0.29,0.26,0.27,0.28,0.26,0.27,0.27,0.24,0.25,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.22,0.22,0.22,0.21,0.23,0.21,0.21,0.2,0.2,0.2,0.2,0.18,0.19,0.2,0.19,0.19,0.17,0.18,0.18,0.18,0.18,0.16,0.18,0.17,0.18,0.17,0.16,0.17,0.16,0.17,0.17,0.16,0.16,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.15,0.14,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.11,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.0,0.11,0.11,0.11,0.1,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.56
07/20/2021,6.49,5.97,4.68,2.31,2.16,2.11,1.55,1.23,1.43,1.32,1.34,1.17,1.18,1.15,0.97,1.04,0.98,0.78,0.86,0.82,0.85,0.79,0.78,0.69,0.67,0.67,0.61,0.64,0.63,0.0,0.6,0.61,0.62,0.61,0.62,0.61,0.6,0.59,0.59,0.52,0.55,0.54,0.52,0.49,0.5,0.49,0.47,0.44,0.45,0.43,0.43,0.39,0.42,0.43,0.43,0.41,0.42,0.43,0.43,0.39,0.37,0.39,0.37,0.38,0.38,0.36,0.35,0.33,0.34,0.35,0.33,0.34,0.32,0.34,0.29,0.31,0.3,0.31,0.32,0.32,0.31,0.3,0.3,0.28,0.29,0.27,0.28,0.28,0.27,0.26,0.28,0.24,0.25,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.22,0.23,0.23,0.21,0.23,0.21,0.21,0.21,0.21,0.2,0.21,0.19,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.19,0.18,0.17,0.18,0.17,0.18,0.18,0.16,0.18,0.16,0.17,0.17,0.16,0.16,0.17,0.17,0.16,0.16,0.17,0.15,0.16,0.15,0.16,0.14,0.15,0.15,0.15,0.16,0.15,0.16,0.14,0.14,0.14,0.12,0.15,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.1,0.12,0.12,0.12,0.11,0.12,0.13,0.12,0.12,0.11,0.12,0.11,0.0,0.11,0.11,0.12,0.1,0.0,0.0,0.11,0.0,0.11,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.11,0.1,0.1,0.1,0.1,0.1,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.69999999999999
07/21/2021,6.45,5.93,4.65,2.29,2.14,2.1,1.54,1.22,1.42,1.31,1.34,1.16,1.17,1.14,0.96,1.04,0.97,0.77,0.85,0.81,0.84,0.79,0.77,0.69,0.67,0.67,0.61,0.64,0.62,0.66,0.59,0.61,0.62,0.61,0.62,0.61,0.6,0.58,0.59,0.52,0.54,0.54,0.51,0.49,0.5,0.48,0.47,0.44,0.45,0.43,0.42,0.39,0.42,0.43,0.43,0.41,0.42,0.42,0.43,0.38,0.37,0.39,0.36,0.37,0.37,0.36,0.35,0.33,0.34,0.35,0.32,0.33,0.32,0.34,0.29,0.31,0.3,0.31,0.31,0.32,0.31,0.29,0.3,0.28,0.29,0.27,0.28,0.28,0.26,0.26,0.27,0.24,0.25,0.26,0.26,0.26,0.25,0.24,0.24,0.23,0.25,0.24,0.24,0.24,0.24,0.24,0.22,0.22,0.22,0.21,0.23,0.21,0.21,0.21,0.2,0.2,0.21,0.18,0.2,0.2,0.19,0.19,0.17,0.18,0.18,0.19,0.18,0.17,0.18,0.17,0.18,0.18,0.16,0.18,0.16,0.17,0.17,0.16,0.16,0.17,0.17,0.16,0.16,0.17,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.15,0.16,0.15,0.15,0.14,0.14,0.14,0.12,0.15,0.14,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.1,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.1,0.11,0.11,0.11,0.1,0.0,0.1,0.0,0.0,0.11,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.11,0.1,0.1,0.1,0.1,0.0,0.11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.62999999999998
07/22/2021,6.37,5.95,4.69,2.3,2.13,2.09,1.52,1.28,1.4,1.33,1.36,1.18,1.16,1.1,0.95,1.04,0.96,0.76,0.86,0.82,0.85,0.79,0.78,0.7,0.67,0.68,0.6,0.64,0.63,0.68,0.6,0.62,0.61,0.62,0.62,0.62,0.6,0.6,0.59,0.51,0.56,0.52,0.52,0.49,0.5,0.49,0.46,0.45,0.45,0.42,0.41,0.38,0.42,0.43,0.43,0.4,0.41,0.43,0.43,0.38,0.36,0.39,0.36,0.36,0.38,0.36,0.35,0.34,0.34,0.35,0.32,0.33,0.32,0.34,0.3,0.31,0.3,0.31,0.31,0.32,0.3,0.29,0.3,0.28,0.28,0.26,0.28,0.28,0.26,0.26,0.28,0.23,0.26,0.25,0.26,0.26,0.24,0.24,0.24,0.24,0.25,0.25,0.24,0.23,0.24,0.24,0.22,0.22,0.22,0.21,0.24,0.21,0.22,0.21,0.2,0.21,0.21,0.18,0.19,0.19,0.19,0.19,0.17,0.18,0.19,0.19,0.18,0.17,0.18,0.17,0.18,0.17,0.16,0.17,0.16,0.18,0.17,0.16,0.16,0.17,0.17,0.16,0.16,0.17,0.15,0.16,0.14,0.15,0.14,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.14,0.12,0.15,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.1,0.12,0.12,0.12,0.11,0.12,0.13,0.12,0.12,0.11,0.11,0.11,0.0,0.11,0.11,0.12,0.0,0.0,0.0,0.1,0.1,0.11,0.0,0.1,0.0,0.1,0.0,0.11,0.1,0.1,0.0,0.11,0.1,0.0,0.1,0.1,0.1,0.11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.73
