,BND,AGG,SCHZ,HTRB,HYLB,QQQ,PFFD,QYLD,VCIT,MLPA,BAB,ITOT,VTI,VOO,MBB,FUTY,SCHH,VIG,WisdomTree U.S. Efficient Core Fund,NPH.NZ,SDA.AX,002810.KS,n/a,603121.SS,NTSX,SUM
07/09/2021,11.49,11.48,11.48,8.23,8.21,7.87,6.59,6.14,4.84,4.25,3.94,2.52,2.49,2.48,2.2,1.56,1.55,1.3,0.75,0.62,0.0,0.0,0.0,0.0,0.0,99.99
07/12/2021,11.51,11.5,11.5,8.23,8.18,7.89,6.56,6.12,4.85,4.1,3.97,2.51,2.48,2.48,2.2,1.57,1.57,1.3,0.75,0.0,0.72,0.0,0.0,0.0,0.0,99.99
07/13/2021,11.51,11.5,11.5,8.23,8.18,7.89,6.56,6.12,4.85,4.1,3.97,2.51,2.48,2.48,2.2,1.57,1.57,1.3,0.75,0.0,0.72,0.0,0.0,0.0,0.0,99.99
07/14/2021,11.58,11.56,11.56,8.27,8.25,7.96,6.6,6.18,4.88,4.19,3.99,2.54,2.51,2.5,2.22,1.58,1.6,1.31,0.75,0.0,0.0,-0.02,0.0,0.0,0.0,100.01
07/15/2021,11.56,11.55,11.54,8.28,8.24,7.98,6.6,6.18,4.88,4.16,3.99,2.54,2.51,2.51,2.22,1.59,1.61,1.31,0.76,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
07/16/2021,11.56,11.55,11.54,8.28,8.24,7.98,6.6,6.18,4.88,4.16,3.99,2.54,2.51,2.51,2.22,1.59,1.61,1.31,0.76,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
07/19/2021,11.71,11.71,11.71,8.24,8.3,7.61,7.47,7.4,4.36,4.05,3.09,2.5,2.48,2.53,1.8,1.55,1.46,1.28,0.83,0.0,-0.09,0.0,0.0,0.0,0.0,99.99
07/20/2021,11.75,11.75,11.76,8.27,8.32,7.54,7.5,7.41,4.36,4.01,3.1,2.5,2.5,2.51,1.81,1.57,1.47,1.27,0.84,0.0,-0.23,0.0,0.0,0.0,0.0,100.01
07/21/2021,11.75,11.75,11.76,8.27,8.32,7.54,7.5,7.41,4.36,4.01,3.1,2.5,2.5,2.51,1.81,1.57,1.47,1.27,0.84,0.0,-0.23,0.0,0.0,0.0,0.0,100.01
07/22/2021,11.75,11.75,11.76,8.27,8.32,7.54,7.5,7.41,4.36,4.01,3.1,2.5,2.5,2.51,1.81,1.57,1.47,1.27,0.84,0.0,-0.23,0.0,0.0,0.0,0.0,100.01
