,PLD,AMT,CCI,EQIX,PSA,SPG,WELL,DLR,O,SBAC,AVB,EQR,ARE,EXR,INVH,MAA,VTR,ESS,DRE,SUI,BXP,UDR,PEAK,VICI,CPT,WPC,IRM,KIM,HST,ELS,AMH,MPW,REXR,LSI,CUBE,GLPI,REG,LAMR,AIRC,FRT,EGP,KRC,FR,ACC,NNN,BRX,VNO,STOR,STAG,COLD,OHI,HTA,MGP,CUZ,SRC,DEI,IRT,TRNO,SLG,NSA,RHP,KRG,ADC,HIW,PK,LXP,HPP,HR,APLE,OUT,EPR,DOC,JBGS,PSB,SBRA,PEB,MAC,EPRT,EQC,OFC,UNIT,SITC,NHI,SHO,ROIC,RLJ,BDN,UE,XHR,FCPT,WRE,NXRT,DRH,PDM,AKR,AAT,GNL,DEA,CTRE,SKT,ILPT,LTC,CSR,SVC,UMH,OPI,ESRT,RPT,AIV,VRE,NTST,GTY,INN,UHT,GMRE,CHCT,RTL,PLYM,CIO,GOOD,DHC,CLDT,AHT,PGRE,BFS,WSR,UBA,FSP,ALX,OLP,SRG,INDT,CTO,CDR,HT,PSTL,BHR,BRT,PINE,NYC,CMCT,CLPR,RVI,SELF,SOHO,UBP,WHLR,BNL,IVT,SUM
03/21/2022,8.04,7.67,5.27,4.52,3.98,3.17,2.86,2.72,2.62,2.49,2.39,2.22,2.04,1.82,1.69,1.69,1.65,1.56,1.48,1.48,1.29,1.28,1.26,1.21,1.21,1.07,1.0,0.98,0.95,0.93,0.88,0.84,0.8,0.77,0.76,0.74,0.72,0.68,0.58,0.58,0.56,0.55,0.55,0.53,0.53,0.52,0.52,0.5,0.5,0.5,0.48,0.48,0.41,0.41,0.41,0.4,0.4,0.38,0.37,0.36,0.34,0.34,0.33,0.33,0.32,0.3,0.29,0.28,0.28,0.28,0.27,0.26,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.19,0.19,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.06,0.06,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
03/31/2022,8.09,7.6,5.32,4.54,4.13,3.08,2.94,2.73,2.66,2.47,2.38,2.19,2.03,1.83,1.67,1.65,1.7,1.52,1.51,1.44,1.31,1.25,1.28,1.2,1.19,1.07,1.06,0.98,0.94,0.9,0.88,0.85,0.8,0.78,0.77,0.72,0.72,0.68,0.57,0.57,0.56,0.55,0.55,0.53,0.53,0.52,0.51,0.49,0.5,0.5,0.5,0.48,0.41,0.41,0.4,0.41,0.4,0.37,0.36,0.36,0.33,0.33,0.32,0.33,0.31,0.3,0.28,0.28,0.27,0.28,0.27,0.27,0.23,0.23,0.23,0.22,0.22,0.21,0.22,0.22,0.23,0.19,0.19,0.18,0.17,0.16,0.17,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.09,0.08,0.08,0.09,0.08,0.07,0.07,0.07,0.06,0.06,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.93
04/13/2022,8.27,8.04,5.67,4.64,4.29,2.9,2.88,2.83,2.73,2.69,2.31,2.17,2.04,1.9,1.65,1.64,1.62,1.51,1.52,1.45,1.21,1.24,1.27,1.28,1.15,1.05,1.08,0.95,0.85,0.92,0.88,0.84,0.83,0.8,0.77,0.72,0.72,0.65,0.56,0.56,0.57,0.51,0.55,0.53,0.53,0.5,0.45,0.48,0.49,0.5,0.46,0.46,0.4,0.37,0.39,0.37,0.4,0.38,0.32,0.36,0.3,0.32,0.33,0.3,0.27,0.25,0.26,0.27,0.24,0.25,0.26,0.26,0.21,0.23,0.21,0.19,0.2,0.21,0.2,0.2,0.21,0.18,0.17,0.16,0.16,0.14,0.15,0.15,0.14,0.15,0.15,0.15,0.13,0.14,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.1,0.09,0.09,0.09,0.09,0.1,0.09,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.05,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98000000000002
04/28/2022,8.24,7.84,5.53,4.55,4.19,2.88,2.84,2.86,2.8,2.6,2.3,2.14,1.94,1.85,1.72,1.57,1.55,1.5,1.51,1.5,1.24,1.22,1.24,1.4,1.12,1.07,1.07,1.0,1.0,0.96,0.89,0.74,0.87,0.79,0.76,0.73,0.72,0.66,0.56,0.56,0.57,0.53,0.56,0.6,0.54,0.52,0.45,0.49,0.48,0.5,0.44,0.46,0.43,0.38,0.39,0.37,0.41,0.39,0.32,0.35,0.34,0.33,0.34,0.31,0.31,0.25,0.26,0.27,0.26,0.26,0.27,0.26,0.21,0.26,0.19,0.22,0.19,0.21,0.2,0.21,0.21,0.19,0.17,0.19,0.17,0.17,0.15,0.15,0.15,0.16,0.16,0.15,0.15,0.14,0.13,0.13,0.13,0.12,0.11,0.13,0.11,0.12,0.12,0.12,0.11,0.09,0.09,0.1,0.09,0.09,0.1,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.06,0.07,0.05,0.06,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,100.01
06/21/2022,6.79,8.97,5.62,4.79,3.93,2.67,2.92,3.01,3.2,2.63,2.22,2.1,1.69,1.78,1.71,1.56,1.63,1.39,1.65,1.54,1.12,1.16,1.09,2.25,1.12,1.33,1.12,0.95,0.97,1.03,0.88,0.72,0.77,0.73,0.74,0.86,0.74,0.64,0.52,0.56,0.52,0.45,0.51,0.36,0.6,0.49,0.38,0.53,0.45,0.56,0.55,0.52,0.0,0.37,0.4,0.33,0.38,0.35,0.26,0.33,0.33,0.32,0.43,0.3,0.28,0.24,0.2,0.33,0.27,0.22,0.28,0.32,0.23,0.13,0.27,0.2,0.16,0.22,0.26,0.25,0.2,0.19,0.23,0.18,0.16,0.16,0.14,0.15,0.14,0.18,0.16,0.12,0.15,0.14,0.12,0.13,0.13,0.14,0.14,0.13,0.1,0.14,0.13,0.09,0.1,0.1,0.09,0.09,0.1,0.1,0.1,0.11,0.08,0.09,0.07,0.09,0.1,0.07,0.03,0.08,0.02,0.03,0.02,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.09,100.04
08/19/2022,7.21,9.22,5.61,4.61,3.97,2.71,2.59,2.72,3.21,2.67,2.18,2.04,1.88,2.03,1.72,1.55,1.44,1.39,1.77,1.48,0.95,1.14,1.09,2.4,1.07,1.21,1.12,1.03,0.99,0.96,0.87,0.77,0.87,0.89,0.87,0.89,0.8,0.66,0.51,0.63,0.59,0.36,0.5,0.0,0.65,0.52,0.32,0.57,0.4,0.65,0.61,0.0,0.0,0.43,0.38,0.37,0.46,0.46,0.19,0.31,0.35,0.48,0.4,0.23,0.21,0.18,0.21,0.76,0.22,0.21,0.33,0.37,0.15,0.0,0.2,0.29,0.23,0.21,0.18,0.18,0.17,0.16,0.16,0.32,0.18,0.12,0.1,0.11,0.11,0.28,0.1,0.08,0.11,0.09,0.1,0.09,0.11,0.09,0.12,0.13,0.03,0.1,0.09,0.17,0.07,0.07,0.18,0.07,0.27,0.1,0.1,0.09,0.07,0.06,0.05,0.07,0.07,0.06,0.02,0.11,0.01,0.02,0.04,0.05,0.02,0.02,0.02,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,99.97
