,Cash,688202.SS,688202.SS.1,688202.SS.2,688202.SS.3,688202.SS.4,B 0 07/01/21,B 0 07/15/21,B 0 08/12/21,B 0 10/21/21,United States Treasury Bills,B 0 11/04/21,B 0 12/02/21,688202.SS.5,B 0 07/08/21,B 0 09/23/21,B 0 01/27/22,688202.SS.6,688202.SS.7,688202.SS.8,688202.SS.9,688202.SS.10,688202.SS.11,688202.SS.12,688202.SS.13,Dj Industrial Average Swap Ubs Ag - Cash Offset,Dj Industrial Average Swap Bank Of America Na - Cash Offset,Dj Industrial Average Index Swap Bnp Paribas - Cash Offset,Dj Industrial Average Swap Citibank Na - Cash Offset,Djia Mini 09/17/21 (Dmu1) - Cash Offset,B 0 04/21/22,Dj Industrial Average Swap Goldman Sachs International - Cash Offset,Dj Industrial Average Swap Societe Generale - Cash Offset,Dj Industrial Average Swap Societe Generale,Dj Industrial Average Swap Goldman Sachs International,E-mini Dow $5 Future Sept 21,Dj Industrial Average Swap Citibank Na,Dj Industrial Average Index Swap Bnp Paribas,Dj Industrial Average Swap Bank Of America Na,Dj Industrial Average Swap Ubs Ag,XIB 0 10/21/21,SUM
07/09/2021,54.74,14.12,12.7,10.29,8.51,6.27,5.8,5.8,5.8,5.8,5.8,4.64,4.64,2.41,2.32,2.32,2.32,0.42,-0.42,-2.41,-6.27,-8.51,-10.29,-12.7,-14.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/14/2021,54.74,0.0,0.0,0.0,0.0,0.0,5.8,5.8,5.8,5.8,2.32,4.64,4.64,0.0,2.32,2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.12,12.7,10.29,8.51,6.27,5.8,2.41,0.42,-0.42,-2.41,-6.27,-8.51,-10.29,-12.7,-14.12,0.0,99.98
07/15/2021,54.74,0.0,0.0,0.0,0.0,0.0,5.8,5.8,5.8,5.8,2.32,4.64,4.64,0.0,2.32,2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.12,12.7,10.29,8.51,6.27,5.8,2.41,0.42,-0.42,-2.41,-6.27,-8.51,-10.29,-12.7,-14.12,0.0,99.98
07/19/2021,54.74,0.0,0.0,0.0,0.0,0.0,5.8,5.8,5.8,5.8,2.32,4.64,4.64,0.0,2.32,2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.12,12.7,10.29,8.51,6.27,5.8,2.41,0.42,-0.42,-2.41,-6.27,-8.51,-10.29,-12.7,-14.12,0.0,99.98
07/20/2021,54.74,0.0,0.0,0.0,0.0,0.0,5.8,5.8,5.8,5.8,2.32,4.64,4.64,0.0,2.32,2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.12,12.7,10.29,8.51,6.27,5.8,2.41,0.42,-0.42,-2.41,-6.27,-8.51,-10.29,-12.7,-14.12,0.0,99.98
07/22/2021,54.74,0.0,0.0,0.0,0.0,0.0,5.8,5.8,5.8,0.0,2.32,4.64,4.64,0.0,2.32,2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.12,12.7,10.29,8.51,6.27,5.8,2.41,0.42,-0.42,-2.41,-6.27,-8.51,-10.29,-12.7,-14.12,5.8,99.98
07/23/2021,54.74,0.0,0.0,0.0,0.0,0.0,5.8,5.8,5.8,0.0,2.32,4.64,4.64,0.0,2.32,2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.12,12.7,10.29,8.51,6.27,5.8,2.41,0.42,-0.42,-2.41,-6.27,-8.51,-10.29,-12.7,-14.12,5.8,99.97999999999999
