,1120.SR,1180.SR,2010.SR,2222.SR,7010.SR,1010.SR,1211.SR,1060.SR,1050.SR,1150.SR,5110.SR,2020.SR,2280.SR,1140.SR,1080.SR,4190.SR,7020.SR,2050.SR,2310.SR,2290.SR,4002.SR,2330.SR,1020.SR,2250.SR,8210.SR,4210.SR,2060.SR,4013.SR,7030.SR,2350.SR,3050.SR,2380.SR,4300.SR,4001.SR,8010.SR,4220.SR,3030.SR,4003.SR,3040.SR,2070.SR,3020.SR,3060.SR,4004.SR,4031.SR,1810.SR,6004.SR,2270.SR,4020.SR,2040.SR,4007.SR,4200.SR,3002.SR,3010.SR,4080.SR,4150.SR,3080.SR,6010.SR,3004.SR,4040.SR,3003.SR,2230.SR,4240.SR,4260.SR,2080.SR,4005.SR,4010.SR,8230.SR,1830.SR,6002.SR,4008.SR,4009.SR,1831.SR,4342.SR,SAR,XTSLA,2190.SR,2170.SR,6001.SR,6050.SR,7200.SR,2002.SR,9512.SR,2030.SR,1182,6070.SR,HBCFT,MESU1,USD,1182.SR,MESZ1,SUM
07/09/2021,12.6,11.6,9.84,6.86,4.51,3.62,2.91,2.62,2.39,2.22,2.21,1.81,1.63,1.44,1.41,1.33,1.32,1.24,1.22,1.13,0.94,0.89,0.87,0.86,0.84,0.82,0.8,0.79,0.75,0.71,0.7,0.68,0.67,0.66,0.62,0.6,0.59,0.53,0.48,0.46,0.44,0.44,0.41,0.41,0.41,0.39,0.39,0.39,0.38,0.35,0.35,0.35,0.34,0.32,0.32,0.31,0.31,0.3,0.3,0.29,0.28,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.23,0.23,0.22,0.21,0.19,0.19,0.17,0.17,0.13,0.1,0.1,0.09,0.08,0.07,0.07,0.07,0.02,0.0,0.0,0.0,0.0,100.0
07/16/2021,12.38,11.35,9.83,6.96,4.64,3.61,2.91,2.59,2.28,2.18,2.19,1.82,1.6,1.45,1.42,1.33,1.31,1.21,1.24,1.13,0.98,0.88,0.88,0.9,0.91,0.79,0.84,0.82,0.76,0.71,0.69,0.73,0.67,0.66,0.64,0.6,0.6,0.56,0.49,0.49,0.44,0.45,0.39,0.41,0.41,0.39,0.38,0.4,0.38,0.35,0.36,0.34,0.34,0.32,0.34,0.31,0.3,0.3,0.29,0.31,0.28,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.22,0.22,0.22,0.37,0.16,0.17,0.17,0.13,0.09,0.1,0.09,0.08,0.07,0.07,0.07,0.03,0.0,0.0,0.0,0.0,100.00999999999998
07/19/2021,12.38,11.34,9.94,6.95,4.51,3.59,2.88,2.59,2.29,2.21,2.18,1.83,1.6,1.45,1.42,1.29,1.32,1.2,1.28,1.1,0.97,0.88,0.91,0.92,0.89,0.74,0.85,0.81,0.76,0.71,0.69,0.76,0.67,0.64,0.64,0.61,0.59,0.56,0.49,0.49,0.44,0.45,0.4,0.4,0.41,0.39,0.37,0.4,0.39,0.36,0.35,0.34,0.34,0.32,0.39,0.31,0.3,0.3,0.29,0.31,0.28,0.26,0.26,0.27,0.26,0.25,0.25,0.24,0.24,0.23,0.22,0.22,0.21,0.12,0.4,0.18,0.17,0.13,0.1,0.1,0.09,0.09,0.07,0.07,0.07,0.03,0.0,0.0,0.0,0.0,100.0
07/20/2021,12.38,11.34,9.94,6.95,4.51,3.59,2.88,2.59,2.29,2.21,2.18,1.83,1.6,1.45,1.42,1.29,1.32,1.2,1.28,1.1,0.97,0.88,0.91,0.92,0.89,0.74,0.85,0.81,0.76,0.71,0.69,0.76,0.67,0.64,0.64,0.61,0.59,0.56,0.49,0.49,0.44,0.45,0.4,0.4,0.41,0.39,0.37,0.4,0.39,0.36,0.35,0.34,0.34,0.32,0.39,0.31,0.3,0.3,0.29,0.31,0.28,0.26,0.26,0.27,0.26,0.25,0.25,0.24,0.24,0.23,0.22,0.22,0.21,0.12,0.4,0.18,0.17,0.13,0.1,0.1,0.09,0.09,0.07,0.07,0.07,0.03,0.0,0.0,0.0,0.0,100.0
07/22/2021,12.38,11.35,9.94,6.95,4.51,3.59,2.88,2.59,2.29,2.21,2.18,1.83,1.6,1.45,1.42,1.29,1.32,1.2,1.28,1.1,0.97,0.88,0.91,0.92,0.89,0.74,0.86,0.81,0.76,0.71,0.69,0.76,0.67,0.64,0.64,0.61,0.59,0.56,0.49,0.49,0.44,0.45,0.4,0.4,0.41,0.39,0.37,0.4,0.39,0.36,0.36,0.34,0.34,0.32,0.39,0.31,0.3,0.3,0.29,0.31,0.28,0.26,0.26,0.27,0.26,0.25,0.25,0.24,0.24,0.23,0.22,0.22,0.21,0.12,0.4,0.18,0.17,0.13,0.1,0.1,0.09,0.09,0.07,0.07,0.07,0.03,0.0,0.0,0.0,0.0,100.03
07/23/2021,12.38,11.35,9.94,6.95,4.51,3.59,2.88,2.59,2.29,2.21,2.18,1.83,1.6,1.45,1.42,1.29,1.32,1.2,1.28,1.1,0.97,0.88,0.91,0.92,0.89,0.74,0.86,0.81,0.76,0.71,0.69,0.76,0.67,0.64,0.64,0.61,0.59,0.56,0.49,0.49,0.44,0.45,0.4,0.4,0.41,0.39,0.37,0.4,0.39,0.36,0.36,0.34,0.34,0.32,0.39,0.31,0.3,0.3,0.29,0.31,0.28,0.26,0.26,0.27,0.26,0.25,0.25,0.24,0.24,0.23,0.22,0.22,0.21,0.12,0.39,0.18,0.17,0.13,0.1,0.1,0.09,0.09,0.07,0.07,0.07,0.03,0.0,0.0,0.0,0.0,100.02
07/27/2021,12.38,11.35,9.94,6.95,4.51,3.59,2.88,2.59,2.29,2.21,2.18,1.83,1.6,1.45,1.42,1.29,1.32,1.2,1.28,1.1,0.97,0.88,0.91,0.92,0.89,0.74,0.86,0.81,0.76,0.71,0.69,0.76,0.67,0.64,0.64,0.61,0.59,0.56,0.49,0.49,0.44,0.45,0.4,0.4,0.41,0.39,0.37,0.4,0.39,0.36,0.36,0.34,0.34,0.32,0.39,0.31,0.3,0.3,0.29,0.31,0.28,0.26,0.26,0.27,0.26,0.25,0.25,0.24,0.24,0.23,0.22,0.22,0.21,0.12,0.39,0.18,0.17,0.13,0.1,0.1,0.09,0.09,0.07,0.07,0.07,0.03,0.0,0.0,0.0,0.0,100.02
08/02/2021,12.49,11.06,9.94,6.83,4.72,3.57,3.09,2.59,2.25,2.21,2.24,1.91,1.57,1.45,1.42,1.28,1.31,1.24,1.34,1.1,0.99,0.9,0.9,0.92,0.9,0.85,0.85,0.85,0.74,0.71,0.68,0.71,0.68,0.63,0.64,0.66,0.6,0.55,0.49,0.5,0.44,0.46,0.4,0.41,0.41,0.39,0.37,0.4,0.39,0.35,0.35,0.34,0.34,0.32,0.38,0.31,0.3,0.29,0.29,0.3,0.29,0.25,0.27,0.27,0.26,0.24,0.25,0.24,0.25,0.23,0.22,0.21,0.21,0.11,0.0,0.17,0.18,0.13,0.1,0.1,0.1,0.09,0.07,0.07,0.06,0.01,0.0,0.03,0.0,0.0,100.01
08/03/2021,12.49,11.06,9.94,6.83,4.72,3.57,3.09,2.59,2.25,2.21,2.24,1.91,1.57,1.45,1.42,1.28,1.31,1.24,1.34,1.1,0.99,0.9,0.9,0.92,0.9,0.85,0.85,0.85,0.74,0.71,0.68,0.71,0.68,0.63,0.64,0.66,0.6,0.55,0.49,0.5,0.44,0.46,0.4,0.41,0.41,0.39,0.37,0.4,0.39,0.35,0.35,0.34,0.34,0.32,0.38,0.31,0.3,0.29,0.29,0.3,0.29,0.25,0.27,0.27,0.26,0.24,0.25,0.24,0.25,0.23,0.22,0.21,0.21,0.11,0.09,0.17,0.18,0.13,0.1,0.1,0.1,0.09,0.07,0.07,0.06,0.01,0.0,0.0,0.0,0.0,100.07
08/04/2021,12.49,11.06,9.94,6.83,4.72,3.57,3.09,2.59,2.25,2.21,2.24,1.91,1.57,1.45,1.42,1.28,1.31,1.24,1.34,1.1,0.99,0.9,0.9,0.92,0.9,0.85,0.85,0.85,0.74,0.71,0.68,0.71,0.68,0.63,0.64,0.66,0.6,0.55,0.49,0.5,0.44,0.46,0.4,0.41,0.41,0.39,0.37,0.4,0.39,0.35,0.35,0.34,0.34,0.32,0.38,0.31,0.3,0.29,0.29,0.3,0.29,0.25,0.27,0.27,0.26,0.24,0.25,0.24,0.25,0.23,0.22,0.21,0.21,0.11,0.09,0.17,0.18,0.13,0.1,0.1,0.1,0.09,0.07,0.07,0.06,0.01,0.0,0.0,0.0,0.0,100.07
