,AAPL,MSFT,AMZN,FB,GOOGL,GOOG,TSLA,NVDA,V,UNH,HD,PYPL,MA,ADBE,NFLX,CRM,TMO,AVGO,COST,DHR,LIN,INTU,BA,BLK,AMT,ISRG,NOW,CHTR,SPGI,SQ,BKNG,ZTS,LRCX,TMUS,ZM,CI,UBER,EL,EQIX,ILMN,EW,SHW,ADSK,FISV,SNAP,TWLO,BSX,REGN,MCO,HUM,GPN,HCA,NXPI,IDXX,NOC,TWTR,DOCU,VRTX,DG,NEM,CRWD,ROP,ROKU,IQV,WDAY,LHX,ALGN,MSCI,CMG,VEEV,MTCH,LULU,PINS,CNC,SNPS,DXCM,ALXN,ORLY,CDNS,RMD,PANW,TDG,SBAC,ZBH,CTAS,MNST,FTNT,AZO,TTD,PTON,MTD,CSGP,ANSS,SIVB,OKTA,EPAM,ZBRA,CBRE,VRSK,LBRDK,CPRT,WST,GNRC,HUBS,ENPH,ETSY,DELL,ODFL,EXPE,RNG,SPLK,DDOG,DLTR,WORK,W,QRVO,ABNB,IT,MLM,TDOC,FLT,HZNP,EXAS,TTWO,CVNA,LNG,ALNY,ANET,COO,SGEN,TDY,COUP,MDB,ULTA,TFX,TYL,PAYC,Z,CRL,POOL,PODD,DPZ,AVTR,FANG,MKTX,TECH,NVR,ZEN,MKL,ON,SSNC,MPWR,LYFT,ZS,INCY,BMRN,PTC,MOH,GDDY,SNOW,XPO,FICO,SEDG,ABMD,BIO,AVLR,E-Mini Russ 1000 Gsep21 Xcme 20210917,FDS,VMW,MASI,LYV,FIVN,BKI,JKHY,FOXA,CHGG,Ssc Government Mm Gvmxx,NDSN,TREX,BILL,PLTR,DT,NCLH,GH,CABO,PFPT,AZPN,OLED,Y,ESTC,NBIX,PEN,SYNH,CIEN,WEX,BERY,SAM,ATH,CONE,HII,UKCM.L,USFD,ATUS,PLAN,LSXMK,RGLD,AMD,KKR,NET,HLT,DASH,MCK,URI,CZR,U,PKI,BKR,n/a,HAL,DKNG,RGEN,UPST,TXG,PLUG,FND,PATH,DECK,NVCR,RH,AXON,PCTY,FIVE,AFRM,SOFI,COIN,DNA,SUM
07/09/2021,11.56,11.01,7.92,4.47,3.97,3.86,2.76,2.69,2.13,2.03,1.81,1.8,1.73,1.49,1.25,1.21,1.06,1.01,0.93,0.92,0.8,0.72,0.68,0.67,0.65,0.58,0.57,0.53,0.53,0.5,0.48,0.48,0.47,0.45,0.44,0.43,0.4,0.39,0.38,0.36,0.35,0.35,0.35,0.34,0.34,0.33,0.33,0.32,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.27,0.27,0.27,0.26,0.26,0.26,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.21,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.09
07/12/2021,11.82,10.99,8.26,4.38,3.96,3.86,2.59,2.65,2.12,2.03,1.79,1.82,1.71,1.51,1.24,1.2,1.07,1.0,0.93,0.92,0.79,0.72,0.66,0.67,0.66,0.59,0.58,0.53,0.53,0.5,0.46,0.49,0.46,0.45,0.44,0.42,0.38,0.39,0.39,0.36,0.35,0.35,0.34,0.34,0.32,0.33,0.33,0.32,0.32,0.31,0.3,0.3,0.29,0.3,0.29,0.29,0.29,0.27,0.27,0.27,0.28,0.26,0.25,0.25,0.24,0.24,0.23,0.24,0.23,0.23,0.22,0.23,0.22,0.23,0.22,0.23,0.21,0.21,0.2,0.19,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.18,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.08,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.08,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.07,0.08,0.08,0.07,0.0,0.07,0.07,0.07,0.06,0.07,0.07,0.06,0.06,0.06,0.0,0.06,0.06,0.06,0.05,0.06,0.05,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.09,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.19000000000004
07/13/2021,11.82,10.99,8.26,4.38,3.96,3.86,2.59,2.65,2.12,2.03,1.79,1.82,1.71,1.51,1.24,1.2,1.07,1.0,0.93,0.92,0.79,0.72,0.66,0.67,0.66,0.59,0.58,0.53,0.53,0.5,0.46,0.49,0.46,0.45,0.44,0.42,0.38,0.39,0.39,0.36,0.35,0.35,0.34,0.34,0.32,0.33,0.33,0.32,0.32,0.31,0.3,0.3,0.29,0.3,0.29,0.29,0.29,0.27,0.27,0.27,0.28,0.26,0.25,0.25,0.24,0.24,0.23,0.24,0.23,0.23,0.22,0.23,0.22,0.23,0.22,0.23,0.21,0.21,0.2,0.19,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.18,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.08,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.08,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.07,0.08,0.08,0.07,0.0,0.07,0.07,0.07,0.06,0.07,0.07,0.06,0.06,0.06,0.0,0.06,0.06,0.06,0.05,0.06,0.05,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.09,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.19000000000004
07/14/2021,11.87,10.92,8.31,4.38,3.94,3.85,2.64,2.61,2.1,2.03,1.79,1.84,1.7,1.51,1.24,1.18,1.06,1.02,0.95,0.92,0.79,0.72,0.69,0.67,0.66,0.59,0.58,0.53,0.52,0.49,0.47,0.49,0.46,0.45,0.43,0.42,0.38,0.38,0.38,0.36,0.35,0.34,0.34,0.34,0.32,0.33,0.32,0.32,0.32,0.31,0.29,0.3,0.29,0.3,0.29,0.29,0.29,0.27,0.27,0.27,0.27,0.26,0.26,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.22,0.2,0.19,0.2,0.19,0.19,0.17,0.18,0.17,0.18,0.18,0.18,0.17,0.17,0.18,0.16,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.08,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.09,0.07,0.08,0.07,0.08,0.08,0.07,0.0,0.07,0.07,0.07,0.06,0.07,0.07,0.06,0.06,0.06,0.0,0.06,0.06,0.06,0.05,0.06,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.13
07/15/2021,11.87,10.92,8.31,4.38,3.94,3.85,2.64,2.61,2.1,2.03,1.79,1.84,1.7,1.51,1.24,1.18,1.06,1.02,0.95,0.92,0.79,0.72,0.69,0.67,0.66,0.59,0.58,0.53,0.52,0.49,0.47,0.49,0.46,0.45,0.43,0.42,0.38,0.38,0.38,0.36,0.35,0.34,0.34,0.34,0.32,0.33,0.32,0.32,0.32,0.31,0.29,0.3,0.29,0.3,0.29,0.29,0.29,0.27,0.27,0.27,0.27,0.26,0.26,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.22,0.2,0.19,0.2,0.19,0.19,0.17,0.18,0.17,0.18,0.18,0.18,0.17,0.17,0.18,0.16,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.08,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.09,0.07,0.08,0.07,0.08,0.08,0.07,0.0,0.07,0.07,0.07,0.06,0.07,0.07,0.06,0.06,0.06,0.0,0.06,0.06,0.06,0.05,0.06,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.13
07/16/2021,11.91,11.03,8.21,4.4,3.99,3.89,2.69,2.63,2.14,2.06,1.76,1.84,1.75,1.51,1.25,1.18,1.05,1.03,0.94,0.92,0.79,0.72,0.65,0.67,0.66,0.59,0.58,0.51,0.51,0.49,0.47,0.49,0.46,0.45,0.42,0.42,0.37,0.39,0.38,0.37,0.35,0.35,0.34,0.34,0.31,0.33,0.32,0.31,0.31,0.31,0.29,0.3,0.29,0.29,0.29,0.29,0.29,0.27,0.27,0.26,0.27,0.26,0.26,0.25,0.23,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.21,0.23,0.22,0.22,0.21,0.21,0.2,0.19,0.2,0.19,0.19,0.17,0.17,0.18,0.18,0.18,0.17,0.17,0.17,0.18,0.16,0.17,0.16,0.16,0.15,0.15,0.15,0.14,0.15,0.14,0.15,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.1,0.11,0.11,0.11,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.09,0.1,0.1,0.08,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.09,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.09,0.08,0.08,0.07,0.08,0.07,0.07,0.0,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.06,0.06,0.06,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.04,0.05,0.04,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.17
07/19/2021,12.2,11.09,8.16,4.32,4.0,3.92,2.63,2.48,2.2,2.08,1.8,1.83,1.79,1.52,1.26,1.15,1.06,1.02,0.95,0.93,0.8,0.72,0.64,0.65,0.67,0.59,0.58,0.51,0.52,0.48,0.47,0.5,0.46,0.46,0.4,0.42,0.36,0.4,0.39,0.35,0.35,0.35,0.34,0.35,0.3,0.31,0.31,0.32,0.32,0.32,0.3,0.3,0.28,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.26,0.27,0.25,0.25,0.23,0.24,0.23,0.24,0.23,0.23,0.23,0.23,0.2,0.22,0.22,0.22,0.21,0.22,0.2,0.19,0.2,0.18,0.19,0.17,0.17,0.18,0.18,0.18,0.16,0.16,0.18,0.18,0.16,0.17,0.16,0.16,0.15,0.15,0.16,0.14,0.15,0.14,0.14,0.13,0.12,0.12,0.12,0.13,0.12,0.11,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.12,0.1,0.11,0.11,0.1,0.1,0.11,0.1,0.11,0.11,0.1,0.1,0.11,0.09,0.09,0.1,0.09,0.1,0.1,0.09,0.1,0.1,0.09,0.1,0.1,0.08,0.09,0.09,0.09,0.08,0.09,0.08,0.09,0.09,0.07,0.09,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.08,0.07,0.07,0.08,0.07,0.0,0.07,0.06,0.07,0.06,0.06,0.06,0.07,0.06,0.06,0.0,0.06,0.06,0.06,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.2
07/20/2021,12.1,11.15,8.07,4.31,4.03,3.96,2.62,2.39,2.21,2.09,1.8,1.82,1.79,1.53,1.24,1.16,1.08,1.01,0.96,0.95,0.8,0.72,0.63,0.65,0.68,0.59,0.58,0.52,0.53,0.49,0.46,0.5,0.44,0.46,0.41,0.42,0.36,0.4,0.39,0.36,0.35,0.36,0.34,0.35,0.29,0.32,0.32,0.32,0.32,0.32,0.3,0.3,0.28,0.3,0.29,0.28,0.29,0.28,0.28,0.26,0.26,0.27,0.24,0.25,0.23,0.24,0.23,0.25,0.23,0.23,0.23,0.23,0.2,0.22,0.22,0.23,0.21,0.22,0.2,0.19,0.2,0.18,0.19,0.17,0.18,0.18,0.18,0.18,0.16,0.16,0.18,0.18,0.16,0.17,0.16,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.1,0.11,0.12,0.1,0.11,0.11,0.1,0.1,0.11,0.1,0.11,0.11,0.1,0.1,0.11,0.08,0.09,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.09,0.1,0.1,0.07,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0.07,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.06,0.08,0.08,0.07,0.0,0.07,0.06,0.07,0.06,0.06,0.07,0.07,0.06,0.06,0.0,0.06,0.06,0.06,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.23
07/21/2021,12.1,11.15,8.07,4.31,4.03,3.96,2.62,2.39,2.21,2.09,1.8,1.82,1.79,1.53,1.24,1.16,1.08,1.01,0.96,0.95,0.8,0.72,0.63,0.65,0.68,0.59,0.58,0.52,0.53,0.49,0.46,0.5,0.44,0.46,0.41,0.42,0.36,0.4,0.39,0.36,0.35,0.36,0.34,0.35,0.29,0.32,0.32,0.32,0.32,0.32,0.3,0.3,0.28,0.3,0.29,0.28,0.29,0.28,0.28,0.26,0.26,0.27,0.24,0.25,0.23,0.24,0.23,0.25,0.23,0.23,0.23,0.23,0.2,0.22,0.22,0.23,0.21,0.22,0.2,0.19,0.2,0.18,0.19,0.17,0.18,0.18,0.18,0.18,0.16,0.16,0.18,0.18,0.16,0.17,0.16,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.1,0.11,0.12,0.1,0.11,0.11,0.1,0.1,0.11,0.1,0.11,0.11,0.1,0.1,0.11,0.08,0.09,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.09,0.1,0.1,0.07,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0.07,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.06,0.08,0.08,0.07,0.0,0.07,0.06,0.07,0.06,0.06,0.07,0.07,0.06,0.06,0.0,0.06,0.06,0.06,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.23
07/22/2021,12.1,11.15,8.07,4.31,4.03,3.96,2.62,2.39,2.21,2.09,1.8,1.82,1.79,1.53,1.24,1.16,1.08,1.01,0.96,0.95,0.8,0.72,0.63,0.65,0.68,0.59,0.58,0.52,0.53,0.49,0.46,0.5,0.44,0.46,0.41,0.42,0.36,0.4,0.39,0.36,0.35,0.36,0.34,0.35,0.29,0.32,0.32,0.32,0.32,0.32,0.3,0.3,0.28,0.3,0.29,0.28,0.29,0.28,0.28,0.26,0.26,0.27,0.24,0.25,0.23,0.24,0.23,0.25,0.23,0.23,0.23,0.23,0.2,0.22,0.22,0.23,0.21,0.22,0.2,0.19,0.2,0.18,0.19,0.17,0.18,0.18,0.18,0.18,0.16,0.16,0.18,0.18,0.16,0.17,0.16,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.1,0.11,0.12,0.1,0.11,0.11,0.1,0.1,0.11,0.1,0.11,0.11,0.1,0.1,0.11,0.08,0.09,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.09,0.1,0.1,0.07,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0.07,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.06,0.08,0.08,0.07,0.0,0.07,0.06,0.07,0.06,0.06,0.07,0.07,0.06,0.06,0.0,0.06,0.06,0.06,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.23
