,TLT,n/a,FGXXX,SCHQ,HYG,HYLB,SUM
08/25/2021,69.96,29.93,0.1,0.0,0.0,0.0,99.98999999999998
08/26/2021,69.96,0.1,0.0,29.93,0.0,0.0,99.98999999999998
08/27/2021,69.93,29.96,0.1,0.0,0.0,0.0,99.99
08/30/2021,69.93,29.97,0.1,0.0,0.0,0.0,100.0
08/31/2021,69.93,29.97,0.1,0.0,0.0,0.0,100.0
09/01/2021,69.96,29.93,0.1,0.0,0.0,0.0,99.98999999999998
09/02/2021,69.96,29.93,0.1,0.0,0.0,0.0,99.98999999999998
09/03/2021,0.0,0.1,0.0,0.0,69.92,29.98,100.0
09/06/2021,0.0,29.95,0.11,0.0,69.94,0.0,100.0
09/07/2021,0.0,0.0,0.11,0.0,69.94,29.95,100.0
