,BAC,WFC,JPM,GS,MS,C,BRK.B,SCHW,AXP,USB,TFC,COF,PGR,UNH,MMC,MET,FIS,AIG,PRU,TRV,CI,ALL,AFL,XTSLA,BK,SPGI,TROW,ICE,CAT,ANTM,SIVB,STT,MCO,FITB,MA,AMP,CME,BX,CVS,DFS,AON,NTRS,ADP,HIG,HBAN,KEY,CFG,AJG,RF,SYF,KKR,CINF,PFG,FISV,GPN,ALLY,RJF,WLTW,MSCI,MKL,APO,VRSK,ACGL,LNC,WRB,MTB,EFX,NDAQ,EWBC,RE,BRO,EQH,FNF,FHN,ATH,CMA,GL,Y,AFG,ZION,PAYX,WY,VOYA,BR,CBSH,LPLA,MKTX,FFIN,PBCT,CFR,IP,PNFP,SNV,SLM,WAL,PB,AIZ,BPOP,L,FAF,BEN,CBOE,SF,RNR,THG,UNM,NYCB,NVR,SSB,MOH,STL,AMG,LYFT,FLT,CG,GBCI,MTG,PACW,USD,SEIC,OZK,RLI,ORI,WBS,CBU,WTFC,FCNCA,KMPR,IVZ,SIGI,UMBF,FNB,PRI,NLY,JEF,CIT,ESNT,CNC,VLY,BOH,RDN,UMPQ,CACC,WEX,HWC,HOMB,BKU,FHB,WTM,OMF,ASB,ISBC,CATY,KNSL,BHF,SSNC,WU,AXS,HE,SCI,SFBS,FULT,HTH,ONB,COLB,IBOC,FDS,VRT,EVR,WAFD,ARES,CVBF,FFBC,CNO,SFNC,AUB,NAVI,ERIE,WSFS,SC,INDB,AX,RNST,MORN,FMBI,V,FHI,FBP,TRUP,ESGR,IBKR,TW,BOKF,AGNC,FCF,HOG,WD,EEFT,APAM,WSBC,PFSI,GNW,FIBK,TCBI,MCY,WABC,127.HK,LKFN,AGO,NBTB,UCBI,BKI,GWB,VRTS,ANAT,HOPE,LOB,HLI,PRK,EGBN,PPBI,n/a,PIPR,PLMR,COOP,AVLR,BISXX,TBK,SASR,SUM
07/09/2021,4.99,4.76,4.52,3.12,3.06,2.89,2.63,2.31,2.22,2.18,2.09,1.79,1.54,1.51,1.35,1.22,1.17,1.15,1.15,1.07,1.05,1.01,0.97,0.97,0.95,0.94,0.89,0.84,0.84,0.83,0.82,0.79,0.78,0.77,0.76,0.75,0.75,0.74,0.74,0.71,0.67,0.65,0.65,0.63,0.6,0.6,0.57,0.57,0.56,0.55,0.52,0.52,0.5,0.49,0.49,0.46,0.44,0.43,0.39,0.37,0.37,0.36,0.35,0.34,0.32,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.27,0.25,0.24,0.24,0.23,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.08
07/12/2021,4.92,4.72,4.53,3.09,3.03,2.88,2.65,2.26,2.23,2.18,2.07,1.79,1.58,1.53,1.37,1.2,1.17,1.13,1.14,1.07,1.05,1.02,0.97,0.99,0.95,0.96,0.89,0.85,0.85,0.84,0.83,0.78,0.8,0.77,0.76,0.74,0.77,0.76,0.74,0.71,0.67,0.64,0.66,0.63,0.6,0.59,0.57,0.57,0.56,0.54,0.52,0.52,0.5,0.49,0.49,0.46,0.43,0.43,0.4,0.38,0.36,0.38,0.35,0.33,0.32,0.31,0.32,0.3,0.3,0.28,0.29,0.28,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.28,0.28,0.25,0.25,0.24,0.23,0.22,0.22,0.2,0.2,0.22,0.21,0.21,0.2,0.2,0.2,0.19,0.18,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.15,0.16,0.16,0.15,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.11,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.07,0.06,0.0,0.06,0.06,0.0,0.06,0.0,0.07,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.06
07/13/2021,4.92,4.72,4.53,3.09,3.03,2.88,2.65,2.26,2.23,2.18,2.07,1.79,1.58,1.53,1.37,1.2,1.17,1.13,1.14,1.07,1.05,1.02,0.97,0.99,0.95,0.96,0.89,0.85,0.85,0.84,0.83,0.78,0.8,0.77,0.76,0.74,0.77,0.76,0.74,0.71,0.67,0.64,0.66,0.63,0.6,0.59,0.57,0.57,0.56,0.54,0.52,0.52,0.5,0.49,0.49,0.46,0.43,0.43,0.4,0.38,0.36,0.38,0.35,0.33,0.32,0.31,0.32,0.3,0.3,0.28,0.29,0.28,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.28,0.28,0.25,0.25,0.24,0.23,0.22,0.22,0.2,0.2,0.22,0.21,0.21,0.2,0.2,0.2,0.19,0.18,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.15,0.16,0.16,0.15,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.11,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.07,0.06,0.0,0.06,0.06,0.0,0.06,0.0,0.07,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.06
07/14/2021,4.94,4.76,4.54,3.11,3.04,2.87,2.64,2.28,2.23,2.2,2.1,1.84,1.55,1.5,1.34,1.21,1.15,1.15,1.14,1.07,1.04,1.02,0.96,0.96,0.95,0.93,0.89,0.84,0.84,0.83,0.85,0.81,0.78,0.78,0.75,0.75,0.75,0.75,0.73,0.73,0.66,0.65,0.65,0.63,0.61,0.59,0.57,0.56,0.57,0.55,0.51,0.53,0.5,0.48,0.48,0.47,0.44,0.42,0.4,0.38,0.36,0.37,0.35,0.34,0.32,0.31,0.31,0.3,0.31,0.28,0.28,0.29,0.29,0.29,0.28,0.29,0.28,0.28,0.28,0.27,0.28,0.28,0.25,0.24,0.24,0.23,0.21,0.23,0.2,0.21,0.22,0.21,0.21,0.2,0.21,0.2,0.19,0.19,0.19,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.16,0.17,0.17,0.17,0.17,0.15,0.15,0.16,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.11,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.09,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.08,0.09,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.07,0.06,0.0,0.06,0.06,0.0,0.06,0.0,0.0,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.1
07/15/2021,4.94,4.76,4.54,3.11,3.04,2.87,2.64,2.28,2.23,2.2,2.1,1.84,1.55,1.5,1.34,1.21,1.15,1.15,1.14,1.07,1.04,1.02,0.96,0.96,0.95,0.93,0.89,0.84,0.84,0.83,0.85,0.81,0.78,0.78,0.75,0.75,0.75,0.75,0.73,0.73,0.66,0.65,0.65,0.63,0.61,0.59,0.57,0.56,0.57,0.55,0.51,0.53,0.5,0.48,0.48,0.47,0.44,0.42,0.4,0.38,0.36,0.37,0.35,0.34,0.32,0.31,0.31,0.3,0.31,0.28,0.28,0.29,0.29,0.29,0.28,0.29,0.28,0.28,0.28,0.27,0.28,0.28,0.25,0.24,0.24,0.23,0.21,0.23,0.2,0.21,0.22,0.21,0.21,0.2,0.21,0.2,0.19,0.19,0.19,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.16,0.17,0.17,0.17,0.17,0.15,0.15,0.16,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.11,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.09,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.08,0.09,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.07,0.06,0.0,0.06,0.06,0.0,0.06,0.0,0.0,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.1
07/16/2021,4.93,4.7,4.56,3.16,3.14,2.88,2.63,2.33,2.25,2.2,2.09,1.87,1.53,1.53,1.33,1.21,1.17,1.15,1.14,1.08,1.04,1.01,0.96,0.96,0.96,0.92,0.9,0.84,0.84,0.85,0.86,0.8,0.78,0.77,0.77,0.75,0.76,0.75,0.74,0.75,0.64,0.65,0.65,0.64,0.6,0.59,0.57,0.56,0.56,0.55,0.52,0.53,0.5,0.49,0.48,0.47,0.44,0.42,0.39,0.36,0.35,0.37,0.34,0.34,0.32,0.31,0.31,0.3,0.3,0.28,0.28,0.28,0.29,0.28,0.28,0.29,0.28,0.28,0.28,0.27,0.28,0.27,0.26,0.24,0.24,0.23,0.21,0.22,0.2,0.2,0.22,0.21,0.21,0.2,0.21,0.2,0.18,0.18,0.19,0.19,0.18,0.19,0.2,0.18,0.18,0.18,0.17,0.16,0.17,0.17,0.16,0.17,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.13,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.11,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.09,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.0,0.07,0.07,0.08,0.07,0.06,0.06,0.06,0.06,0.0,0.06,0.06,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.15
07/19/2021,4.8,4.88,4.54,3.13,3.12,2.88,2.63,2.29,2.24,2.27,2.13,1.83,1.48,1.53,1.33,1.2,1.18,1.18,1.14,1.09,1.04,1.0,0.97,0.96,0.93,0.92,0.89,0.83,0.82,0.85,0.86,0.79,0.78,0.78,0.78,0.75,0.76,0.77,0.74,0.74,0.64,0.64,0.66,0.65,0.61,0.59,0.57,0.56,0.56,0.54,0.51,0.53,0.5,0.49,0.49,0.47,0.44,0.41,0.4,0.37,0.35,0.38,0.34,0.34,0.32,0.31,0.31,0.3,0.3,0.28,0.28,0.28,0.29,0.28,0.28,0.29,0.28,0.28,0.28,0.27,0.28,0.27,0.26,0.25,0.24,0.22,0.21,0.22,0.2,0.2,0.21,0.21,0.21,0.2,0.21,0.2,0.19,0.18,0.19,0.19,0.18,0.19,0.19,0.18,0.18,0.17,0.17,0.15,0.17,0.18,0.16,0.17,0.14,0.16,0.15,0.15,0.14,0.14,0.16,0.15,0.15,0.15,0.15,0.15,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.11,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.08,0.09,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.0,0.08,0.07,0.07,0.07,0.0,0.0,0.06,0.06,0.0,0.06,0.06,0.0,0.06,0.06,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.14
07/20/2021,4.8,4.88,4.54,3.13,3.12,2.88,2.63,2.29,2.24,2.27,2.13,1.83,1.48,1.53,1.33,1.2,1.18,1.18,1.14,1.09,1.04,1.0,0.97,0.96,0.93,0.92,0.89,0.83,0.82,0.85,0.86,0.79,0.78,0.78,0.78,0.75,0.76,0.77,0.74,0.74,0.64,0.64,0.66,0.65,0.61,0.59,0.57,0.56,0.56,0.54,0.51,0.53,0.5,0.49,0.49,0.47,0.44,0.41,0.4,0.37,0.35,0.38,0.34,0.34,0.32,0.31,0.31,0.3,0.3,0.28,0.28,0.28,0.29,0.28,0.28,0.29,0.28,0.28,0.28,0.27,0.28,0.27,0.26,0.25,0.24,0.22,0.21,0.22,0.2,0.2,0.21,0.21,0.21,0.2,0.21,0.2,0.19,0.18,0.19,0.19,0.18,0.19,0.19,0.18,0.18,0.17,0.17,0.15,0.17,0.18,0.16,0.17,0.14,0.16,0.15,0.15,0.14,0.14,0.16,0.15,0.15,0.15,0.15,0.15,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.11,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.08,0.09,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.0,0.08,0.07,0.07,0.07,0.0,0.0,0.06,0.06,0.0,0.06,0.06,0.0,0.06,0.06,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.14
07/21/2021,4.75,4.87,4.5,3.1,3.11,2.85,2.65,2.26,2.24,2.24,2.1,1.83,1.52,1.55,1.35,1.2,1.2,1.16,1.14,1.11,1.05,1.01,0.97,0.98,0.96,0.94,0.9,0.84,0.82,0.85,0.84,0.82,0.8,0.76,0.79,0.75,0.76,0.78,0.75,0.73,0.65,0.64,0.67,0.66,0.6,0.58,0.55,0.57,0.55,0.54,0.51,0.53,0.5,0.5,0.5,0.47,0.43,0.42,0.4,0.38,0.34,0.39,0.35,0.33,0.33,0.31,0.32,0.31,0.3,0.29,0.29,0.28,0.3,0.27,0.27,0.29,0.28,0.28,0.29,0.26,0.28,0.27,0.26,0.25,0.24,0.22,0.22,0.22,0.2,0.2,0.21,0.21,0.21,0.2,0.21,0.2,0.19,0.18,0.19,0.19,0.18,0.19,0.19,0.19,0.18,0.17,0.17,0.16,0.17,0.18,0.16,0.17,0.14,0.16,0.15,0.15,0.14,0.14,0.0,0.15,0.15,0.16,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.08,0.09,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.08,0.07,0.08,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.16,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.23
07/22/2021,4.76,4.88,4.48,3.1,3.14,2.86,2.68,2.26,2.21,2.2,2.08,1.84,1.54,1.56,1.37,1.2,1.18,1.15,1.14,1.11,1.05,1.02,0.98,1.01,0.95,0.96,0.9,0.86,0.82,0.86,0.82,0.8,0.81,0.74,0.77,0.75,0.77,0.79,0.76,0.73,0.66,0.63,0.67,0.66,0.59,0.57,0.55,0.57,0.54,0.53,0.52,0.53,0.5,0.5,0.49,0.46,0.43,0.42,0.41,0.38,0.34,0.39,0.35,0.32,0.33,0.3,0.33,0.31,0.29,0.28,0.29,0.28,0.3,0.27,0.27,0.28,0.28,0.28,0.29,0.26,0.28,0.27,0.26,0.25,0.24,0.22,0.22,0.22,0.19,0.2,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.2,0.18,0.2,0.19,0.19,0.18,0.17,0.17,0.16,0.16,0.18,0.16,0.16,0.14,0.16,0.15,0.15,0.14,0.14,0.17,0.15,0.15,0.16,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.11,0.11,0.12,0.11,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.08,0.09,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.07,0.08,0.07,0.06,0.0,0.06,0.0,0.0,0.06,0.06,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.16
