,EXC,DUK,AEP,XEL,SO,PEG,SRE,PPL,ETR,NEE,ED,DTE,AEE,WEC,ES,AWK,FE,EIX,CNP,CMS,EVRG,AES,PNW,VST,LNT,D,UGI,ATO,Ssc Government Mm Gvmxx,NRG,NI,WTRG,OGE,BEPC,AGR,CWEN,CWEN.A,Us Dollar,DTM,7839989D1010,SUM
07/09/2021,6.1,5.99,5.95,5.2,4.66,4.37,4.08,4.02,3.8,3.76,3.71,3.61,3.28,3.12,3.03,2.96,2.82,2.56,2.53,2.43,2.31,2.06,1.9,1.9,1.86,1.85,1.78,1.44,1.43,1.2,1.18,0.96,0.96,0.48,0.43,0.2,0.08,0.0,0.0,0.0,100.0
10/04/2021,6.32,6.25,6.14,5.25,4.81,4.49,3.85,4.01,3.8,3.87,3.68,3.21,3.34,3.2,3.18,3.17,2.82,2.4,2.59,2.49,2.42,1.82,1.91,1.91,1.89,1.83,1.73,1.43,0.0,1.2,1.15,1.0,0.94,0.48,0.43,0.21,0.08,0.0,0.58,0.34,100.22
