,PFFD,HYLB,SRLN,EMLC,TLT,SDIV,AGG,CASH,Global X SuperDividend™ ETF,Cash,n/a,SUM
07/09/2021,20.18,20.09,19.92,14.53,10.55,9.66,5.02,0.04,0.0,0.0,0.0,99.99
07/12/2021,20.16,20.08,19.89,14.51,10.7,9.5,5.04,0.13,0.0,0.0,0.0,100.01
07/13/2021,20.16,20.08,19.89,14.51,10.7,9.5,5.04,0.13,0.0,0.0,0.0,100.01
07/14/2021,20.17,20.08,19.88,14.57,10.54,9.61,5.02,0.12,0.0,0.0,0.0,99.99
07/15/2021,20.19,20.07,19.9,14.55,10.52,9.64,5.02,0.12,0.0,0.0,0.0,100.01
07/16/2021,20.19,20.12,19.97,14.51,10.49,9.57,5.03,0.12,0.0,0.0,0.0,100.0
07/19/2021,20.12,20.06,19.87,14.56,10.69,9.54,5.04,0.12,0.0,0.0,0.0,100.0
07/20/2021,20.12,20.06,19.87,14.56,10.69,9.54,5.04,0.12,0.0,0.0,0.0,100.0
07/21/2021,20.11,20.05,19.87,14.6,10.68,9.52,5.04,0.12,0.0,0.0,0.0,99.99
07/22/2021,20.07,19.99,19.9,14.54,10.96,9.34,5.09,0.11,0.0,0.0,0.0,100.0
07/23/2021,20.12,20.05,19.88,14.54,10.83,9.38,5.07,0.11,0.0,0.0,0.0,99.98
07/26/2021,20.06,20.09,19.87,14.56,10.78,9.46,5.06,0.11,0.0,0.0,0.0,99.99
07/27/2021,20.06,20.09,19.87,14.56,10.78,9.46,5.06,0.11,0.0,0.0,0.0,99.99
07/28/2021,20.12,20.14,19.88,14.53,10.71,0.0,5.06,0.0,9.43,0.13,0.0,100.0
07/29/2021,20.13,20.14,19.89,14.56,10.7,9.41,5.06,0.1,0.0,0.0,0.0,99.99
07/30/2021,20.12,20.13,19.88,14.58,10.82,9.3,5.08,0.1,0.0,0.0,0.0,100.01
08/02/2021,20.16,20.13,19.82,14.69,10.73,9.31,5.06,0.1,0.0,0.0,0.0,100.0
08/03/2021,20.16,20.13,19.82,14.69,10.73,9.31,5.06,0.1,0.0,0.0,0.0,100.0
08/04/2021,20.26,20.12,19.83,14.63,10.78,9.21,5.07,0.1,0.0,0.0,0.0,100.0
08/05/2021,20.24,19.97,19.72,14.57,10.85,9.26,5.07,0.33,0.0,0.0,0.0,100.01
08/06/2021,20.31,20.02,19.75,14.63,10.88,9.28,5.08,0.06,0.0,0.0,0.0,100.01
08/09/2021,20.27,20.05,19.79,14.58,10.86,9.21,5.08,0.0,0.0,0.0,0.17,100.01
08/10/2021,20.27,20.05,19.79,14.58,10.86,9.21,5.08,0.0,0.0,0.0,0.17,100.01
08/11/2021,20.35,20.1,19.87,14.51,10.72,9.21,5.07,0.0,0.0,0.0,0.17,100.0
08/12/2021,20.27,20.11,19.94,14.49,10.71,9.25,5.07,0.0,0.0,0.0,0.16,100.0
08/13/2021,20.23,20.1,19.95,14.5,10.67,9.32,5.07,0.0,0.0,0.0,0.16,100.0
08/16/2021,20.26,20.1,19.9,14.52,10.61,9.38,5.06,0.0,0.0,0.0,0.16,99.99
08/18/2021,20.25,20.06,19.83,14.53,10.74,9.36,5.06,0.0,0.0,0.0,0.16,99.99
08/19/2021,20.25,20.07,19.84,14.5,10.77,9.34,5.07,0.0,0.0,0.0,0.16,100.0
08/20/2021,20.23,20.09,19.91,14.48,10.8,9.25,5.08,0.0,0.0,0.0,0.15,99.99000000000001
