,Us Dollars,ARX.TO,TOU.TO,LIF.TO,RIO.L,639.HK,FMG.AX,CPG.TO,BETS B.ST,MUV2.DE,TECK,558.SI,TYRES.HE,STG.CO,BHP.AX,ZURN.SW,EMG.L,1888.HK,SA.SW,AGS.BR,NN.AS,CTC.A.TO,135.HK,HCG.TO,9062.T,APAM.AS,6988.T,9101.T,HOLN.SW,CNQ.TO,WPP.L,FXPO.L,AV.L,9064.T,MTL.TO,BEN.AX,5857.T,5214.T,RUS.TO,CJR.B.TO,5110.T,MNDI.L,7202.T,148.HK,TATE.L,3107.T,PSN.L,NXI.PA,BOKA.AS,FLOW.AS,FNTN.DE,8002.T,FTT.TO,SAMPO.HE,RRTL.,8750.T,2121.T,TA.TO,2689.HK,CS.PA,MMT.PA,PD.TO,303.HK,1820.T,ANIM.MI,EVK.DE,4208.T,ASRNL.AS,EURN.BR,2314.HK,AGN.AS,17.HK,ENI.MI,YAR.OL,5302.T,CWB.TO,7186.T,SLA.L,551.HK,LGEN.L,REP.MC,GWO.TO,AD.AS,TELIA.ST,SLF.TO,DWS.DE,UPM.HE,TCL.A.TO,2914.T,SU.TO,QLT.L,US.MI,836.HK,BKG.L,WOR.AX,DLG.L,TEL.OL,UTDI.DE,AWC.AX,1313.HK,AGL.AX,CHG.BK,CHG.BK.1,CHG.BK.2,CHG.BK.3,CHG.BK.4,CHG.BK.5,CHG.BK.6,CHG.BK.7,SOLB.BR,ABDN.L,BKG,SECLEND,SUM
07/09/2021,2.7,2.08,1.85,1.61,1.59,1.56,1.5,1.46,1.43,1.42,1.32,1.29,1.29,1.27,1.27,1.25,1.23,1.23,1.16,1.16,1.15,1.12,1.1,1.09,1.07,1.07,1.06,1.06,1.04,1.04,1.04,1.03,1.02,1.01,1.01,1.0,1.0,1.0,0.99,0.99,0.99,0.99,0.99,0.98,0.98,0.98,0.96,0.96,0.95,0.95,0.94,0.93,0.93,0.93,0.93,0.92,0.91,0.91,0.91,0.91,0.9,0.89,0.88,0.88,0.88,0.88,0.87,0.86,0.84,0.84,0.84,0.84,0.83,0.81,0.8,0.8,0.8,0.79,0.78,0.78,0.75,0.75,0.74,0.74,0.73,0.73,0.73,0.68,0.68,0.68,0.68,0.67,0.66,0.66,0.63,0.63,0.62,0.57,0.47,0.43,0.37,0.04,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
10/04/2021,0.0,1.89,1.79,1.69,1.68,1.36,1.58,1.22,1.41,1.42,1.33,1.38,1.37,1.29,1.39,1.29,1.38,1.14,0.0,1.13,1.22,1.12,1.06,1.13,1.06,1.29,1.08,1.17,1.05,0.96,0.99,1.18,0.99,1.05,1.03,0.98,1.0,0.99,1.03,0.95,0.97,1.06,0.96,0.95,0.98,1.17,0.96,0.97,0.96,0.92,0.98,0.92,0.94,0.98,0.89,0.93,0.91,0.99,0.83,0.94,0.86,0.73,0.87,0.94,0.9,0.94,0.87,0.93,0.81,0.76,0.88,0.79,0.82,0.82,0.82,0.79,0.78,0.0,0.69,0.8,0.67,0.77,0.79,0.75,0.76,0.77,0.8,0.72,0.71,0.57,0.75,0.67,0.87,0.0,0.61,0.68,0.64,0.58,0.48,0.39,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23,0.84,0.7,0.0,98.16
