,OMCL,SAIA,GTLS,NEO,GME,POWI,MSTR,IIPR,EXPO,ENSG,BCPC,AEIS,TRUP,LPSN,VIAV,ALRM,SHAK,STMP,SPSC,EXLS,LGIH,WDFC,MTH,ONTO,VG,DIOD,MED,LCII,EPRT,RCII,KWR,MMSI,SFBS,FELE,LTHM,EGHT,WD,MXL,DORM,REGI,BMI,AMN,FORM,MATX,FIX,PRFT,IBP,SNBR,EVTC,WTS,JBT,MDRX,AAON,PCRX,PRLB,GDOT,VCEL,ROCK,IRBT,ADC,GKOS,FWRD,CELH,VSTO,FSS,AX,HSKA,CORT,VICR,RRC,SEM,ITRI,UFPI,COOP,SSTK,CNMD,UCTT,AVAV,HI,FN,AIT,DDD,MODV,CCOI,BIG,XNCR,BGS,SHEN,ROG,SWN,VRTS,CYH,ARNC,TTEC,NMIH,CBU,CCS,TTGT,AVNS,PRAA,UNF,COHU,KLIC,CWT,FUL,PLMR,OMI,TBK,AWR,MDC,AJRD,SPXC,MTDR,LMNX,PATK,SUPN,FLGT,MANT,UNIT,CVET,THRM,DIN,EAT,ACA,HIBB,EHTH,ALG,KFY,PLXS,BOOT,ESE,BSIG,SMPL,CYTK,SCL,JOE,XPER,PGTI,RGNX,AIN,PRGS,MLAB,ADUS,SHOO,ALGT,ITGR,LXP,FCPT,FBC,KTB,CTRE,AGYS,SAFE,WGO,CENTA,PIPR,RMBS,CVCO,TUP,JJSF,CHCT,JYNT,TRHC,PNTG,FIZZ,LNN,CPK,UNFI,BOOM,WWW,CEVA,SNEX,BRC,CVBF,HZO,FLOW,TCMD,LMAT,MD,VIVO,POLY,MRTN,MLI,IRT,RILY,RGR,MOG.A,OSIS,PSMT,BCEI,VGR,QNST,CASH,RAVN,CHRS,LZB,EPAY,PRK,OSPN,INVA,CSII,ASTE,IOSP,CAKE,MYRG,STATE STREET INSTITUTIONAL LIQ STATE STR,INDB,COLL,CALM,ACLS,AMEH,USPH,CRVL,MSEX,COKE,CBB,ILPT,NXRT,BLFS,LGND,SLQT,CSR,n/a,TBBK,OPRX,SUM
07/09/2021,1.35,1.14,1.1,1.09,1.08,1.04,1.02,1.0,0.97,0.94,0.88,0.87,0.83,0.82,0.81,0.81,0.8,0.76,0.76,0.74,0.74,0.73,0.72,0.71,0.71,0.69,0.69,0.68,0.67,0.65,0.65,0.64,0.63,0.63,0.63,0.63,0.61,0.61,0.61,0.61,0.6,0.6,0.58,0.58,0.57,0.56,0.55,0.55,0.54,0.54,0.54,0.53,0.53,0.52,0.52,0.52,0.52,0.52,0.51,0.5,0.5,0.5,0.5,0.49,0.49,0.48,0.48,0.48,0.47,0.47,0.47,0.47,0.47,0.47,0.46,0.46,0.46,0.46,0.45,0.44,0.43,0.43,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.4,0.39,0.38,0.38,0.38,0.38,0.37,0.36,0.36,0.35,0.35,0.35,0.35,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.97
07/12/2021,1.37,1.12,1.11,1.11,1.05,1.03,1.01,0.99,0.98,0.95,0.89,0.86,0.8,0.82,0.81,0.81,0.8,0.76,0.75,0.76,0.75,0.76,0.72,0.7,0.7,0.67,0.69,0.68,0.67,0.64,0.65,0.66,0.64,0.64,0.62,0.62,0.6,0.59,0.62,0.61,0.61,0.6,0.57,0.57,0.58,0.57,0.54,0.54,0.55,0.54,0.54,0.53,0.54,0.52,0.53,0.52,0.53,0.51,0.52,0.51,0.48,0.51,0.49,0.49,0.49,0.48,0.48,0.48,0.47,0.51,0.47,0.46,0.48,0.48,0.47,0.47,0.45,0.46,0.46,0.44,0.43,0.42,0.43,0.42,0.41,0.41,0.42,0.37,0.41,0.41,0.4,0.41,0.4,0.39,0.38,0.38,0.38,0.37,0.37,0.36,0.36,0.36,0.32,0.36,0.35,0.34,0.35,0.34,0.34,0.33,0.34,0.34,0.34,0.34,0.33,0.32,0.32,0.34,0.33,0.32,0.31,0.3,0.31,0.3,0.32,0.31,0.3,0.3,0.3,0.29,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.27,0.28,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.22,0.23,0.22,0.23,0.23,0.23,0.24,0.23,0.21,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.22,0.21,0.21,0.21,0.21,0.21,0.22,0.2,0.2,0.18,0.2,0.19,0.19,0.18,0.19,0.19,0.19,0.19,0.18,0.19,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.02000000000001
07/13/2021,1.37,1.12,1.11,1.11,1.05,1.03,1.01,0.99,0.98,0.95,0.89,0.86,0.8,0.82,0.81,0.81,0.8,0.76,0.75,0.76,0.75,0.76,0.72,0.7,0.7,0.67,0.69,0.68,0.67,0.64,0.65,0.66,0.64,0.64,0.62,0.62,0.6,0.59,0.62,0.61,0.61,0.6,0.57,0.57,0.58,0.57,0.54,0.54,0.55,0.54,0.54,0.53,0.54,0.52,0.53,0.52,0.53,0.51,0.52,0.51,0.48,0.51,0.49,0.49,0.49,0.48,0.48,0.48,0.47,0.51,0.47,0.46,0.48,0.48,0.47,0.47,0.45,0.46,0.46,0.44,0.43,0.42,0.43,0.42,0.41,0.41,0.42,0.37,0.41,0.41,0.4,0.41,0.4,0.39,0.38,0.38,0.38,0.37,0.37,0.36,0.36,0.36,0.32,0.36,0.35,0.34,0.35,0.34,0.34,0.33,0.34,0.34,0.34,0.34,0.33,0.32,0.32,0.34,0.33,0.32,0.31,0.3,0.31,0.3,0.32,0.31,0.3,0.3,0.3,0.29,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.27,0.28,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.22,0.23,0.22,0.23,0.23,0.23,0.24,0.23,0.21,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.22,0.21,0.21,0.21,0.21,0.21,0.22,0.2,0.2,0.18,0.2,0.19,0.19,0.18,0.19,0.19,0.19,0.19,0.18,0.19,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.02000000000001
07/14/2021,1.34,1.12,1.12,1.09,1.02,1.02,1.0,1.0,0.96,0.93,0.87,0.84,0.78,0.81,0.8,0.81,0.79,1.22,0.74,0.74,0.74,0.72,0.72,0.7,0.69,0.66,0.68,0.69,0.67,0.65,0.65,0.64,0.65,0.64,0.65,0.61,0.61,0.6,0.61,0.63,0.6,0.6,0.56,0.61,0.58,0.56,0.54,0.54,0.54,0.54,0.54,0.52,0.53,0.51,0.53,0.52,0.51,0.51,0.53,0.51,0.46,0.5,0.48,0.49,0.5,0.49,0.48,0.47,0.47,0.51,0.46,0.46,0.48,0.48,0.47,0.45,0.46,0.46,0.46,0.44,0.44,0.41,0.43,0.42,0.42,0.41,0.42,0.36,0.4,0.41,0.4,0.41,0.41,0.38,0.38,0.38,0.38,0.37,0.36,0.35,0.36,0.36,0.33,0.35,0.35,0.33,0.36,0.35,0.34,0.33,0.33,0.34,0.34,0.33,0.33,0.31,0.32,0.33,0.33,0.32,0.31,0.3,0.31,0.3,0.32,0.31,0.3,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.28,0.27,0.28,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.22,0.23,0.22,0.23,0.22,0.23,0.23,0.22,0.2,0.21,0.21,0.21,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.21,0.2,0.2,0.19,0.2,0.19,0.19,0.18,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.97
07/15/2021,1.36,1.12,1.12,1.1,1.01,1.02,0.94,1.02,0.96,0.95,0.88,0.85,0.76,0.8,0.79,0.8,0.78,1.21,0.72,0.74,0.74,0.73,0.72,0.71,0.69,0.67,0.68,0.69,0.68,0.65,0.65,0.64,0.65,0.65,0.69,0.6,0.61,0.6,0.62,0.63,0.6,0.61,0.57,0.59,0.58,0.57,0.54,0.54,0.54,0.54,0.54,0.53,0.52,0.51,0.51,0.52,0.51,0.52,0.51,0.51,0.46,0.5,0.48,0.5,0.5,0.49,0.5,0.47,0.47,0.5,0.46,0.46,0.48,0.48,0.47,0.46,0.47,0.45,0.46,0.44,0.44,0.37,0.43,0.42,0.4,0.4,0.41,0.36,0.41,0.4,0.41,0.41,0.41,0.38,0.38,0.38,0.38,0.36,0.36,0.35,0.35,0.36,0.33,0.35,0.35,0.33,0.36,0.34,0.34,0.33,0.32,0.35,0.34,0.33,0.34,0.31,0.31,0.33,0.33,0.33,0.31,0.31,0.32,0.3,0.32,0.31,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.28,0.28,0.28,0.27,0.28,0.27,0.28,0.27,0.28,0.27,0.26,0.26,0.25,0.26,0.25,0.26,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.23,0.22,0.23,0.24,0.22,0.21,0.21,0.22,0.22,0.21,0.22,0.22,0.21,0.21,0.21,0.21,0.22,0.21,0.21,0.21,0.2,0.2,0.18,0.19,0.19,0.2,0.18,0.19,0.19,0.18,0.19,0.18,0.19,0.18,0.19,0.18,0.0,0.18,0.18,0.18,0.0,0.0,0.0,0.18,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.99000000000001
07/16/2021,1.36,1.13,1.12,1.11,0.98,1.03,0.94,1.04,0.98,0.94,0.88,0.85,0.76,0.8,0.81,0.81,0.77,1.23,0.73,0.75,0.72,0.72,0.71,0.72,0.69,0.67,0.67,0.7,0.68,0.65,0.65,0.64,0.65,0.65,0.66,0.61,0.61,0.6,0.62,0.62,0.6,0.6,0.57,0.59,0.58,0.57,0.53,0.57,0.55,0.55,0.54,0.53,0.52,0.51,0.52,0.52,0.52,0.51,0.51,0.51,0.45,0.5,0.49,0.49,0.49,0.48,0.5,0.47,0.47,0.51,0.47,0.47,0.48,0.48,0.48,0.45,0.46,0.46,0.46,0.44,0.43,0.36,0.43,0.43,0.41,0.41,0.41,0.36,0.4,0.41,0.41,0.4,0.39,0.39,0.38,0.38,0.37,0.37,0.36,0.36,0.35,0.37,0.34,0.36,0.35,0.32,0.35,0.35,0.34,0.32,0.33,0.35,0.35,0.33,0.34,0.31,0.3,0.34,0.33,0.32,0.31,0.31,0.32,0.3,0.31,0.32,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.28,0.28,0.27,0.27,0.28,0.27,0.27,0.27,0.29,0.26,0.26,0.26,0.25,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.23,0.23,0.23,0.23,0.21,0.22,0.22,0.23,0.24,0.22,0.2,0.21,0.21,0.22,0.21,0.22,0.22,0.21,0.22,0.21,0.21,0.22,0.21,0.2,0.21,0.2,0.0,0.18,0.2,0.19,0.2,0.18,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.19,0.18,0.18,0.0,0.19,0.18,0.0,0.0,0.0,0.18,0.18,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0
07/19/2021,1.38,1.13,1.12,1.06,0.92,1.03,0.89,1.04,0.99,0.95,0.9,0.82,0.74,0.76,0.83,0.78,0.72,1.26,0.73,0.78,0.73,0.75,0.72,0.69,0.69,0.67,0.69,0.72,0.7,0.66,0.65,0.63,0.68,0.66,0.67,0.59,0.63,0.59,0.64,0.64,0.61,0.61,0.57,0.6,0.58,0.58,0.55,0.56,0.55,0.55,0.55,0.53,0.53,0.52,0.5,0.53,0.51,0.5,0.52,0.53,0.35,0.52,0.44,0.5,0.5,0.51,0.48,0.45,0.48,0.49,0.46,0.48,0.48,0.48,0.47,0.44,0.45,0.45,0.46,0.44,0.44,0.34,0.43,0.44,0.41,0.4,0.42,0.36,0.41,0.39,0.4,0.39,0.39,0.39,0.39,0.4,0.37,0.36,0.35,0.37,0.35,0.35,0.34,0.37,0.36,0.33,0.36,0.36,0.35,0.33,0.34,0.35,0.32,0.0,0.34,0.3,0.29,0.34,0.34,0.32,0.31,0.3,0.31,0.3,0.3,0.32,0.3,0.31,0.3,0.29,0.31,0.3,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.29,0.26,0.26,0.26,0.25,0.27,0.26,0.27,0.25,0.25,0.25,0.25,0.23,0.24,0.24,0.23,0.22,0.22,0.23,0.24,0.24,0.22,0.19,0.22,0.22,0.23,0.21,0.2,0.21,0.21,0.22,0.21,0.22,0.22,0.21,0.2,0.2,0.2,0.0,0.18,0.21,0.2,0.21,0.18,0.19,0.19,0.19,0.19,0.0,0.19,0.18,0.19,0.19,0.19,0.0,0.19,0.19,0.0,0.0,0.0,0.18,0.18,0.0,0.18,0.46,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.22
07/20/2021,1.4,1.11,1.13,1.1,0.95,1.02,0.87,1.07,1.01,0.96,0.91,0.79,0.76,0.76,0.82,0.78,0.72,1.27,0.74,0.78,0.73,0.74,0.72,0.67,0.7,0.67,0.67,0.72,0.7,0.66,0.65,0.64,0.67,0.66,0.61,0.59,0.64,0.58,0.64,0.66,0.6,0.61,0.57,0.61,0.57,0.59,0.54,0.57,0.55,0.55,0.56,0.53,0.53,0.52,0.51,0.54,0.5,0.5,0.52,0.54,0.36,0.51,0.43,0.49,0.5,0.51,0.51,0.45,0.48,0.47,0.46,0.45,0.47,0.48,0.48,0.45,0.43,0.45,0.47,0.44,0.44,0.32,0.43,0.44,0.4,0.41,0.42,0.37,0.41,0.38,0.4,0.39,0.39,0.39,0.39,0.39,0.37,0.36,0.36,0.37,0.36,0.34,0.33,0.39,0.36,0.34,0.37,0.35,0.37,0.33,0.34,0.35,0.32,0.0,0.35,0.3,0.29,0.35,0.35,0.31,0.32,0.3,0.3,0.29,0.3,0.32,0.3,0.3,0.3,0.29,0.31,0.3,0.3,0.29,0.29,0.27,0.28,0.28,0.27,0.27,0.27,0.29,0.27,0.26,0.25,0.25,0.27,0.26,0.26,0.25,0.25,0.24,0.25,0.23,0.24,0.23,0.23,0.22,0.21,0.23,0.25,0.24,0.22,0.19,0.22,0.22,0.23,0.2,0.2,0.21,0.2,0.22,0.21,0.22,0.21,0.21,0.2,0.2,0.2,0.0,0.18,0.2,0.2,0.21,0.0,0.18,0.19,0.19,0.19,0.0,0.19,0.19,0.19,0.19,0.19,0.0,0.19,0.19,0.0,0.18,0.0,0.18,0.18,0.0,0.18,0.0,0.18,0.18,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.91
07/21/2021,1.4,1.11,1.13,1.1,0.95,1.02,0.87,1.07,1.01,0.96,0.91,0.79,0.76,0.76,0.82,0.78,0.72,1.27,0.74,0.78,0.73,0.74,0.72,0.67,0.7,0.67,0.67,0.72,0.7,0.66,0.65,0.64,0.67,0.66,0.61,0.59,0.64,0.58,0.64,0.66,0.6,0.61,0.57,0.61,0.57,0.59,0.54,0.57,0.55,0.55,0.56,0.53,0.53,0.52,0.51,0.54,0.5,0.5,0.52,0.54,0.36,0.51,0.43,0.49,0.5,0.51,0.51,0.45,0.48,0.47,0.46,0.45,0.47,0.48,0.48,0.45,0.43,0.45,0.47,0.44,0.44,0.32,0.43,0.44,0.4,0.41,0.42,0.37,0.41,0.38,0.4,0.39,0.39,0.39,0.39,0.39,0.37,0.36,0.36,0.37,0.36,0.34,0.33,0.39,0.36,0.34,0.37,0.35,0.37,0.33,0.34,0.35,0.32,0.0,0.35,0.3,0.29,0.35,0.35,0.31,0.32,0.3,0.3,0.29,0.3,0.32,0.3,0.3,0.3,0.29,0.31,0.3,0.3,0.29,0.29,0.27,0.28,0.28,0.27,0.27,0.27,0.29,0.27,0.26,0.25,0.25,0.27,0.26,0.26,0.25,0.25,0.24,0.25,0.23,0.24,0.23,0.23,0.22,0.21,0.23,0.25,0.24,0.22,0.19,0.22,0.22,0.23,0.2,0.2,0.21,0.2,0.22,0.21,0.22,0.21,0.21,0.2,0.2,0.2,0.0,0.18,0.2,0.2,0.21,0.0,0.18,0.19,0.19,0.19,0.0,0.19,0.19,0.19,0.19,0.19,0.0,0.19,0.19,0.0,0.18,0.0,0.18,0.18,0.0,0.18,0.0,0.18,0.18,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.91
07/22/2021,1.4,1.11,1.13,1.1,0.95,1.02,0.87,1.07,1.01,0.96,0.91,0.79,0.76,0.76,0.82,0.78,0.72,1.27,0.74,0.78,0.73,0.74,0.72,0.67,0.7,0.67,0.67,0.72,0.7,0.66,0.65,0.64,0.67,0.66,0.61,0.59,0.64,0.58,0.64,0.66,0.6,0.61,0.57,0.61,0.57,0.59,0.54,0.57,0.55,0.55,0.56,0.53,0.53,0.52,0.51,0.54,0.5,0.5,0.52,0.54,0.36,0.51,0.43,0.49,0.5,0.51,0.51,0.45,0.48,0.47,0.46,0.45,0.47,0.48,0.48,0.45,0.43,0.45,0.47,0.44,0.44,0.32,0.43,0.44,0.4,0.41,0.42,0.37,0.41,0.38,0.4,0.39,0.39,0.39,0.39,0.39,0.37,0.36,0.36,0.37,0.36,0.34,0.33,0.39,0.36,0.34,0.37,0.35,0.37,0.33,0.34,0.35,0.32,0.0,0.35,0.3,0.29,0.35,0.35,0.31,0.32,0.3,0.3,0.29,0.3,0.32,0.3,0.3,0.3,0.29,0.31,0.3,0.3,0.29,0.29,0.27,0.28,0.28,0.27,0.27,0.27,0.29,0.27,0.26,0.25,0.25,0.27,0.26,0.26,0.25,0.25,0.24,0.25,0.23,0.24,0.23,0.23,0.22,0.21,0.23,0.25,0.24,0.22,0.19,0.22,0.22,0.23,0.2,0.2,0.21,0.2,0.22,0.21,0.22,0.21,0.21,0.2,0.2,0.2,0.0,0.18,0.2,0.2,0.21,0.0,0.18,0.19,0.19,0.19,0.0,0.19,0.19,0.19,0.19,0.19,0.0,0.19,0.19,0.0,0.18,0.0,0.18,0.18,0.0,0.18,0.0,0.18,0.18,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.91
