,TSLA,PG,KO,PEP,NKE,PM,MDLZ,MO,EL,GM,ATVI,CL,F,KMB,LULU,APTV,EA,STZ,GIS,MNST,SWK,PTON,ADM,DHI,LEN,VFC,KHC,HSY,CLX,MKC,TSN,CHD,KDP,TTWO,POOL,GPC,NVR,CAG,K,PHM,SJM,WHR,BF.B,HRL,HAS,LW,TPR,BWA,MHK,ZNGA,DECK,DAR,BG,TAP,NWL,LEA,CPB,SAM,USFD,GNTX,ALV,TPX,PVH,BC,PII,BYND,HOG,MAT,LEG,SKX,POST,TOL,PFGC,HBI,INGR,THO,RL,HELE,FLO,HLF,QS,CRI,XTSLA,LAZR,UAA,LANC,UA,RBLX,HAIN,USD,COLM,THS,ENR,COTY,LEVI,REYN,PLTK,LEN.B,FIZZ,PPC,SEB,SGAFT,IXRU1,FAU1,IXYU1,FAZ1,IXRZ1,CVS,SYY,WBA,MCK,CTVA,KR,ABC,CASY,FRPT,ACI,SPB,BF.A,GO,SUM
07/09/2021,15.44,10.11,6.35,6.26,6.2,4.67,2.66,2.62,2.25,2.23,2.23,2.11,1.73,1.38,1.34,1.29,1.24,1.18,1.11,1.02,1.01,1.01,1.01,0.91,0.84,0.8,0.78,0.78,0.69,0.67,0.65,0.64,0.62,0.61,0.57,0.56,0.54,0.52,0.49,0.43,0.43,0.41,0.41,0.41,0.37,0.35,0.35,0.35,0.34,0.34,0.33,0.33,0.33,0.3,0.3,0.29,0.28,0.26,0.25,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.17,0.17,0.14,0.14,0.14,0.14,0.14,0.13,0.12,0.12,0.11,0.11,0.1,0.09,0.09,0.08,0.08,0.07,0.07,0.05,0.05,0.04,0.03,0.03,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,15.37,10.25,6.42,6.33,6.26,4.69,2.7,2.63,2.22,2.19,2.19,2.13,1.68,1.4,1.35,1.25,1.23,1.17,1.11,1.02,1.01,1.02,1.01,0.89,0.83,0.79,0.78,0.79,0.69,0.66,0.65,0.65,0.62,0.6,0.57,0.56,0.53,0.53,0.49,0.43,0.43,0.42,0.41,0.41,0.38,0.36,0.34,0.34,0.35,0.33,0.33,0.33,0.33,0.3,0.31,0.28,0.28,0.27,0.24,0.24,0.23,0.22,0.22,0.23,0.23,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.17,0.16,0.14,0.14,0.13,0.14,0.1,0.12,0.12,0.12,0.11,0.11,0.1,0.02,0.09,0.08,0.08,0.08,0.07,0.05,0.05,0.04,0.03,0.03,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/13/2021,15.37,10.25,6.42,6.33,6.26,4.69,2.7,2.63,2.22,2.19,2.19,2.13,1.68,1.4,1.35,1.25,1.23,1.17,1.11,1.02,1.01,1.02,1.01,0.89,0.83,0.79,0.78,0.79,0.69,0.66,0.65,0.65,0.62,0.6,0.57,0.56,0.53,0.53,0.49,0.43,0.43,0.42,0.41,0.41,0.38,0.36,0.34,0.34,0.35,0.33,0.33,0.33,0.33,0.3,0.31,0.28,0.28,0.27,0.24,0.24,0.23,0.22,0.22,0.23,0.23,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.17,0.16,0.14,0.14,0.13,0.14,0.1,0.12,0.12,0.12,0.11,0.11,0.1,0.02,0.09,0.08,0.08,0.08,0.07,0.05,0.05,0.04,0.03,0.03,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/14/2021,15.35,10.17,6.41,6.26,6.22,4.7,2.68,2.66,2.24,2.27,2.18,2.11,1.72,1.38,1.36,1.28,1.22,1.17,1.1,1.01,1.02,0.96,1.02,0.89,0.83,0.81,0.79,0.78,0.68,0.66,0.66,0.65,0.62,0.6,0.58,0.57,0.53,0.53,0.49,0.43,0.43,0.43,0.41,0.41,0.38,0.36,0.35,0.35,0.35,0.32,0.33,0.33,0.33,0.3,0.31,0.29,0.28,0.28,0.25,0.24,0.23,0.22,0.23,0.23,0.24,0.21,0.21,0.21,0.21,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.17,0.16,0.14,0.14,0.13,0.14,0.16,0.12,0.12,0.12,0.11,0.11,0.1,0.0,0.09,0.08,0.08,0.08,0.07,0.05,0.05,0.04,0.03,0.03,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03000000000004
07/16/2021,15.63,10.17,6.48,6.41,6.25,4.62,2.69,2.63,2.26,2.27,2.2,2.12,1.71,1.37,1.33,1.29,1.24,1.16,1.09,1.03,1.01,0.98,1.0,0.86,0.8,0.8,0.77,0.78,0.67,0.65,0.64,0.64,0.62,0.61,0.57,0.56,0.5,0.49,0.48,0.41,0.43,0.42,0.4,0.4,0.38,0.35,0.35,0.35,0.35,0.33,0.33,0.33,0.33,0.3,0.3,0.28,0.28,0.27,0.24,0.24,0.23,0.22,0.23,0.23,0.23,0.21,0.21,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.16,0.14,0.14,0.12,0.14,0.1,0.12,0.12,0.12,0.11,0.11,0.1,0.03,0.09,0.08,0.07,0.07,0.07,0.05,0.05,0.04,0.03,0.03,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04000000000003
07/19/2021,15.21,10.34,6.64,6.51,6.25,4.7,2.73,2.67,2.3,2.21,2.14,2.15,1.67,1.39,1.35,1.26,1.24,1.15,1.11,1.05,1.01,0.91,1.0,0.87,0.81,0.78,0.78,0.8,0.68,0.66,0.64,0.64,0.63,0.59,0.56,0.57,0.5,0.5,0.49,0.41,0.44,0.42,0.4,0.41,0.37,0.35,0.34,0.34,0.34,0.32,0.32,0.33,0.33,0.29,0.31,0.28,0.28,0.26,0.24,0.24,0.23,0.22,0.22,0.23,0.23,0.2,0.2,0.21,0.2,0.2,0.19,0.18,0.19,0.19,0.18,0.18,0.16,0.16,0.14,0.14,0.12,0.13,0.12,0.11,0.11,0.12,0.11,0.1,0.1,0.01,0.09,0.08,0.07,0.07,0.07,0.05,0.05,0.04,0.03,0.03,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
07/20/2021,15.21,10.34,6.64,6.51,6.25,4.7,2.73,2.67,2.3,2.21,2.14,2.15,1.67,1.39,1.35,1.26,1.24,1.15,1.11,1.05,1.01,0.91,1.0,0.87,0.81,0.78,0.78,0.8,0.68,0.66,0.64,0.64,0.63,0.59,0.56,0.57,0.5,0.5,0.49,0.41,0.44,0.42,0.4,0.41,0.37,0.35,0.34,0.34,0.34,0.32,0.32,0.33,0.33,0.29,0.31,0.28,0.28,0.26,0.24,0.24,0.23,0.22,0.22,0.23,0.23,0.2,0.2,0.21,0.2,0.2,0.19,0.18,0.19,0.19,0.18,0.18,0.16,0.16,0.14,0.14,0.12,0.13,0.12,0.11,0.11,0.12,0.11,0.1,0.1,0.01,0.09,0.08,0.07,0.07,0.07,0.05,0.05,0.04,0.03,0.03,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
07/22/2021,15.27,10.54,6.63,6.6,6.17,4.68,2.76,2.65,2.25,2.12,2.15,2.18,1.6,1.44,1.35,1.22,1.24,1.15,1.14,1.05,0.99,0.98,0.98,0.87,0.81,0.74,0.78,0.81,0.72,0.68,0.64,0.66,0.63,0.6,0.56,0.56,0.5,0.52,0.5,0.41,0.45,0.41,0.4,0.42,0.36,0.33,0.32,0.33,0.32,0.32,0.32,0.32,0.32,0.29,0.3,0.27,0.29,0.27,0.22,0.23,0.22,0.21,0.21,0.22,0.23,0.19,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.15,0.16,0.15,0.14,0.12,0.13,0.13,0.11,0.11,0.12,0.1,0.1,0.1,0.0,0.09,0.08,0.07,0.07,0.07,0.05,0.05,0.04,0.03,0.03,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/23/2021,15.44,10.38,6.57,6.53,6.18,4.49,2.75,2.65,2.28,2.17,2.16,2.12,1.65,1.41,1.38,1.26,1.23,1.15,1.11,1.05,1.0,1.03,0.98,0.89,0.82,0.76,0.78,0.8,0.69,0.66,0.64,0.65,0.63,0.6,0.55,0.56,0.51,0.51,0.49,0.42,0.44,0.41,0.4,0.41,0.37,0.34,0.33,0.34,0.33,0.32,0.33,0.34,0.32,0.29,0.31,0.28,0.28,0.26,0.23,0.23,0.22,0.22,0.22,0.23,0.24,0.2,0.2,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.19,0.16,0.16,0.14,0.14,0.12,0.13,0.13,0.11,0.11,0.12,0.1,0.1,0.1,0.01,0.09,0.08,0.07,0.07,0.07,0.05,0.05,0.04,0.03,0.03,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
07/27/2021,15.23,10.27,6.67,6.53,6.35,4.61,2.73,2.65,2.31,2.16,2.14,2.11,1.66,1.39,1.43,1.27,1.24,1.15,1.09,1.05,0.99,0.98,0.98,0.9,0.84,0.79,0.77,0.79,0.68,0.64,0.63,0.64,0.63,0.6,0.55,0.56,0.52,0.5,0.48,0.42,0.43,0.41,0.4,0.4,0.36,0.33,0.34,0.34,0.33,0.32,0.34,0.34,0.32,0.29,0.31,0.28,0.27,0.27,0.23,0.23,0.22,0.22,0.22,0.23,0.23,0.19,0.19,0.21,0.19,0.21,0.19,0.19,0.18,0.19,0.18,0.19,0.16,0.16,0.14,0.14,0.12,0.13,0.13,0.11,0.12,0.12,0.1,0.1,0.1,0.07,0.09,0.08,0.07,0.07,0.07,0.05,0.05,0.04,0.03,0.03,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
