,688202.SS,Cash,688202.SS.1,688202.SS.2,688202.SS.3,Euro/Us Dollar Forward - Goldman Sachs,Euro/Us Dollar Forward - Ubs,Euro/Us Dollar Forward - Ubs - Cash Offset,Euro/Us Dollar Forward - Goldman Sachs - Cash Offset,SUM
07/09/2021,111.56,100.0,88.56,-88.56,-111.56,0.0,0.0,0.0,0.0,100.0
07/12/2021,0.0,100.0,0.0,0.0,0.0,111.56,88.56,-88.56,-111.56,100.0
07/13/2021,0.0,100.0,0.0,0.0,0.0,111.56,88.56,-88.56,-111.56,100.0
07/14/2021,0.0,100.0,0.0,0.0,0.0,111.56,88.56,-88.56,-111.56,100.0
07/15/2021,0.0,100.0,0.0,0.0,0.0,111.56,88.56,-88.56,-111.56,100.0
07/16/2021,0.0,100.0,0.0,0.0,0.0,111.56,88.56,-88.56,-111.56,100.0
07/19/2021,0.0,100.0,0.0,0.0,0.0,111.56,88.56,-88.56,-111.56,100.0
07/20/2021,0.0,100.0,0.0,0.0,0.0,111.56,88.56,-88.56,-111.56,100.0
07/21/2021,0.0,100.0,0.0,0.0,0.0,111.56,88.56,-88.56,-111.56,100.0
07/22/2021,0.0,100.0,0.0,0.0,0.0,111.56,88.56,-88.56,-111.56,100.0
07/23/2021,0.0,100.0,0.0,0.0,0.0,111.56,88.56,-88.56,-111.56,100.0
07/26/2021,0.0,100.0,0.0,0.0,0.0,111.56,88.56,-88.56,-111.56,100.0
07/27/2021,0.0,100.0,0.0,0.0,0.0,111.56,88.56,-88.56,-111.56,100.0
07/28/2021,0.0,100.0,0.0,0.0,0.0,111.56,88.56,-88.56,-111.56,100.0
07/29/2021,0.0,100.0,0.0,0.0,0.0,111.56,88.56,-88.56,-111.56,100.0
07/30/2021,0.0,100.0,0.0,0.0,0.0,111.56,88.56,-88.56,-111.56,100.0
