,2330.TW,700.HK,9988.HK,NESN.SW,005930.KS,ASML.AS,ROG.SW,MC.PA,NOVN.SW,7203.T,SHOP,AZN.L,ULVR.L,1299.HK,SAP.DE,NOVO B.CO,RY.TO,3690.HK,6758.T,CBA.AX,TD.TO,SIE.DE,HSBA.L,SAN.PA,TTE.PA,DGE.L,OR.PA,BHP.AX,6861.T,GSK.L,ALV.DE,CSL.AX,RIO.L,SU.PA,VALE3.SA,BP.L,NPN.JO,9984.T,BATS.L,RDSA.AS,RELIANCE.NS,ENB.TO,AI.PA,939.HK,ENEL.MI,AIR.PA,DAI.DE,BNS.TO,DTE.DE,BAS.DE,IBE.MC,INFY.NS,RYDBF,CNR.TO,ADS.DE,6098.T,NIO,BNP.PA,WBC.AX,8306.T,BAM.A.TO,7974.T,DPW.DE,388.HK,JD,BMO.TO,KER.PA,NAB.AX,RKT.L,BHP.L,8035.T,RITN.,000660.KS,2318.HK,ABBN.SW,ANZ.AX,6501.T,SAN.MC,DG.PA,4063.T,ZURN.SW,HDFC.NS,2269.HK,005935.KQ,UBSG.SW,LONN.SW,4502.T,ABI.BR,PDD,6954.T,6594.T,CP.TO,PRU.L,AAL.L,7741.T,ADYEN.AS,REL.L,BIDU,EL.PA,DSV.CO,2317.TW,7267.T,IFX.DE,XTSLA,INGA.AS,1810.HK,SAF.PA,6367.T,CS.PA,CM.TO,WES.AX,SIKA.SW,2454.TW,9433.T,035720.KS,INVE B.ST,LLOY.L,8316.T,VOD.L,VOW3.DE,GIVN.SW,BN.PA,GAZP.ME,6981.T,NG.L,ISP.MI,RMS.PA,ICICIBANK.NS,RI.PA,PRX.AS,BAYN.DE,TRP.TO,035420.KS,NTES,BARC.L,MQG.AX,VWS.CO,ATCO A.ST,CRH.L,STLA.MI,SBER.ME,TCS.NS,D05.SI,PHIA.AS,BBVA.MC,9983.T,GLEN.L,CNQ.TO,MUV2.DE,SU.TO,MFC.TO,8031.T,9434.T,1120.SR,ERIC B.ST,006400.KS,LKOH.ME,ITX.MC,CPG.L,8001.T,RIO.AX,8411.T,1180.SR,8058.T,VOLV B.ST,CLNX.MC,SGO.PA,NTR.TO,NDA SE.ST,AHT.L,3382.T,4568.T,6702.T,EXPN.L,LSEG.L,1398.HK,051910.KS,PGHN.SW,VNA.DE,ALC.SW,ABX.TO,WOW.AX,DSM.AS,ENI.MI,FLTR.L,CSU.TO,M4B.,DB1.DE,4503.T,BMW.DE,FERG.L,AMS.MC,CAP.PA,2413.T,4452.T,6273.T,DSY.PA,9432.T,ORSTED.CO,4911.T,DSYA.,LR.PA,ATD.B.TO,HEXA B.ST,HINDUNILVR.NS,FMG.AX,ASSA B.ST,HEIA.AS,NOKIA.HE,USD,9110.T,EUR,EVO.ST,GEBN.SW,GMAB.CO,FNV.TO,AD.AS,2010.SR,AMXL.MX,GBP,MRK.DE,669.HK,EOAN.DE,BAM,CFR.SW,2331.HK,8766.T,STM.PA,4543.T,4901.T,4661.T,6902.T,BAJFINANCE.NS,SUM
07/09/2021,1.63,1.3,1.27,1.11,1.07,0.9,0.83,0.67,0.62,0.59,0.54,0.49,0.48,0.47,0.46,0.45,0.44,0.42,0.41,0.41,0.39,0.37,0.36,0.36,0.35,0.35,0.34,0.33,0.32,0.31,0.31,0.29,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.040000000000006
07/12/2021,1.64,1.24,1.21,1.14,1.05,0.89,0.85,0.66,0.64,0.6,0.52,0.49,0.49,0.47,0.48,0.47,0.44,0.39,0.41,0.41,0.38,0.37,0.36,0.36,0.35,0.35,0.34,0.34,0.33,0.31,0.31,0.3,0.29,0.27,0.27,0.27,0.26,0.27,0.26,0.26,0.26,0.25,0.25,0.23,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.23,0.23,0.23,0.22,0.22,0.2,0.21,0.22,0.21,0.21,0.2,0.21,0.23,0.19,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.18,0.18,0.19,0.19,0.18,0.17,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.18,0.17,0.17,0.15,0.16,0.17,0.15,0.15,0.16,0.16,0.16,0.17,0.15,0.16,0.16,0.16,0.16,0.16,0.12,0.16,0.15,0.15,0.15,0.15,0.15,0.16,0.16,0.16,0.16,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.12,0.11,0.11,0.11,0.12,0.11,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.0,0.1,0.0,0.09,0.11,0.1,0.1,0.1,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.870000000000005
07/13/2021,1.64,1.24,1.21,1.14,1.05,0.89,0.85,0.66,0.64,0.6,0.52,0.49,0.49,0.47,0.48,0.47,0.44,0.39,0.41,0.41,0.38,0.37,0.36,0.36,0.35,0.35,0.34,0.34,0.33,0.31,0.31,0.3,0.29,0.27,0.27,0.27,0.26,0.27,0.26,0.26,0.26,0.25,0.25,0.23,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.23,0.23,0.23,0.22,0.22,0.2,0.21,0.22,0.21,0.21,0.2,0.21,0.23,0.19,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.18,0.18,0.19,0.19,0.18,0.17,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.18,0.17,0.17,0.15,0.16,0.17,0.15,0.15,0.16,0.16,0.16,0.17,0.15,0.16,0.16,0.16,0.16,0.16,0.12,0.16,0.15,0.15,0.15,0.15,0.15,0.16,0.16,0.16,0.16,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.12,0.11,0.11,0.11,0.12,0.11,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.0,0.1,0.0,0.09,0.11,0.1,0.1,0.1,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.870000000000005
07/14/2021,1.61,1.26,1.2,1.13,1.03,0.91,0.84,0.68,0.64,0.59,0.53,0.49,0.49,0.47,0.48,0.47,0.44,0.41,0.41,0.41,0.38,0.38,0.37,0.36,0.35,0.35,0.35,0.34,0.32,0.31,0.32,0.29,0.3,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.22,0.24,0.25,0.23,0.23,0.23,0.24,0.22,0.23,0.23,0.23,0.22,0.21,0.2,0.21,0.22,0.2,0.21,0.2,0.22,0.22,0.2,0.21,0.21,0.2,0.2,0.21,0.19,0.2,0.18,0.18,0.2,0.18,0.18,0.18,0.18,0.17,0.19,0.18,0.19,0.17,0.17,0.17,0.16,0.17,0.15,0.15,0.16,0.15,0.16,0.16,0.16,0.16,0.17,0.15,0.16,0.16,0.16,0.16,0.17,0.12,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.16,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.13,0.12,0.12,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.14,0.13,0.12,0.11,0.11,0.11,0.12,0.11,0.12,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.11,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.93000000000001
07/15/2021,1.61,1.26,1.2,1.13,1.03,0.91,0.84,0.68,0.64,0.59,0.53,0.49,0.49,0.47,0.48,0.47,0.44,0.41,0.41,0.41,0.38,0.38,0.37,0.36,0.35,0.35,0.35,0.34,0.32,0.31,0.32,0.29,0.3,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.22,0.24,0.25,0.23,0.23,0.23,0.24,0.22,0.23,0.23,0.23,0.22,0.21,0.2,0.21,0.22,0.2,0.21,0.2,0.22,0.22,0.2,0.21,0.21,0.2,0.2,0.21,0.19,0.2,0.18,0.18,0.2,0.18,0.18,0.18,0.18,0.17,0.19,0.18,0.19,0.17,0.17,0.17,0.16,0.17,0.15,0.15,0.16,0.15,0.16,0.16,0.16,0.16,0.17,0.15,0.16,0.16,0.16,0.16,0.17,0.12,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.16,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.13,0.12,0.12,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.14,0.13,0.12,0.11,0.11,0.11,0.12,0.11,0.12,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.11,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.93000000000001
07/16/2021,1.66,1.28,1.24,1.12,1.03,0.92,0.84,0.68,0.63,0.6,0.53,0.5,0.49,0.47,0.49,0.46,0.44,0.43,0.42,0.4,0.38,0.38,0.36,0.37,0.34,0.35,0.35,0.34,0.33,0.31,0.31,0.29,0.29,0.28,0.28,0.27,0.26,0.27,0.26,0.25,0.25,0.25,0.25,0.22,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.23,0.23,0.22,0.22,0.19,0.21,0.21,0.21,0.2,0.2,0.21,0.23,0.21,0.2,0.21,0.2,0.2,0.21,0.19,0.2,0.18,0.18,0.19,0.18,0.19,0.17,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.15,0.16,0.17,0.15,0.15,0.16,0.16,0.16,0.17,0.15,0.16,0.16,0.16,0.16,0.16,0.13,0.15,0.16,0.14,0.15,0.15,0.15,0.15,0.16,0.15,0.16,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.15,0.14,0.13,0.12,0.12,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.12,0.11,0.11,0.11,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.11,0.1,0.0,0.0,0.1,0.1,0.11,0.0,0.1,0.0,0.0,0.11,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.010000000000005
07/19/2021,1.67,1.29,1.26,1.12,1.03,0.93,0.84,0.68,0.63,0.6,0.51,0.47,0.48,0.46,0.48,0.47,0.45,0.42,0.41,0.41,0.38,0.37,0.36,0.36,0.34,0.35,0.35,0.35,0.32,0.31,0.31,0.29,0.3,0.28,0.28,0.26,0.28,0.27,0.26,0.25,0.25,0.25,0.26,0.22,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.23,0.22,0.23,0.22,0.22,0.19,0.21,0.21,0.2,0.21,0.19,0.21,0.23,0.21,0.2,0.21,0.2,0.19,0.21,0.19,0.2,0.18,0.18,0.19,0.18,0.17,0.18,0.17,0.17,0.18,0.18,0.19,0.17,0.17,0.17,0.17,0.16,0.15,0.15,0.17,0.15,0.15,0.16,0.15,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.13,0.16,0.15,0.14,0.15,0.15,0.16,0.15,0.16,0.16,0.16,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.13,0.15,0.14,0.14,0.15,0.15,0.14,0.15,0.14,0.14,0.15,0.15,0.13,0.12,0.12,0.13,0.13,0.12,0.13,0.12,0.12,0.13,0.13,0.13,0.14,0.13,0.12,0.11,0.11,0.11,0.12,0.11,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.1,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.11,0.1,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.11,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.07000000000001
07/20/2021,1.67,1.29,1.26,1.12,1.03,0.93,0.84,0.68,0.63,0.6,0.51,0.47,0.48,0.46,0.48,0.47,0.45,0.42,0.41,0.41,0.38,0.37,0.36,0.36,0.34,0.35,0.35,0.35,0.32,0.31,0.31,0.29,0.3,0.28,0.28,0.26,0.28,0.27,0.26,0.25,0.25,0.25,0.26,0.22,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.23,0.22,0.23,0.22,0.22,0.19,0.21,0.21,0.2,0.21,0.19,0.21,0.23,0.21,0.2,0.21,0.2,0.19,0.21,0.19,0.2,0.18,0.18,0.19,0.18,0.17,0.18,0.17,0.17,0.18,0.18,0.19,0.17,0.17,0.17,0.17,0.16,0.15,0.15,0.17,0.15,0.15,0.16,0.15,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.13,0.16,0.15,0.14,0.15,0.15,0.16,0.15,0.16,0.16,0.16,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.13,0.15,0.14,0.14,0.15,0.15,0.14,0.15,0.14,0.14,0.15,0.15,0.13,0.12,0.12,0.13,0.13,0.12,0.13,0.12,0.12,0.13,0.13,0.13,0.14,0.13,0.12,0.11,0.11,0.11,0.12,0.11,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.1,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.11,0.1,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.11,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.07000000000001
07/21/2021,1.63,1.32,1.28,1.13,1.05,0.92,0.85,0.67,0.63,0.6,0.51,0.47,0.49,0.47,0.49,0.47,0.44,0.43,0.41,0.4,0.38,0.37,0.35,0.37,0.34,0.35,0.35,0.35,0.32,0.31,0.31,0.29,0.29,0.27,0.28,0.25,0.28,0.27,0.27,0.25,0.26,0.25,0.26,0.23,0.24,0.24,0.23,0.23,0.24,0.23,0.22,0.23,0.22,0.23,0.22,0.22,0.19,0.21,0.21,0.21,0.2,0.2,0.21,0.24,0.21,0.2,0.21,0.2,0.2,0.2,0.19,0.2,0.18,0.19,0.19,0.18,0.18,0.17,0.17,0.18,0.19,0.19,0.19,0.17,0.17,0.17,0.17,0.16,0.15,0.15,0.17,0.15,0.15,0.16,0.15,0.16,0.17,0.15,0.16,0.16,0.16,0.16,0.16,0.14,0.15,0.17,0.14,0.15,0.15,0.16,0.15,0.16,0.16,0.16,0.14,0.15,0.14,0.14,0.13,0.14,0.14,0.13,0.13,0.14,0.14,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.16,0.15,0.12,0.12,0.11,0.13,0.13,0.12,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.12,0.12,0.1,0.11,0.11,0.12,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.1,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.11,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.06
07/22/2021,1.64,1.31,1.27,1.15,1.05,0.91,0.86,0.67,0.64,0.61,0.53,0.48,0.5,0.47,0.48,0.48,0.44,0.41,0.41,0.4,0.37,0.36,0.35,0.37,0.33,0.35,0.35,0.34,0.32,0.31,0.3,0.3,0.28,0.27,0.27,0.25,0.28,0.27,0.26,0.24,0.26,0.24,0.26,0.23,0.23,0.23,0.23,0.22,0.23,0.23,0.22,0.23,0.21,0.22,0.22,0.22,0.19,0.21,0.21,0.21,0.2,0.2,0.22,0.24,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.18,0.19,0.19,0.18,0.18,0.17,0.17,0.18,0.18,0.19,0.2,0.17,0.17,0.17,0.17,0.16,0.15,0.15,0.17,0.15,0.15,0.15,0.16,0.16,0.17,0.15,0.16,0.16,0.16,0.16,0.16,0.0,0.15,0.17,0.14,0.16,0.15,0.15,0.16,0.16,0.16,0.16,0.14,0.14,0.13,0.14,0.13,0.14,0.14,0.13,0.13,0.14,0.14,0.13,0.15,0.15,0.14,0.14,0.14,0.14,0.16,0.15,0.12,0.12,0.12,0.14,0.12,0.12,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.12,0.11,0.1,0.11,0.12,0.12,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.11,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.86
