,Cash,688202.SS,688202.SS.1,688202.SS.2,688202.SS.3,688202.SS.4,688202.SS.5,688202.SS.6,688202.SS.7,688202.SS.8,688202.SS.9,Dj U.S. Oil & Gas Index Swap Societe Generale - Cash Offset,Dj U.S. Oil & Gas Index Swap Goldman Sachs International - Cash Offset,Dj U.S. Oil & Gas Index Swap Bank Of America Na - Cash Offset,Dj U.S. Oil & Gas Index Swap Ubs Ag - Cash Offset,Dj U.S. Oil & Gas Index Swap Morgan Stanley & Co. International Plc - Cash,Dj U.S. Oil & Gas Index Swap Morgan Stanley & Co. International Plc,Dj U.S. Oil & Gas Index Swap Ubs Ag,Dj U.S. Oil & Gas Index Swap Bank Of America Na,Dj U.S. Oil & Gas Index Swap Goldman Sachs International,Dj U.S. Oil & Gas Index Swap Societe Generale,n/a,SUM
07/09/2021,100.0,39.05,32.26,20.07,4.33,4.11,-4.11,-4.33,-20.07,-32.26,-39.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.05,32.26,20.07,4.33,4.11,-4.11,-4.33,-20.07,-32.26,-39.05,0.0,100.0
07/13/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.05,32.26,20.07,4.33,4.11,-4.11,-4.33,-20.07,-32.26,-39.05,0.0,100.0
07/14/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.05,32.26,20.07,4.33,4.11,-4.11,-4.33,-20.07,-32.26,-39.05,0.0,100.0
07/15/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.05,32.26,20.07,4.33,4.11,-4.11,-4.33,-20.07,-32.26,-39.05,0.0,100.0
07/16/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.05,32.26,20.07,4.33,4.11,-4.11,-4.33,-20.07,-32.26,-39.05,0.0,100.0
07/19/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.05,32.26,20.07,4.33,4.11,-4.11,-4.33,-20.07,-32.26,-39.05,0.0,100.0
07/20/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.05,32.26,20.07,4.33,4.11,-4.11,-4.33,-20.07,-32.26,-39.05,0.0,100.0
07/21/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.05,32.26,20.07,4.33,4.11,-4.11,-4.33,-20.07,-32.26,-39.05,0.0,100.0
07/22/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.05,32.26,20.07,4.33,4.11,-4.11,-4.33,-20.07,-32.26,-39.05,0.0,100.0
07/23/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.05,32.26,20.07,4.33,4.11,-4.11,-4.33,-20.07,-32.26,-39.05,0.0,100.0
07/26/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.05,32.26,20.07,4.33,4.11,-4.11,-4.33,-20.07,-32.26,-39.05,0.0,100.0
07/27/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.05,32.26,20.07,4.33,4.11,-4.11,-4.33,-20.07,-32.26,-39.05,0.0,100.0
07/28/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.05,32.26,20.07,4.33,4.11,-4.11,-4.33,-20.07,-32.26,-39.05,0.0,100.0
07/29/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.05,32.26,20.07,4.33,4.11,-4.11,-4.33,-20.07,-32.26,-39.05,0.0,100.0
07/30/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.05,32.26,20.07,4.33,4.11,-4.11,-4.33,-20.07,-32.26,-39.05,0.0,100.0
08/02/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.05,32.26,20.07,4.33,4.11,-4.11,-4.33,-20.07,-32.26,-39.05,0.0,100.0
08/03/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.05,32.26,20.07,4.33,4.11,-4.11,-4.33,-20.07,-32.26,-39.05,0.0,100.0
08/04/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.05,32.26,20.07,4.33,4.11,-4.11,-4.33,-20.07,-32.26,-39.05,0.0,100.0
08/05/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.05,32.26,20.07,4.33,4.11,-4.11,-4.33,-20.07,-32.26,-39.05,0.0,100.0
08/06/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.38,23.66,39.59,6.48,2.86,-2.86,-6.48,-39.59,-23.66,-27.38,0.0,100.0
05/11/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
