,AMZN,MSFT,FB,AAPL,GOOGL,V,GOOG,MA,BABA,TSLA,SE,NFLX,UNH,SNAP,INTU,PYPL,CRM,ASML,ROST,ISRG,CI,FISV,SYK,ROP,NOW,GPN,LLY,FDX,State Street Instl US Govt MMkt Premier,FIS,WYNN,NKE,TDY,HCA,RACE.MI,ANTM,SPLK,VRTX,TSM,AMD,CTAS,MTCH,BKNG,LULU,SPGI,CMG,SPOT,NVDA,LVS,AZN,CMI,ZM,FTCH,HUM,BKI,LIN,TRU,BA,DKNG,PINS,SHOP,XP,CVNA,INCY,AVLR,DASH,ATVI,LUV,AVTR,NSC,APTV,WDAY,MSCI,PAYC,STNE,DDOG,GNRC,ZBRA,TW,CPNG,ARGX,ALGN,EFX,IACEUR,CLVT,WIX,CB,PLTK,COUP,ADBE,PH,RBLX,SNOW,ABNB,FTV,UNP,CNC,MRVL,WORK,AFRM,CRWD,Cash & Cash Equivalents,GVMXX,IAC/InterActiveCorp Ordinary Shares - New,SDA.AX,002810.KS,MKTX,DIDI,PATH,VMEO,Bright Health Group Inc,IAC,Cash,SQ,MDB,TTD,S,BHG,TOST,RIVN,EXPE,n/a,CDAY,PDD,PTON,MNDY,BILL,HCP,SUM
07/09/2021,9.86,8.15,4.55,4.46,3.34,2.87,2.75,2.66,2.62,2.58,2.29,2.1,1.87,1.86,1.73,1.64,1.49,1.37,1.37,1.32,1.29,1.29,1.27,1.19,1.15,1.11,1.07,1.05,1.02,1.0,0.96,0.93,0.88,0.86,0.86,0.82,0.82,0.8,0.78,0.78,0.74,0.73,0.72,0.7,0.68,0.62,0.62,0.6,0.53,0.53,0.5,0.5,0.48,0.47,0.46,0.45,0.45,0.42,0.4,0.39,0.39,0.39,0.38,0.38,0.36,0.36,0.34,0.33,0.33,0.32,0.3,0.3,0.29,0.28,0.28,0.27,0.26,0.25,0.25,0.22,0.2,0.18,0.17,0.16,0.16,0.15,0.14,0.14,0.12,0.11,0.1,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.03,0.02,-0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/12/2021,9.86,8.15,4.55,4.46,3.34,2.87,2.75,2.66,2.62,2.58,2.29,2.1,1.87,1.86,1.73,1.64,1.49,1.37,1.37,1.32,1.29,1.29,1.27,1.19,1.15,1.11,1.07,1.05,0.0,1.0,0.96,0.93,0.88,0.86,0.86,0.82,0.82,0.8,0.78,0.78,0.74,0.73,0.72,0.7,0.68,0.62,0.62,0.6,0.53,0.53,0.5,0.5,0.48,0.47,0.46,0.45,0.45,0.42,0.4,0.39,0.39,0.39,0.38,0.38,0.36,0.36,0.34,0.33,0.33,0.32,0.3,0.3,0.29,0.28,0.28,0.27,0.26,0.25,0.25,0.22,0.2,0.18,0.17,0.0,0.16,0.15,0.14,0.14,0.12,0.11,0.1,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.03,0.02,0.0,1.02,0.16,-0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/13/2021,9.86,8.15,4.55,4.46,3.34,2.87,2.75,2.66,2.62,2.58,2.29,2.1,1.87,1.86,1.73,1.64,1.49,1.37,1.37,1.32,1.29,1.29,1.27,1.19,1.15,1.11,1.07,1.05,0.0,1.0,0.96,0.93,0.88,0.86,0.86,0.82,0.82,0.8,0.78,0.78,0.74,0.73,0.72,0.7,0.68,0.62,0.62,0.6,0.53,0.53,0.5,0.5,0.48,0.47,0.46,0.45,0.45,0.42,0.4,0.39,0.39,0.39,0.38,0.38,0.36,0.36,0.34,0.33,0.33,0.32,0.3,0.3,0.29,0.28,0.28,0.27,0.26,0.25,0.25,0.22,0.2,0.18,0.17,0.0,0.16,0.15,0.14,0.14,0.12,0.11,0.1,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.03,0.02,0.0,1.02,0.16,-0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/14/2021,9.86,8.15,4.55,4.46,3.34,2.87,2.75,2.66,2.62,2.58,2.29,2.1,1.87,1.86,1.73,1.64,1.49,1.37,1.37,1.32,1.29,1.29,1.27,1.19,1.15,1.11,1.07,1.05,1.02,1.0,0.96,0.93,0.88,0.86,0.86,0.82,0.82,0.8,0.78,0.78,0.74,0.73,0.72,0.7,0.68,0.62,0.62,0.6,0.53,0.53,0.5,0.5,0.48,0.47,0.46,0.45,0.45,0.42,0.4,0.39,0.39,0.39,0.38,0.38,0.36,0.36,0.34,0.33,0.33,0.32,0.3,0.3,0.29,0.28,0.28,0.27,0.26,0.25,0.25,0.22,0.2,0.18,0.17,0.16,0.16,0.15,0.14,0.14,0.12,0.11,0.1,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.03,0.02,0.0,0.0,0.0,0.0,-0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/15/2021,9.86,8.15,4.55,4.46,3.34,2.87,2.75,2.66,2.62,2.58,2.29,2.1,1.87,1.86,1.73,1.64,1.49,1.37,1.37,1.32,1.29,1.29,1.27,1.19,1.15,1.11,1.07,1.05,0.0,1.0,0.96,0.93,0.88,0.86,0.86,0.82,0.82,0.8,0.78,0.78,0.74,0.73,0.72,0.7,0.68,0.62,0.62,0.6,0.53,0.53,0.5,0.5,0.48,0.47,0.46,0.45,0.45,0.42,0.4,0.39,0.39,0.39,0.38,0.38,0.36,0.36,0.34,0.33,0.33,0.32,0.3,0.3,0.29,0.28,0.28,0.27,0.26,0.25,0.25,0.22,0.2,0.18,0.17,0.0,0.16,0.15,0.14,0.14,0.12,0.11,0.1,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.03,0.02,0.0,1.02,0.16,-0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/16/2021,9.86,8.15,4.55,4.46,3.34,2.87,2.75,2.66,2.62,2.58,2.29,2.1,1.87,1.86,1.73,1.64,1.49,1.37,1.37,1.32,1.29,1.29,1.27,1.19,1.15,1.11,1.07,1.05,0.0,1.0,0.96,0.93,0.88,0.86,0.86,0.82,0.82,0.8,0.78,0.78,0.74,0.73,0.72,0.7,0.68,0.62,0.62,0.6,0.53,0.53,0.5,0.5,0.48,0.47,0.46,0.45,0.45,0.42,0.4,0.39,0.39,0.39,0.38,0.38,0.36,0.36,0.34,0.33,0.33,0.32,0.3,0.3,0.29,0.28,0.28,0.27,0.26,0.25,0.25,0.22,0.2,0.18,0.17,0.0,0.16,0.15,0.14,0.14,0.12,0.11,0.1,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.03,0.02,0.0,1.02,0.16,-0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/19/2021,9.86,8.15,4.55,4.46,3.34,2.87,2.75,2.66,2.62,2.58,2.29,2.1,1.87,1.86,1.73,1.64,1.49,1.37,1.37,1.32,1.29,1.29,1.27,1.19,1.15,1.11,1.07,1.05,0.0,1.0,0.96,0.93,0.88,0.86,0.86,0.82,0.82,0.8,0.78,0.78,0.74,0.73,0.72,0.7,0.68,0.62,0.62,0.6,0.53,0.53,0.5,0.5,0.48,0.47,0.46,0.45,0.45,0.42,0.4,0.39,0.39,0.39,0.38,0.38,0.36,0.36,0.34,0.33,0.33,0.32,0.3,0.3,0.29,0.28,0.28,0.27,0.26,0.25,0.25,0.22,0.2,0.18,0.17,0.0,0.16,0.15,0.14,0.14,0.12,0.11,0.1,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.03,0.02,0.0,1.02,0.16,-0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/20/2021,9.86,8.15,4.55,4.46,3.34,2.87,2.75,2.66,2.62,2.58,2.29,2.1,1.87,1.86,1.73,1.64,1.49,1.37,1.37,1.32,1.29,1.29,1.27,1.19,1.15,1.11,1.07,1.05,0.0,1.0,0.96,0.93,0.88,0.86,0.86,0.82,0.82,0.8,0.78,0.78,0.74,0.73,0.72,0.7,0.68,0.62,0.62,0.6,0.53,0.53,0.5,0.5,0.48,0.47,0.46,0.45,0.45,0.42,0.4,0.39,0.39,0.39,0.38,0.38,0.36,0.36,0.34,0.33,0.33,0.32,0.3,0.3,0.29,0.28,0.28,0.27,0.26,0.25,0.25,0.22,0.2,0.18,0.17,0.0,0.16,0.15,0.14,0.14,0.12,0.11,0.1,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.03,0.02,0.0,1.02,0.16,-0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/21/2021,9.86,8.15,4.55,4.46,3.34,2.87,2.75,2.66,2.62,2.58,2.29,2.1,1.87,1.86,1.73,1.64,1.49,1.37,1.37,1.32,1.29,1.29,1.27,1.19,1.15,1.11,1.07,1.05,0.0,1.0,0.96,0.93,0.88,0.86,0.86,0.82,0.82,0.8,0.78,0.78,0.74,0.73,0.72,0.7,0.68,0.62,0.62,0.6,0.53,0.53,0.5,0.5,0.48,0.47,0.46,0.45,0.45,0.42,0.4,0.39,0.39,0.39,0.38,0.38,0.36,0.36,0.34,0.33,0.33,0.32,0.3,0.3,0.29,0.28,0.28,0.27,0.26,0.25,0.25,0.22,0.2,0.18,0.17,0.0,0.16,0.15,0.14,0.14,0.12,0.11,0.1,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.03,0.02,0.0,1.02,0.16,-0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/22/2021,10.12,8.79,5.66,4.9,3.72,2.86,3.76,2.41,1.7,2.35,2.44,1.82,0.67,2.11,1.98,1.66,1.19,1.39,1.43,1.4,0.5,0.94,1.17,1.28,1.08,0.83,1.28,0.98,0.0,0.83,0.76,0.69,0.83,0.8,0.76,0.51,0.72,0.77,0.75,0.74,0.67,0.72,0.62,0.75,0.69,0.66,0.51,0.66,0.45,0.61,0.42,0.91,0.54,0.37,0.51,0.34,0.59,0.71,0.35,0.58,0.52,0.38,0.43,0.29,0.39,0.46,0.34,0.26,0.38,0.24,0.27,0.3,0.23,0.24,0.29,0.37,0.42,0.25,0.25,0.29,0.19,0.16,0.12,0.0,0.21,0.04,0.04,0.09,0.15,0.0,0.0,0.13,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,1.13,0.0,0.48,0.0,0.18,0.16,0.15,0.1,0.08,0.07,-0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
