,PAAS.TO,HL,SSRM,FR.TO,NEM,PE&OLES.MX,MAG.TO,CDE,ELD.TO,FVI.TO,5857.T,SIL.TO,NGD.TO,WPM.TO,EDR.TO,SVM.TO,SEA.TO,DPM.TO,HOC.L,AEM.TO,LUG.TO,VGCX.TO,OLA,K.TO,SOLG.L,POLY.L,YRI.TO,HAR.JO,BVN.,CAD,XTSLA,JPY,WFFUT,GBP,MXN,ZAR,AUD,CNH,PTU1,USD,OLA.TO,VGCX,PTZ1,SUM
07/09/2021,14.03,9.18,7.54,7.1,5.26,4.89,4.7,4.26,4.03,3.95,3.88,3.12,3.01,2.68,2.56,2.52,2.5,2.45,2.02,2.01,1.6,1.31,1.15,1.08,0.89,0.74,0.64,0.4,0.35,0.11,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,14.1,8.95,7.69,6.9,5.35,5.07,4.65,4.16,3.99,3.88,4.0,3.05,2.99,2.71,2.49,2.51,2.53,2.48,2.06,2.04,1.61,1.34,1.14,1.07,0.94,0.77,0.63,0.4,0.36,0.11,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/13/2021,14.1,8.95,7.69,6.9,5.35,5.07,4.65,4.16,3.99,3.88,4.0,3.05,2.99,2.71,2.49,2.51,2.53,2.48,2.06,2.04,1.61,1.34,1.14,1.07,0.94,0.77,0.63,0.4,0.36,0.11,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/14/2021,14.21,9.04,7.69,6.86,5.33,4.95,4.69,4.2,3.99,3.9,3.85,3.06,3.02,2.69,2.55,2.5,2.51,2.5,2.05,2.02,1.59,1.36,1.16,1.06,0.92,0.75,0.63,0.39,0.35,0.11,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/15/2021,14.21,9.04,7.69,6.86,5.33,4.95,4.69,4.2,3.99,3.9,3.85,3.06,3.02,2.69,2.55,2.5,2.51,2.5,2.05,2.02,1.59,1.36,1.16,1.06,0.92,0.75,0.63,0.39,0.35,0.11,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/16/2021,14.31,9.03,7.85,6.66,5.34,4.95,4.68,4.11,3.98,3.82,4.05,3.0,2.97,2.74,2.48,2.46,2.51,2.56,2.05,2.06,1.62,1.32,1.1,1.07,0.97,0.77,0.63,0.42,0.34,0.11,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,99.99
07/19/2021,14.37,8.99,7.99,6.61,5.31,5.0,4.62,4.02,4.03,3.82,3.99,2.95,3.01,2.79,2.4,2.41,2.55,2.53,2.03,2.08,1.63,1.35,1.11,1.1,0.92,0.77,0.66,0.42,0.36,0.11,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,99.96000000000002
07/20/2021,14.37,8.99,7.99,6.61,5.31,5.0,4.62,4.02,4.03,3.82,3.99,2.95,3.01,2.79,2.4,2.41,2.55,2.53,2.03,2.08,1.63,1.35,1.11,1.1,0.92,0.77,0.66,0.42,0.36,0.11,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,99.96000000000002
07/22/2021,14.28,8.88,8.07,6.41,5.53,5.25,4.37,3.93,4.03,3.69,4.27,2.85,2.94,2.85,2.27,2.39,2.64,2.56,2.11,2.18,1.62,1.31,1.07,1.12,0.93,0.82,0.67,0.45,0.37,0.11,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,100.01
07/23/2021,14.36,8.95,8.09,6.45,5.53,5.22,4.36,3.91,4.07,3.49,4.16,2.9,2.97,2.89,2.29,2.36,2.64,2.56,2.01,2.2,1.66,1.35,1.11,1.12,0.88,0.81,0.68,0.46,0.38,0.12,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,100.02
07/27/2021,14.39,8.98,7.93,6.52,5.37,5.25,4.44,3.94,4.05,3.5,4.02,3.09,2.94,2.86,2.33,2.38,2.67,2.54,2.05,2.13,1.68,1.35,1.15,1.1,0.94,0.78,0.66,0.44,0.37,0.12,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,100.01000000000002
07/30/2021,14.41,8.72,7.99,6.52,5.46,5.23,4.49,3.9,4.07,3.52,4.07,3.15,2.79,2.88,2.3,2.39,2.68,2.56,2.02,2.16,1.71,1.38,1.14,1.11,0.95,0.77,0.67,0.44,0.38,0.11,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,100.01000000000002
08/03/2021,14.4,8.69,7.97,6.6,5.37,5.15,4.58,3.81,3.88,3.59,3.89,3.23,2.88,2.88,2.37,2.37,2.67,2.54,2.02,2.19,1.8,1.39,1.25,1.13,0.95,0.77,0.69,0.44,0.35,0.1,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/04/2021,14.4,8.69,7.97,6.6,5.37,5.15,4.58,3.81,3.88,3.59,3.89,3.23,2.88,2.88,2.37,2.37,2.67,2.54,2.02,2.19,1.8,1.39,1.25,1.13,0.95,0.77,0.69,0.44,0.35,0.1,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/05/2021,14.4,8.69,7.97,6.6,5.37,5.15,4.58,3.81,3.88,3.59,3.89,3.23,2.88,2.88,2.37,2.37,2.67,2.54,2.02,2.19,1.8,1.39,1.25,1.13,0.95,0.77,0.69,0.44,0.35,0.1,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/06/2021,14.34,8.62,8.03,6.59,5.37,5.16,4.58,3.73,3.82,3.56,3.96,3.25,2.94,2.89,2.37,2.34,2.69,2.65,2.06,2.17,1.78,1.36,1.17,1.13,1.04,0.77,0.7,0.45,0.35,0.1,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/10/2021,14.31,8.41,8.45,6.59,5.34,5.43,4.65,3.67,3.83,3.52,4.02,3.24,2.86,2.88,2.28,2.33,2.71,2.66,2.06,2.13,1.76,1.3,1.14,1.11,0.92,0.78,0.72,0.42,0.34,0.11,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/11/2021,14.31,8.41,8.45,6.59,5.34,5.43,4.65,3.67,3.83,3.52,4.02,3.24,2.86,2.88,2.28,2.33,2.71,2.66,2.06,2.13,1.76,1.3,1.14,1.11,0.92,0.78,0.72,0.42,0.34,0.11,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/13/2021,14.12,8.52,8.31,6.62,5.42,5.5,4.72,3.7,3.83,3.5,4.12,3.18,2.79,2.9,2.17,2.25,2.69,2.75,2.1,2.14,1.85,1.28,1.11,1.11,0.96,0.79,0.7,0.4,0.33,0.11,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
08/16/2021,14.5,8.48,8.38,6.57,5.43,5.39,4.62,3.76,3.81,3.45,4.18,3.15,2.42,2.92,2.18,2.24,2.7,2.76,2.11,2.13,1.96,1.22,1.19,1.11,0.97,0.79,0.71,0.4,0.33,0.07,0.02,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,100.0
08/17/2021,14.51,8.48,8.52,6.57,5.36,5.3,4.71,3.74,3.82,3.53,4.12,3.2,2.3,2.95,2.16,2.22,2.71,2.76,2.09,2.13,1.94,1.21,1.19,1.12,0.95,0.79,0.72,0.41,0.33,0.06,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,100.01
08/19/2021,14.32,8.47,8.58,6.56,5.43,5.44,4.67,3.68,3.79,3.43,4.14,3.14,2.24,2.98,2.17,2.16,2.83,2.77,2.13,2.15,1.96,1.23,1.2,1.12,0.98,0.79,0.73,0.42,0.34,0.06,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,100.01000000000002
08/20/2021,14.36,8.4,8.65,6.41,5.54,5.54,4.56,3.68,3.83,3.41,4.17,3.11,2.12,3.02,2.13,2.13,2.84,2.75,2.16,2.17,2.0,1.22,1.2,1.13,0.99,0.81,0.74,0.44,0.34,0.09,0.03,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,100.02000000000002
