,JPM,BRK.B,BAC,WFC,C,BLK,MS,GS,AXP,SCHW,SPGI,USB,PNC,CME,TFC,CB,COF,MMC,BX,ICE,MCO,PGR,AON,TROW,MET,MSCI,BK,AIG,PRU,ALL,TRV,DFS,AFL,FRC,KKR,SIVB,WLTW,STT,AMP,SYF,FITB,AJG,NTRS,HIG,HBAN,NDAQ,KEY,CFG,RF,MTB,ALLY,CINF,MKTX,PFG,MKL,RJF,ACGL,SBNY,BRO,FDS,L,CBOE,NLY,EQH,LNC,APO,LPLA,WRB,FNF,688208.SS,EWBC,IVZ,CMA,RE,FHN,WAL,BEN,Y,ATH,GL,AGNC,AFG,AIZ,ZION,688208.SS.1,TW,CBSH,RGA,VOYA,SEIC,ORI,RNR,STWD,CG,PBCT,ARES,JEF,FAF,CFR,SLM,PB,PNFP,FFIN,SF,AMG,SNV,BPOP,JHG,MORN,EVR,PRI,UNM,SSB,VLY,GBCI,IBKR,THG,NYCB,ESNT,OZK,CIT,OMF,SIGI,PACW,UBSI,ERIE,STL,WBS,NRZ,KMPR,MTG,FCNCA,UMPQ,UMBF,WTFC,RDN,BXMT,RLI,HASI,FNB,HLI,CACC,FHB,HOMB,HWC,BHF,TRUP,LMND,BOH,LPRO,KNSL,AXS,WTM,NAVI,ASB,CIM,EBC,PPBI,SFBS,MC,APAM,PFSI,CNO,BXS,TCBI,FHI,PRG,AUB,CBU,WD,FCFS,HLNE,CATY,FULT,IBTX,CNNE,BOKF,BKU,ESGR,FOCS,ABCB,AEL,WSBC,TOWN,WAFD,ISBC,SI,FRME,VIRT,RKT,IBOC,TREE,HTH,PIPR,CVBF,AX,AGO,COOP,GSHD,SASR,Xaf Financial Sep21 Xcme 20210917,Ss Inst Treas Plus Mm Fund Tru Ss Inst Treas Plus Mm Fund Tru,FBC,UPST,SFNC,ARI,SUM
07/09/2021,9.41,7.57,6.32,3.68,2.9,2.69,2.57,2.55,2.28,2.07,1.97,1.63,1.62,1.51,1.5,1.44,1.43,1.43,1.32,1.32,1.22,1.14,1.07,0.92,0.9,0.89,0.84,0.82,0.81,0.8,0.76,0.73,0.7,0.66,0.62,0.6,0.59,0.59,0.58,0.57,0.55,0.54,0.46,0.44,0.42,0.4,0.4,0.39,0.39,0.38,0.38,0.36,0.35,0.34,0.34,0.32,0.32,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,95.98
07/12/2021,9.41,7.69,6.2,3.6,2.84,2.76,2.55,2.55,2.35,2.03,2.02,1.61,1.59,1.49,1.46,1.47,1.43,1.46,1.36,1.33,1.27,1.16,1.08,0.94,0.89,0.92,0.83,0.82,0.8,0.81,0.77,0.73,0.7,0.67,0.62,0.62,0.59,0.58,0.58,0.57,0.54,0.55,0.45,0.44,0.42,0.41,0.39,0.39,0.38,0.37,0.38,0.36,0.34,0.34,0.35,0.33,0.32,0.26,0.26,0.26,0.25,0.25,0.25,0.23,0.23,0.22,0.22,0.22,0.22,0.0,0.2,0.21,0.19,0.2,0.19,0.19,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.0,0.18,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.14,0.15,0.14,0.15,0.13,0.13,0.13,0.13,0.13,0.14,0.15,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.05,0.21,0.1,0.05,0.0,0.0,0.0,95.99
07/13/2021,9.41,7.69,6.2,3.6,2.84,2.76,2.55,2.55,2.35,2.03,2.02,1.61,1.59,1.49,1.46,1.47,1.43,1.46,1.36,1.33,1.27,1.16,1.08,0.94,0.89,0.92,0.83,0.82,0.8,0.81,0.77,0.73,0.7,0.67,0.62,0.62,0.59,0.58,0.58,0.57,0.54,0.55,0.45,0.44,0.42,0.41,0.39,0.39,0.38,0.37,0.38,0.36,0.34,0.34,0.35,0.33,0.32,0.26,0.26,0.26,0.25,0.25,0.25,0.23,0.23,0.22,0.22,0.22,0.22,0.0,0.2,0.21,0.19,0.2,0.19,0.19,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.0,0.18,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.14,0.15,0.14,0.15,0.13,0.13,0.13,0.13,0.13,0.14,0.15,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.05,0.21,0.1,0.05,0.0,0.0,0.0,95.99
07/14/2021,9.46,7.65,6.19,3.61,2.84,2.73,2.53,2.55,2.35,2.02,1.98,1.62,1.6,1.5,1.48,1.46,1.47,1.45,1.36,1.33,1.25,1.16,1.06,0.93,0.88,0.92,0.83,0.81,0.8,0.8,0.77,0.75,0.69,0.68,0.61,0.64,0.58,0.59,0.58,0.57,0.55,0.54,0.46,0.44,0.42,0.4,0.39,0.39,0.38,0.37,0.38,0.36,0.35,0.34,0.34,0.33,0.31,0.27,0.26,0.26,0.25,0.25,0.25,0.23,0.23,0.21,0.22,0.22,0.22,0.0,0.21,0.21,0.2,0.2,0.19,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.0,0.18,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.15,0.13,0.13,0.14,0.14,0.14,0.14,0.15,0.13,0.13,0.13,0.12,0.11,0.12,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.07,0.07,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.05,0.21,0.11,0.05,0.0,0.0,0.0,95.94
07/15/2021,9.51,7.57,6.22,3.6,2.85,2.75,2.58,2.59,2.35,2.04,1.95,1.62,1.6,1.49,1.48,1.46,1.5,1.42,1.38,1.31,1.24,1.15,1.03,0.95,0.88,0.91,0.83,0.81,0.8,0.8,0.77,0.77,0.69,0.68,0.62,0.65,0.57,0.59,0.58,0.57,0.54,0.54,0.45,0.45,0.43,0.41,0.39,0.39,0.38,0.37,0.38,0.36,0.34,0.34,0.33,0.33,0.31,0.27,0.26,0.25,0.25,0.25,0.25,0.23,0.23,0.21,0.22,0.22,0.22,0.0,0.21,0.21,0.2,0.2,0.19,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.0,0.18,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.15,0.13,0.13,0.13,0.14,0.14,0.14,0.15,0.13,0.13,0.13,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.11,0.1,0.11,0.09,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.07,0.08,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.21,0.11,0.05,0.05,0.0,0.0,95.96
07/16/2021,9.49,7.65,6.19,3.57,2.84,2.76,2.62,2.59,2.36,2.07,1.96,1.63,1.6,1.51,1.48,1.47,1.5,1.44,1.37,1.33,1.26,1.14,1.04,0.93,0.88,0.92,0.83,0.81,0.8,0.8,0.77,0.77,0.69,0.69,0.62,0.65,0.57,0.59,0.58,0.57,0.54,0.54,0.45,0.45,0.42,0.41,0.39,0.39,0.38,0.37,0.39,0.36,0.35,0.34,0.33,0.33,0.31,0.27,0.26,0.25,0.25,0.25,0.24,0.23,0.23,0.21,0.22,0.22,0.22,0.0,0.21,0.21,0.2,0.2,0.19,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.0,0.18,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.14,0.13,0.14,0.15,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.11,0.11,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.07,0.08,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.0,0.05,0.18,0.11,0.05,0.0,0.0,0.0,96.09
07/19/2021,9.48,7.66,6.03,3.72,2.85,2.68,2.61,2.57,2.37,2.03,1.97,1.68,1.61,1.51,1.51,1.5,1.48,1.44,1.4,1.32,1.26,1.11,1.04,0.93,0.88,0.92,0.81,0.83,0.8,0.79,0.79,0.76,0.7,0.7,0.61,0.65,0.57,0.58,0.58,0.56,0.54,0.54,0.45,0.45,0.43,0.41,0.39,0.39,0.38,0.37,0.38,0.36,0.34,0.34,0.33,0.33,0.31,0.27,0.26,0.26,0.25,0.25,0.24,0.23,0.23,0.21,0.21,0.22,0.22,0.0,0.2,0.2,0.2,0.2,0.19,0.2,0.18,0.19,0.18,0.19,0.18,0.19,0.18,0.18,0.0,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.14,0.13,0.13,0.13,0.14,0.14,0.14,0.15,0.13,0.13,0.13,0.12,0.11,0.12,0.11,0.11,0.11,0.1,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.06,0.08,0.07,0.08,0.08,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.07,0.05,0.0,0.05,0.18,0.12,0.05,0.0,0.04,0.0,96.01000000000002
07/20/2021,9.39,7.72,5.97,3.71,2.82,2.7,2.61,2.55,2.36,2.01,2.02,1.66,1.58,1.52,1.49,1.52,1.47,1.46,1.42,1.34,1.28,1.14,1.06,0.94,0.87,0.95,0.83,0.82,0.8,0.8,0.8,0.75,0.7,0.69,0.62,0.64,0.58,0.6,0.58,0.56,0.53,0.55,0.45,0.46,0.42,0.42,0.38,0.38,0.37,0.36,0.38,0.37,0.35,0.34,0.34,0.32,0.32,0.26,0.26,0.26,0.25,0.25,0.24,0.23,0.22,0.2,0.21,0.22,0.23,0.0,0.2,0.2,0.19,0.2,0.18,0.19,0.18,0.19,0.17,0.19,0.18,0.19,0.18,0.17,0.0,0.18,0.16,0.15,0.16,0.15,0.15,0.16,0.15,0.15,0.14,0.14,0.15,0.15,0.13,0.13,0.13,0.14,0.13,0.14,0.15,0.13,0.13,0.13,0.12,0.11,0.12,0.11,0.11,0.11,0.1,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.06,0.08,0.07,0.08,0.08,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.07,0.05,0.0,0.05,0.18,0.12,0.05,0.0,0.0,0.04,96.01
07/21/2021,9.39,7.72,5.97,3.71,2.82,2.7,2.61,2.55,2.36,2.01,2.02,1.66,1.58,1.52,1.49,1.52,1.47,1.46,1.42,1.34,1.28,1.14,1.06,0.94,0.87,0.95,0.83,0.82,0.8,0.8,0.8,0.75,0.7,0.69,0.62,0.64,0.58,0.6,0.58,0.56,0.53,0.55,0.45,0.46,0.42,0.42,0.38,0.38,0.37,0.36,0.38,0.37,0.35,0.34,0.34,0.32,0.32,0.26,0.26,0.26,0.25,0.25,0.24,0.23,0.22,0.2,0.21,0.22,0.23,0.0,0.2,0.2,0.19,0.2,0.18,0.19,0.18,0.19,0.17,0.19,0.18,0.19,0.18,0.17,0.0,0.18,0.16,0.15,0.16,0.15,0.15,0.16,0.15,0.15,0.14,0.14,0.15,0.15,0.13,0.13,0.13,0.14,0.13,0.14,0.15,0.13,0.13,0.13,0.12,0.11,0.12,0.11,0.11,0.11,0.1,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.06,0.08,0.07,0.08,0.08,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.07,0.05,0.0,0.05,0.18,0.12,0.05,0.0,0.0,0.04,96.01
07/22/2021,9.39,7.72,5.97,3.71,2.82,2.7,2.61,2.55,2.36,2.01,2.02,1.66,1.58,1.52,1.49,1.52,1.47,1.46,1.42,1.34,1.28,1.14,1.06,0.94,0.87,0.95,0.83,0.82,0.8,0.8,0.8,0.75,0.7,0.69,0.62,0.64,0.58,0.6,0.58,0.56,0.53,0.55,0.45,0.46,0.42,0.42,0.38,0.38,0.37,0.36,0.38,0.37,0.35,0.34,0.34,0.32,0.32,0.26,0.26,0.26,0.25,0.25,0.24,0.23,0.22,0.2,0.21,0.22,0.23,0.0,0.2,0.2,0.19,0.2,0.18,0.19,0.18,0.19,0.17,0.19,0.18,0.19,0.18,0.17,0.0,0.18,0.16,0.15,0.16,0.15,0.15,0.16,0.15,0.15,0.14,0.14,0.15,0.15,0.13,0.13,0.13,0.14,0.13,0.14,0.15,0.13,0.13,0.13,0.12,0.11,0.12,0.11,0.11,0.11,0.1,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.06,0.08,0.07,0.08,0.08,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.07,0.05,0.0,0.05,0.18,0.12,0.05,0.0,0.0,0.04,96.01
