,KDP,NOC,GD,HRL,TSN,MO,NUE,VMC,CAG,MLM,CLX,CHD,CPB,SJM,WRK,FBHS,PKG,LII,STLD,SMG,HUBB,RS,POST,WMS,PII,HII,UTHR,LPX,LANC,FLO,EXP,UFPI,SPWR,SAFM,AJRD,LCII,ATKR,WOR,THS,SPXC,CENT,VSTO,WGO,MLI,CNR,VGR,KALU,HNI,LZB,WIRE,FRTA,AMWD,REVG,APOG,USCR,WNC,TMST,SPLP,SENEA,CLW,ZEUS,n/a,HSY,CLF,OSK,REYN,SAM,BWXT,SSD,SKY,EBS,ACA,SNBR,SUM
07/09/2021,5.14,5.07,5.03,5.01,4.89,4.84,4.64,4.05,3.94,3.81,3.76,3.52,3.3,3.12,2.5,2.44,2.29,2.27,2.16,1.93,1.77,1.63,1.57,1.53,1.46,1.42,1.37,1.19,1.15,1.14,1.0,0.85,0.73,0.7,0.64,0.61,0.59,0.58,0.57,0.5,0.43,0.43,0.42,0.42,0.37,0.36,0.34,0.32,0.29,0.26,0.26,0.25,0.2,0.18,0.16,0.13,0.11,0.11,0.1,0.08,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/12/2021,5.11,5.09,5.06,5.04,4.87,4.76,4.59,4.13,3.97,3.88,3.88,3.58,3.33,3.1,2.47,2.44,2.31,2.32,2.18,1.89,1.77,1.61,1.56,1.52,1.45,1.38,1.39,1.15,1.15,1.13,0.99,0.84,0.72,0.7,0.64,0.61,0.58,0.57,0.57,0.5,0.42,0.42,0.41,0.41,0.36,0.35,0.33,0.31,0.28,0.26,0.26,0.24,0.21,0.17,0.16,0.12,0.1,0.1,0.1,0.08,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97999999999998
07/13/2021,5.11,5.09,5.06,5.04,4.87,4.76,4.59,4.13,3.97,3.88,3.88,3.58,3.33,3.1,2.47,2.44,2.31,2.32,2.18,1.89,1.77,1.61,1.56,1.52,1.45,1.38,1.39,1.15,1.15,1.13,0.99,0.84,0.72,0.7,0.64,0.61,0.58,0.57,0.57,0.5,0.42,0.42,0.41,0.41,0.36,0.35,0.33,0.31,0.28,0.26,0.26,0.24,0.21,0.17,0.16,0.12,0.1,0.1,0.1,0.08,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97999999999998
07/14/2021,5.1,5.09,5.06,4.96,4.87,4.81,4.65,4.13,3.96,3.89,3.78,3.58,3.29,3.14,2.5,2.42,2.32,2.23,2.18,1.87,1.8,1.62,1.58,1.53,1.47,1.38,1.39,1.18,1.16,1.13,0.98,0.84,0.71,0.69,0.63,0.62,0.59,0.58,0.58,0.51,0.44,0.43,0.41,0.41,0.36,0.35,0.33,0.32,0.28,0.26,0.26,0.24,0.21,0.17,0.16,0.12,0.11,0.11,0.1,0.09,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999998
07/15/2021,5.1,5.07,5.04,4.93,4.8,4.83,4.69,4.13,3.94,3.86,3.76,3.57,3.28,3.13,2.5,2.42,2.32,2.24,2.23,1.87,1.82,1.63,1.57,1.56,1.46,1.37,1.38,1.18,1.16,1.13,0.99,0.85,0.74,0.68,0.63,0.62,0.59,0.59,0.58,0.52,0.43,0.43,0.42,0.41,0.37,0.36,0.34,0.32,0.28,0.25,0.26,0.24,0.21,0.18,0.16,0.13,0.11,0.11,0.11,0.09,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/16/2021,5.1,5.07,5.04,4.93,4.8,4.83,4.69,4.13,3.94,3.86,3.76,3.57,3.28,3.13,2.5,2.42,2.32,2.24,2.23,1.87,1.82,1.63,1.57,1.56,1.46,1.37,1.38,1.18,1.16,1.13,0.99,0.85,0.74,0.68,0.63,0.62,0.59,0.59,0.58,0.52,0.43,0.43,0.42,0.41,0.37,0.36,0.34,0.32,0.28,0.25,0.26,0.24,0.21,0.18,0.16,0.13,0.11,0.11,0.11,0.09,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/19/2021,5.26,5.06,5.12,5.02,4.79,4.91,4.63,4.22,3.78,3.93,3.84,3.6,3.25,3.18,2.46,2.4,2.33,2.06,2.21,1.87,1.84,1.63,1.55,1.52,1.44,1.37,1.38,1.14,1.19,1.14,0.99,0.84,0.62,0.69,0.64,0.63,0.59,0.58,0.57,0.52,0.44,0.42,0.4,0.41,0.35,0.35,0.33,0.32,0.27,0.25,0.27,0.24,0.21,0.17,0.17,0.12,0.1,0.11,0.11,0.09,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/20/2021,5.32,5.05,5.12,5.14,4.81,4.89,4.49,4.21,3.89,3.89,3.96,3.66,3.34,3.25,2.36,2.38,2.3,2.11,2.16,1.87,1.84,1.61,1.55,1.52,1.4,1.36,1.39,1.06,1.2,1.16,0.97,0.81,0.59,0.69,0.65,0.63,0.58,0.58,0.58,0.52,0.43,0.41,0.4,0.4,0.34,0.35,0.32,0.31,0.26,0.24,0.27,0.23,0.2,0.16,0.16,0.12,0.1,0.11,0.11,0.09,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
07/21/2021,5.32,5.05,5.12,5.14,4.81,4.89,4.49,4.21,3.89,3.89,3.96,3.66,3.34,3.25,2.36,2.38,2.3,2.11,2.16,1.87,1.84,1.61,1.55,1.52,1.4,1.36,1.39,1.06,1.2,1.16,0.97,0.81,0.59,0.69,0.65,0.63,0.58,0.58,0.58,0.52,0.43,0.41,0.4,0.4,0.34,0.35,0.32,0.31,0.26,0.24,0.27,0.23,0.2,0.16,0.16,0.12,0.1,0.11,0.11,0.09,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
07/22/2021,5.32,5.05,5.12,5.14,4.81,4.89,4.49,4.21,3.89,3.89,3.96,3.66,3.34,3.25,2.36,2.38,2.3,2.11,2.16,1.87,1.84,1.61,1.55,1.52,1.4,1.36,1.39,1.06,1.2,1.16,0.97,0.81,0.59,0.69,0.65,0.63,0.58,0.58,0.58,0.52,0.43,0.41,0.4,0.4,0.34,0.35,0.32,0.31,0.26,0.24,0.27,0.23,0.2,0.16,0.16,0.12,0.1,0.11,0.11,0.09,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
07/23/2021,5.34,5.0,5.04,5.2,4.83,4.89,4.44,4.15,4.0,3.8,4.04,3.71,3.41,3.31,2.33,2.39,2.28,2.13,2.12,1.88,1.83,1.59,1.54,1.54,1.42,1.34,1.4,1.04,1.2,1.18,0.95,0.82,0.61,0.7,0.66,0.63,0.58,0.57,0.6,0.51,0.43,0.42,0.4,0.4,0.33,0.34,0.31,0.31,0.26,0.24,0.27,0.23,0.19,0.16,0.17,0.12,0.1,0.11,0.11,0.08,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/26/2021,5.26,5.01,5.19,5.02,4.81,4.89,4.53,4.23,3.85,3.88,3.8,3.56,3.27,3.16,2.34,2.44,2.26,2.13,2.14,1.89,1.9,1.64,1.52,1.64,1.48,1.39,1.37,1.09,1.18,1.13,0.98,0.85,0.66,0.7,0.64,0.67,0.61,0.59,0.58,0.53,0.42,0.41,0.43,0.43,0.36,0.35,0.33,0.31,0.27,0.25,0.27,0.23,0.2,0.17,0.17,0.13,0.1,0.11,0.11,0.09,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/27/2021,5.33,5.0,5.18,5.02,4.78,4.89,4.58,4.26,3.81,3.91,3.91,3.61,3.25,3.17,2.31,2.45,2.27,2.12,2.12,1.88,1.88,1.64,1.51,1.62,1.47,1.38,1.38,1.07,1.18,1.13,0.97,0.84,0.61,0.71,0.65,0.67,0.61,0.59,0.58,0.52,0.42,0.41,0.43,0.43,0.35,0.34,0.32,0.3,0.26,0.25,0.27,0.23,0.2,0.17,0.17,0.13,0.1,0.11,0.11,0.08,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/28/2021,5.33,5.0,5.18,5.02,4.78,4.89,4.58,4.26,3.81,3.91,3.91,3.61,3.25,3.17,2.31,2.45,2.27,2.12,2.12,1.88,1.88,1.64,1.51,1.62,1.47,1.38,1.38,1.07,1.18,1.13,0.97,0.84,0.61,0.71,0.65,0.67,0.61,0.59,0.58,0.52,0.42,0.41,0.43,0.43,0.35,0.34,0.32,0.3,0.26,0.25,0.27,0.23,0.2,0.17,0.17,0.13,0.1,0.11,0.11,0.08,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/29/2021,5.31,4.94,5.16,4.99,4.76,4.88,4.73,4.2,3.79,3.86,3.92,3.6,3.24,3.17,2.35,2.42,2.28,2.16,2.19,1.88,1.86,1.66,1.51,1.61,1.51,1.38,1.37,1.08,1.18,1.13,0.95,0.85,0.61,0.7,0.64,0.68,0.61,0.6,0.58,0.53,0.42,0.41,0.43,0.43,0.34,0.34,0.34,0.3,0.26,0.25,0.27,0.23,0.2,0.17,0.16,0.13,0.1,0.11,0.11,0.09,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/30/2021,5.31,4.94,5.16,4.99,4.76,4.88,4.73,4.2,3.79,3.86,3.92,3.6,3.24,3.17,2.35,2.42,2.28,2.16,2.19,1.88,1.86,1.66,1.51,1.61,1.51,1.38,1.37,1.08,1.18,1.13,0.95,0.85,0.61,0.7,0.64,0.68,0.61,0.6,0.58,0.53,0.42,0.41,0.43,0.43,0.34,0.34,0.34,0.3,0.26,0.25,0.27,0.23,0.2,0.17,0.16,0.13,0.1,0.11,0.11,0.09,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/02/2021,5.19,4.95,5.25,4.95,4.78,4.87,4.8,4.35,3.73,4.01,3.83,3.58,3.2,3.16,2.37,2.39,2.35,2.15,2.19,1.86,1.87,1.65,1.48,1.6,1.4,1.38,1.38,1.09,1.16,1.12,0.99,0.84,0.62,0.7,0.63,0.69,0.62,0.59,0.57,0.52,0.4,0.4,0.43,0.42,0.35,0.34,0.34,0.3,0.26,0.28,0.27,0.23,0.19,0.17,0.16,0.12,0.1,0.11,0.11,0.09,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/03/2021,5.19,4.95,5.25,4.95,4.78,4.87,4.8,4.35,3.73,4.01,3.83,3.58,3.2,3.16,2.37,2.39,2.35,2.15,2.19,1.86,1.87,1.65,1.48,1.6,1.4,1.38,1.38,1.09,1.16,1.12,0.99,0.84,0.62,0.7,0.63,0.69,0.62,0.59,0.57,0.52,0.4,0.4,0.43,0.42,0.35,0.34,0.34,0.3,0.26,0.28,0.27,0.23,0.19,0.17,0.16,0.12,0.1,0.11,0.11,0.09,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
