,CTE ? PROSHARES TRUST M,B 0 09/09/21,B 0 04/29/21,B 0 05/06/21,B 0 05/20/21,B 0 06/24/21,B 0 06/03/21,B 0 06/17/21,B 0 07/22/21,B 0 08/12/21,B 0 05/13/21,TBILL,B 0 04/01/21,B 0 04/08/21,B 0 04/15/21,B 0 06/10/21,B 0 07/29/21,B 0 10/07/21,B 0 11/04/21,B 0 04/22/21,B 0 05/27/21,B 0 07/15/21,CASH,U.S. DOLLAR FOR FUTURES,USD FUTURES INCOME,B 0 09/17/20,B 0 10/22/20,B 0 10/15/20,B 0 10/08/20,B 0 10/01/20,B 0 09/24/20,B 0 09/10/20,B 0 11/05/20,B 0 09/03/20,B 0 08/27/20,B 0 08/20/20,B 0 08/18/20,B 0 08/13/20,B 0 08/06/20,B 0 10/29/20,B 0 11/12/20,S&P 500 Index SWAP Deutsche Bank AG,B 0 11/19/20,B 0 11/27/20,B 0 12/03/20,B 0 12/10/20,B 0 12/17/20,B 0 12/24/20,B 0 12/31/20,CMB,CMB 0 01/05/21,CMB 0 02/09/21,CMB 0 09/08/20,CMB 0 09/22/20,CMB 0 10/13/20,LEHMAN SWAP PAYBLE,B 0 01/07/21,B 0 07/30/20,B 0 07/23/20,B 0 03/11/21,S&P500 EMINI FUT EQUITY INDEX 19/MAR/2021 ESH1,SPDR S&P 500  SPY  SWAP Deutsche Bank AG,U.S. DOLLAR,UNITS,US SDOLLAR CALL A/C,B 0 03/25/21,B 0 03/04/21,S&P500 EMINI FUT EQUITY INDEX 18/SEP/2020 ESU0,B 0 02/25/21,B 0 02/18/21,B 0 02/04/21,B 0 01/28/21,B 0 01/21/21,B 0 01/14/21,S&P500 EMINI FUT EQUITY INDEX 19/JUN/2020 ESM0,XIB 0 08/11/20,B 0 06/25/20,S&P500 EMINI FUT EQUITY INDEX 18/DEC/2020 ESZ0,B 0 06/04/20,B 0 07/16/20,B 0 07/14/20,B 0 06/11/20,B 0 07/09/20,B 0 06/18/20,B 0 07/02/20,S&P500 EMINI FUT EQUITY INDEX 18/JUN/2021 ESM1,S&P 500 Index SWAP Morgan Stanley & Co. Internatio,S&P 500 Index SWAP JPMorgan Securities?,S&P 500 Index SWAP Goldman Sachs International,S&P 500 Index SWAP Citibank NA,S&P 500 Index SWAP Credit Suisse International,S&P 500 Index SWAP Societe Generale,S&P 500 Index SWAP BNP Paribas,S&P 500 Index SWAP UBS AG,S&P 500 Index SWAP Bank of America NA,SUM
07/09/2021,13.49,8.21,6.57,6.57,6.57,6.57,6.57,6.57,6.57,6.57,4.93,4.93,3.28,3.28,3.28,3.28,3.28,3.28,3.28,1.64,1.64,1.64,0.87,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,-0.09,-0.11,-0.31,-0.73,-0.81,-0.87,-2.1,-3.05,-4.82,100.27
07/12/2021,13.49,8.21,6.57,6.57,6.57,6.57,6.57,6.57,6.57,6.57,4.93,4.93,3.28,3.28,3.28,3.28,3.28,3.28,3.28,1.64,1.64,1.64,0.87,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,-0.09,-0.11,-0.31,-0.73,-0.81,-0.87,-2.1,-3.05,-4.82,100.27
07/13/2021,13.49,8.21,6.57,6.57,6.57,6.57,6.57,6.57,6.57,6.57,4.93,4.93,3.28,3.28,3.28,3.28,3.28,3.28,3.28,1.64,1.64,1.64,0.87,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,-0.09,-0.11,-0.31,-0.73,-0.81,-0.87,-2.1,-3.05,-4.82,100.27
07/14/2021,13.49,8.21,6.57,6.57,6.57,6.57,6.57,6.57,6.57,6.57,4.93,4.93,3.28,3.28,3.28,3.28,3.28,3.28,3.28,1.64,1.64,1.64,0.87,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,-0.09,-0.11,-0.31,-0.73,-0.81,-0.87,-2.1,-3.05,-4.82,100.27
07/15/2021,13.49,8.21,6.57,6.57,6.57,6.57,6.57,6.57,6.57,6.57,4.93,4.93,3.28,3.28,3.28,3.28,3.28,3.28,3.28,1.64,1.64,1.64,0.87,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,-0.09,-0.11,-0.31,-0.73,-0.81,-0.87,-2.1,-3.05,-4.82,100.27
07/16/2021,13.49,8.21,6.57,6.57,6.57,6.57,6.57,6.57,6.57,6.57,4.93,4.93,3.28,3.28,3.28,3.28,3.28,3.28,3.28,1.64,1.64,1.64,0.87,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,-0.09,-0.11,-0.31,-0.73,-0.81,-0.87,-2.1,-3.05,-4.82,100.27
07/19/2021,13.49,8.21,6.57,6.57,6.57,6.57,6.57,6.57,6.57,6.57,4.93,4.93,3.28,3.28,3.28,3.28,3.28,3.28,3.28,1.64,1.64,1.64,0.87,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,-0.09,-0.11,-0.31,-0.73,-0.81,-0.87,-2.1,-3.05,-4.82,100.27
07/20/2021,13.49,8.21,6.57,6.57,6.57,6.57,6.57,6.57,6.57,6.57,4.93,4.93,3.28,3.28,3.28,3.28,3.28,3.28,3.28,1.64,1.64,1.64,0.87,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,-0.09,-0.11,-0.31,-0.73,-0.81,-0.87,-2.1,-3.05,-4.82,100.27
07/21/2021,13.49,8.21,6.57,6.57,6.57,6.57,6.57,6.57,6.57,6.57,4.93,4.93,3.28,3.28,3.28,3.28,3.28,3.28,3.28,1.64,1.64,1.64,0.87,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,-0.09,-0.11,-0.31,-0.73,-0.81,-0.87,-2.1,-3.05,-4.82,100.27
07/22/2021,13.49,8.21,6.57,6.57,6.57,6.57,6.57,6.57,6.57,6.57,4.93,4.93,3.28,3.28,3.28,3.28,3.28,3.28,3.28,1.64,1.64,1.64,0.87,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,-0.09,-0.11,-0.31,-0.73,-0.81,-0.87,-2.1,-3.05,-4.82,100.27
