,S&P 500 QUALITY U.S DOLLARS INDEX SWAP,AAPL,MSFT,V,JPM,PG,MA,BAC,ADBE,CSCO,WFC,PFE,ABT,GOLDMAN FINL SQ TRSRY INST 506,TXN,WMT,DREYFUS GOVT CASH MGMT,UPS,ORCL,LLY,AXP,SPGI,TGT,AMAT,MMM,LMT,USB,COF,LRCX,PNC,TJX,CI,ZTS,ADP,IDXX,ITW,SHW,MCO,TT,KLAC,NOC,VRTX,ROST,FTNT,NEM,EBAY,DFS,TROW,DOW,BBY,PAYX,CTSH,GIS,AMP,ETSY,CMI,BIIB,CTAS,FAST,LEN,SYF,MXIM,CLX,HSY,WY,FTV,GNRC,CAH,RF,ULTA,MKTX,QRVO,COO,FLT,BKR,CFG,GPC,NVR,HBAN,MTB,POOL,CE,HOLX,DVN,RJF,PHM,CMA,BF.B,HWM,ALLE,ZION,IPG,RHI,SNA,WRB,AOS,JKHY,NWL,AIZ,CPB,ROL,NOV,UAA,GOLDMAN FINL SQ TRSRY INS,S&P 500 QUALITY - LOWEST QUINTILE INDEX SWAP,n/a,SUM
07/09/2021,55.39,5.21,5.11,4.45,4.39,4.24,4.18,3.82,3.14,2.8,2.63,2.54,2.4,2.38,2.36,2.21,2.08,2.05,1.8,1.8,1.66,1.62,1.57,1.48,1.35,1.32,1.23,1.16,1.07,1.05,1.03,0.99,0.98,0.98,0.81,0.78,0.77,0.66,0.64,0.64,0.63,0.62,0.61,0.61,0.61,0.54,0.54,0.51,0.51,0.46,0.41,0.4,0.39,0.39,0.39,0.39,0.37,0.36,0.36,0.33,0.33,0.31,0.31,0.3,0.29,0.29,0.28,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.21,0.21,0.2,0.18,0.17,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.11,0.11,0.09,0.07,0.05,0.0,-50.32,0.0,104.41000000000004
07/12/2021,55.32,5.27,5.06,4.39,4.42,4.23,4.1,3.79,3.15,2.81,2.63,2.54,2.4,2.36,2.33,2.2,2.07,2.05,1.88,1.78,1.67,1.6,1.57,1.45,1.36,1.33,1.24,1.18,1.05,1.05,1.02,0.98,0.99,0.98,0.81,0.78,0.77,0.66,0.66,0.63,0.63,0.6,0.6,0.62,0.6,0.54,0.55,0.51,0.51,0.46,0.42,0.4,0.39,0.39,0.38,0.39,0.38,0.36,0.37,0.33,0.33,0.3,0.31,0.3,0.31,0.29,0.28,0.26,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.23,0.22,0.22,0.22,0.21,0.21,0.18,0.17,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.11,0.11,0.09,0.07,0.05,0.0,-50.12,0.0,104.39999999999998
07/13/2021,55.32,5.27,5.06,4.39,4.42,4.23,4.1,3.79,3.15,2.81,2.63,2.54,2.4,2.36,2.33,2.2,2.07,2.05,1.88,1.78,1.67,1.6,1.57,1.45,1.36,1.33,1.24,1.18,1.05,1.05,1.02,0.98,0.99,0.98,0.81,0.78,0.77,0.66,0.66,0.63,0.63,0.6,0.6,0.62,0.6,0.54,0.55,0.51,0.51,0.46,0.42,0.4,0.39,0.39,0.38,0.39,0.38,0.36,0.37,0.33,0.33,0.3,0.31,0.3,0.31,0.29,0.28,0.26,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.23,0.22,0.22,0.22,0.21,0.21,0.18,0.17,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.11,0.11,0.09,0.07,0.05,0.0,-50.12,0.0,104.39999999999998
07/14/2021,55.32,5.27,5.06,4.39,4.42,4.23,4.1,3.79,3.15,2.81,2.63,2.54,2.4,2.36,2.33,2.2,2.07,2.05,1.88,1.78,1.67,1.6,1.57,1.45,1.36,1.33,1.24,1.18,1.05,1.05,1.02,0.98,0.99,0.98,0.81,0.78,0.77,0.66,0.66,0.63,0.63,0.6,0.6,0.62,0.6,0.54,0.55,0.51,0.51,0.46,0.42,0.4,0.39,0.39,0.38,0.39,0.38,0.36,0.37,0.33,0.33,0.3,0.31,0.3,0.31,0.29,0.28,0.26,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.23,0.22,0.22,0.22,0.21,0.21,0.18,0.17,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.11,0.11,0.09,0.07,0.05,0.0,-50.12,0.0,104.39999999999998
07/15/2021,55.36,5.24,5.04,4.37,4.47,4.22,4.12,3.83,3.12,2.78,2.64,2.54,2.37,2.36,2.35,2.19,2.07,2.04,1.86,1.78,1.68,1.59,1.59,1.46,1.35,1.31,1.25,1.21,1.07,1.06,1.02,0.98,0.99,0.98,0.8,0.78,0.78,0.66,0.66,0.64,0.63,0.6,0.59,0.61,0.6,0.53,0.57,0.53,0.51,0.46,0.42,0.4,0.38,0.39,0.38,0.39,0.37,0.37,0.37,0.32,0.34,0.3,0.31,0.3,0.3,0.29,0.29,0.26,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.22,0.23,0.23,0.22,0.22,0.21,0.21,0.18,0.17,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.11,0.11,0.09,0.07,0.05,0.0,-50.23,0.0,104.35000000000002
07/16/2021,55.16,5.28,5.1,4.44,4.4,4.21,4.21,3.76,3.14,2.78,2.58,2.53,2.37,2.36,2.33,2.2,2.06,2.02,1.86,1.77,1.67,1.57,1.59,1.46,1.35,1.3,1.23,1.19,1.06,1.05,1.01,0.98,1.0,0.98,0.8,0.78,0.77,0.66,0.66,0.63,0.62,0.6,0.59,0.62,0.6,0.53,0.56,0.51,0.51,0.45,0.41,0.4,0.38,0.39,0.37,0.39,0.37,0.36,0.36,0.31,0.33,0.3,0.3,0.3,0.29,0.29,0.29,0.26,0.24,0.23,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.21,0.23,0.22,0.22,0.22,0.2,0.21,0.18,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.11,0.11,0.11,0.09,0.07,0.05,0.0,-49.69,0.0,104.34
07/19/2021,54.88,5.34,5.06,4.52,4.36,4.25,4.25,3.63,3.12,2.77,2.66,2.54,2.31,2.34,2.28,2.2,2.05,2.02,1.83,1.73,1.66,1.57,1.58,1.41,1.36,1.3,1.26,1.17,1.03,1.04,1.01,0.97,0.99,0.98,0.79,0.78,0.77,0.65,0.65,0.61,0.61,0.6,0.59,0.61,0.59,0.52,0.55,0.51,0.5,0.46,0.42,0.39,0.38,0.39,0.35,0.39,0.35,0.34,0.36,0.31,0.32,0.3,0.31,0.3,0.29,0.29,0.28,0.25,0.24,0.23,0.23,0.23,0.23,0.24,0.22,0.23,0.23,0.21,0.23,0.22,0.21,0.22,0.2,0.19,0.18,0.16,0.16,0.15,0.14,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.11,0.11,0.09,0.07,0.05,0.0,-48.94,0.0,104.32
07/20/2021,54.82,5.3,5.09,4.54,4.29,4.31,4.24,3.57,3.14,2.79,2.64,2.57,2.34,2.36,2.27,2.21,2.07,2.01,1.87,1.75,1.64,1.59,1.58,1.37,1.34,1.3,1.24,1.15,1.0,1.01,1.0,0.97,1.0,0.98,0.8,0.78,0.79,0.66,0.66,0.6,0.61,0.61,0.57,0.62,0.58,0.52,0.54,0.51,0.48,0.46,0.42,0.39,0.39,0.39,0.36,0.39,0.34,0.36,0.36,0.31,0.32,0.29,0.32,0.3,0.29,0.29,0.28,0.26,0.24,0.23,0.23,0.23,0.24,0.24,0.21,0.22,0.23,0.21,0.22,0.21,0.21,0.21,0.21,0.19,0.17,0.16,0.16,0.15,0.14,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.11,0.11,0.09,0.07,0.04,0.0,-48.77,0.0,104.36
07/21/2021,54.82,5.3,5.09,4.54,4.29,4.31,4.24,3.57,3.14,2.79,2.64,2.57,2.34,2.36,2.27,2.21,2.07,2.01,1.87,1.75,1.64,1.59,1.58,1.37,1.34,1.3,1.24,1.15,1.0,1.01,1.0,0.97,1.0,0.98,0.8,0.78,0.79,0.66,0.66,0.6,0.61,0.61,0.57,0.62,0.58,0.52,0.54,0.51,0.48,0.46,0.42,0.39,0.39,0.39,0.36,0.39,0.34,0.36,0.36,0.31,0.32,0.29,0.32,0.3,0.29,0.29,0.28,0.26,0.24,0.23,0.23,0.23,0.24,0.24,0.21,0.22,0.23,0.21,0.22,0.21,0.21,0.21,0.21,0.19,0.17,0.16,0.16,0.15,0.14,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.11,0.11,0.09,0.07,0.04,0.0,-48.77,0.0,104.36
07/22/2021,54.88,5.25,5.11,4.48,4.22,4.39,4.07,3.54,3.17,2.81,2.61,2.61,2.41,2.4,2.31,2.24,2.11,2.06,1.89,1.79,1.6,1.6,1.61,1.4,1.36,1.31,1.2,1.15,1.03,1.0,0.98,0.96,1.01,0.98,0.82,0.79,0.8,0.66,0.66,0.61,0.61,0.62,0.56,0.63,0.58,0.54,0.53,0.5,0.48,0.46,0.41,0.39,0.4,0.38,0.38,0.38,0.35,0.36,0.37,0.32,0.31,0.3,0.32,0.31,0.29,0.29,0.29,0.26,0.23,0.23,0.24,0.24,0.24,0.23,0.21,0.21,0.23,0.21,0.22,0.21,0.22,0.21,0.21,0.18,0.17,0.16,0.15,0.15,0.14,0.15,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.11,0.11,0.09,0.07,0.04,0.0,-48.93,0.0,104.47
