,COP,EOG,PXD,HES,OXY,DVN,TOU.TO,FANG,CVE.TO,MRO,XEC,OVV,ARX.TO,APA,EQT,COG,NFG,PDCE,AR,MTDR,CLR,WCP.TO,MUR,RRC,CPG.TO,CNX,ERF.TO,XOG,PrairieSky Royalty Ltd,7342.T,7342.T.1,GVMXX,PSK.TO,SUM
07/09/2021,8.15,7.74,6.74,6.24,6.12,5.67,4.9,4.84,4.75,4.52,3.89,3.64,3.44,3.03,2.85,2.76,2.2,2.07,2.06,1.93,1.82,1.81,1.74,1.61,1.54,1.03,1.02,0.81,0.67,0.41,0.0,0.0,0.0,100.0
08/31/2021,8.06,7.68,6.7,6.31,5.99,5.78,4.97,4.73,4.77,4.53,3.9,3.63,3.52,3.11,3.0,2.75,2.23,2.07,2.16,1.97,1.8,1.8,1.71,1.69,1.59,1.06,1.05,0.79,0.0,0.0,0.0,0.83,0.68,100.86000000000001
