,Cash,Dj U.S. Utilities Index Swap Ubs Ag - Cash Offset,Dj U.S. Utilities Index Swap Societe Generale - Cash Offset,Dj U.S. Utilities Index Swap Bank Of America Na - Cash Offset,Dj U.S. Utilities Index Swap Morgan Stanley & Co. International Plc - Cash,Dj U.S. Utilities Index Swap Morgan Stanley & Co. International Plc,Dj U.S. Utilities Index Swap Bank Of America Na,Dj U.S. Utilities Index Swap Societe Generale,Dj U.S. Utilities Index Swap Ubs Ag,SUM
07/09/2021,100.0,92.35,55.23,42.68,9.67,-9.67,-42.68,-55.23,-92.35,100.0
07/12/2021,100.0,92.35,55.23,42.68,9.67,-9.67,-42.68,-55.23,-92.35,100.0
07/13/2021,100.0,92.35,55.23,42.68,9.67,-9.67,-42.68,-55.23,-92.35,100.0
07/14/2021,100.0,92.35,55.23,42.68,9.67,-9.67,-42.68,-55.23,-92.35,100.0
07/15/2021,100.0,92.35,55.23,42.68,9.67,-9.67,-42.68,-55.23,-92.35,100.0
07/16/2021,100.0,92.35,55.23,42.68,9.67,-9.67,-42.68,-55.23,-92.35,100.0
07/19/2021,100.0,92.35,55.23,42.68,9.67,-9.67,-42.68,-55.23,-92.35,100.0
07/20/2021,100.0,92.35,55.23,42.68,9.67,-9.67,-42.68,-55.23,-92.35,100.0
07/21/2021,100.0,92.35,55.23,42.68,9.67,-9.67,-42.68,-55.23,-92.35,100.0
07/22/2021,100.0,92.35,55.23,42.68,9.67,-9.67,-42.68,-55.23,-92.35,100.0
07/23/2021,100.0,92.35,55.23,42.68,9.67,-9.67,-42.68,-55.23,-92.35,100.0
07/26/2021,100.0,92.35,55.23,42.68,9.67,-9.67,-42.68,-55.23,-92.35,100.0
07/27/2021,100.0,92.35,55.23,42.68,9.67,-9.67,-42.68,-55.23,-92.35,100.0
07/28/2021,100.0,92.35,55.23,42.68,9.67,-9.67,-42.68,-55.23,-92.35,100.0
07/29/2021,100.0,92.35,55.23,42.68,9.67,-9.67,-42.68,-55.23,-92.35,100.0
07/30/2021,100.0,92.35,55.23,42.68,9.67,-9.67,-42.68,-55.23,-92.35,100.0
08/02/2021,100.0,92.35,55.23,42.68,9.67,-9.67,-42.68,-55.23,-92.35,100.0
