,Yen/Us Dollar Forward - Goldman Sachs,Cash,Yen/Us Dollar Forward - Ubs,Yen/Us Dollar Forward - Ubs - Cash Offset,Yen/Us Dollar Forward - Goldman Sachs - Cash Offset,SUM
07/09/2021,118.21,100.0,81.82,-81.82,-118.21,100.0
07/12/2021,118.21,100.0,81.82,-81.82,-118.21,100.0
07/13/2021,118.21,100.0,81.82,-81.82,-118.21,100.0
07/14/2021,118.21,100.0,81.82,-81.82,-118.21,100.0
07/15/2021,118.21,100.0,81.82,-81.82,-118.21,100.0
07/16/2021,118.21,100.0,81.82,-81.82,-118.21,100.0
07/19/2021,118.21,100.0,81.82,-81.82,-118.21,100.0
07/20/2021,118.21,100.0,81.82,-81.82,-118.21,100.0
07/21/2021,118.21,100.0,81.82,-81.82,-118.21,100.0
07/22/2021,118.21,100.0,81.82,-81.82,-118.21,100.0
07/23/2021,118.21,100.0,81.82,-81.82,-118.21,100.0
07/26/2021,118.21,100.0,81.82,-81.82,-118.21,100.0
07/27/2021,118.21,100.0,81.82,-81.82,-118.21,100.0
07/28/2021,118.21,100.0,81.82,-81.82,-118.21,100.0
07/29/2021,118.21,100.0,81.82,-81.82,-118.21,100.0
07/30/2021,118.21,100.0,81.82,-81.82,-118.21,100.0
08/02/2021,118.21,100.0,81.82,-81.82,-118.21,100.0
08/03/2021,118.21,100.0,81.82,-81.82,-118.21,100.0
08/04/2021,118.21,100.0,81.82,-81.82,-118.21,100.0
08/05/2021,118.21,100.0,81.82,-81.82,-118.21,100.0
08/06/2021,115.98,100.0,83.97,-83.97,-115.98,100.00000000000004
