,NESN.SW,ASML.AS,ROG.SW,NOVN.SW,MC.PA,AZN.L,SAP.DE,ULVR.L,NOVO B.CO,SIE.DE,HSBA.L,SAN.PA,DGE.L,TTE.PA,OR.PA,ALV.DE,GSK.L,RIO.L,BATS.L,BP.L,SU.PA,RDSA.AS,AI.PA,AIR.PA,RYDBF,DAI.DE,ENEL.MI,BAS.DE,IBE.MC,ADYEN.AS,ADS.DE,DTE.DE,DPW.DE,BNP.PA,SAN.MC,KER.PA,BHP.L,RITN.,BAYN.DE,ABI.BR,ZURN.SW,ABBN.SW,RKT.L,DG.PA,LONN.SW,EL.PA,REL.L,GLEN.L,IFX.DE,UBSG.SW,INGA.AS,PRU.L,AAL.L,SAF.PA,CS.PA,DSV.CO,VOD.L,SIKA.SW,ISP.MI,RMS.PA,NG.L,LLOY.L,RI.PA,PHIA.AS,VOW3.DE,GIVN.SW,BN.PA,BBVA.MC,INVE B.ST,STLA.MI,LSEG.L,VWS.CO,NDA SE.ST,PRX.AS,BARC.L,—,CRH.L,CPG.L,ATCO A.ST,CLNX.MC,ERIC B.ST,MUV2.DE,VNA.DE,ITX.MC,EXPN.L,VOLV B.ST,PGHN.SW,ALC.SW,DSYA.,BMW.DE,AHT.L,DB1.DE,FERG.L,KNEBV.HE,SGO.PA,ENI.MI,NOKIA.HE,DSM.AS,FLTR.L,CAP.PA,HOLN.SW,AD.AS,AMS.MC,LR.PA,ORSTED.CO,HEIA.AS,GEBN.SW,EVO.ST,ML.PA,ASSA B.ST,SAND.ST,HEXA B.ST,DHER.DE,WKL.AS,SREN.SW,TSCO.L,EOAN.DE,VIV.PA,MRK.DE,NESTE.HE,UCG.MI,RACE.MI,G.MI,DBK.DE,CSGN.SW,STM.PA,TEP.PA,WLN.PA,SAMPO.HE,GMAB.CO,TEF.MC,AV.L,BA.L,AKZA.AS,ENGI.PA,RWE.DE,BT.A.L,GLE.PA,DNB.OL,SSE.L,KRZ.IR,LGEN.L,COLO B.CO,ORA.PA,FRE.DE,LISP.SW,DWNI.DE,UPM.HE,KBC.BR,SOON.SW,ZAL.DE,ESSITY B.ST,MT.AS,EQNR.OL,IMB.L,HM B.ST,ATCOB.ST,SN.L,SGRO.L,SWED A.ST,SEB A.ST,HEN3.DE,CARL B.CO,SY1.DE,LOGN.SW,KNIN.SW,SHL.DE,SHB A.ST,TKWY.AS,SGSN.SW,STMN.SW,III.L,REP.MC,ACA.PA,WPP.L,ARGX.BR,MAERSK B.CO,ASM.AS,STAN.L,CNHI.MI,PAH3.DE,FME.DE,VIE.PA,EDP.LS,SCMN.SW,KRX.IR,SLHN.SW,—.1,NWG.L,NZYM B.CO,EDEN.PA,ENT.L,NN.AS,PUB.PA,HFG.DE,EPI A.ST,SK3.IR,FER.MC,HLMA.L,CON.DE,ERF.PA,MONC.MI,BNR.DE,CRDA.L,SPX.L,INFXX,SRT3.,RTO.L,CFR.SW,DSY.PA,NIBE B.ST,BAER.SW,DIM.PA,SUM
07/09/2021,3.07,2.37,2.33,1.7,1.69,1.38,1.38,1.35,1.2,1.03,1.03,0.98,0.96,0.95,0.93,0.9,0.85,0.77,0.77,0.75,0.74,0.72,0.71,0.64,0.64,0.64,0.64,0.63,0.63,0.63,0.62,0.6,0.59,0.58,0.56,0.55,0.54,0.53,0.52,0.52,0.51,0.51,0.49,0.47,0.47,0.46,0.45,0.45,0.45,0.44,0.44,0.44,0.43,0.43,0.43,0.42,0.41,0.41,0.4,0.4,0.4,0.4,0.39,0.38,0.38,0.37,0.37,0.37,0.37,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.32,0.32,0.32,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.69999999999999
07/12/2021,3.14,2.35,2.37,1.72,1.67,1.37,1.43,1.36,1.23,1.03,1.02,0.98,0.96,0.94,0.92,0.9,0.85,0.77,0.77,0.74,0.74,0.73,0.71,0.63,0.64,0.62,0.64,0.63,0.62,0.63,0.63,0.6,0.59,0.56,0.55,0.55,0.55,0.54,0.52,0.51,0.51,0.53,0.5,0.47,0.48,0.47,0.45,0.45,0.44,0.43,0.43,0.43,0.43,0.43,0.43,0.42,0.4,0.42,0.39,0.39,0.41,0.39,0.39,0.37,0.38,0.38,0.37,0.35,0.38,0.34,0.35,0.35,0.34,0.35,0.35,0.39,0.34,0.32,0.34,0.34,0.34,0.33,0.33,0.32,0.32,0.33,0.3,0.29,0.3,0.28,0.3,0.28,0.28,0.28,0.28,0.26,0.27,0.28,0.26,0.27,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.23,0.24,0.25,0.24,0.24,0.24,0.24,0.23,0.22,0.23,0.22,0.23,0.22,0.21,0.22,0.22,0.22,0.21,0.2,0.21,0.2,0.21,0.22,0.2,0.19,0.21,0.2,0.2,0.21,0.2,0.19,0.19,0.19,0.2,0.18,0.2,0.19,0.18,0.19,0.19,0.18,0.18,0.19,0.18,0.18,0.18,0.17,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.13,0.13,0.13,0.0,0.13,0.13,0.13,0.13,0.13,0.0,0.0,0.13,0.0,0.0,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.89
07/13/2021,3.14,2.35,2.37,1.72,1.67,1.37,1.43,1.36,1.23,1.03,1.02,0.98,0.96,0.94,0.92,0.9,0.85,0.77,0.77,0.74,0.74,0.73,0.71,0.63,0.64,0.62,0.64,0.63,0.62,0.63,0.63,0.6,0.59,0.56,0.55,0.55,0.55,0.54,0.52,0.51,0.51,0.53,0.5,0.47,0.48,0.47,0.45,0.45,0.44,0.43,0.43,0.43,0.43,0.43,0.43,0.42,0.4,0.42,0.39,0.39,0.41,0.39,0.39,0.37,0.38,0.38,0.37,0.35,0.38,0.34,0.35,0.35,0.34,0.35,0.35,0.39,0.34,0.32,0.34,0.34,0.34,0.33,0.33,0.32,0.32,0.33,0.3,0.29,0.3,0.28,0.3,0.28,0.28,0.28,0.28,0.26,0.27,0.28,0.26,0.27,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.23,0.24,0.25,0.24,0.24,0.24,0.24,0.23,0.22,0.23,0.22,0.23,0.22,0.21,0.22,0.22,0.22,0.21,0.2,0.21,0.2,0.21,0.22,0.2,0.19,0.21,0.2,0.2,0.21,0.2,0.19,0.19,0.19,0.2,0.18,0.2,0.19,0.18,0.19,0.19,0.18,0.18,0.19,0.18,0.18,0.18,0.17,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.13,0.13,0.13,0.0,0.13,0.13,0.13,0.13,0.13,0.0,0.0,0.13,0.0,0.0,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.89
07/14/2021,3.1,2.38,2.34,1.72,1.71,1.37,1.43,1.35,1.23,1.03,1.02,0.98,0.95,0.94,0.93,0.9,0.85,0.8,0.76,0.75,0.75,0.73,0.71,0.65,0.64,0.63,0.64,0.65,0.61,0.64,0.63,0.6,0.59,0.57,0.55,0.56,0.57,0.54,0.52,0.51,0.51,0.53,0.49,0.47,0.47,0.47,0.45,0.46,0.45,0.43,0.44,0.44,0.44,0.43,0.44,0.42,0.4,0.42,0.39,0.4,0.4,0.4,0.39,0.37,0.4,0.37,0.37,0.36,0.38,0.35,0.34,0.34,0.35,0.34,0.36,0.39,0.34,0.33,0.35,0.34,0.34,0.33,0.34,0.32,0.32,0.33,0.3,0.28,0.29,0.29,0.3,0.27,0.28,0.28,0.28,0.26,0.27,0.27,0.26,0.27,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.23,0.25,0.25,0.24,0.24,0.23,0.23,0.23,0.22,0.23,0.22,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.21,0.22,0.2,0.19,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.19,0.17,0.18,0.18,0.19,0.17,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.15,0.14,0.14,0.13,0.13,0.13,0.0,0.13,0.13,0.0,0.13,0.13,0.0,0.13,0.13,0.0,0.13,0.13,0.13,0.13,0.13,0.13,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.05
07/15/2021,3.09,2.4,2.34,1.72,1.71,1.38,1.43,1.35,1.22,1.03,1.02,0.99,0.95,0.94,0.93,0.9,0.85,0.8,0.76,0.74,0.75,0.72,0.71,0.64,0.64,0.63,0.65,0.64,0.62,0.65,0.63,0.61,0.59,0.57,0.55,0.56,0.57,0.54,0.51,0.5,0.51,0.53,0.49,0.47,0.47,0.47,0.45,0.46,0.44,0.43,0.44,0.43,0.44,0.42,0.43,0.42,0.41,0.42,0.39,0.4,0.41,0.4,0.39,0.37,0.41,0.37,0.37,0.36,0.38,0.34,0.35,0.35,0.35,0.34,0.35,0.38,0.34,0.32,0.35,0.34,0.34,0.33,0.34,0.32,0.33,0.33,0.31,0.28,0.3,0.29,0.3,0.28,0.28,0.28,0.29,0.26,0.27,0.27,0.25,0.27,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.23,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.22,0.23,0.22,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.22,0.2,0.19,0.21,0.2,0.2,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.2,0.19,0.19,0.19,0.18,0.18,0.19,0.17,0.18,0.18,0.19,0.17,0.18,0.18,0.18,0.16,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.15,0.14,0.14,0.13,0.0,0.14,0.0,0.13,0.13,0.0,0.13,0.13,0.0,0.13,0.13,0.0,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.15
08/02/2021,3.04,2.6,2.29,1.69,1.75,1.54,1.38,1.29,1.27,1.03,0.99,0.96,0.98,0.93,0.94,0.89,0.84,0.82,0.75,0.71,0.75,0.72,0.69,0.66,0.64,0.65,0.64,0.62,0.62,0.7,0.61,0.59,0.58,0.58,0.55,0.57,0.59,0.57,0.51,0.47,0.52,0.54,0.42,0.46,0.49,0.47,0.47,0.48,0.44,0.47,0.44,0.43,0.49,0.4,0.43,0.4,0.4,0.43,0.4,0.41,0.4,0.39,0.4,0.36,0.39,0.38,0.37,0.37,0.39,0.34,0.32,0.32,0.37,0.34,0.36,0.33,0.34,0.33,0.37,0.34,0.3,0.33,0.32,0.31,0.35,0.31,0.33,0.29,0.31,0.28,0.29,0.27,0.27,0.28,0.28,0.26,0.3,0.29,0.25,0.29,0.26,0.26,0.25,0.25,0.25,0.24,0.26,0.25,0.25,0.26,0.25,0.25,0.24,0.26,0.23,0.21,0.23,0.22,0.23,0.22,0.22,0.22,0.22,0.23,0.21,0.23,0.21,0.2,0.21,0.23,0.2,0.19,0.22,0.2,0.2,0.19,0.18,0.2,0.18,0.18,0.21,0.19,0.21,0.18,0.19,0.2,0.19,0.19,0.19,0.18,0.22,0.17,0.21,0.17,0.18,0.16,0.19,0.15,0.17,0.17,0.17,0.15,0.16,0.16,0.14,0.14,0.16,0.15,0.14,0.16,0.15,0.15,0.13,0.14,0.13,0.13,0.13,0.15,0.13,0.14,0.15,0.15,0.15,0.13,0.13,0.14,0.14,0.0,0.13,0.14,0.0,0.13,0.13,0.0,0.0,0.13,0.13,0.0,0.13,0.13,0.0,0.0,0.0,0.13,0.13,0.14,0.13,0.13,0.0,0.0,0.0,0.0,0.0,79.43
08/03/2021,3.04,2.6,2.29,1.69,1.75,1.54,1.38,1.29,1.27,1.03,0.99,0.96,0.98,0.93,0.94,0.89,0.84,0.82,0.75,0.71,0.75,0.72,0.69,0.66,0.64,0.65,0.64,0.62,0.62,0.7,0.61,0.59,0.58,0.58,0.55,0.57,0.59,0.57,0.51,0.47,0.52,0.54,0.42,0.46,0.49,0.47,0.47,0.48,0.44,0.47,0.44,0.43,0.49,0.4,0.43,0.4,0.4,0.43,0.4,0.41,0.4,0.39,0.4,0.36,0.39,0.38,0.37,0.37,0.39,0.34,0.32,0.32,0.37,0.34,0.36,0.33,0.34,0.33,0.37,0.34,0.3,0.33,0.32,0.31,0.35,0.31,0.33,0.29,0.31,0.28,0.29,0.27,0.27,0.28,0.28,0.26,0.3,0.29,0.25,0.29,0.26,0.26,0.25,0.25,0.25,0.24,0.26,0.25,0.25,0.26,0.25,0.25,0.24,0.26,0.23,0.21,0.23,0.22,0.23,0.22,0.22,0.22,0.22,0.23,0.21,0.23,0.21,0.2,0.21,0.23,0.2,0.19,0.22,0.2,0.2,0.19,0.18,0.2,0.18,0.18,0.21,0.19,0.21,0.18,0.19,0.2,0.19,0.19,0.19,0.18,0.22,0.17,0.21,0.17,0.18,0.16,0.19,0.15,0.17,0.17,0.17,0.15,0.16,0.16,0.14,0.14,0.16,0.15,0.14,0.16,0.15,0.15,0.13,0.14,0.13,0.13,0.13,0.15,0.13,0.14,0.15,0.15,0.15,0.13,0.13,0.14,0.14,0.0,0.13,0.14,0.0,0.13,0.13,0.0,0.0,0.13,0.13,0.0,0.13,0.13,0.0,0.0,0.0,0.13,0.13,0.14,0.13,0.13,0.0,0.0,0.0,0.0,0.0,79.43
08/04/2021,3.08,2.58,2.31,1.69,1.72,1.53,1.37,1.3,1.29,1.01,0.97,0.97,0.98,0.91,0.95,0.88,0.84,0.8,0.73,0.69,0.76,0.71,0.7,0.66,0.63,0.65,0.62,0.62,0.61,0.68,0.6,0.58,0.57,0.57,0.54,0.57,0.58,0.57,0.51,0.46,0.52,0.53,0.42,0.45,0.5,0.48,0.47,0.47,0.43,0.47,0.43,0.42,0.47,0.39,0.43,0.41,0.39,0.43,0.39,0.4,0.39,0.39,0.4,0.36,0.39,0.39,0.38,0.37,0.39,0.34,0.33,0.32,0.36,0.33,0.35,0.59,0.34,0.33,0.37,0.34,0.3,0.33,0.33,0.31,0.35,0.31,0.33,0.29,0.32,0.28,0.29,0.26,0.27,0.28,0.29,0.26,0.3,0.29,0.24,0.29,0.26,0.27,0.24,0.26,0.24,0.24,0.24,0.24,0.25,0.25,0.24,0.25,0.24,0.26,0.23,0.21,0.23,0.22,0.23,0.22,0.23,0.23,0.22,0.22,0.21,0.22,0.21,0.2,0.21,0.23,0.2,0.18,0.22,0.2,0.19,0.19,0.18,0.2,0.18,0.18,0.2,0.19,0.21,0.18,0.18,0.2,0.19,0.19,0.19,0.18,0.21,0.17,0.21,0.16,0.18,0.16,0.19,0.15,0.18,0.17,0.17,0.15,0.16,0.16,0.14,0.15,0.16,0.14,0.14,0.16,0.16,0.15,0.13,0.14,0.0,0.13,0.13,0.15,0.13,0.14,0.14,0.14,0.15,0.13,0.13,0.14,0.14,0.0,0.0,0.14,0.0,0.13,0.13,0.0,0.0,0.13,0.13,0.0,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.14,0.0,0.13,0.0,0.0,0.0,0.0,0.0,79.28999999999999
08/05/2021,3.07,2.62,2.31,1.68,1.74,1.53,1.37,1.28,1.29,1.03,0.96,0.96,0.98,0.91,0.96,0.81,0.84,0.81,0.73,0.69,0.76,0.71,0.69,0.66,0.63,0.66,0.61,0.61,0.61,0.69,0.62,0.57,0.57,0.56,0.53,0.58,0.58,0.57,0.51,0.45,0.52,0.53,0.42,0.45,0.5,0.49,0.47,0.47,0.44,0.47,0.43,0.42,0.48,0.4,0.45,0.4,0.39,0.43,0.39,0.41,0.39,0.39,0.4,0.36,0.39,0.39,0.39,0.37,0.39,0.34,0.32,0.33,0.36,0.33,0.35,0.59,0.34,0.32,0.37,0.35,0.3,0.33,0.33,0.31,0.35,0.31,0.33,0.29,0.32,0.28,0.28,0.27,0.27,0.28,0.29,0.26,0.3,0.29,0.24,0.3,0.26,0.27,0.25,0.26,0.24,0.24,0.24,0.24,0.25,0.25,0.24,0.26,0.25,0.25,0.23,0.21,0.23,0.22,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.23,0.21,0.2,0.21,0.23,0.2,0.18,0.22,0.2,0.19,0.19,0.18,0.2,0.18,0.18,0.2,0.19,0.21,0.18,0.18,0.2,0.19,0.19,0.19,0.18,0.21,0.17,0.21,0.17,0.18,0.16,0.19,0.15,0.18,0.17,0.17,0.15,0.15,0.16,0.14,0.15,0.16,0.14,0.14,0.15,0.16,0.15,0.13,0.14,0.0,0.13,0.14,0.15,0.0,0.14,0.14,0.14,0.15,0.13,0.13,0.14,0.14,0.0,0.0,0.14,0.13,0.13,0.13,0.0,0.0,0.13,0.13,0.0,0.0,0.13,0.13,0.13,0.13,0.14,0.13,0.14,0.13,0.13,0.0,0.0,0.0,0.0,0.0,79.33
08/06/2021,3.05,2.61,2.32,1.67,1.76,1.53,1.37,1.29,1.29,1.03,0.97,0.95,0.98,0.93,0.96,0.8,0.84,0.81,0.73,0.72,0.77,0.72,0.69,0.65,0.64,0.65,0.61,0.62,0.61,0.69,0.63,0.58,0.57,0.57,0.54,0.58,0.58,0.57,0.5,0.45,0.52,0.53,0.42,0.45,0.51,0.5,0.47,0.47,0.44,0.47,0.44,0.43,0.5,0.39,0.45,0.4,0.39,0.43,0.39,0.41,0.39,0.39,0.39,0.36,0.38,0.39,0.39,0.38,0.39,0.35,0.32,0.33,0.36,0.31,0.35,0.26,0.34,0.32,0.37,0.35,0.3,0.32,0.33,0.31,0.35,0.3,0.33,0.29,0.32,0.26,0.28,0.26,0.27,0.28,0.3,0.26,0.3,0.29,0.24,0.3,0.26,0.27,0.23,0.26,0.24,0.24,0.24,0.22,0.25,0.25,0.24,0.26,0.24,0.25,0.22,0.21,0.23,0.22,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.23,0.21,0.19,0.21,0.23,0.21,0.18,0.22,0.2,0.19,0.19,0.18,0.21,0.18,0.18,0.2,0.19,0.21,0.19,0.18,0.2,0.18,0.19,0.19,0.18,0.21,0.17,0.21,0.16,0.18,0.16,0.19,0.15,0.17,0.17,0.17,0.15,0.15,0.16,0.14,0.15,0.16,0.14,0.14,0.15,0.16,0.15,0.13,0.14,0.13,0.13,0.13,0.15,0.13,0.14,0.14,0.14,0.14,0.13,0.0,0.14,0.14,0.0,0.13,0.14,0.0,0.0,0.13,0.0,0.0,0.0,0.13,0.0,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.16,0.13,0.13,0.0,0.0,0.0,0.0,0.0,79.00999999999999
