,FGXXX,OXY,FANG,VIAC,EOG,DFS,WFC,CF,COF,KMI,FB,SYF,HCA,GS,ORLY,GDDY,ADBE,INCY,BK,ALL,CBOE,ORCL,GRMN,NOC,VFC,NTAP,XOM,LHX,PM,NVR,EMR,CFG,SLB,IP,ICE,UHS,BMY,GOOGL,EIX,MCD,DOV,BAH,DHI,DRI,PH,CSCO,JNJ,NFLX,FDX,C,LSXMK,LOW,FNF,VMW,CMA,SO,IBM,KEY,GILD,AIG,SWKS,AEE,PFG,MRK,MMM,EMN,ABT,JPM,LDOS,MDT,VTRS,DOW,WDC,USB,CERN,TSN,PFE,VZ,DE,SSNC,CAT,AEP,LYB,MU,AMGN,RF,AFL,LMT,T,BBY,ON,MAS,TFC,CTSH,CSX,HBAN,UNP,CMI,CVS,TRV,MO,FMC,BDX,GIS,DLTR,FOXA,CTXS,FLT,TTWO,DTE,HOLX,INTC,BKNG,QRVO,PSA,HST,CNC,LEN,INVH,O,CUZ,WPC,NNN,LAMR,GD,COR,AVGO,CMS,PSB,FISV,GLPI,MPW,AGR,CPB,HTA,KMB,DTM WI,OGN,CI,STZ,ABBV,GPN,ROKU,CZR,BSX,TXT,SBUX,SYK,BXP,SUI,V,KO,DUK,CG,ATVI,PCAR,n/a,ADSK,MTB,ZBH,FIS,SRC,NSC,MPC,SYY,PRU,PINS,TEL,PPL,SLVM WI,SLVM,WBA,ULTA,WAB,VLO,RTX,NXPI,TRU,HSY,PEAK,MET,SBAC,SUM
07/09/2021,1.65,1.09,1.01,0.96,0.96,0.93,0.91,0.91,0.91,0.9,0.9,0.9,0.89,0.88,0.87,0.87,0.86,0.86,0.86,0.86,0.86,0.85,0.85,0.85,0.85,0.85,0.84,0.84,0.84,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.8,0.8,0.8,0.8,0.8,0.8,0.79,0.79,0.79,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.77,0.77,0.77,0.77,0.77,0.77,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.74,0.74,0.73,0.73,0.72,0.72,0.72,0.71,0.7,0.7,0.69,0.66,0.65,0.65,0.64,0.64,0.63,0.62,0.55,0.53,0.47,0.45,0.45,0.44,0.42,0.42,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.4,0.39,0.39,0.39,0.38,0.37,0.36,0.34,0.33,0.3,0.12,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/12/2021,1.66,0.97,0.89,0.92,0.91,0.93,0.87,0.87,0.9,0.9,0.9,0.89,0.91,0.87,0.89,0.87,0.9,0.85,0.84,0.87,0.85,0.93,0.87,0.86,0.84,0.86,0.81,0.87,0.83,0.86,0.84,0.8,0.78,0.83,0.82,0.85,0.84,0.85,0.83,0.84,0.84,0.85,0.83,0.83,0.82,0.82,0.83,0.82,0.8,0.78,0.81,0.82,0.81,0.82,0.76,0.81,0.77,0.77,0.79,0.77,0.8,0.81,0.77,0.8,0.79,0.77,0.81,0.77,0.79,0.8,0.75,0.77,0.76,0.76,0.79,0.77,0.77,0.78,0.77,0.77,0.76,0.77,0.75,0.75,0.75,0.72,0.76,0.77,0.76,0.71,0.74,0.75,0.72,0.74,0.76,0.72,0.75,0.72,0.72,0.73,0.7,0.69,0.72,0.69,0.66,0.64,0.66,0.67,0.63,0.64,0.64,0.56,0.53,0.47,0.47,0.43,0.44,0.43,0.44,0.43,0.42,0.43,0.42,0.42,0.41,0.43,0.4,0.4,0.41,0.4,0.39,0.37,0.37,0.34,0.34,0.31,0.11,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/13/2021,1.66,0.97,0.89,0.92,0.91,0.93,0.87,0.87,0.9,0.9,0.9,0.89,0.91,0.87,0.89,0.87,0.9,0.85,0.84,0.87,0.85,0.93,0.87,0.86,0.84,0.86,0.81,0.87,0.83,0.86,0.84,0.8,0.78,0.83,0.82,0.85,0.84,0.85,0.83,0.84,0.84,0.85,0.83,0.83,0.82,0.82,0.83,0.82,0.8,0.78,0.81,0.82,0.81,0.82,0.76,0.81,0.77,0.77,0.79,0.77,0.8,0.81,0.77,0.8,0.79,0.77,0.81,0.77,0.79,0.8,0.75,0.77,0.76,0.76,0.79,0.77,0.77,0.78,0.77,0.77,0.76,0.77,0.75,0.75,0.75,0.72,0.76,0.77,0.76,0.71,0.74,0.75,0.72,0.74,0.76,0.72,0.75,0.72,0.72,0.73,0.7,0.69,0.72,0.69,0.66,0.64,0.66,0.67,0.63,0.64,0.64,0.56,0.53,0.47,0.47,0.43,0.44,0.43,0.44,0.43,0.42,0.43,0.42,0.42,0.41,0.43,0.4,0.4,0.41,0.4,0.39,0.37,0.37,0.34,0.34,0.31,0.11,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/14/2021,1.68,0.99,0.9,0.91,0.92,0.95,0.88,0.88,0.93,0.92,0.89,0.9,0.92,0.88,0.9,0.85,0.89,0.84,0.84,0.87,0.86,0.94,0.87,0.86,0.85,0.85,0.82,0.86,0.83,0.83,0.84,0.81,0.79,0.84,0.82,0.85,0.84,0.84,0.83,0.84,0.84,0.85,0.79,0.82,0.83,0.82,0.83,0.82,0.81,0.78,0.81,0.81,0.81,0.82,0.77,0.8,0.77,0.77,0.79,0.77,0.8,0.8,0.77,0.78,0.79,0.77,0.8,0.78,0.8,0.79,0.76,0.77,0.77,0.76,0.78,0.77,0.77,0.77,0.76,0.77,0.77,0.77,0.76,0.75,0.75,0.74,0.75,0.76,0.74,0.72,0.75,0.75,0.73,0.74,0.73,0.73,0.72,0.72,0.71,0.73,0.71,0.7,0.71,0.68,0.66,0.64,0.65,0.65,0.61,0.65,0.63,0.56,0.53,0.47,0.47,0.44,0.44,0.41,0.45,0.43,0.43,0.44,0.42,0.43,0.41,0.43,0.41,0.4,0.41,0.4,0.39,0.38,0.37,0.34,0.34,0.31,0.11,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/15/2021,1.69,0.98,0.91,0.92,0.92,0.98,0.88,0.87,0.95,0.91,0.9,0.91,0.92,0.9,0.9,0.84,0.89,0.83,0.84,0.87,0.85,0.93,0.87,0.85,0.84,0.85,0.81,0.86,0.82,0.81,0.85,0.82,0.78,0.84,0.82,0.85,0.84,0.85,0.83,0.83,0.84,0.84,0.78,0.83,0.83,0.81,0.83,0.82,0.81,0.79,0.81,0.81,0.82,0.8,0.78,0.81,0.77,0.78,0.78,0.78,0.8,0.81,0.77,0.78,0.79,0.77,0.79,0.78,0.79,0.79,0.75,0.77,0.77,0.77,0.78,0.76,0.77,0.76,0.76,0.77,0.77,0.76,0.75,0.75,0.75,0.74,0.75,0.75,0.74,0.72,0.76,0.75,0.74,0.74,0.73,0.74,0.72,0.72,0.71,0.73,0.71,0.7,0.71,0.68,0.66,0.64,0.63,0.65,0.62,0.65,0.63,0.56,0.53,0.47,0.47,0.44,0.44,0.41,0.45,0.43,0.43,0.44,0.43,0.43,0.41,0.43,0.41,0.39,0.41,0.39,0.39,0.37,0.37,0.34,0.34,0.3,0.11,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/16/2021,1.68,0.98,0.9,0.9,0.91,0.97,0.86,0.85,0.93,0.89,0.89,0.89,0.91,0.88,0.89,0.83,0.89,0.82,0.83,0.85,0.84,0.93,0.86,0.84,0.83,0.82,0.81,0.86,0.81,0.78,0.84,0.8,0.77,0.82,0.81,0.84,0.83,0.85,0.74,0.83,0.83,0.84,0.76,0.81,0.82,0.81,0.82,0.82,0.81,0.78,0.79,0.8,0.79,0.77,0.76,0.8,0.76,0.76,0.78,0.76,0.79,0.8,0.76,0.77,0.78,0.75,0.79,0.77,0.79,0.78,0.73,0.76,0.76,0.76,0.78,0.74,0.76,0.76,0.75,0.76,0.75,0.76,0.75,0.74,0.75,0.73,0.74,0.75,0.73,0.7,0.75,0.74,0.72,0.73,0.72,0.72,0.71,0.71,0.71,0.72,0.69,0.69,0.7,0.67,0.65,0.62,0.63,0.64,0.62,0.64,0.62,0.56,0.52,0.47,0.46,0.43,0.44,0.39,0.44,0.42,0.43,0.43,0.42,0.42,0.41,0.42,0.41,0.39,0.4,0.4,0.38,0.36,0.37,0.33,0.33,0.3,0.11,0.03,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/19/2021,2.7,0.92,0.86,0.72,0.89,0.96,0.9,0.86,0.92,0.88,0.89,0.87,0.92,0.89,0.91,0.0,0.9,0.82,0.83,0.86,0.84,0.78,0.87,0.84,0.82,0.83,0.8,0.87,0.84,0.8,0.85,0.8,0.75,0.83,0.0,0.85,0.85,0.86,0.75,0.84,0.85,0.85,0.77,0.82,0.82,0.83,0.84,0.84,0.81,0.78,0.81,0.8,0.8,0.78,0.77,0.81,0.77,0.77,0.79,0.77,0.81,0.82,0.76,0.78,0.8,0.76,0.78,0.77,0.79,0.79,0.75,0.76,0.77,0.77,0.78,0.74,1.16,0.77,0.75,0.77,0.75,0.78,0.75,0.75,0.75,0.72,0.75,0.75,0.74,0.71,0.75,0.75,0.73,0.74,0.73,0.72,0.72,0.71,0.72,0.74,0.71,0.7,0.7,0.68,0.66,0.64,0.64,0.66,0.62,0.65,0.62,0.56,0.53,0.47,0.47,0.43,0.44,0.4,0.45,0.43,0.43,0.44,0.43,0.42,0.41,0.43,0.41,0.0,0.41,0.4,0.39,0.43,0.37,0.33,0.43,0.31,0.12,0.03,0.76,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
07/20/2021,2.2,0.9,0.83,0.71,0.86,0.97,0.91,0.86,0.93,0.88,0.88,0.88,0.93,0.89,0.92,0.0,0.9,0.83,0.83,0.85,0.86,0.77,0.88,0.85,0.82,0.83,0.79,0.87,0.84,0.8,0.86,0.81,0.73,0.82,0.0,0.86,0.85,0.86,0.76,0.85,0.85,0.86,0.78,0.81,0.82,0.83,0.83,0.83,0.81,0.79,0.8,0.82,0.81,0.79,0.78,0.83,0.77,0.78,0.8,0.8,0.81,0.83,0.77,0.79,0.8,0.76,0.79,0.78,0.81,0.78,0.74,0.76,0.74,0.8,0.79,0.76,1.18,0.78,0.76,0.78,0.75,0.79,0.75,0.74,0.77,0.74,0.76,0.76,0.74,0.73,0.73,0.75,0.75,0.74,0.74,0.73,0.72,0.72,0.73,0.75,0.71,0.7,0.71,0.69,0.66,0.63,0.64,0.67,0.61,0.66,0.63,0.56,0.53,0.47,0.48,0.43,0.44,0.41,0.45,0.44,0.44,0.45,0.43,0.42,0.42,0.43,0.41,0.0,0.41,0.41,0.39,0.43,0.38,0.34,0.44,0.31,0.12,0.03,0.76,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06000000000002
07/21/2021,2.22,0.87,0.81,0.7,0.84,0.96,0.9,0.83,0.93,0.88,0.88,0.87,0.93,0.88,0.93,0.0,0.91,0.82,0.85,0.86,0.86,0.79,0.89,0.85,0.8,0.81,0.78,0.88,0.85,0.8,0.85,0.79,0.72,0.81,0.0,0.85,0.85,0.87,0.77,0.85,0.86,0.87,0.78,0.8,0.81,0.84,0.84,0.82,0.81,0.78,0.8,0.83,0.82,0.79,0.76,0.84,0.77,0.76,0.81,0.79,0.81,0.85,0.77,0.8,0.8,0.75,0.8,0.77,0.82,0.79,0.74,0.75,0.71,0.78,0.78,0.76,1.19,0.79,0.76,0.79,0.75,0.8,0.72,0.73,0.78,0.72,0.76,0.76,0.75,0.73,0.71,0.77,0.74,0.74,0.74,0.72,0.73,0.72,0.73,0.76,0.72,0.69,0.72,0.7,0.67,0.63,0.66,0.67,0.63,0.67,0.65,0.56,0.53,0.47,0.48,0.42,0.44,0.41,0.46,0.44,0.45,0.45,0.44,0.42,0.42,0.44,0.41,0.0,0.42,0.41,0.39,0.44,0.39,0.34,0.45,0.32,0.12,0.03,0.77,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.08
07/22/2021,2.22,0.87,0.81,0.7,0.84,0.96,0.9,0.83,0.93,0.88,0.88,0.87,0.93,0.88,0.93,0.0,0.91,0.82,0.85,0.86,0.86,0.79,0.89,0.85,0.8,0.81,0.78,0.88,0.85,0.8,0.85,0.79,0.72,0.81,0.0,0.85,0.85,0.87,0.77,0.85,0.86,0.87,0.78,0.8,0.81,0.84,0.84,0.82,0.81,0.78,0.8,0.83,0.82,0.79,0.76,0.84,0.77,0.76,0.81,0.79,0.81,0.85,0.77,0.8,0.8,0.75,0.8,0.77,0.82,0.79,0.74,0.75,0.71,0.78,0.78,0.76,1.19,0.79,0.76,0.79,0.75,0.8,0.72,0.73,0.78,0.72,0.76,0.76,0.75,0.73,0.71,0.77,0.74,0.74,0.74,0.72,0.73,0.72,0.73,0.76,0.72,0.69,0.72,0.7,0.67,0.63,0.66,0.67,0.63,0.67,0.65,0.56,0.53,0.47,0.48,0.42,0.44,0.41,0.46,0.44,0.45,0.45,0.44,0.42,0.42,0.44,0.41,0.0,0.42,0.41,0.39,0.44,0.39,0.34,0.45,0.32,0.12,0.03,0.77,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.08
