,NESN.SW,ASML.AS,ROG.SW,NOVN.SW,MC.PA,7203.T,AZN.L,ULVR.L,1299.HK,SAP.DE,NOVO B.CO,CBA.AX,6758.T,SIE.DE,TTE.PA,HSBA.L,DGE.L,SAN.PA,BHP.AX,ALV.DE,GSK.L,6861.T,CSL.AX,OR.PA,BATS.L,RIO.L,SU.PA,AI.PA,RDSA.AS,IBE.MC,BP.L,9984.T,AIR.PA,388.HK,RYDBF,ENEL.MI,BAS.DE,DAI.DE,7974.T,BNP.PA,4063.T,WBC.AX,DPW.DE,6098.T,DTE.DE,ADS.DE,RKT.L,SAN.MC,NAB.AX,ADYEN.AS,8306.T,8035.T,KER.PA,ABBN.SW,BHP.L,6594.T,ZURN,DG.PA,BAYN.DE,ABI.BR,9432.T,CS.PA,ANZ.AX,NXPI,6501.T,UBSG.SW,RITN.,REL.L,EL.PA,SAF.PA,DSV.CO,LONN.SW,7267.T,4502.T,GLEN.L,INGA.AS,PRU.L,LSEG.L,6367.T,6981.T,7741.T,WES.AX,9433.T,RMS.PA,IFX.DE,6954.T,ISP.MI,AAL.L,VOD.L,LLOY.L,NG.L,BN.PA,8316.T,SIKA.SW,VOW3.DE,INVE B.ST,PHIA.AS,8001.T,D05.SI,MQG.AX,STLA.MI,CRH.L,BARC.L,PRX.AS,9983.T,BBVA.MC,MUV2.DE,GIVN.SW,VWS.CO,VNA.DE,ATCO A.ST,ITX.MC,RI.PA,ERIC B.ST,CPG.L,8058.T,EXPN.L,9434.T,8031.T,6273.T,VOLV B.ST,ALC.SW,O39.SI,RIO.AX,WOW.AX,3382.T,6702.T,SGO.PA,PGHN.SW,BMW.DE,DSY.PA,8411.T,AHT.L,NDA SE.ST,TLS.AX,FLTR.L,CAP.PA,FERG.L,NOKIA.HE,AD.AS,6902.T,DSM.AS,DB1.DE,AMS.MC,4503.T,FMG.AX,4911.T,ENI.MI,NESTE.HE,2413.T,4452.T,HOLN.SW,TCL.AX,KNEBV.HE,4661.T,HEXA B.ST,8766.T,ASSA B.ST,WKL.AS,SAND.ST,EVO.ST,U11.SI,LR.PA,GMG.AX,GEBN.SW,9022.T,GMAB.CO,4901.T,4543.T,HEIA.AS,SREN.SW,4523.T,6752.T,ML.PA,6503.T,MRK.DE,5108.T,ORSTED.CO,CSGN.SW,ENGI.PA,GLE.PA,9020.T,EOAN.DE,STM.PA,DBK.DE,UCG.MI,BA.L,7733.T,TSCO.L,6326.T,669.HK,TEP.PA,CLNX.MC,4519.T,RACE.MI,ORA.PA,AV.L,G.MI,KRZ.IR,6301.T,RWE.DE,WLN.PA,USD,SSE.L,DSYA.,KBC.BR,LGEN.L,AKZA.AS,7751.T,16.HK,ZURN.SW,UG,1164.HK,BT.A.L,2914.T,8801.T,SAMPO.HE,COLO B.CO,BNTX,MT.AS,VIV.PA,TEF.MC,4568.T,ZAL.DE,DHER.DE,EQNR.OL,CFR.SW,NIBE B.ST,8591.T,GBP,7309.T,MFSZ1,SUM
07/09/2021,1.95,1.64,1.55,1.25,1.17,1.15,0.88,0.88,0.87,0.83,0.81,0.75,0.73,0.73,0.68,0.68,0.65,0.65,0.62,0.59,0.58,0.55,0.54,0.53,0.51,0.5,0.5,0.48,0.48,0.46,0.46,0.45,0.44,0.44,0.42,0.42,0.41,0.41,0.41,0.4,0.4,0.4,0.39,0.39,0.39,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.71
07/12/2021,2.0,1.62,1.59,1.27,1.15,1.16,0.87,0.89,0.85,0.86,0.83,0.76,0.72,0.73,0.67,0.67,0.64,0.65,0.63,0.59,0.58,0.57,0.55,0.53,0.51,0.5,0.49,0.48,0.48,0.45,0.46,0.46,0.44,0.47,0.42,0.42,0.42,0.41,0.39,0.39,0.39,0.4,0.39,0.39,0.4,0.38,0.37,0.36,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.32,0.31,0.32,0.3,0.31,0.31,0.31,0.31,0.31,0.32,0.3,0.3,0.3,0.29,0.28,0.29,0.31,0.3,0.29,0.29,0.29,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.26,0.26,0.26,0.25,0.25,0.24,0.25,0.23,0.24,0.23,0.23,0.23,0.22,0.23,0.22,0.22,0.22,0.22,0.22,0.23,0.22,0.22,0.22,0.21,0.22,0.21,0.21,0.2,0.22,0.21,0.2,0.19,0.2,0.21,0.2,0.2,0.2,0.2,0.19,0.0,0.19,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.0,0.14,0.14,0.14,0.15,0.14,0.13,0.14,0.14,0.14,0.15,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.0,0.13,0.0,0.13,0.13,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.8
07/13/2021,2.0,1.62,1.59,1.27,1.15,1.16,0.87,0.89,0.85,0.86,0.83,0.76,0.72,0.73,0.67,0.67,0.64,0.65,0.63,0.59,0.58,0.57,0.55,0.53,0.51,0.5,0.49,0.48,0.48,0.45,0.46,0.46,0.44,0.47,0.42,0.42,0.42,0.41,0.39,0.39,0.39,0.4,0.39,0.39,0.4,0.38,0.37,0.36,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.32,0.31,0.32,0.3,0.31,0.31,0.31,0.31,0.31,0.32,0.3,0.3,0.3,0.29,0.28,0.29,0.31,0.3,0.29,0.29,0.29,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.26,0.26,0.26,0.25,0.25,0.24,0.25,0.23,0.24,0.23,0.23,0.23,0.22,0.23,0.22,0.22,0.22,0.22,0.22,0.23,0.22,0.22,0.22,0.21,0.22,0.21,0.21,0.2,0.22,0.21,0.2,0.19,0.2,0.21,0.2,0.2,0.2,0.2,0.19,0.0,0.19,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.0,0.14,0.14,0.14,0.15,0.14,0.13,0.14,0.14,0.14,0.15,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.0,0.13,0.0,0.13,0.13,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.8
07/14/2021,1.97,1.65,1.57,1.27,1.18,1.14,0.87,0.89,0.85,0.86,0.83,0.75,0.72,0.74,0.68,0.68,0.64,0.65,0.63,0.6,0.58,0.55,0.54,0.54,0.51,0.52,0.5,0.48,0.48,0.44,0.47,0.45,0.45,0.46,0.42,0.42,0.43,0.42,0.39,0.4,0.38,0.39,0.39,0.38,0.4,0.38,0.37,0.37,0.37,0.37,0.35,0.36,0.37,0.37,0.37,0.33,0.35,0.34,0.34,0.34,0.34,0.34,0.32,0.32,0.32,0.3,0.31,0.31,0.31,0.31,0.31,0.31,0.29,0.3,0.31,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.26,0.27,0.28,0.27,0.26,0.27,0.26,0.25,0.26,0.27,0.25,0.24,0.25,0.23,0.24,0.23,0.23,0.24,0.22,0.23,0.23,0.22,0.22,0.22,0.22,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.21,0.21,0.2,0.19,0.2,0.21,0.2,0.2,0.2,0.2,0.19,0.0,0.19,0.2,0.19,0.19,0.18,0.18,0.19,0.18,0.18,0.17,0.18,0.18,0.18,0.18,0.18,0.16,0.17,0.17,0.16,0.16,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.17,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.15,0.13,0.0,0.14,0.14,0.14,0.14,0.13,0.0,0.0,0.13,0.13,0.13,0.0,0.0,0.13,0.2,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.85999999999999
07/15/2021,1.96,1.66,1.56,1.26,1.18,1.15,0.88,0.88,0.84,0.86,0.82,0.75,0.74,0.73,0.67,0.67,0.64,0.66,0.64,0.59,0.58,0.57,0.54,0.53,0.51,0.52,0.5,0.48,0.47,0.45,0.46,0.45,0.44,0.47,0.42,0.43,0.42,0.41,0.39,0.39,0.38,0.39,0.39,0.39,0.4,0.38,0.37,0.37,0.37,0.37,0.35,0.36,0.37,0.36,0.37,0.34,0.35,0.34,0.34,0.34,0.34,0.33,0.32,0.32,0.33,0.3,0.32,0.31,0.31,0.3,0.31,0.31,0.3,0.3,0.31,0.29,0.29,0.29,0.3,0.29,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.25,0.26,0.27,0.25,0.24,0.25,0.23,0.24,0.23,0.23,0.24,0.22,0.23,0.23,0.22,0.22,0.22,0.22,0.23,0.22,0.22,0.22,0.21,0.22,0.22,0.21,0.2,0.22,0.21,0.2,0.19,0.2,0.21,0.2,0.2,0.2,0.2,0.19,0.0,0.19,0.2,0.19,0.19,0.17,0.18,0.19,0.18,0.18,0.17,0.18,0.18,0.17,0.18,0.19,0.16,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.16,0.16,0.17,0.16,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.0,0.0,0.0,0.13,0.14,0.0,0.0,0.13,0.2,0.13,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.87
07/16/2021,1.96,1.68,1.56,1.25,1.18,1.15,0.87,0.89,0.86,0.87,0.82,0.74,0.74,0.74,0.66,0.67,0.65,0.66,0.64,0.59,0.58,0.57,0.54,0.53,0.51,0.51,0.5,0.48,0.47,0.44,0.45,0.46,0.44,0.47,0.42,0.42,0.42,0.41,0.38,0.39,0.39,0.39,0.39,0.38,0.4,0.38,0.36,0.36,0.37,0.38,0.36,0.36,0.37,0.36,0.37,0.34,0.34,0.33,0.34,0.34,0.34,0.33,0.32,0.32,0.33,0.3,0.31,0.31,0.32,0.29,0.31,0.31,0.3,0.3,0.3,0.28,0.28,0.29,0.3,0.29,0.28,0.28,0.28,0.28,0.27,0.28,0.26,0.27,0.27,0.26,0.26,0.26,0.25,0.26,0.27,0.25,0.24,0.25,0.23,0.24,0.23,0.22,0.23,0.22,0.23,0.22,0.22,0.22,0.22,0.22,0.23,0.22,0.22,0.23,0.21,0.22,0.22,0.21,0.2,0.22,0.21,0.2,0.19,0.2,0.21,0.2,0.2,0.2,0.2,0.19,0.0,0.19,0.2,0.19,0.19,0.17,0.18,0.19,0.19,0.18,0.18,0.19,0.18,0.17,0.18,0.19,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.16,0.17,0.17,0.16,0.15,0.16,0.16,0.16,0.17,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.13,0.14,0.14,0.14,0.15,0.14,0.0,0.0,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.0,0.0,0.0,0.0,0.13,0.13,0.13,0.14,0.13,0.2,0.0,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.81
07/19/2021,1.96,1.69,1.57,1.25,1.18,1.16,0.84,0.89,0.86,0.86,0.83,0.74,0.74,0.72,0.66,0.67,0.65,0.65,0.65,0.59,0.57,0.57,0.54,0.54,0.51,0.52,0.5,0.48,0.46,0.44,0.44,0.46,0.44,0.48,0.41,0.42,0.42,0.42,0.39,0.39,0.38,0.39,0.39,0.39,0.4,0.38,0.36,0.37,0.37,0.38,0.36,0.36,0.37,0.36,0.37,0.34,0.34,0.33,0.34,0.34,0.34,0.34,0.32,0.31,0.32,0.31,0.32,0.32,0.31,0.29,0.32,0.31,0.3,0.31,0.31,0.28,0.29,0.28,0.3,0.3,0.28,0.28,0.29,0.29,0.27,0.27,0.26,0.28,0.26,0.26,0.26,0.26,0.25,0.26,0.26,0.25,0.24,0.25,0.23,0.24,0.22,0.22,0.23,0.23,0.23,0.22,0.22,0.22,0.2,0.22,0.23,0.21,0.22,0.23,0.21,0.22,0.22,0.21,0.2,0.22,0.21,0.19,0.19,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.0,0.19,0.2,0.19,0.19,0.17,0.18,0.18,0.19,0.18,0.17,0.19,0.18,0.17,0.19,0.19,0.16,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.16,0.16,0.15,0.16,0.17,0.17,0.16,0.15,0.16,0.16,0.16,0.17,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.13,0.14,0.14,0.13,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.13,0.2,0.0,0.0,0.13,0.14,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.81
07/20/2021,1.99,1.67,1.6,1.26,1.17,1.17,0.84,0.9,0.87,0.87,0.85,0.74,0.73,0.72,0.66,0.66,0.66,0.66,0.66,0.59,0.57,0.57,0.54,0.54,0.52,0.51,0.49,0.48,0.46,0.45,0.44,0.46,0.44,0.5,0.41,0.43,0.42,0.41,0.39,0.39,0.38,0.39,0.39,0.39,0.41,0.38,0.37,0.36,0.37,0.39,0.36,0.36,0.37,0.36,0.37,0.35,0.0,0.33,0.34,0.34,0.35,0.33,0.32,0.3,0.33,0.31,0.32,0.32,0.31,0.3,0.31,0.31,0.3,0.31,0.3,0.28,0.29,0.28,0.31,0.3,0.28,0.29,0.29,0.28,0.26,0.27,0.26,0.27,0.26,0.26,0.27,0.26,0.26,0.27,0.26,0.26,0.24,0.25,0.23,0.24,0.0,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.2,0.23,0.24,0.21,0.22,0.21,0.21,0.22,0.23,0.21,0.2,0.22,0.21,0.2,0.19,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.0,0.19,0.2,0.19,0.19,0.17,0.18,0.18,0.19,0.18,0.17,0.19,0.18,0.17,0.19,0.19,0.16,0.16,0.17,0.16,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.16,0.16,0.15,0.16,0.17,0.17,0.16,0.15,0.16,0.16,0.16,0.17,0.15,0.13,0.15,0.15,0.15,0.15,0.14,0.15,0.13,0.14,0.14,0.13,0.0,0.14,0.13,0.13,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.0,0.13,0.0,0.13,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.14,0.0,0.35,0.22,0.15,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.97
07/21/2021,1.98,1.67,1.59,1.26,1.17,1.17,0.84,0.9,0.87,0.87,0.84,0.74,0.73,0.72,0.65,0.66,0.66,0.66,0.65,0.59,0.57,0.57,0.54,0.54,0.52,0.51,0.49,0.48,0.46,0.45,0.44,0.46,0.44,0.5,0.41,0.43,0.42,0.41,0.39,0.39,0.38,0.38,0.39,0.39,0.41,0.37,0.37,0.36,0.37,0.38,0.36,0.36,0.37,0.36,0.36,0.35,0.35,0.33,0.34,0.34,0.34,0.33,0.31,0.3,0.32,0.31,0.32,0.32,0.31,0.29,0.31,0.31,0.3,0.31,0.3,0.28,0.28,0.28,0.3,0.3,0.28,0.29,0.29,0.28,0.26,0.27,0.26,0.27,0.26,0.26,0.27,0.26,0.26,0.26,0.26,0.26,0.24,0.25,0.23,0.24,0.22,0.22,0.23,0.23,0.22,0.22,0.22,0.22,0.2,0.23,0.24,0.21,0.22,0.2,0.21,0.22,0.23,0.21,0.2,0.22,0.21,0.2,0.19,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.0,0.19,0.2,0.19,0.19,0.17,0.18,0.18,0.19,0.18,0.17,0.19,0.18,0.17,0.19,0.19,0.16,0.16,0.17,0.16,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.16,0.15,0.15,0.16,0.17,0.17,0.16,0.15,0.16,0.16,0.16,0.17,0.15,0.13,0.15,0.15,0.15,0.15,0.14,0.15,0.0,0.14,0.14,0.0,0.15,0.14,0.13,0.13,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.0,0.0,0.13,0.0,0.0,0.0,0.15,0.0,0.2,0.0,0.0,0.13,0.14,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.8
07/22/2021,2.02,1.66,1.61,1.26,1.16,1.19,0.85,0.91,0.86,0.86,0.86,0.74,0.73,0.71,0.64,0.65,0.65,0.66,0.64,0.58,0.57,0.56,0.56,0.55,0.51,0.5,0.49,0.49,0.44,0.45,0.42,0.46,0.42,0.5,0.39,0.41,0.41,0.4,0.39,0.38,0.38,0.38,0.39,0.39,0.4,0.37,0.37,0.35,0.37,0.38,0.36,0.36,0.36,0.36,0.36,0.35,0.34,0.32,0.34,0.33,0.35,0.33,0.31,0.31,0.32,0.3,0.31,0.32,0.31,0.29,0.31,0.31,0.3,0.31,0.29,0.27,0.28,0.28,0.31,0.3,0.29,0.29,0.29,0.28,0.26,0.27,0.26,0.26,0.26,0.25,0.27,0.26,0.26,0.27,0.26,0.25,0.24,0.26,0.23,0.24,0.22,0.22,0.22,0.23,0.23,0.22,0.21,0.23,0.21,0.23,0.24,0.21,0.22,0.2,0.2,0.22,0.23,0.22,0.21,0.22,0.2,0.2,0.19,0.2,0.21,0.2,0.2,0.2,0.2,0.18,0.0,0.2,0.2,0.19,0.19,0.17,0.18,0.18,0.19,0.18,0.17,0.19,0.18,0.17,0.19,0.19,0.16,0.16,0.17,0.16,0.17,0.17,0.17,0.17,0.16,0.17,0.18,0.17,0.17,0.16,0.15,0.16,0.17,0.17,0.17,0.15,0.16,0.16,0.16,0.16,0.15,0.14,0.15,0.15,0.16,0.15,0.14,0.15,0.13,0.14,0.13,0.13,0.15,0.14,0.0,0.0,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.13,0.14,0.13,0.0,0.15,0.0,0.2,0.0,0.0,0.0,0.14,0.13,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.66999999999999
