,CRSP,BEAM,NTLA,EDIT,VERV,ABBV,ILMN,TMO,NOVN.SW,A,BLUE,SGMO,ALLO,CRBU,BMY,DTIL,SAN.PA,REGN,VRTX,QGEN,BIIB,TWST,PACB,FGXXX,FXFXX,SUM
01/24/2022,9.82,9.63,8.88,7.45,6.0,5.86,5.78,5.07,4.69,4.64,4.56,4.42,3.86,3.72,3.55,3.44,2.85,1.64,1.43,1.23,0.82,0.28,0.25,0.07,0.07,100.01
01/25/2022,9.99,9.85,8.9,7.13,6.04,5.85,5.81,5.1,4.77,4.67,4.25,4.43,3.89,3.58,3.59,3.4,2.93,1.65,1.44,1.25,0.81,0.27,0.24,0.07,0.07,99.98
01/26/2022,9.91,10.04,8.95,7.02,6.03,5.92,5.69,5.13,4.78,4.7,4.53,4.32,3.89,3.49,3.6,3.2,2.93,1.71,1.46,1.25,0.81,0.27,0.24,0.07,0.07,100.01
01/27/2022,9.91,10.04,8.95,7.02,6.03,5.92,5.69,5.13,4.78,4.7,4.53,4.32,3.89,3.49,3.6,3.2,2.93,1.71,1.46,1.25,0.81,0.27,0.24,0.07,0.07,100.01
01/28/2022,9.84,10.59,9.26,7.02,5.68,5.93,5.33,4.99,4.56,4.57,4.82,4.52,3.87,3.59,3.52,3.25,2.87,1.65,1.45,1.22,0.81,0.27,0.24,0.07,0.07,99.99
01/31/2022,9.7,9.94,9.43,7.03,5.14,6.35,5.26,5.11,4.87,4.7,4.76,4.38,3.75,3.57,3.78,3.09,3.13,1.74,1.52,1.26,0.84,0.28,0.23,0.08,0.08,100.02
02/01/2022,9.7,9.94,9.43,7.03,5.14,6.35,5.26,5.11,4.87,4.7,4.76,4.38,3.75,3.57,3.78,3.09,3.13,1.74,1.52,1.26,0.84,0.28,0.23,0.08,0.08,100.02
02/02/2022,9.7,9.94,9.43,7.03,5.14,6.35,5.26,5.11,4.87,4.7,4.76,4.38,3.75,3.57,3.78,3.09,3.13,1.74,1.52,1.26,0.84,0.28,0.23,0.08,0.08,100.02
02/03/2022,9.46,10.38,9.57,6.84,5.34,6.27,5.23,5.13,4.72,4.74,4.77,4.4,3.68,3.55,3.73,3.08,3.02,1.74,1.58,1.26,0.84,0.27,0.24,0.07,0.07,99.98
02/04/2022,9.46,10.38,9.57,6.84,5.34,6.27,5.23,5.13,4.72,4.74,4.77,4.4,3.68,3.55,3.73,3.08,3.02,1.74,1.58,1.26,0.84,0.27,0.24,0.07,0.07,99.98
02/07/2022,9.62,9.69,10.45,7.0,4.9,6.35,5.58,5.3,4.75,4.87,4.31,4.2,3.65,3.58,3.66,3.06,2.98,1.71,1.57,1.26,0.81,0.32,0.26,0.05,0.05,99.98
02/08/2022,9.62,9.69,10.45,7.0,4.9,6.35,5.58,5.3,4.75,4.87,4.31,4.2,3.65,3.58,3.66,3.06,2.98,1.71,1.57,1.26,0.81,0.32,0.26,0.05,0.05,99.98
02/09/2022,9.62,9.69,10.45,7.0,4.9,6.35,5.58,5.3,4.75,4.87,4.31,4.2,3.65,3.58,3.66,3.06,2.98,1.71,1.57,1.26,0.81,0.32,0.26,0.05,0.05,99.98
02/10/2022,9.62,9.84,10.43,7.29,5.03,6.23,5.4,5.06,4.64,4.67,4.35,4.24,3.75,3.67,3.66,3.28,2.95,1.67,1.52,1.25,0.79,0.3,0.26,0.05,0.05,100.0
02/11/2022,9.55,9.93,10.12,6.67,5.24,6.36,5.45,5.13,4.68,4.75,4.34,4.23,3.65,3.92,3.69,3.35,3.0,1.68,1.52,1.25,0.8,0.32,0.26,0.05,0.05,99.99
02/14/2022,9.74,10.34,10.16,6.77,5.5,6.07,5.41,4.94,4.51,4.67,4.35,4.31,3.58,4.09,3.6,3.3,2.87,1.61,1.48,1.22,0.79,0.32,0.27,0.05,0.05,100.0
02/15/2022,9.59,10.1,10.18,6.55,5.53,6.26,5.45,5.02,4.63,4.74,4.23,4.36,3.56,3.99,3.69,3.3,2.96,1.66,1.48,1.25,0.79,0.31,0.26,0.05,0.05,99.99
02/16/2022,9.49,10.2,10.14,6.3,5.79,6.43,5.2,5.06,4.75,4.73,4.15,4.42,3.51,3.67,3.83,3.26,3.06,1.77,1.51,1.25,0.79,0.29,0.27,0.05,0.05,99.96999999999998
02/17/2022,9.49,10.2,10.14,6.3,5.79,6.43,5.2,5.06,4.75,4.73,4.15,4.42,3.51,3.67,3.83,3.26,3.06,1.77,1.51,1.25,0.79,0.29,0.27,0.05,0.05,99.96999999999998
