,IVV,QQQ,USMV,IJH,IWM,STIP,GLD,XOP,VNQ,UVXY,SH,SUM
01/24/2022,24.31,22.31,21.04,16.03,7.27,3.36,1.99,1.94,1.75,0.0,0.0,100.0
01/25/2022,24.31,22.31,21.04,16.03,7.27,3.36,1.99,1.94,1.75,0.0,0.0,100.0
01/26/2022,24.31,22.31,21.04,16.03,7.27,3.36,1.99,1.94,1.75,0.0,0.0,100.0
01/27/2022,19.73,18.3,24.95,13.56,6.47,4.02,2.37,2.27,2.08,6.24,0.0,99.98999999999998
01/28/2022,19.72,18.1,24.87,13.47,6.46,4.07,2.41,2.38,2.1,6.42,0.0,100.0
01/31/2022,19.81,18.1,24.86,13.28,6.29,4.11,2.37,2.38,2.06,6.75,0.0,100.01000000000002
02/01/2022,19.81,18.1,24.86,13.28,6.29,4.11,2.37,2.38,2.06,6.75,0.0,100.01
02/02/2022,19.81,18.1,24.86,13.28,6.29,4.11,2.37,2.38,2.06,6.75,0.0,100.01000000000002
02/03/2022,19.81,18.1,24.86,13.28,6.29,4.11,2.37,2.38,2.06,6.75,0.0,100.01000000000002
02/04/2022,20.11,18.76,25.08,13.48,6.44,4.01,2.31,2.35,2.09,5.36,0.0,99.99
02/07/2022,20.1,18.4,25.26,13.49,6.37,4.01,2.33,2.45,2.11,5.49,0.0,100.01
02/08/2022,20.1,18.4,25.26,13.49,6.37,4.01,2.33,2.45,2.11,5.49,0.0,100.01
02/09/2022,21.3,19.64,26.57,14.24,6.74,4.22,2.46,2.62,2.2,0.0,0.0,99.99
02/10/2022,21.28,19.54,26.58,14.29,6.79,4.23,2.49,2.61,2.2,0.0,0.0,100.01
02/11/2022,21.29,19.61,26.46,14.44,6.85,4.19,2.48,2.51,2.17,0.0,0.0,100.0
02/14/2022,21.27,19.61,26.29,14.52,6.89,4.19,2.48,2.57,2.18,0.0,0.0,100.0
02/15/2022,21.27,19.61,26.29,14.52,6.89,4.19,2.48,2.57,2.18,0.0,0.0,100.0
02/16/2022,21.14,19.26,26.4,14.54,6.92,4.28,2.56,2.7,2.19,0.0,0.0,99.99
02/17/2022,21.14,19.26,26.4,14.54,6.92,4.28,2.56,2.7,2.19,0.0,0.0,99.99
02/18/2022,21.17,19.54,26.16,14.64,7.0,4.22,2.52,2.58,2.16,0.0,0.0,99.98999999999998
02/21/2022,21.13,19.3,26.24,14.62,6.96,4.32,2.63,2.61,2.19,0.0,0.0,100.0
03/10/2022,18.61,16.67,24.26,12.8,6.16,4.03,2.54,2.75,0.0,0.0,12.17,99.99000000000001
