,2022-01-21 SPDRu00ae S&P 500u00ae ETF Trust C 3.76,2022-01-21 SPDRu00ae S&P 500u00ae ETF Trust P 375.70,US Dollar,2022-01-21 SPDRu00ae S&P 500u00ae ETF Trust P 338.13,2022-01-21 SPDRu00ae S&P 500u00ae ETF Trust C 430.18,SUM
07/09/2021,103.64,2.0,0.67,-1.13,-5.18,100.0
07/12/2021,104.12,1.9,0.67,-1.07,-5.62,100.0
07/13/2021,104.12,1.9,0.67,-1.07,-5.62,100.0
07/22/2021,102.8,2.59,0.67,-1.46,-4.6,100.0
07/23/2021,102.8,2.59,0.67,-1.46,-4.6,100.0
08/03/2021,104.68,1.85,0.66,-1.09,-6.11,99.99
08/04/2021,104.68,1.85,0.66,-1.09,-6.11,99.99
08/05/2021,104.52,1.94,0.66,-1.14,-5.98,99.99999999999999
