,Bank Of New York Cash Reserve,DAPXX,FTIXX,Goldman Sachs FS Government Instl,Goldman Finl Sq Trsry Ins,Cash,Ishares 7-10 Year Treasury Bond Etf Swap,SUM
07/09/2021,42.5,35.05,23.63,1.41,0.11,-1.3,-1.41,99.99
07/12/2021,42.5,35.05,23.63,1.41,0.11,-1.3,-1.41,99.99
07/13/2021,42.5,35.05,23.63,1.41,0.11,-1.3,-1.41,99.99
07/14/2021,42.5,35.05,23.63,1.41,0.11,-1.3,-1.41,99.99
07/15/2021,42.5,35.05,23.63,1.41,0.11,-1.3,-1.41,99.99
07/16/2021,42.5,35.05,23.63,1.41,0.11,-1.3,-1.41,99.99
07/19/2021,42.5,35.05,23.63,1.41,0.11,-1.3,-1.41,99.99
07/20/2021,42.5,35.05,23.63,1.41,0.11,-1.3,-1.41,99.99
07/21/2021,42.5,35.05,23.63,1.41,0.11,-1.3,-1.41,99.99
07/22/2021,42.5,35.05,23.63,1.41,0.11,-1.3,-1.41,99.99
07/23/2021,42.5,35.05,23.63,1.41,0.11,-1.3,-1.41,99.99
07/26/2021,42.5,35.05,23.63,1.41,0.11,-1.3,-1.41,99.99
07/27/2021,42.5,35.05,23.63,1.41,0.11,-1.3,-1.41,99.99
