,2021-09-17 SPDRu00ae S&P 500u00ae ETF Trust C 3.30,US Dollar,2021-09-17 SPDRu00ae S&P 500u00ae ETF Trust P 314.12,2021-09-17 SPDRu00ae S&P 500u00ae ETF Trust P 231.46,2021-09-17 SPDRu00ae S&P 500u00ae ETF Trust C 361.24,SUM
07/09/2021,119.52,0.44,0.18,-0.04,-20.11,99.99
07/12/2021,120.08,0.44,0.18,-0.04,-20.66,100.0
07/13/2021,120.08,0.44,0.18,-0.04,-20.66,100.0
07/22/2021,117.54,0.44,0.27,-0.06,-18.2,99.99
07/23/2021,117.54,0.44,0.27,-0.06,-18.2,99.99
08/03/2021,120.88,0.44,0.1,-0.02,-21.4,100.0
08/04/2021,120.88,0.44,0.1,-0.02,-21.4,100.0
08/05/2021,120.54,0.44,0.11,-0.02,-21.06,100.01
